"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.666666666666667,0
"2","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.201212296178427,0.336629238979595,-0.597726735765289,4,0.582216732768049,0.743905682037504,NA,0.5,0
"3","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.833333333333333,0
"4","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.346775179562827,0.258627789446154,-1.34082721855002,15,0.19992968199949,0.299113078060572,NA,0.583333333333333,0.583333333333333
"5","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.0846881192559254,0.258627789446154,0.327451738412501,15,0.747851686377668,0.851611553474325,NA,0.453703703703704,0.453703703703704
"6","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.431463298818753,0.258627789446154,1.66827895696252,15,0.115994545553581,0.221428894040868,NA,0.574074074074074,0.574074074074074
"7","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.364985615058902,0.162712512950757,-2.24313181844448,15,0.0404175191984333,0.0834467525286867,NA,0.541666666666667,0.541666666666667
"8","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.280314623620588,0.162712512950757,1.72276009101662,15,0.105478618778803,0.231942658423336,NA,0.361111111111111,0.361111111111111
"9","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.645300238679491,0.162712512950757,3.9658919094611,15,0.00124264331010737,0.0050046701605239,NA,0.513888888888889,0.513888888888889
"10","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",0.0172798941216048,0.0626894022008864,0.275642987729119,15,0.786583355440621,0.850508208751093,NA,0.145833333333333,0.145833333333333
"11","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.013925719321732,0.0626894022008864,0.222138333319999,15,0.827202335800495,0.901727191791776,NA,0.125,0.125
"12","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",-0.00335417479987281,0.0626894022008864,-0.0535046544091209,15,0.958035916001851,0.97793216324526,NA,0.125,0.125
"13","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-1.08651288481691,0.187100967943846,-5.80709387427113,15,3.45555435394829e-05,0.00016726496561524,NA,0.444444444444444,0.444444444444444
"14","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.35523342967425,0.187100967943846,-1.89861887716618,15,0.0770243064085216,0.189957881795081,NA,0.416666666666667,0.416666666666667
"15","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.731279455142659,0.187100967943846,3.90847499710495,15,0.00139687452239645,0.00551650596139227,NA,0.527777777777778,0.527777777777778
"16","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.5,0
"17","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.222539429233889,0.06939968980629,3.2066343503126,10,0.00938546799845774,0.036146157481162,NA,0,0
"18","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.5,0
"19","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",0.215747359928208,0.131502200148149,1.640636884289,15,0.121669252304452,0.203847205207728,NA,0.166666666666667,0.166666666666667
"20","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.0556902425409866,0.131502200148149,0.423492857748741,15,0.677945456425075,0.808184860688981,NA,0.166666666666667,0.166666666666667
"21","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",-0.160057117387221,0.131502200148149,-1.21714402654026,15,0.242352761960734,0.391378971332677,NA,0.111111111111111,0.111111111111111
"22","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.192258463633783,0.115664637380535,-1.66220608120055,15,0.117221251300289,0.197860565288412,NA,0.0833333333333334,0.0833333333333333
"23","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.0327089402407457,0.115664637380535,0.28279118822751,15,0.781201997699407,0.871129468436334,NA,0,0
"24","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.224967403874529,0.115664637380535,1.94499726942806,15,0.0707676592725162,0.149097412917056,NA,0.0833333333333334,0.0833333333333333
"25","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",0.921379286898966,0.410082644726792,2.2468136575563,10,0.0484409243932484,0.0967263402009648,NA,0.722222222222222,0.305555555555556
"26","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.77983108324166,0.410082644726792,1.90164371321104,10,0.0863879488638284,0.205485111730456,NA,0.638888888888889,0.222222222222222
