"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.666666666666667,0
"2","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.529927320173722,0.35646265117103,-1.48662789336508,4,0.211312815208718,0.317908669235167,NA,0.5,0
"3","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.833333333333333,0
"4","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.819680078307312,0.278874722835473,-2.93924121187167,15,0.0101529598079104,0.0141515764717541,NA,0.583333333333333,0.583333333333333
"5","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.148565807183703,0.278874722835473,-0.532733141509395,15,0.602021913439121,0.707375748290967,NA,0.453703703703704,0.453703703703704
"6","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.671114271123608,0.278874722835473,2.40650807036228,15,0.0294478280006718,0.0431031366081855,NA,0.574074074074074,0.574074074074074
"7","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.766984723755714,0.153021872232455,-5.0122555198553,15,0.00015465434640749,0.000290839012745151,NA,0.541666666666667,0.541666666666667
"8","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.000915557652053233,0.153021872232455,-0.00598318161120401,15,0.995304989421843,0.997269665674156,NA,0.361111111111111,0.361111111111111
"9","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.766069166103661,0.153021872232455,5.0062723382441,15,0.000156456730951771,0.00042222541693011,NA,0.513888888888889,0.513888888888889
"10","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.620403126361143,0.0505180788274003,-12.2808139335783,15,3.14905967968571e-09,1.96855791031609e-08,NA,0.145833333333333,0.145833333333333
"11","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.241722574856561,0.0505180788274003,-4.78487267266099,15,0.000240932810838146,0.00124033970366575,NA,0.125,0.125
"12","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.378680551504582,0.0505180788274003,7.49594126091729,15,1.9011858962692e-06,1.07327631152633e-05,NA,0.125,0.125
"13","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-1.69010856510404,0.228882841226494,-7.38416456230361,15,2.27627601856462e-06,6.08965025181588e-06,NA,0.444444444444444,0.444444444444444
"14","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.656170376154745,0.228882841226494,-2.86683952645197,15,0.0117588345700477,0.0305777890766199,NA,0.416666666666667,0.416666666666667
"15","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",1.0339381889493,0.228882841226494,4.51732503585164,15,0.00040893698174127,0.000983085992502671,NA,0.527777777777778,0.527777777777778
"16","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.5,0
"17","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.0883386062228887,0.0807837541292258,-1.09351944800161,10,0.299807042465017,0.417623640930963,NA,0,0
"18","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.5,0
"19","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.446105828690176,0.111427967453076,-4.00353554755486,15,0.00115101038288401,0.0018753856140245,NA,0.166666666666667,0.166666666666667
"20","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.198835463586015,0.111427967453076,-1.78443049918996,15,0.0945894515710766,0.166928334121982,NA,0.166666666666667,0.166666666666667
"21","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.247270365104161,0.111427967453076,2.2191050483649,15,0.0423219488186901,0.0596981253491614,NA,0.111111111111111,0.111111111111111
"22","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.921136742423292,0.124796225802954,-7.38112660456343,15,2.28749538333517e-06,6.11309185149076e-06,NA,0.0833333333333334,0.0833333333333333
"23","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.284082895206103,0.124796225802954,-2.27637409207113,15,0.0379143176809862,0.0803226529835918,NA,0,0
"24","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.637053847217188,0.124796225802954,5.10475251249231,15,0.000129362800680433,0.000363378957090738,NA,0.0833333333333334,0.0833333333333333
"25","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",0.434780021636099,0.384461488861929,1.13088055431279,10,0.284497710322141,0.318555492025872,NA,0.722222222222222,0.305555555555556
"26","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.611203943955233,0.384461488861929,1.5897663658446,10,0.142971576168798,0.232305928499623,NA,0.638888888888889,0.222222222222222
