"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0AVK6|E2F8_HUMAN",-0.466936293168216,22.2557002319239,-1.75520467178255,0.124471100699423,0.201639275356056,-5.94803457733821,FALSE,21.9888794929706,22.4558157861388,3,4
"2","sp|A0FGR8|ESYT2_HUMAN",-0.118354788856754,25.6463649862678,-0.485095590947435,0.636553071438186,0.72131528506815,-7.55099342406828,FALSE,25.5871875918394,25.7055423806962,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",-0.284971893855663,24.6522392712831,-2.48785549408921,0.0289717231779886,0.061434301525784,-4.9875164247299,FALSE,24.5097533243553,24.7947252182109,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",-0.308656563206632,26.4515070313739,-4.75221116332344,0.00050244021654859,0.00265810396771207,-0.873486516710114,TRUE,26.2971787497705,26.6058353129772,6,6
"5","sp|A1L390|PKHG3_HUMAN",-0.706807512695396,24.4241703918129,-4.67290390647484,0.000574347129130255,0.00296020870364302,-1.01271900912022,TRUE,24.0707666354652,24.7775741481606,6,6
"6","sp|A1X283|SPD2B_HUMAN",-0.346505440629432,22.4939536898389,-1.8461694588294,0.0902730261888683,0.155690879167068,-6.05754185911687,FALSE,22.3207009695241,22.6672064101536,6,6
"7","sp|A2A2Y4|FRMD3_HUMAN",-0.403765235682539,25.0721711557015,-4.77546386452078,0.000483194966396468,0.00257737191354158,-0.832805778251861,TRUE,24.8702885378603,25.2740537735428,6,6
"8","sp|A6ND36|FA83G_HUMAN",-0.36621479890509,24.1843104572958,-3.2913187708716,0.00663900491721312,0.0187501154157536,-3.52684740076457,TRUE,24.0012030578432,24.3674178567483,6,6
"9","sp|A6NHT5|HMX3_HUMAN",1.06437881163751,24.2729787116053,1.09348011839859,0.303484908673683,0.407006458651539,-6.85252973491106,FALSE,24.6277716488178,23.5633928371803,6,3
"10","sp|A6NI28|RHG42_HUMAN",-0.430687300435729,23.8632396582446,-2.14048027046514,0.0540833340428345,0.103181110006499,-5.58384535187797,FALSE,23.6478960080267,24.0785833084625,6,6
"11","sp|A7E2V4|ZSWM8_HUMAN",0.880226206785322,26.6848335706908,1.76383108987955,0.103794172440234,0.174670644035794,-6.18340021292407,FALSE,27.1249466740835,26.2447204672982,6,6
"12","sp|A7KAX9|RHG32_HUMAN",0.0880406464098951,26.1788105748526,0.334275911167462,0.744079563816829,0.808505083694565,-7.61693711674686,FALSE,26.2228308980576,26.1347902516477,6,6
"13","sp|O00148|DX39A_HUMAN",-0.83858538070742,23.4570167442824,-1.64032853670782,0.165382978314396,0.250935932492283,-5.93897270800896,FALSE,22.953865515858,23.7924508965654,2,3
