"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0AVK6|E2F8_HUMAN",-0.127643345686507,22.0281464904497,-0.514753061521929,0.623441471490402,0.752258902400032,-7.33868384253719,FALSE,21.9552074357717,22.0828507814582,3,4
"2","sp|A0FGR8|ESYT2_HUMAN",0.293174326207028,25.4281684166384,0.989883766322719,0.342384147863305,0.520110270418303,-7.25697007857216,FALSE,25.5747555797419,25.2815812535348,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",0.126557221208123,24.4340427016537,1.52410921144458,0.154208492541406,0.304539119496692,-6.61912932583142,FALSE,24.4973213122577,24.3707640910496,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",0.102872551857151,26.2333104617444,1.03334047226976,0.322459972889924,0.499822618254184,-7.21317530817193,FALSE,26.284746737673,26.1818741858158,6,6
"5","sp|A1L390|PKHG3_HUMAN",-0.295278397631614,24.2059738221835,-2.40764789197308,0.0336533326845721,0.102304549535826,-5.21855806306206,FALSE,24.0583346233677,24.3536130209993,6,6
"6","sp|A1X283|SPD2B_HUMAN",0.0650236744343516,22.2757571202094,0.350631270593435,0.732135424829233,0.827484307675411,-7.70058175143043,FALSE,22.3082689574266,22.2432452829922,6,6
"7","sp|A2A2Y4|FRMD3_HUMAN",0.0077638793812449,24.8539745860721,0.0555709898171372,0.956627054422195,0.97586521679425,-7.76519825933091,FALSE,24.8578565257627,24.8500926463815,6,6
"8","sp|A6ND36|FA83G_HUMAN",0.0453143161586907,23.9661138876663,0.579883109894175,0.573058978725436,0.71411540364292,-7.58719087377356,FALSE,23.9887710457457,23.943456729587,6,6
"9","sp|A6NHT5|HMX3_HUMAN",1.41497315503009,24.1436819183769,1.40641889482091,0.194583427472905,0.355511820647493,-6.57383461418088,FALSE,24.6153396367203,23.2003664816902,6,3
"10","sp|A6NI28|RHG42_HUMAN",-0.019158185371949,23.6450430886152,-0.0678617917611569,0.947048661547727,0.969534977215658,-7.76437619663302,FALSE,23.6354639959292,23.6546221813011,6,6
"11","sp|A7E2V4|ZSWM8_HUMAN",1.2917553218491,26.4666370010614,2.21231344627146,0.0477657883008328,0.133301072636736,-5.55346820468868,FALSE,27.112514661986,25.8207593401369,6,6
"12","sp|A7KAX9|RHG32_HUMAN",0.499569761473673,25.9606140052232,1.69682824431848,0.116309086821427,0.251792140256931,-6.37277088174944,FALSE,26.21039888596,25.7108291244864,6,6
"13","sp|O00148|DX39A_HUMAN",-0.291107448605563,23.1383162547706,-0.466600459783153,0.661922399777694,0.781557849486487,-7.18125950719604,FALSE,22.9636517856073,23.2547592342128,2,3
"14","sp|O00159|MYO1C_HUMAN",-0.0769749873842366,23.6932348515769,-0.391898630062591,0.702221143455003,0.807039581571787,-7.68416769382708,FALSE,23.6547473578848,23.731722345269,6,6
"15","sp|O00161|SNP23_HUMAN",0.43753550758568,26.6737815344511,2.6008081203234,0.0237057689716745,0.0790040256437804,-4.87831659255928,FALSE,26.8925492882439,26.4550137806583,6,6
"16","sp|O00178|GTPB1_HUMAN",-0.0364509297101394,24.6086367391324,-0.0439686082246624,0.965744688646224,0.979373386721985,-7.71824932793022,FALSE,24.588754413836,24.6252053435461,5,6
"17","sp|O00192|ARVC_HUMAN",0.775581343958811,22.9971377840966,2.19729458458223,0.0733390418928872,0.182606449833397,-5.32094617462149,FALSE,23.5141920134024,22.7386106694436,2,4
"18","sp|O00193|SMAP_HUMAN",0.986203243036295,30.1030173774803,1.79214468374393,0.0991458598577535,0.226122554101786,-6.22998472540675,FALSE,30.5961189989985,29.6099157559622,6,6
"19","sp|O00203|AP3B1_HUMAN",0.176229481840409,28.7391273627526,2.60268626103045,0.0236247984794662,0.0789629892330479,-4.87497187047712,FALSE,28.8272421036728,28.6510126218324,6,6
"20","sp|O00232|PSD12_HUMAN",-0.563606483855324,23.6950302599067,-0.796763810103435,0.444793001321386,0.607860271747716,-7.31697069874068,FALSE,23.3568663695935,23.9204728534488,4,6
"21","sp|O00257|CBX4_HUMAN",0.216618854927729,24.3813885509035,2.18348762417671,0.0502759704230231,0.138072118348578,-5.60195626545727,FALSE,24.4896979783673,24.2730791234396,6,6
"22","sp|O00264|PGRC1_HUMAN",0.974088666365134,31.9066157634863,1.32685688076187,0.210024812136922,0.37078734236404,-6.87837977899654,FALSE,32.3936600966689,31.4195714303037,6,6
"23","sp|O00299|CLIC1_HUMAN",0.783037509070972,26.1546809520218,5.65256788442029,0.000120350412844656,0.000828049250077462,0.544328035617851,TRUE,26.5461997065573,25.7631621974863,6,6
"24","sp|O00401|WASL_HUMAN",-0.547248183963573,27.208316836823,-3.06826003273666,0.0100772838261529,0.0394401410866224,-4.03097597518845,TRUE,26.9346927448412,27.4819409288048,6,6
"25","sp|O00410|IPO5_HUMAN",-0.609540724924799,25.8326817914687,-1.64495564645556,0.12672135820028,0.267396536430769,-6.4485051953818,FALSE,25.5279114290063,26.1374521539311,6,6
"26","sp|O00418|EF2K_HUMAN",0.689758480157861,27.8641802414708,1.85416385060619,0.0892411653528556,0.209688369453077,-6.13470936047352,FALSE,28.2090594815497,27.5193010013919,6,6
"27","sp|O00429|DNM1L_HUMAN",0.201777441610685,27.9347246816526,0.499766293272941,0.626562669529425,0.754968619502852,-7.63292265614825,FALSE,28.0356134024579,27.8338359608473,6,6
"28","sp|O00443|P3C2A_HUMAN",0.0333748008538077,24.8272023301151,0.479304336407526,0.64061070656471,0.76547801287894,-7.64356211662026,FALSE,24.843889730542,24.8105149296882,6,6
"29","sp|O00472|ELL2_HUMAN",0.191448155975556,25.4244631325058,1.77983252071532,0.101226673238852,0.229468313849882,-6.2486823307144,FALSE,25.5201872104935,25.328739054518,6,6
"30","sp|O00499|BIN1_HUMAN",0.406205146683818,28.6816132531701,1.66426744085763,0.122752391627507,0.261366614930338,-6.42047828107225,FALSE,28.884715826512,28.4785106798282,6,6
"31","sp|O00505|IMA4_HUMAN",0.905277889505368,28.6928440914942,0.838403145158904,0.418706941357577,0.58646175272986,-7.39694797418037,FALSE,29.1454830362469,28.2402051467415,6,6
