"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_fold4","mean_fold1","ngood_fold4","ngood_fold1"
"1","sp|A0AVK6|E2F8_HUMAN",NA,20.9154399438808,NA,NA,NA,NA,NA,NA,20.9154399438808,0,4
"2","sp|A0FGR8|ESYT2_HUMAN",-0.86423447916502,24.1175593058792,-2.84366858979257,0.0147194131024533,0.0461603898712499,-4.10186133265459,TRUE,23.6854420662967,24.5496765454617,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",0.210480943617761,22.4359234139016,1.37701959491172,0.193504763411675,0.318946501656053,-6.48818237603906,FALSE,22.5411638857105,22.3306829420927,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",-0.296178508899162,24.0979645686601,-1.82746770385137,0.0924390533637337,0.183061122877566,-5.84807591178127,FALSE,23.9498753142105,24.2460538231097,6,6
"5","sp|A1L390|PKHG3_HUMAN",-0.79317101439986,23.110749843643,-4.12557166467154,0.00138940040160943,0.00707277930756129,-1.7204753068006,TRUE,22.7141643364431,23.5073353508429,6,6
"6","sp|A2A2Y4|FRMD3_HUMAN",-0.486599149467723,23.1035360626258,-3.39038497704611,0.0053218458922777,0.0210954481434877,-3.0871067530151,TRUE,22.8602364878919,23.3468356373596,6,6
"7","sp|A2RU67|F234B_HUMAN",0.258250389289194,25.5281315381201,1.02678883295768,0.326429952127683,0.469933021310822,-6.84390225162823,FALSE,25.6455180787061,25.3872676894169,6,5
"8","sp|A3KN83|SBNO1_HUMAN",0.152238639018672,24.4525751926245,0.579515534610785,0.572897629286955,0.691595840047856,-7.25953097054256,FALSE,24.5286945121339,24.3764558731152,6,6
"9","sp|A6H8Y1|BDP1_HUMAN",0.444165635022094,25.0074473615233,1.3841400918796,0.191370010005133,0.316506623934618,-6.47902523013944,FALSE,25.2295301790343,24.7853645440122,6,6
"10","sp|A6ND36|FA83G_HUMAN",-0.914434243176078,22.5246920642759,-4.1661863110372,0.0012919785846282,0.00671828864006663,-1.64586619485486,TRUE,22.0674749426878,22.9819091858639,6,6
"11","sp|A6NFI3|ZN316_HUMAN",1.08595339410872,24.1716835729438,2.10633348368746,0.0587900738973822,0.133030362487252,-5.36579147585326,FALSE,24.6652987520841,23.5793453579754,6,5
"12","sp|A6NHT5|HMX3_HUMAN",-0.741556381574556,22.2205316563053,-1.32320713350764,0.222017926946395,0.354115664483102,-6.20955233716515,FALSE,22.0351425609116,22.7766989424862,6,2
"13","sp|A7KAX9|RHG32_HUMAN",-1.20733746403023,21.5725039261973,-0.818784855285902,0.4438494342227,0.587104995596548,-6.43658363256728,FALSE,20.5663893728388,21.773726836869,1,5
"14","sp|A8CG34|P121C_HUMAN",-0.155699066492315,22.6027958255077,-1.18486113503765,0.258874496125514,0.40022924017359,-6.72178701115112,FALSE,22.5249462922615,22.6806453587539,6,6
"15","sp|B2RTY4|MYO9A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"16","sp|O00148|DX39A_HUMAN",0.431387605302061,25.1167375734696,1.66109489548152,0.122424213244963,0.225798434497574,-6.09791102505038,FALSE,25.3324313761206,24.9010437708186,6,6
"17","sp|O00159|MYO1C_HUMAN",-0.601566130138253,22.3705959241631,-4.15216552698965,0.00132478515090151,0.00684472327965779,-1.67160710730104,TRUE,22.069812859094,22.6713789892322,6,6
"18","sp|O00178|GTPB1_HUMAN",-1.32427459840712,22.0001731035027,-1.77064751384419,0.126424397323727,0.231236151837195,-5.57673397221136,FALSE,21.1173233712313,22.4415979696384,2,4
"19","sp|O00192|ARVC_HUMAN",NA,21.2652238975882,NA,NA,NA,NA,NA,21.2652238975882,NA,1,0
"20","sp|O00193|SMAP_HUMAN",0.291841068552232,28.9703785508244,0.420636393906385,0.681411721489023,0.774637302567211,-7.34348427417474,FALSE,29.1162990851005,28.8244580165483,6,6
"21","sp|O00203|AP3B1_HUMAN",-0.271032929770757,27.1543459657048,-0.950377995402225,0.360560185367285,0.50395059434572,-6.9683295095274,FALSE,27.0188295008195,27.2898624305902,6,6
"22","sp|O00231|PSD11_HUMAN",0.747855551496601,28.3803076346752,1.82405155080315,0.101185646441133,0.195788827876832,-5.72381297144499,FALSE,28.7957829410622,28.0479273895656,4,5
"23","sp|O00232|PSD12_HUMAN",-1.54117215263215,22.6623630006781,-1.89434089799135,0.0904455913780811,0.180443432303795,-5.56800361336922,FALSE,21.6349148989234,23.1760870515555,3,6
"24","sp|O00257|CBX4_HUMAN",-0.49999796233293,22.9440444875029,-2.67966134307541,0.0213131003060822,0.0617186545390501,-4.38804061392626,FALSE,22.6713183262304,23.1713162885634,5,6
"25","sp|O00264|PGRC1_HUMAN",-0.1823481606168,31.0216850716117,-1.86915027735058,0.0860471960113238,0.173272217792028,-5.78333667305251,FALSE,30.9305109913033,31.1128591519201,6,6
"26","sp|O00267|SPT5H_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"27","sp|O00299|CLIC1_HUMAN",0.300838876158729,24.8597201015209,1.71154340874431,0.112528208597299,0.211581032961329,-6.0236688532238,FALSE,25.0101395396003,24.7093006634416,6,6
"28","sp|O00400|ACATN_HUMAN",-0.819838137852728,21.2923920390942,-2.0491961263322,0.0742882803322581,0.156583293029097,-5.31711647958789,FALSE,20.7799932029362,21.5998313407889,3,5
"29","sp|O00401|WASL_HUMAN",-0.267264566191444,25.5477327377545,-0.977388852425781,0.347557378354176,0.490327820795378,-6.94224809299411,FALSE,25.4141004546588,25.6813650208503,6,6
"30","sp|O00410|IPO5_HUMAN",-0.379212869757752,26.1767555451711,-0.446985905753599,0.663502696528996,0.759275683959826,-7.28323094061616,FALSE,25.9699121616668,26.3491250314246,5,6
"31","sp|O00418|EF2K_HUMAN",0.425315714670193,25.1146939947182,0.984857545016638,0.344022040997516,0.487599821296597,-6.93492627743552,FALSE,25.3273518520533,24.9020361373831,6,6
"32","sp|O00422|SAP18_HUMAN",0.994369361562272,21.2980524693982,4.25846318642729,0.00366710776605444,0.0155290132720134,-2.09096444098375,TRUE,21.8662635331481,20.8718941715858,3,4
"33","sp|O00429|DNM1L_HUMAN",-0.869908983808318,26.040624972438,-2.36531943022777,0.0355897543806417,0.0915489639280762,-4.95965305292826,FALSE,25.6056704805338,26.4755794643421,6,6
"34","sp|O00443|P3C2A_HUMAN",-0.272638885100302,23.3054880537418,-1.69310922408168,0.116058952005205,0.216490380663853,-6.05095600399523,FALSE,23.1691686111917,23.441807496292,6,6
"35","sp|O00472|ELL2_HUMAN",0.245460850122064,24.4105449420961,0.77366730747183,0.454012016955426,0.596067726837812,-7.12306531707553,FALSE,24.5332753671571,24.2878145170351,6,6
"36","sp|O00499|BIN1_HUMAN",0.205609653296036,26.6871960803979,1.01988367209085,0.327788290711806,0.470940039774894,-6.89995952661049,FALSE,26.7900009070459,26.5843912537499,6,6
"37","sp|O00505|IMA4_HUMAN",0.282552871642952,27.9327323722458,0.664503479759908,0.519967731908885,0.650094092945027,-7.1556254030545,FALSE,28.0611654957199,27.7786126240769,6,5
"38","sp|O00512|BCL9_HUMAN",0.227593049757905,23.5242097197275,0.73617591508583,0.475686138768014,0.614294712504236,-7.15222657822636,FALSE,23.6380062446065,23.4104131948486,6,6
"39","sp|O00566|MPP10_HUMAN",0.112583918419576,25.4958192578749,0.484687253386116,0.63938624202473,0.741148577764045,-7.10828841772768,FALSE,25.5333472306815,25.4207633122619,6,3
"40","sp|O00567|NOP56_HUMAN",1.01411665999991,28.8506039972967,1.39594115136291,0.187875051333387,0.313297844223537,-6.46377349051319,FALSE,29.3576623272967,28.3435456672968,6,6
"41","sp|O00571|DDX3X_HUMAN",-2.1580130538035,23.8755686393092,-1.99597349326189,0.069000629379046,0.148289217612331,-5.58158235898258,FALSE,22.7965621124074,24.9545751662109,6,6
"42","sp|O00592|PODXL_HUMAN",-1.28199542263305,23.3504805084807,-2.42329785647747,0.0455219357400201,0.109306892372759,-4.73968649950511,FALSE,22.8010538987808,24.0830493214138,4,3
"43","sp|O00712|NFIB_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"44","sp|O13563|RPN13_YEAST",2.28217285310661,26.4437625207015,6.51765756308636,4.19138919730433e-05,0.000395889807776636,2.03756759409917,TRUE,27.4811138175681,25.1989409644615,6,5
"45","sp|O14467|MBF1_YEAST",1.74088723313408,23.2678751167346,5.89977605599627,0.000222089600411035,0.00161265061199364,0.60440369974292,TRUE,23.8481708611126,22.1072836279785,6,3
"46","sp|O14497|ARI1A_HUMAN",-0.145858243400856,24.3782823713329,-0.395429946256001,0.699424383230194,0.78720386126359,-7.35443189652079,FALSE,24.3053532496325,24.4512114930333,6,6
"47","sp|O14523|C2C2L_HUMAN",0.501974092285997,22.9024411567493,1.18913257400842,0.257251998120098,0.39848515788238,-6.71688925516772,FALSE,23.1534282028923,22.6514541106063,6,6
"48","sp|O14578|CTRO_HUMAN",-0.315579878100414,24.5623924362708,-1.58457675863204,0.138895340026003,0.248592843954756,-6.20782886022003,FALSE,24.4046024972206,24.720182375321,6,6
"49","sp|O14579|COPE_HUMAN",0.661788906180475,21.9342545647775,2.56350817806058,0.0370389279305926,0.0938785406039549,-4.52971362690296,FALSE,22.3124196540235,21.650630747843,3,4
"50","sp|O14617|AP3D1_HUMAN",-0.540184548051354,22.3380839287539,-0.729871726225257,0.480625989266563,0.616887302347538,-7.10821449213342,FALSE,22.0925454978214,22.6327300458728,6,5
"51","sp|O14646|CHD1_HUMAN",0.381342505471008,24.0455086115871,2.97102172181679,0.0116118965136171,0.0387276769240362,-3.8674239561923,TRUE,24.2361798643226,23.8548373588516,6,6
"52","sp|O14647|CHD2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"53","sp|O14672|ADA10_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"54","sp|O14686|KMT2D_HUMAN",-0.16099984417381,24.7673054629618,-0.81189641040063,0.432569339473964,0.575965122713682,-7.0919836103927,FALSE,24.6868055408749,24.8478053850488,6,6
"55","sp|O14713|ITBP1_HUMAN",-0.457147248684182,21.3356957595186,-1.31324941203052,0.21822895498373,0.349455372947456,-6.47630541826433,FALSE,21.1071221351765,21.5642693838607,5,5
"56","sp|O14737|PDCD5_HUMAN",NA,21.973835296825,NA,NA,NA,NA,NA,NA,21.973835296825,0,4
"57","sp|O14757|CHK1_HUMAN",-0.143935874790321,23.3543938680983,-0.633574353924339,0.538177710700184,0.663935563506655,-7.2251981330515,FALSE,23.2824259307032,23.4263618054935,6,6
"58","sp|O14777|NDC80_HUMAN",NA,22.061279658122,NA,NA,NA,NA,NA,NA,22.061279658122,0,4
"59","sp|O14818|PSA7_HUMAN",0.104256657323759,26.0859476159432,0.281935975513045,0.786064918316167,0.858881596244235,-7.1148802461897,FALSE,26.1455228486996,26.0412661913758,3,4
"60","sp|O14874|BCKD_HUMAN",-0.452688052857794,22.2954761304567,-0.625295427910059,0.551413137465056,0.673732676296365,-6.60153591539523,FALSE,21.9074577994358,22.3601458522936,1,6
"61","sp|O14917|PCD17_HUMAN",-0.0448443628489985,24.0437781817192,-0.171036299381303,0.867028570394077,0.913098903838362,-7.42249447339835,FALSE,24.0213560002947,24.0662003631437,6,6
"62","sp|O14929|HAT1_HUMAN",-0.40752082750718,22.3803083084936,-3.43427146958892,0.0049062685662884,0.0198383902897748,-3.00511231759096,TRUE,22.17654789474,22.5840687222471,6,6
