"","1_1","1_2","1_3","1_4","1_5","1_6","10_1","10_2","10_3","10_4","10_5","10_6","4_1","4_2","4_3","4_4","4_5","4_6"
"sp|A0FGR8|ESYT2_HUMAN",39619767.1768887,58073638.2048441,69197704.6708788,32237419.5801277,75797010.8949428,80938757.2975576,8628495.11319491,7778129.30535877,19943984.4993605,15384935.3139507,37773264.1980966,24650977.2357166,58752758.7123978,59460783.5630131,52911099.3500714,35544255.6401382,43056664.0597068,53798799.3692041
"sp|A0JNW5|UH1BL_HUMAN",40943425.4943051,26763216.8159891,33444935.689625,28549275.7937975,25911761.7814772,26297042.9817605,9259931.74917691,13443921.0139503,10119480.5287591,10807579.5354651,9919501.25570093,8098893.28779719,22734511.0186917,25845851.1729317,22737862.8244023,22619210.2518811,24084219.8833735,23676186.1157179
"sp|A0MZ66|SHOT1_HUMAN",107687349.821698,113114505.584039,109506502.721127,103791868.863992,97635462.0573398,98480166.2434673,67877013.9277955,70663663.1016416,64777533.0718573,61869873.095158,62140576.4310291,64314603.7547235,81424317.6325539,82510734.7687547,81525890.6896208,82124940.7811765,83675227.3979432,77468967.6218666
"sp|A1L390|PKHG3_HUMAN",44183387.8485029,28159132.4749084,27293811.6602704,23733301.5073943,25315202.1208533,32538075.1123628,17863803.6946904,47581565.7295255,45914986.3284152,47200962.272483,43570042.4800866,21987512.8851229,18751682.7164962,20260181.0423189,16464718.5065916,14702396.3651056,20148581.5800208,14982642.4718973
"sp|A6NHT5|HMX3_HUMAN",NA,2045908.81893369,28257408.7337007,NA,NA,35641959.8654645,20991843.0434613,48887993.6285073,16728381.8279203,23734270.2778944,45470123.1715632,21966831.7141733,30156581.8723991,58917776.2995727,6381192.75312577,24320958.6116675,28019011.014364,36437316.4163331
"sp|A7KAX9|RHG32_HUMAN",50489320.6372859,122982130.79916,110557031.207468,55020230.4122053,93563494.6022412,53112126.0683432,64137826.6619088,63390204.31449,60152169.9663608,69720649.6238904,66625041.1800621,66245050.9996676,85873296.058659,48713417.3281543,81099431.7990335,83737873.1925194,81650366.7362089,92271942.9437988
"sp|O00148|DX39A_HUMAN",11973366.7636279,13023875.7097513,NA,NA,21522936.4616387,NA,NA,NA,NA,NA,1514489.77086143,NA,NA,NA,5021844.26352902,12891306.2688978,NA,NA
"sp|O00193|SMAP_HUMAN",244914295.821399,1879012903.04273,1943771756.52615,667927740.831017,1886252006.0208,1836471796.54289,460558978.564009,1378496597.19255,1334111086.34844,1339918862.0737,416191888.082671,1265304330.20929,1602398550.79498,1679369437.26445,1552210901.69509,1628940737.97308,1636814409.92239,1603621499.11207
"sp|O00203|AP3B1_HUMAN",708087944.260352,621092698.672356,554859684.152418,569095016.37072,519945263.026776,531351344.799225,430368599.097094,445133174.275985,413960065.055138,439335701.363677,420512489.193491,402560619.166267,491112607.480193,488645015.343189,454954960.638067,470355071.556887,486197089.28847,456649452.439438
"sp|O00232|PSD12_HUMAN",27105832.8143476,172958783.145907,16334953.3676442,14299690.6592631,9941422.20803025,10065754.9781987,NA,8664853.71374197,NA,10823903.1299896,NA,NA,NA,15567240.6993956,NA,12712067.5094512,6160510.78671658,10696163.5972062
"sp|O00257|CBX4_HUMAN",37389747.1247751,22713792.5542582,28845428.646753,26435873.6061564,27473789.0724286,26692162.9974566,43226365.8133325,43867129.6717825,14985509.6453035,51561882.4158707,52933489.0670633,59925149.8518804,23054322.1124843,24335102.3260628,22480538.7638383,22547449.8209994,24708586.5737955,23759711.9764429
"sp|O00264|PGRC1_HUMAN",7329688608.82989,7093116495.95747,252777003.394495,6896274282.29919,6544602596.42509,6476024433.80389,4161871062.155,4001143468.68714,3902619116.26025,4003145824.28549,3837513606.27306,3862322098.09731,5721559588.64626,5732867090.73707,5380521393.89341,5661884654.87558,5618966030.84802,5613435800.20869
"sp|O00299|CLIC1_HUMAN",86807162.4025442,76705360.9643145,74745219.1243066,65552139.9859024,70192623.3721006,101889712.574784,84372847.6711597,71739490.19051,72738843.7674286,72580312.1099122,73532236.0392694,80270103.3306169,97752805.292748,93740761.3590718,100299889.109401,90820286.403753,104872531.856248,98807113.2639318
"sp|O00410|IPO5_HUMAN",228218522.253449,40264704.8940845,124585935.189681,107819327.211822,102931673.26804,87100035.1360704,29957478.9404287,60649237.5668414,11242529.4559898,22815775.9387444,10835139.4692416,10880892.4389156,72391368.5224949,22335828.3888989,58070482.1995705,38544479.1352552,60042914.1169875,57638260.9512356
"sp|O00429|DNM1L_HUMAN",912033478.598684,258996340.448299,263683488.717101,487546146.54825,190173246.704295,222039567.711917,1213320068.09271,1260665956.16441,1193467847.59786,637479530.668834,608721140.768401,1194291023.11527,159671805.447479,409435836.135282,181790837.310605,575323351.448973,405972731.943716,152667023.00946
