"","1_1","1_2","1_3","1_4","1_5","1_6","10_1","10_2","10_3","10_4","10_5","10_6","4_1","4_2","4_3","4_4","4_5","4_6"
"sp|A0FGR8|ESYT2_HUMAN",20784645,39694419.5,51707057.5,24815572.3333333,63147059,68863082,10441110,9422207,25111810,18892348,48690453,33731665,57043496,58473259,54625482,35584163,43522261,55218480
"sp|A0JNW5|UH1BL_HUMAN",21479040,18293160,24991280,21976530,21587283.3333333,22373650,11205194.5,16285587.6666667,12741610,13271460,12786425,11082285,22073108,25416603.3333333,23474596.6666667,22644606,24344656.6666667,24300970
"sp|A0MZ66|SHOT1_HUMAN",56493096.6666667,77315883.3333333,81827266.6666667,79896426.6666667,81340836.6666667,83787396.6666667,82136150,85599973.3333333,81562493.3333333,75974786.3333333,80100380,88006193.3333333,79055483.3333333,81140396.6666667,84167426.6666667,82217146.6666667,84580056.6666667,79513273.3333333
"sp|A1L390|PKHG3_HUMAN",23178733.6666667,19247294.5,20394935,18269311.5,21090285,27683550,21616508.6666667,57638970,57812340,57961700,56162610,30087059.5,18206150,19923700,16998195,14718903.5,20366460,15378015
"sp|A6NHT5|HMX3_HUMAN",NA,1398417,21114970,NA,NA,30324350,25401665,59221540,21062990,29145140,58611850,30058760,29279252.5,57939270,6587951,24348265,28321997,37398850
"sp|A7KAX9|RHG32_HUMAN",26486844.3333333,84060590,82612260,42353219.5,77948450,45188051,77611460,76789110,75738620,85615360,85880940,90647760,83375030,47904385,83727150,83831890,82533300,94706880
"sp|O00148|DX39A_HUMAN",6281263,8902063,NA,NA,17930920,NA,NA,NA,NA,NA,1952206,NA,NA,NA,5184558,12905780,NA,NA
"sp|O00193|SMAP_HUMAN",128482751.333333,1284340515.33333,1452457396.66667,514154339.333333,1571450711.66667,1562478992,557310040,1669871993.33333,1679801953.33333,1645389656.66667,536479226.666667,1731404860,1555780823.33333,1651478473.33333,1602504384,1630769633.33333,1654514243.33333,1645938993.33333
"sp|O00203|AP3B1_HUMAN",371464993.333333,424528493.333333,414611463.333333,438075340,433170303.333333,452076266.666667,520777473.333333,539221803.333333,521224156.666667,539494173.333333,542048563.333333,550851993.333333,476824930,480529600,469696043.333333,470883163.333333,491454623.333333,468699840
"sp|O00232|PSD12_HUMAN",14219798.6666667,118220568,12206075,11007550,8282273.5,8563992.5,NA,10496360,NA,13291505,NA,NA,NA,15308700,NA,12726340,6227128,10978421.5
"sp|O00257|CBX4_HUMAN",19614770,15525302.6666667,21554360,20349685,22888620,22709820,52307063.3333333,53139406.6666667,18868510,63316810,68232270,81999795,22383615,23930945,23208935,22572765,24975775,24386700
"sp|O00264|PGRC1_HUMAN",3845175945,4848277987.33333,188884228.333333,5308582247.33333,5452357572,5509832576,5036168300,4846872624.33333,4913854087.33333,4915771335,4946627723.33333,5285086830,5555105303.33333,5637655646.66667,5554856696.66667,5668241543.33333,5679727203.33333,5761567100
"sp|O00299|CLIC1_HUMAN",45539289.6666667,52429551,55852363.3333333,50460424.3333333,58478001.6666667,86688255,102097315,86903200,91586715,89126960,94784445,109839225,94908935,92183915,103549725,90922255,106006580,101414505
"sp|O00410|IPO5_HUMAN",119724100,27521680,93095170.5,82996665,85753150,74105126.6666667,36250740,73468780,14155660,28017250,13966700,14889090,70285325,21964875,59952035,38587755,60692193.3333333,59159260
"sp|O00429|DNM1L_HUMAN",478455413.333333,177028850,197033953.333333,375301026.666667,158434760,188912326.666667,1468206000,1527135270,1502715660,782810255,784653080,1634232360,155026558.666667,402635926.666667,187681077,575969296.5,410362753,156695708
"sp|O00443|P3C2A_HUMAN",27189920.5,29219889,28150595,29446345,32009205,30787530,23089740.6666667,22657323.3333333,21664520,23280750,30606880,24038030,28035660,31570710,30765105,30395240,31422265,28670780
"sp|O00499|BIN1_HUMAN",167023140.666667,381929326.666667,458791626,487052470,530323936.666667,362095863.333333,476345888.666667,459482730,384799063.333333,515526430,287769106.666667,506869836,516749236.666667,431946316.666667,561921936.666667,467543202.666667,453200176,557824850
"sp|O00505|IMA4_HUMAN",7272397,376005000,710379325,732908091.5,837854425,851752468.5,1101191635,743866053.333333,734928816.666667,1104984625,1156802652.5,1252579795,714916800,727102546.666667,719089110,987282740,692062756.666667,171698653.333333
"sp|O00512|BCL9_HUMAN",56396363.3333333,60241280,63068010,63409136.6666667,55003150,63129436.6666667,50229268,58084010,55274830,54850074.6666667,57340676.6666667,59173346.6666667,77664050,58765590,57773538,56690330,63658076.6666667,61127520
"sp|O00566|MPP10_HUMAN",NA,NA,30838803,85546850,81240535,89360695,213149923.333333,214062315,145906773.333333,158409816.666667,165137830,155825470,123959391.333333,134750470,127007076.666667,145263296.666667,162737040,172209270
"sp|O00571|DDX3X_HUMAN",4917792.33333333,11805750.3333333,17730165,10738846.3333333,12786902.6666667,15258373,8961322.5,5758649.5,14278780,6552492,8688527,8511356.5,49051641,20416900,11058350,8260006.33333333,10036782.5,14851420
"sp|O00592|PODXL_HUMAN",33940396.6666667,19959080,92222056,663207800,33564303.3333333,17450784.6666667,14263094,77843255,16783115,12049920,14176110,34126200,18383866.6666667,28783605,19954885,17690633.3333333,71120082.5,107770610
"sp|O00712|NFIB_HUMAN",8577883,13079420,17911280,16579893.3333333,32392740,16998235.3333333,NA,NA,43514810,47181440,NA,NA,24734080,35412630,32734450,35546970,39727330,41030650
"sp|O14497|ARI1A_HUMAN",30929363.3333333,89494776.6666667,88145476.6666667,91777176.6666667,88217806.6666667,89868136.6666667,77676940,82730996.6666667,78708066.6666667,116834210,82343210,84604737.0666667,96229206.6666667,95968506.6666667,91811616.6666667,95598223.3333333,90839990,86296336.6666667
"sp|O14523|C2C2L_HUMAN",13066899.6666667,11295749,29972420,18713539,22468862.5,15052721,23673180,23585850,23392770,15662882.5,21209275,25409125,16299731.3333333,16549425.6666667,18531192.6666667,19184381,16534014.3333333,16509885.3333333
"sp|O14578|CTRO_HUMAN",28102796.6666667,43935000,46557806.3333333,48652678.3333333,54892459.6666667,53073958.6666667,47291060,56014026.6666667,46103122.3333333,46877823.3333333,50597990,53062653.3333333,49091106,51954333.3333333,51511052.6666667,52300643.3333333,47131066.6666667,49874523.3333333
"sp|O14617|AP3D1_HUMAN",15730680,9777626,8219933,53762300,60944910,62818490,19145980,21626180,19958805,22360910,18638370,17147840,NA,23012460,14715630,9742243,NA,NA
"sp|O14646|CHD1_HUMAN",40690190.3333333,27357960.6666667,52683346.6666667,50017030,52132843.3333333,59819533.3333333,80979573.3333333,82398286.6666667,78206763.3333333,78260483.3333333,85986280,85065106.6666667,72812646.6666667,91085973.3333333,70211180,77037213.3333333,77669666.6666667,79336330
"sp|O14647|CHD2_HUMAN",20961050,48706290,53965990,44782585,65426510,43601670,50039085,30444175.3333333,51850685,38346590,55690230,56151675,40179864.6666667,36188230.6666667,36944473.3333333,37330481.3333333,38679443.3333333,30331789.3333333
"sp|O14686|KMT2D_HUMAN",54057936.6666667,92685550,89675300,86517240,92956916.6666667,100353816.666667,82650826.6666667,85822126.6666667,93781146.6666667,87309508.3333333,92268096.6666667,98620540,91117666.6666667,93296586.6666667,90220676.6666667,89667513.3333333,94798783.3333333,89125773.3333333
"sp|O14737|PDCD5_HUMAN",316013500,378971800,359486900,202521247.5,192801672.5,225349385.5,465216500,431029100,417605300,431655700,442590000,462184100,367824400,390176100,206003383.25,209067235,432064000,456581200
"sp|O14757|CHK1_HUMAN",11459221.3333333,26040550,31596143.3333333,25892386.6666667,39205600,29494840,33308720,NA,11907063,11735935.5,21479205,NA,24276630,25189713.3333333,16066986.6666667,23625380,23499803.3333333,29741113.3333333
"sp|O14776|TCRG1_HUMAN",NA,5074200,7364070.5,7403838.5,5713764,6787113.66666667,9380606,NA,NA,5462588,2609581,8959636,7851427,5789062,9099312,10069655,6823208,3866183
"sp|O14874|BCKD_HUMAN",18932928.6666667,15152067.6666667,18193062,20468321.6666667,22823256,26677300,16539215,6843122,NA,NA,10501050,12663390,28658496.5,35164600,31144200,33124390,13303705,18746608
"sp|O14974|MYPT1_HUMAN",221180151,331024720.333333,569688991,556673688,586013257,594373580,479145705.333333,481233613.333333,479373576.666667,566111520,496090260,509188356.666667,534081680,560942126.666667,551377050,551688750,555074670,539020603.333333
"sp|O14979|HNRDL_HUMAN",10482927.5,18726490,16311900,26022181,29485510,18856851,12848790,12854496,17039960,17736620,17880420,16972720,12718851.5,30486660,18927120,17361830,18496690,14230760
"sp|O15014|ZN609_HUMAN",154794136.666667,182512501,182430913.333333,189063606.666667,188861670,196927196.666667,190613230,196456333.333333,194305893.333333,204841713.333333,203090060,213350076.666667,191426160,179656666.666667,194405786.666667,196621730,200515876.666667,194742436.666667
"sp|O15027|SC16A_HUMAN",216241258.666667,261544595.666667,266451726.666667,265531852,221843405.333333,198589579.666667,239713990,244464443.333333,131079432.333333,252321476.666667,262908186.666667,229517033.333333,262150496.666667,283610130,224051406.666667,246964110,253221610,136997373.333333
"sp|O15042|SR140_HUMAN",24896549.5,54999884.5,56405751,58379660,59819979.5,59096168.5,61777600,65951275,61216000,48158360.6666667,50039251,51439493.6666667,54901585,62067740,57512570,58393730,59527120,59760830
"sp|O15075|DCLK1_HUMAN",47606335,49650695,48778809.3333333,48185019.3333333,84507176.6666667,48702789,43676801,40067089,40517131.3333333,69643661,48132971.6666667,71358530,43497754.3333333,43384597.6666667,47348874.6666667,46352456.3333333,67703574,44675302
"sp|O15144|ARPC2_HUMAN",14973871,7379645,7119104,26686630,27131690,9656127.5,32469140,36782590,35710140,32810770,30010700,33156820,17276078.5,31693930,8762459,7449934,18809033.5,31762220
"sp|O15164|TIF1A_HUMAN",25513990,27462687,27683576.6666667,29684730.3333333,28974090,32507628,27013353.3333333,25704673.3333333,25510500,29277390,32458976.6666667,33225906.6666667,26152226.6666667,28230096.6666667,28328326.6666667,27265063.3333333,27583560,28011293.3333333
"sp|O15173|PGRC2_HUMAN",679719556,688425344.666667,732153603.333333,967682090.666667,995372633.333333,1049794796.33333,1063692473.33333,1114326154,1039177981.33333,1036931476.66667,1107755436.66667,1112734240,1010432507.33333,498849291.666667,1070584700.33333,500266346,1089050749,1088535630
"sp|O15234|CASC3_HUMAN",105351395.333333,111290971,110963719.333333,119286714,112747906.666667,118727556.666667,122022636.666667,65112276.6666667,121429110,45676392.3333333,125457050,130388150,113737353.333333,111408931,120470693,124702303.333333,122704560,111477440
"sp|O15347|HMGB3_HUMAN",10527144.5,23596360,19233603.3333333,21981120.6666667,16219290,25910046,14762282,30287930.5,21020880,20258912,11279857.5,25632334.5,24293680.5,26216985,20778962,25771836,26064575.5,17736865
"sp|O15371|EIF3D_HUMAN",5876999.5,14463820,5125435,7454687.5,6990396,NA,45024080,105528970,62554420,48261210,62166724,89689520,17885805,49696640,95051600,27709534,27074478,30974649
"sp|O15372|EIF3H_HUMAN",1551835880.86667,1805911263.33333,1871844278.66667,1913359060,1968975910,2005172872,2212086250,1508432986.33333,1964958600,1545473683,2346999100,2440591850,1861208851,1848141552,1969424062.66667,1857016995.33333,1846178925.33333,1899388360
"sp|O15417|TNC18_HUMAN",23578525,34980557.3333333,60793205.3333333,47864868.6666667,66332613.3333333,75816076.6666667,62587946.6666667,54154863.3333333,57370233.3333333,48174440,54058466.6666667,78297693.3333333,64765360,70525823.3333333,56087016.6666667,56680960,71312010,65259870
"sp|O15427|MOT4_HUMAN",180393560,104639952,109523299,151651765,170749081.5,152771760,124854010,132357250,141869625,140378460,143498135,162230485,155669130,105188096,152642540,157219705,151131030,241341810
"sp|O15446|RPA34_HUMAN",33339500,117295620.666667,145374056.666667,146727216.666667,144614030,144938406.666667,130401538.666667,125911961.666667,128712663.333333,141377680,132808483.333333,135376336.666667,135596290,154039413.333333,153837360,153693946.666667,141979860,141569526.666667
"sp|O15534|PER1_HUMAN",29342180,25762730,27073355,27628985,30909775,29167995,27217329.6666667,27206645,29988986.6666667,26859660,24594290,25746920,28184530,29429760,29464845,21961538.3333333,27273280,29507515
"sp|O43159|RRP8_HUMAN",37867074.3333333,78610517.3333333,77210290,82512043.3333333,69567656.6666667,70663773.3333333,109282149,113385355,112083905,82309920,78721283.3333333,84313836.6666667,86269161,81230636.6666667,72210006.6666667,79776071.3333333,74551906.6666667,77478046.6666667
"sp|O43164|PJA2_HUMAN",20709550,17577850,16542835,18936035,12971330,18517985,11188708.5,NA,15198940,13653475,NA,16977570,18190905,18516310,19065655,20244295,21130235,18855810
"sp|O43166|SI1L1_HUMAN",96465583.3333333,137386071,141775870,141106103.333333,142403753.333333,153466320,129927176.666667,134584313.333333,151279393.333333,136525306.666667,144082416.666667,168747670,155060250,150446003.333333,140858460,141282203.333333,142327126.666667,133322153.333333
"sp|O43294|TGFI1_HUMAN",228090216.666667,312020760,294342286.666667,301815906.666667,316926176.666667,339122343.333333,310231043.333333,320887326.666667,303822376.666667,324306123.333333,333502846.666667,349567040,320642603.333333,326426143.333333,323509313.333333,330456156.666667,339300120,334156590
"sp|O43314|VIP2_HUMAN",32507339.6666667,66990934,74464553.3333333,77763013,73442765,77572793.3333333,86031090,119792950,96957105,79037413.3333333,69977423.5,138876610,91698640.6666667,85580865,62978288.3333333,67347106.6666667,60026722,61796671.3333333
"sp|O43390|HNRPR_HUMAN",11243084.6666667,11697163,53803609,15282813.3333333,11249856,12642286,11694528.6666667,9351653,11921262.3333333,15673495.5,6844973.5,24475701,14173350,15207495.3333333,14159693.6666667,11802622,12719261.5,12019193
"sp|O43395|PRPF3_HUMAN",283026853,292159523.333333,291937336.666667,301536953.333333,303748110,295172253.333333,286115438,439116795,297344080,293281733.333333,310354133.333333,299405266.666667,293763436.666667,440621705,448642190,457414590,309163556.666667,314021320
"sp|O43399|TPD54_HUMAN",1289627537.66667,1679733633.66667,1692055178.33333,1653485792.33333,1708265236.66667,1762369241.33333,1373068190,1405791676.66667,1425245317.66667,1461468756.66667,1493578653.33333,1584416673.33333,1694196180,1706099710,1767349007.66667,1728403470,1768247492,1711431783.33333
"sp|O43432|IF4G3_HUMAN",161287985,141215628,243459480,255587313.333333,265416395.666667,189822540.666667,216165583.333333,242852826.666667,234380376.666667,233622206.666667,274437240,244421336.666667,226516436.666667,245364003.333333,256053313.333333,164867376.666667,166173236.666667,250219190
"sp|O43491|E41L2_HUMAN",450059416.666667,523661286.666667,531321678,513241365,546044066.666667,547623726.666667,467059164,464654528.333333,478588540,486659866.666667,500257370,615175013.333333,485304563.666667,469531790,528865930.333333,522983676.333333,524321566.666667,520611477.666667
