"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_10","mean_1","ngood_10","ngood_1"
"1","sp|A0JNW5|UH1BL_HUMAN",-0.284781000269569,23.2422076593725,-1.33611611532079,0.206356231054516,0.244758848044482,-6.9397698262582,FALSE,23.0998171592377,23.3845981595073,6,6
"2","sp|A0MZ66|SHOT1_HUMAN",-0.668726589513094,26.3031511965715,-8.89167667438773,1.27736845820693e-06,6.46284188729659e-06,5.2525441532862,TRUE,25.9687879018149,26.637514491328,6,6
"3","sp|A1L390|PKHG3_HUMAN",0.291394668072841,24.9290858045818,0.990361538685091,0.34333823235117,0.384800688376629,-7.28059387279582,FALSE,25.0615379264331,24.7701432583602,6,5
"4","sp|A6NHT5|HMX3_HUMAN",0.636293807604222,24.021191679811,0.720941972593049,0.491546607687945,0.532472609618495,-7.3226266529595,FALSE,24.2598018576626,23.6235080500584,5,3
"5","sp|A7KAX9|RHG32_HUMAN",0.0709898370742513,25.9309377249738,0.366102919169126,0.72067670197477,0.749222403974184,-7.76770467814172,FALSE,25.9664326435109,25.8954428064366,6,6
"6","sp|O00193|SMAP_HUMAN",-0.29440211924422,29.8890905052541,-0.510655388660437,0.618878366110209,0.658284160198995,-7.70025979354423,FALSE,29.741889445632,30.0362915648762,6,6
"7","sp|O00203|AP3B1_HUMAN",-0.432271992144268,28.8904954815303,-5.05218264380507,0.000285640245379644,0.000647587242024994,-0.456150667115927,TRUE,28.6743594854582,29.1066314776024,6,6
"8","sp|O00232|PSD12_HUMAN",-1.18942641821557,24.0783365286849,-1.17724510717283,0.273053102616935,0.314923890881596,-6.77730804768133,FALSE,23.1862667150232,24.3756931332388,2,6
"9","sp|O00264|PGRC1_HUMAN",-0.772010550215203,32.2785025083994,-11.6772791553802,6.71149570827372e-08,6.57478005495703e-07,8.37224833224924,TRUE,31.8924972332918,32.664507783507,6,6
"10","sp|O00299|CLIC1_HUMAN",-0.152442161560813,26.1958024701247,-1.21057746509055,0.249417964046138,0.291692195240399,-7.0920153589346,FALSE,26.1195813893442,26.2720235509051,6,6
"11","sp|O00410|IPO5_HUMAN",-2.3854698953154,25.3987941933526,-4.99102258591342,0.000316331114130391,0.000707279080796297,-0.562767945867018,TRUE,24.2060592456949,26.5915291410103,6,6
"12","sp|O00429|DNM1L_HUMAN",1.67133853683714,29.0327372741679,4.63283844376506,0.000580979452976841,0.00122283075845391,-1.19631904869495,TRUE,29.8684065425865,28.1970680057493,6,6
"13","sp|O00443|P3C2A_HUMAN",-1.20691695969054,24.8018451727392,-5.7971798199768,8.59353311281447e-05,0.000222842108660728,0.803220413860645,TRUE,24.198386692894,25.4053036525845,6,6
"14","sp|O00499|BIN1_HUMAN",-0.536158342626641,28.4470794555902,-3.99714136099087,0.00177917128340384,0.00332181744324929,-2.35417658981709,TRUE,28.1790002842769,28.7151586269035,6,6
"15","sp|O00505|IMA4_HUMAN",0.971519312424747,29.1761853321552,1.04756382532981,0.315531082764336,0.357674035959524,-7.27186896409724,FALSE,29.6619449883675,28.6904256759428,6,6
"16","sp|O00512|BCL9_HUMAN",-0.789385426135839,25.8434543595499,-4.55420466821499,0.000665448644326854,0.00138047973666238,-1.3373910894752,TRUE,25.4487616464819,26.2381470726178,6,6
"17","sp|O00566|MPP10_HUMAN",0.655638224928668,26.6935610569475,2.5210835829955,0.0303935861671152,0.0429133640989429,-5.03000314918439,TRUE,26.955816346919,26.3001781219903,6,4
"18","sp|O00567|NOP56_HUMAN",1.16057190247479,31.0259884738056,1.45444796199703,0.171536491872268,0.206860495897636,-6.78619912262438,FALSE,31.606274425043,30.4457025225682,6,6
"19","sp|O00571|DDX3X_HUMAN",-0.1127180504176,24.7351338633376,-0.215901760524714,0.832699477324242,0.848199018301395,-7.81463850224002,FALSE,24.6787748381288,24.7914928885464,6,6
"20","sp|O00592|PODXL_HUMAN",-3.54434386023658,25.8197002846213,-3.55480852974579,0.00397591548528172,0.00673402121146434,-3.17697389719313,TRUE,24.047528354503,27.5918722147396,6,6
"21","sp|O14497|ARI1A_HUMAN",-0.592865145571807,26.3351850259076,-3.19554474989528,0.00771775182875666,0.0124219798704227,-3.84786624012171,TRUE,26.0387524531217,26.6316175986935,6,6
"22","sp|O14578|CTRO_HUMAN",-0.623620382479639,25.5626999219026,-7.60960823461743,6.34404051121781e-06,2.39391612908874e-05,3.55455778218959,TRUE,25.2508897306628,25.8745101131424,6,6
"23","sp|O14617|AP3D1_HUMAN",-1.01905260591315,24.4205161960381,-2.32887046298307,0.0381969942138496,0.0526355940345399,-5.42080758066307,FALSE,23.9109898930815,24.9300424989947,6,6
"24","sp|O14646|CHD1_HUMAN",0.373729624076824,25.7111158290815,2.80410161995374,0.0159553910833803,0.0239104869209864,-4.57169864625612,TRUE,25.8979806411199,25.5242510170431,6,6
"25","sp|O14647|CHD2_HUMAN",-0.639684917148343,25.5019857860477,-3.18452872269234,0.00787699362113072,0.0126526203205814,-3.86838944361866,TRUE,25.1821433274735,25.8218282446219,6,6
"26","sp|O14686|KMT2D_HUMAN",-0.687050560022754,26.4436341877831,-8.19790067871494,2.97320477340533e-06,1.29343607486662e-05,4.35725053423332,TRUE,26.1001089077717,26.7871594677944,6,6
"27","sp|O14737|PDCD5_HUMAN",0.867203370793441,27.8940460911738,1.0367069065511,0.322183696562864,0.363659691639591,-7.23381545022561,FALSE,28.3670661116066,27.4998627408131,5,6
"28","sp|O14757|CHK1_HUMAN",-1.34627111317343,24.486084907563,-3.57407388104185,0.00508489156829523,0.0084147267141653,-3.21809844593164,TRUE,23.6783222396589,25.0245933528323,4,6
"29","sp|O14874|BCKD_HUMAN",-3.53696656886114,24.4229979505548,-9.93291286010118,2.30012985607251e-05,7.27152605893839e-05,3.32958761134192,TRUE,21.3913123201024,24.9282788889636,1,6
"30","sp|O14974|MYPT1_HUMAN",-0.774201843434626,28.9445293203816,-5.30422151514884,0.000188604572287293,0.000445897571429718,-0.0218419249773669,TRUE,28.5574283986642,29.3316302420989,6,6
"31","sp|O15014|ZN609_HUMAN",-0.66044779024087,27.5656817086982,-7.95405572003083,4.05101193351863e-06,1.65694740682837e-05,4.02955938196099,TRUE,27.2354578135778,27.8959056038187,6,6
"32","sp|O15027|SC16A_HUMAN",-0.79565577428559,27.7682807304315,-4.87958908024934,0.000381480219072397,0.000840845982872076,-0.758221768506748,TRUE,27.3704528432887,28.1661086175743,6,6
"33","sp|O15042|SR140_HUMAN",-0.502543193294271,25.928856166969,-1.54150314225428,0.149204137937789,0.182424473734415,-6.66743183135581,FALSE,25.6775845703218,26.1801277636161,6,6
"34","sp|O15075|DCLK1_HUMAN",-0.883319873539048,26.1387691953455,-8.0231589351342,3.70849955406442e-06,1.54067769431943e-05,4.1231347298295,TRUE,25.6971092585759,26.580429132115,6,6
"35","sp|O15144|ARPC2_HUMAN",0.574459994993826,24.3849070675598,1.79715152079775,0.0975663167424626,0.124367666401838,-6.29335187104482,FALSE,24.6721370650567,24.0976770700629,6,6
"36","sp|O15164|TIF1A_HUMAN",-0.792819771534915,24.8014711436263,-8.16229770473002,3.10927466320605e-06,1.33724089173659e-05,4.30983968726669,TRUE,24.4050612578588,25.1978810293937,6,6
"37","sp|O15173|PGRC2_HUMAN",-0.633967835207171,29.8251660828433,-3.9215267782593,0.00203873542954182,0.00373611215552294,-2.4941387928639,TRUE,29.5081821652397,30.1421500004469,6,6
"38","sp|O15234|CASC3_HUMAN",-0.943002110768484,26.6576443615204,-3.85147601454708,0.00231404793201914,0.00416843821579385,-2.6241129894643,TRUE,26.1861433061362,27.1291454169047,6,6
"39","sp|O15347|HMGB3_HUMAN",-0.729144929634853,24.2588617394893,-2.98916714584658,0.0113189722148181,0.0175080008819847,-4.23115530533118,TRUE,23.8942892746719,24.6234342043068,6,6
"40","sp|O15371|EIF3D_HUMAN",1.82750879103524,24.3093496701615,4.2272651414214,0.0014273052267701,0.00273236838948631,-2.02336922623831,TRUE,25.1400354842684,23.3125266932332,6,5
"41","sp|O15372|EIF3H_HUMAN",-0.684772336323331,30.8948162642832,-5.38491477079843,0.000165445232074943,0.000396618705895672,0.115450060849616,TRUE,30.5524300961215,31.2372024324448,6,6
"42","sp|O15417|TNC18_HUMAN",-0.358189303520483,25.7460710164093,-2.48825963600235,0.028566101717792,0.0405495558373309,-5.14131017520665,TRUE,25.5669763646491,25.9251656681695,6,6
"43","sp|O15427|MOT4_HUMAN",-0.94958700045166,27.2179009136417,-4.30237742759901,0.00103326046772863,0.00204461890559268,-1.79353620836767,TRUE,26.7431074134159,27.6926944138675,6,6
"44","sp|O15446|RPA34_HUMAN",-0.334332386601665,26.977861624898,-1.29332342757377,0.220300528987292,0.259745125930782,-6.99294431129738,FALSE,26.8106954315971,27.1450278181988,6,6
"45","sp|O15534|PER1_HUMAN",-0.710973713449736,24.852611305791,-5.11908125553685,0.000255620642541497,0.00058538233724871,-0.340072429341319,TRUE,24.4971244490662,25.2080981625159,6,6
"46","sp|O43159|RRP8_HUMAN",-0.247291420291929,26.3105386697369,-1.58769979126721,0.138402488299609,0.17119621896452,-6.60253195339076,FALSE,26.1868929595909,26.4341843798828,6,6
"47","sp|O43164|PJA2_HUMAN",-1.92072012822269,23.4258366840652,-4.75343104850282,0.00047253561533437,0.0010216812282502,-0.981321177714927,TRUE,22.4654766199538,24.3861967481765,6,6
"48","sp|O43166|SI1L1_HUMAN",-0.650459201363248,27.1271232042038,-8.44965651547725,2.1753076609356e-06,1.01237925451753e-05,4.68834530031662,TRUE,26.8018936035221,27.4523528048854,6,6
"49","sp|O43294|TGFI1_HUMAN",-0.658142114424085,28.2740055199245,-9.32197442529177,7.75278064168934e-07,4.30198002739894e-06,5.78176033430302,TRUE,27.9449344627124,28.6030765771365,6,6
"50","sp|O43314|VIP2_HUMAN",0.346086107773719,25.1819727549778,0.528016571153156,0.607137478925659,0.647967168160741,-7.69072046984205,FALSE,25.3550158088646,25.0089297010909,6,6
