Name	Fraction	Experiment
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_1		1_1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_2		1_2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_3		1_3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_4		1_4
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_5		1_5
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_6		1_6
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_1		10_1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_2		10_2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_3		10_3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_4		10_4
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_5		10_5
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_6		10_6
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_1		4_1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_2		4_2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_3		4_3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_4		4_4
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_5		4_5
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_6		4_6
