"","logFC","se","df","t","pval","adjPval"
"sp|A0AVK6|E2F8_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",-1.4381819440385,0.324510955493836,16.7396983024792,-4.43184404005683,0.000378166820479668,0.000687352071099852
"sp|A0JNW5|UH1BL_HUMAN",0.204780430311539,0.145017077978129,13.3581322825107,1.41211251230992,0.180786974507204,0.205770794033696
"sp|A0MZ66|SHOT1_HUMAN",-0.591853249307,0.114929349320266,17.2158778430552,-5.14971373985352,7.71287060024261e-05,0.000160439209503649
"sp|A1L390|PKHG3_HUMAN",0.0557690523903461,0.110083752921589,17.1500933918147,0.50660566078329,0.618882501670179,0.645187175958823
"sp|A2A2Y4|FRMD3_HUMAN",-1.1884747799378,0.179055341916106,15.3300463554732,-6.63747178509005,7.08680912075208e-06,1.93371124175044e-05
"sp|A2RU67|F234B_HUMAN",-1.21291453898853,0.180553039153949,15.066321126928,-6.71777414920354,6.73821979622904e-06,1.84762980161956e-05
"sp|A3KN83|SBNO1_HUMAN",-0.0823057209850405,0.162672157514706,15.1494069657231,-0.505960714128967,0.620166793963895,0.646224222281706
"sp|A6H8Y1|BDP1_HUMAN",-0.459323643963703,0.107946975217502,17.124239821734,-4.25508582374091,0.00052641411665815,0.000931027185721863
"sp|A6ND36|FA83G_HUMAN",-0.208558658193039,0.169548218436072,15.6910834263338,-1.23008463383929,0.236789584756686,0.265451709280223
"sp|A6NFI3|ZN316_HUMAN",1.00385847021435,0.442698520073944,16.4227900258413,2.26758939706117,0.0371739302014455,0.0474398011490146
"sp|A6NHT5|HMX3_HUMAN",1.07930529795577,0.590396152523163,13.1071056055136,1.82810354258435,0.090377385820015,0.108980186466922
"sp|A7KAX9|RHG32_HUMAN",2.58508074703713,0.367273519127104,8.06166879769577,7.0385710169932,0.000104425346567402,0.000212081322600948
"sp|B2RTY4|MYO9A_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O00148|DX39A_HUMAN",-0.450897873170915,0.217492481710148,17.0563040138683,-2.07316533254619,0.0536178099207695,0.0670823720533394
"sp|O00159|MYO1C_HUMAN",-0.620016431336969,0.134853139261744,17.581423866272,-4.59771596516967,0.000236324367697234,0.00044777248616318
"sp|O00178|GTPB1_HUMAN",-0.882112376249054,0.146324874016012,11.7289457885092,-6.02845129497619,6.55139509821197e-05,0.000138210906041674
"sp|O00193|SMAP_HUMAN",-0.492779641027489,0.277691770963157,16.1665246653928,-1.77455615381872,0.0948016432043916,0.11370084236013
"sp|O00203|AP3B1_HUMAN",-0.152663275554439,0.0657165893600124,17.107029897435,-2.32305536609805,0.0327537212687317,0.0423313873027268
"sp|O00231|PSD11_HUMAN",-0.194589001568675,0.442177895905758,10.4135741850111,-0.440069490968288,0.66888048511131,0.692137803786946
"sp|O00232|PSD12_HUMAN",1.84186323693681,1.05972382160985,13.5269764464072,1.73805967118754,0.104898198546798,0.124248570201854
"sp|O00257|CBX4_HUMAN",-0.422495860680334,0.119827195338008,14.0785060951931,-3.52587623776522,0.00333225527731609,0.00504928294566838
