"","logFC","se","df","t","pval","adjPval"
"sp|A0AVK6|E2F8_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",-0.846773056927374,0.301488445507704,16.7827739425262,-2.80864182208182,0.0121927419033118,0.0258070072702326
"sp|A0JNW5|UH1BL_HUMAN",-0.128065965622449,0.115901686692115,13.4068685482946,-1.10495342455756,0.288615539964001,0.36227009597505
"sp|A0MZ66|SHOT1_HUMAN",-0.357472799552435,0.106024896736984,16.8498946801033,-3.37159299894644,0.00366060502097569,0.00939555288717093
"sp|A1L390|PKHG3_HUMAN",-1.05447857640748,0.119671252635873,16.9058048640039,-8.81146100823368,9.99736351240548e-08,9.37987929546278e-07
"sp|A2A2Y4|FRMD3_HUMAN",-0.576414670682222,0.172843271034865,15.8847903542194,-3.33489795252689,0.00423356609966781,0.010495207718088
"sp|A2RU67|F234B_HUMAN",0.273152681346168,0.166597105360632,14.6136075361328,1.6396004045501,0.122431041281906,0.177179854298442
"sp|A3KN83|SBNO1_HUMAN",0.154923936448281,0.166155125972861,14.7647987911789,0.932405398516474,0.366124456707246,0.44168336673543
"sp|A6H8Y1|BDP1_HUMAN",-0.272190190923412,0.117312252857573,16.9621779037774,-2.32021962150768,0.0330549118478082,0.0590965717823505
"sp|A6ND36|FA83G_HUMAN",-0.506824117843166,0.156565614639914,15.6187610001989,-3.23713555501195,0.00529215595355947,0.0126968646652796
"sp|A6NFI3|ZN316_HUMAN",1.0669644650576,0.442603952863428,16.448018899568,2.41065281535529,0.0279476638826845,0.0514894287434439
"sp|A6NHT5|HMX3_HUMAN",-0.0965785586920406,0.5941796978708,13.0943886683502,-0.162540993975599,0.873361386755199,0.89871703991906
"sp|A7KAX9|RHG32_HUMAN",-0.776589367744731,0.555695400704762,7.6066247090043,-1.39750907918226,0.201672227150297,0.270959135515411
"sp|B2RTY4|MYO9A_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O00148|DX39A_HUMAN",0.405457250058335,0.204506148924408,16.9958262020139,1.9826164259159,0.0638139737557865,0.103633893379397
"sp|O00159|MYO1C_HUMAN",-0.67760817837569,0.132285125957017,17.3461858519712,-5.12233082497773,7.98159964444999e-05,0.000360058828405188
"sp|O00178|GTPB1_HUMAN",-0.51923502070384,0.206392569915769,11.4474614073688,-2.51576411358096,0.0279505998614844,0.0514894287434439
"sp|O00193|SMAP_HUMAN",-0.298404201000596,0.279539248913646,16.3925493806328,-1.06748587956884,0.30122194662199,0.375560361142883
"sp|O00203|AP3B1_HUMAN",-0.250719664869993,0.0653774617094858,16.9253362069782,-3.83495563018494,0.00133553643273854,0.00389836974418975
"sp|O00231|PSD11_HUMAN",0.440124156761284,0.362371143249084,10.4716370699956,1.21456734334598,0.25120947713953,0.32406167674903
"sp|O00232|PSD12_HUMAN",0.948547597662173,1.20897217338345,13.5295865502822,0.784590099379666,0.446214782088919,0.520040505430352
"sp|O00257|CBX4_HUMAN",-0.736720536211681,0.132213454775548,14.3063427778768,-5.57220547229762,6.35047560152967e-05,0.000293594451722893
"sp|O00264|PGRC1_HUMAN",-0.150652401579551,0.0808199213801392,16.766061925948,-1.86405033569573,0.0799221467331259,0.124801506052497
"sp|O00267|SPT5H_HUMAN",-0.27562997262367,0.181035865248997,12.7562350682153,-1.52251584096096,0.152277921436487,0.213859495954512
"sp|O00299|CLIC1_HUMAN",-0.107701590408252,0.152055545575982,17.2397873762658,-0.708304258159621,0.488223616417109,0.559365487665164
"sp|O00400|ACATN_HUMAN",-0.914875194923904,0.227516073956304,13.2822735557239,-4.02114531520798,0.00139472254465144,0.00403944934138347
"sp|O00401|WASL_HUMAN",-0.41600771546987,0.183350334589443,16.7765959573115,-2.26892258692296,0.0367697332465713,0.0646510349130659
"sp|O00410|IPO5_HUMAN",-0.286728573060998,0.347052225974961,14.689125166836,-0.826182780575752,0.421917517519169,0.498751623409372
