"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_10","mean_1","ngood_10","ngood_1"
"1","sp|A0AVK6|E2F8_HUMAN",NA,22.6586481980629,NA,NA,NA,NA,NA,NA,22.6586481980629,0,3
"2","sp|A0FGR8|ESYT2_HUMAN",-1.2552251243133,25.1259940471392,-5.54156385153659,0.000135737923658477,0.000383694062799047,0.379168300156705,TRUE,24.4983814849826,25.7536066092959,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",-0.272635734115035,23.2321550049088,-1.28674811547594,0.222862774597889,0.271349017266502,-6.9554204793157,FALSE,23.0958371378513,23.3684728719663,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",-0.656581323358561,26.2930985421078,-8.8342899413208,1.52244707997495e-06,9.22336871751812e-06,5.12487269160686,TRUE,25.9648078804285,26.621389203787,6,6
"5","sp|A1L390|PKHG3_HUMAN",0.298893070745808,24.921697418344,1.02579106926942,0.327427217082806,0.379766883754035,-7.19922151654326,FALSE,25.0575579050466,24.7586648343008,6,5
"6","sp|A2A2Y4|FRMD3_HUMAN",-0.547483525940716,25.0157879130245,-5.76197162405164,9.61732678565484e-05,0.000286796268303399,0.741344891313091,TRUE,24.7420461500542,25.2895296759949,6,6
"7","sp|A3KN83|SBNO1_HUMAN",-0.65359450879063,25.9132756364827,-7.3487111776339,9.78416571010907e-06,4.14840558908409e-05,3.15399650221612,TRUE,25.5864783820874,26.240072890878,6,6
"8","sp|A6ND36|FA83G_HUMAN",-0.903500239845911,23.9312216276352,-6.276151707101,4.4197749111895e-05,0.000146894250044327,1.5603618876866,TRUE,23.4794715077123,24.3829717475582,6,6
"9","sp|A6NHT5|HMX3_HUMAN",0.669373475148989,24.0081157565899,0.75078177498333,0.474834820206036,0.524187399926699,-7.25360436413968,FALSE,24.2591308097708,23.5897573346218,5,3
"10","sp|A7E2V4|ZSWM8_HUMAN",-3.61183465042797,25.8543147047085,-3.71829586729817,0.00616367016369975,0.010949836817505,-2.98817256180263,TRUE,23.1454387168875,26.7572733673155,2,6
"11","sp|A7KAX9|RHG32_HUMAN",0.0831351032287868,25.92088507051,0.432262550656202,0.67334763155974,0.714876941034926,-7.69389901465541,FALSE,25.9624526221244,25.8793175188956,6,6
"12","sp|O00148|DX39A_HUMAN",NA,23.9640061140257,NA,NA,NA,NA,NA,NA,23.9640061140257,0,3
"13","sp|O00159|MYO1C_HUMAN",-0.213257016289445,24.0646088550955,-1.91938090318892,0.0794481189635218,0.109292500191129,-6.05870153981953,FALSE,23.9579803469508,24.1712373632402,6,6
"14","sp|O00178|GTPB1_HUMAN",0.715678820553745,25.4225597717942,0.709031151373625,0.492082353010098,0.541550949344446,-7.52771346624669,FALSE,25.7803991820711,25.0647203615173,6,6
"15","sp|O00193|SMAP_HUMAN",-0.282256853089683,29.8790378507904,-0.484422423815759,0.636956645117672,0.681751194774318,-7.66846345026614,FALSE,29.7379094242456,30.0201662773352,6,6
"16","sp|O00203|AP3B1_HUMAN",-0.420126725989732,28.8804428270666,-5.11431479623296,0.000269929474335518,0.00070697163477592,-0.341546715864007,TRUE,28.6703794640717,29.0905061900614,6,6
"17","sp|O00232|PSD12_HUMAN",-1.1673095418871,24.0677404602261,-1.15215625631127,0.283364377412529,0.335043811474028,-6.75948869299472,FALSE,23.1922583038107,24.3595678456978,2,6
"18","sp|O00257|CBX4_HUMAN",-0.52195620820173,24.5393690622425,-3.70108707540952,0.00311583773521406,0.00598122095415214,-2.87588177473299,TRUE,24.2783909581416,24.8003471663433,6,6
"19","sp|O00264|PGRC1_HUMAN",-0.75986528406067,32.2684498539357,-11.6152135551224,8.24176323532607e-08,9.52381529415456e-07,8.21177045845175,TRUE,31.8885172119054,32.648382495966,6,6
"20","sp|O00267|SPT5H_HUMAN",-0.860296860671557,25.2373103612449,-3.70077199790173,0.0031176155694519,0.00598122095415214,-2.87646495967122,TRUE,24.8071619309091,25.6674587915806,6,6
"21","sp|O00273|DFFA_HUMAN",-0.611984564365442,29.8617901882395,-2.82433313843752,0.0155633554408648,0.0252904525914053,-4.49662983519383,TRUE,29.5557979060568,30.1677824704223,6,6
"22","sp|O00299|CLIC1_HUMAN",-0.140296895406275,26.1857498156609,-1.11799138830952,0.285824479807938,0.337154017769666,-7.15104214199367,FALSE,26.1156013679578,26.2558982633641,6,6
"23","sp|O00401|WASL_HUMAN",-0.981229038192623,27.4308414276797,-12.9426559911989,2.50717586523874e-08,3.41962347521087e-07,9.46666179748417,TRUE,26.9402269085834,27.921455946776,6,6
"24","sp|O00410|IPO5_HUMAN",-2.37332462916087,25.3887415388889,-4.90224204831207,0.000383321831602352,0.000958688669017506,-0.708136112821064,TRUE,24.2020792243084,26.5754038534693,6,6
"25","sp|O00418|EF2K_HUMAN",-0.0592182559072995,27.4878456486237,-0.0859253500191835,0.93296709757436,0.944700152351158,-7.79028550620839,FALSE,27.45823652067,27.5174547765773,6,6
"26","sp|O00429|DNM1L_HUMAN",1.68348380299167,29.0226846197042,4.66363446875409,0.000572976091451614,0.00137514261948387,-1.12722304362594,TRUE,29.8644265212,28.1809427182083,6,6
"27","sp|O00443|P3C2A_HUMAN",-1.19477169353602,24.7917925182755,-5.84352834563359,8.4807131038676e-05,0.000257516543883863,0.873674991456854,TRUE,24.1944066715075,25.3891783650435,6,6
"28","sp|O00472|ELL2_HUMAN",-0.741883672847837,24.9890440052406,-7.20273713818356,1.19095628863908e-05,4.83353966901326e-05,2.94596492796222,TRUE,24.6181021688167,25.3599858416645,6,6
"29","sp|O00499|BIN1_HUMAN",-0.524013076472098,28.4370268011265,-3.76839680408338,0.00275891905317905,0.00538831139024641,-2.75139204678898,TRUE,28.1750202628905,28.6990333393625,6,6
"30","sp|O00505|IMA4_HUMAN",0.983664578579285,29.1661326776914,1.04729227491736,0.315951951330387,0.369029513580087,-7.22642345271436,FALSE,29.6579649669811,28.6743003884018,6,6
"31","sp|O00512|BCL9_HUMAN",-0.777240159981302,25.8334017050861,-4.54658464055801,0.00069981450821658,0.00162487163954287,-1.33523330595908,TRUE,25.4447816250955,26.2220217850768,6,6
"32","sp|O00566|MPP10_HUMAN",0.656972946661269,26.689047146868,2.44977548692437,0.034738245816999,0.0517342849398744,-5.11026910517884,FALSE,26.9518363255325,26.2948633788713,6,4
"33","sp|O00567|NOP56_HUMAN",1.17271716862933,31.0159358193419,1.44610837352603,0.174191323897605,0.219030436423172,-6.75195726918735,FALSE,31.6022944036566,30.4295772350272,6,6
"34","sp|O00571|DDX3X_HUMAN",-0.100572784263064,24.7250812088739,-0.193085514022641,0.850176826524101,0.873268048972903,-7.77412628232973,FALSE,24.6747948167424,24.7753676010054,6,6
"35","sp|O00592|PODXL_HUMAN",-3.53219859408205,25.8096476301575,-3.48673024398657,0.00460151985449802,0.00844514232119637,-3.27332683381206,TRUE,24.0435483331165,27.5757469271986,6,6
"36","sp|O00712|NFIB_HUMAN",0.681622261869727,24.6073415468389,2.23337361589641,0.056856534465422,0.0809548830722723,-5.28274164043071,FALSE,25.1185582432412,24.4369359813714,2,6
"37","sp|O13563|RPN13_YEAST",3.64892471563368,29.0094461052189,18.3852406985832,1.71459337189678e-09,4.03738212854186e-08,12.4211813852012,TRUE,30.6680482486888,27.0191235330551,6,5
"38","sp|O14497|ARI1A_HUMAN",-0.580719879417263,26.3251323714438,-3.012262211766,0.0110056786098138,0.0185734778972923,-4.15220427036604,TRUE,26.0347724317352,26.6154923111525,6,6
"39","sp|O14523|C2C2L_HUMAN",-0.188139919312296,24.1493447150694,-0.680480893955616,0.509337328036701,0.558186675845758,-7.54834854567033,FALSE,24.0552747554133,24.2434146747255,6,6
"40","sp|O14524|NEMP1_HUMAN",-0.472096009031922,23.3992451493564,-3.0905276690109,0.00952662304575851,0.016365073036623,-4.00786074571478,TRUE,23.1631971448404,23.6352931538724,6,6
"41","sp|O14544|SOCS6_HUMAN",-0.912216677742329,24.3678946699528,-4.3755872303779,0.000940242393113775,0.00210479373382241,-1.6417868042222,TRUE,23.9117863310817,24.824003008824,6,6
"42","sp|O14578|CTRO_HUMAN",-0.611475116325101,25.5526472674389,-7.01917992363631,1.53067502770388e-05,5.91418710394563e-05,2.68048912625925,TRUE,25.2469097092763,25.8583848256014,6,6
