"","1_TechRep1","1_TechRep2","1_TechRep3","1_TechRep4","1_TechRep5","1_TechRep6","4_TechRep1","4_TechRep2","4_TechRep3","4_TechRep4","4_TechRep5","4_TechRep6","10_TechRep1","10_TechRep2","10_TechRep3","10_TechRep4","10_TechRep5","10_TechRep6"
"sp|A0AVK6|E2F8_HUMAN",NA,6486879.94648065,6788615.71033051,6591453.93226114,NA,NA,4494428.96419443,2990389.53084604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",37960195.4180537,61528795.9159226,95487483.4166639,50397586.4393143,54358700.8068134,53655766.7509186,72882031.3181795,71149770.9796547,56917864.3678128,51253768.9815905,53982954.2193897,41842216.4110429,25009675.1662787,25947310.7045844,17306112.122761,20094307.1269191,21113210.2901673,37192794.2489231
"sp|A0JNW5|UH1BL_HUMAN",12504325.682141,12234088.6961767,11328749.1089571,12125077.7680113,7629930.21928118,10061176.4334088,8295884.48801725,6879629.78017821,8250347.93920923,9817225.61185871,15512785.0412013,10331437.1157505,11553426.211223,13434756.318749,10127768.7634354,6323229.03430239,8672205.05179923,6021652.70799232
"sp|A0MZ66|SHOT1_HUMAN",103176599.32309,109412892.735555,110622036.87523,101686999.690404,96194314.5972318,99109174.9285631,82492373.5596942,81518971.5465979,82817199.5846579,80395465.9135722,83991464.1871746,79138362.7374913,68685454.5408487,70787371.9306038,65326845.2908432,61211925.8105489,60977307.3481797,66557880.6104039
"sp|A1L390|PKHG3_HUMAN",42332657.5714758,27237639.6386616,27571851.5788696,23241796.0228578,24941537.281564,NA,18909916.2396063,20026023.8766691,16539893.9236252,14309611.5585689,20151721.4628943,15237961.581409,18058238.899513,47664865.3989485,46357716.4043421,46720803.5302238,42754413.0433083,22749519.781734
"sp|A2A2Y4|FRMD3_HUMAN",35746348.5960885,41111009.0445971,49444749.5563065,42010579.2330282,39394294.6462156,39567631.0751451,29664833.7316769,28548786.3176521,30314147.4441758,29567666.6357601,30829252.331154,33655308.6214077,24767541.8508154,27395641.4593599,27724824.1228157,28028879.0148475,32155589.4967692,28793395.8428573
"sp|A3KN83|SBNO1_HUMAN",92624002.2216356,81503614.5779493,83296271.559127,76841151.0201693,65861620.7914816,77900800.6291807,59489279.395536,60547349.4261768,55641961.795358,59190861.8123434,34183635.103509,59881317.8541993,51096564.9163131,51379541.4024132,54325468.2062252,49315448.9890608,47693163.2637064,48770850.8915235
"sp|A6ND36|FA83G_HUMAN",28505634.9756453,24118159.6673305,20344062.6626251,21627615.7967394,18799302.5492845,19282898.8449012,15372214.5241677,15481387.8529221,17159455.1315799,17327677.7404361,18393830.3514619,16319751.7018361,13531623.7657413,11253905.5926195,8849325.85416666,12745760.2400404,10322449.9700238,14435749.4802199
"sp|A6NHT5|HMX3_HUMAN",NA,1965227.82621755,28545264.7401075,NA,NA,35869610.8043732,30472182.4017559,54697700.3792385,6434355.57726625,50979122.7841646,28097287.3012577,55211918.6962282,18947831.5455477,22476833.4308161,NA,23492829.9170119,25577391.8325363,12750992.1687109
"sp|A7E2V4|ZSWM8_HUMAN",16287008.2472003,157781452.299205,112111504.72389,248067303.034041,119322722.806911,249810786.917762,182119362.090319,174455789.764941,181603271.750378,169267953.234252,173555861.23475,185735893.566288,7218831.48308576,11925476.1843647,NA,NA,NA,NA
"sp|A7KAX9|RHG32_HUMAN",48374450.7977356,118957605.092668,63704834.2942923,53904436.0037811,51840823.9645374,53979392.2931474,86999709.9544735,48150411.7110352,82411124.2147684,81998635.3030789,81958950.896888,94260330.4954627,64948918.6692131,63501179.7097528,61174617.7445766,69011406.0444981,65377823.0980999,68641329.5895869
"sp|O00148|DX39A_HUMAN",16467704.4204701,12548088.2471084,NA,NA,21205247.3294098,NA,NA,NA,6267746.16806226,12623553.489272,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00159|MYO1C_HUMAN",23974341.1939647,18177941.6947817,19557393.7944113,18594420.3880983,17820664.9614603,16095184.2573564,7271255.22920084,18932184.8566184,16682634.4950363,16119895.2975888,12383985.9314529,13144897.2778932,16651213.7016336,16783500.9135368,13326955.1998273,17853610.5446083,17920688.8537727,15713906.8517953
"sp|O00178|GTPB1_HUMAN",172876418.435201,28328780.7312079,4152919.45290148,23604290.1170887,24626883.7588325,158007760.905866,22535231.7183835,19368058.975183,33785734.5623758,35288353.4585677,NA,19752458.0762667,30740035.315702,261161861.891767,285212286.006195,16436133.1872712,29257222.413557,33283242.6415673
"sp|O00193|SMAP_HUMAN",236139772.694183,1802498871.37272,1949650803.48946,592327174.108213,1848000304.11105,1834672177.05518,2391143875.68418,2476131975.05621,1547962095.53681,2365150066.69377,1613997689.4478,1625292707.72485,439587982.457204,1356416905.23335,1331850701.30307,1318166305.76989,379667493.082216,1296427696.65865
"sp|O00203|AP3B1_HUMAN",678427932.634854,600767765.971331,560497125.367511,557553933.529531,512270615.112823,534711656.922174,497554610.883644,482997497.605679,462313347.227615,460585784.008092,488034591.393113,466489887.762858,435811074.29605,445912456.035589,417951628.282919,434866494.219583,412640512.367306,417122422.324327
