"Protein","LogIntensities","GROUP","SUBJECT","originalRUN"
"sp|A0AVK6|E2F8_HUMAN",22.6211206522146,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0AVK6|E2F8_HUMAN",22.5774943997727,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0AVK6|E2F8_HUMAN",22.5618356537555,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0AVK6|E2F8_HUMAN",21.5343636397251,"SP=Yeast;CT=Mixture;QY=4",2,"8"
"sp|A0FGR8|ESYT2_HUMAN",21.2527735083435,"SP=Yeast;CT=Mixture;QY=1",1,"1"
"sp|A0FGR8|ESYT2_HUMAN",23.3192870248062,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0FGR8|ESYT2_HUMAN",23.3037645157412,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0FGR8|ESYT2_HUMAN",22.3849070749373,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0FGR8|ESYT2_HUMAN",22.3196958741605,"SP=Yeast;CT=Mixture;QY=1",1,"5"
"sp|A0FGR8|ESYT2_HUMAN",23.2030381701208,"SP=Yeast;CT=Mixture;QY=1",1,"6"
"sp|A0FGR8|ESYT2_HUMAN",21.1552515107687,"SP=Yeast;CT=Mixture;QY=10",3,"13"
"sp|A0FGR8|ESYT2_HUMAN",22.1943844195911,"SP=Yeast;CT=Mixture;QY=10",3,"14"
"sp|A0FGR8|ESYT2_HUMAN",21.9018547225812,"SP=Yeast;CT=Mixture;QY=10",3,"15"
"sp|A0FGR8|ESYT2_HUMAN",22.2244705237744,"SP=Yeast;CT=Mixture;QY=10",3,"16"
"sp|A0FGR8|ESYT2_HUMAN",22.0532674687951,"SP=Yeast;CT=Mixture;QY=10",3,"17"
"sp|A0FGR8|ESYT2_HUMAN",22.4394967660066,"SP=Yeast;CT=Mixture;QY=10",3,"18"
"sp|A0FGR8|ESYT2_HUMAN",22.7416189234336,"SP=Yeast;CT=Mixture;QY=4",2,"10"
"sp|A0FGR8|ESYT2_HUMAN",22.8019034983914,"SP=Yeast;CT=Mixture;QY=4",2,"11"
"sp|A0FGR8|ESYT2_HUMAN",22.615549545319,"SP=Yeast;CT=Mixture;QY=4",2,"12"
"sp|A0FGR8|ESYT2_HUMAN",23.2774759618711,"SP=Yeast;CT=Mixture;QY=4",2,"7"
"sp|A0FGR8|ESYT2_HUMAN",23.2996506100524,"SP=Yeast;CT=Mixture;QY=4",2,"8"
"sp|A0FGR8|ESYT2_HUMAN",22.9938388683402,"SP=Yeast;CT=Mixture;QY=4",2,"9"
"sp|A0JNW5|UH1BL_HUMAN",22.8211445071685,"SP=Yeast;CT=Mixture;QY=1",1,"1"
"sp|A0JNW5|UH1BL_HUMAN",23.0539694394809,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0JNW5|UH1BL_HUMAN",23.0169936904396,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0JNW5|UH1BL_HUMAN",22.9942292037236,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0JNW5|UH1BL_HUMAN",22.8462602222756,"SP=Yeast;CT=Mixture;QY=1",1,"5"
"sp|A0JNW5|UH1BL_HUMAN",22.9460471694113,"SP=Yeast;CT=Mixture;QY=1",1,"6"
"sp|A0JNW5|UH1BL_HUMAN",21.7965204413512,"SP=Yeast;CT=Mixture;QY=10",3,"13"
"sp|A0JNW5|UH1BL_HUMAN",22.7704371547899,"SP=Yeast;CT=Mixture;QY=10",3,"14"
"sp|A0JNW5|UH1BL_HUMAN",21.7191626131731,"SP=Yeast;CT=Mixture;QY=10",3,"15"
"sp|A0JNW5|UH1BL_HUMAN",22.3051265725391,"SP=Yeast;CT=Mixture;QY=10",3,"16"
"sp|A0JNW5|UH1BL_HUMAN",22.7406059731798,"SP=Yeast;CT=Mixture;QY=10",3,"17"
"sp|A0JNW5|UH1BL_HUMAN",22.0926666818599,"SP=Yeast;CT=Mixture;QY=10",3,"18"
"sp|A0JNW5|UH1BL_HUMAN",22.9581610293361,"SP=Yeast;CT=Mixture;QY=4",2,"10"
"sp|A0JNW5|UH1BL_HUMAN",22.7728171523858,"SP=Yeast;CT=Mixture;QY=4",2,"11"
"sp|A0JNW5|UH1BL_HUMAN",22.9372568848972,"SP=Yeast;CT=Mixture;QY=4",2,"12"
"sp|A0JNW5|UH1BL_HUMAN",22.689822920988,"SP=Yeast;CT=Mixture;QY=4",2,"7"
"sp|A0JNW5|UH1BL_HUMAN",22.050406211632,"SP=Yeast;CT=Mixture;QY=4",2,"8"
"sp|A0JNW5|UH1BL_HUMAN",22.8361773395038,"SP=Yeast;CT=Mixture;QY=4",2,"9"
"sp|A0MZ66|SHOT1_HUMAN",24.7523677614153,"SP=Yeast;CT=Mixture;QY=1",1,"1"
"sp|A0MZ66|SHOT1_HUMAN",24.9470338063776,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0MZ66|SHOT1_HUMAN",24.8817640257323,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0MZ66|SHOT1_HUMAN",24.7870074310947,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0MZ66|SHOT1_HUMAN",24.7052607938134,"SP=Yeast;CT=Mixture;QY=1",1,"5"
"sp|A0MZ66|SHOT1_HUMAN",24.7514255988702,"SP=Yeast;CT=Mixture;QY=1",1,"6"
"sp|A0MZ66|SHOT1_HUMAN",24.1810693332617,"SP=Yeast;CT=Mixture;QY=10",3,"13"
