"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|A0AVK6|E2F8_HUMAN","4vs1",-0.768871512997618,0.0309153924624668,-24.8701844536205,2,0.00161283644599441,0.0085245055285117,NA,0.666666666666667,0
"sp|A0AVK6|E2F8_HUMAN","10vs1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"sp|A0FGR8|ESYT2_HUMAN","4vs1",0.486251993104608,0.32480322788894,1.49706638159049,15,0.155120734830733,0.308023699028462,NA,0.492424242424242,0.492424242424242
"sp|A0FGR8|ESYT2_HUMAN","10vs1",-0.330670070826587,0.32480322788894,-1.01806276056977,15,0.32478858125413,0.433579553186407,NA,0.636363636363636,0.636363636363636
"sp|A0JNW5|UH1BL_HUMAN","4vs1",0.0354027614370857,0.210433606099388,0.168237203616446,15,0.868644112309295,0.929627688687174,NA,0.3125,0.3125
"sp|A0JNW5|UH1BL_HUMAN","10vs1",-0.102130640588207,0.210433606099388,-0.485334269945321,15,0.634451453570623,0.714192838274426,NA,0.395833333333333,0.395833333333333
"sp|A0MZ66|SHOT1_HUMAN","4vs1",0.0151465808224745,0.0624575870952915,0.242509861922226,15,0.811669742449057,0.899456718139469,NA,0.135416666666667,0.135416666666667
"sp|A0MZ66|SHOT1_HUMAN","10vs1",0.0148906325668668,0.0624575870952915,0.238411908935069,15,0.814787962465296,0.866503778735761,NA,0.145833333333333,0.145833333333333
"sp|A1L390|PKHG3_HUMAN","4vs1",-0.27607625564501,0.176889873255317,-1.5607239157582,14,0.14090394625437,0.288029325949243,NA,0.416666666666667,0.333333333333333
"sp|A1L390|PKHG3_HUMAN","10vs1",-1.1192014792757,0.176889873255317,-6.32710883149476,14,1.86850153598428e-05,9.79174315559421e-05,NA,0.444444444444444,0.361111111111111
"sp|A2A2Y4|FRMD3_HUMAN","4vs1",0.0535293411134251,0.132781798809226,0.40313764080221,15,0.692534675238301,0.821865738408881,NA,0.166666666666667,0.166666666666667
"sp|A2A2Y4|FRMD3_HUMAN","10vs1",0.215664436639647,0.132781798809226,1.62420180004869,15,0.125155420619609,0.208423124398983,NA,0.166666666666667,0.166666666666667
"sp|A3KN83|SBNO1_HUMAN","4vs1",-0.0440561997316753,0.061768411037978,-0.713248066306702,15,0.486641623977941,0.666176860311611,NA,0.375,0.375
"sp|A3KN83|SBNO1_HUMAN","10vs1",0.0371038172428791,0.061768411037978,0.600692435168294,15,0.557013076981714,0.650961135886062,NA,0.375,0.375
"sp|A6ND36|FA83G_HUMAN","4vs1",0.0327089402407426,0.113366203040235,0.288524616363256,15,0.776894038470949,0.879237254946751,NA,0,0
"sp|A6ND36|FA83G_HUMAN","10vs1",-0.186440303697305,0.113366203040235,-1.64458452958097,15,0.120844451820073,0.202338466915595,NA,0.0833333333333334,0.0833333333333333
"sp|A6NHT5|HMX3_HUMAN","4vs1",0.456130094258801,0.310019055273818,1.47129696223328,9,0.175290830886414,0.334780043709729,NA,0.611111111111111,0.194444444444444
"sp|A6NHT5|HMX3_HUMAN","10vs1",0.494696057339434,0.314416708333899,1.57337712731883,9,0.150082570647927,0.239567965979161,NA,0.75,0.25
"sp|A7E2V4|ZSWM8_HUMAN","4vs1",-0.0614807598487495,0.218663594610813,-0.281165961614121,11,0.783801543480425,0.883571053899917,NA,0.416666666666667,0.416666666666667
"sp|A7E2V4|ZSWM8_HUMAN","10vs1",-3.85359431810136,0.309237021095864,-12.4616202304793,11,7.88452938493833e-08,5.6452313590416e-07,NA,0.583333333333333,0.25
"sp|A7KAX9|RHG32_HUMAN","4vs1",0.0309166773545031,0.145518080778217,0.212459353429922,15,0.834608873322095,0.911543111972581,NA,0.333333333333333,0.333333333333333
"sp|A7KAX9|RHG32_HUMAN","10vs1",-0.162305250163623,0.145518080778217,-1.11536139904835,15,0.282246480968229,0.390327390580992,NA,0.375,0.375
"sp|O00148|DX39A_HUMAN","4vs1",0.19480359812505,0.669380985475974,0.291020513507015,2,0.798440832947599,0.89151499882492,NA,0.666666666666667,0
"sp|O00148|DX39A_HUMAN","10vs1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"sp|O00159|MYO1C_HUMAN","4vs1",-0.134786787907183,0.151592342103447,-0.889139820896779,15,0.387965044153055,0.570201417038588,NA,0.375,0.375
"sp|O00159|MYO1C_HUMAN","10vs1",-0.164555423044181,0.151592342103447,-1.08551276905457,15,0.294832745553173,0.404626655152044,NA,0.375,0.375
"sp|O00178|GTPB1_HUMAN","4vs1",-0.0631253629589901,0.208641884135847,-0.302553646984366,14,0.766678594955702,0.870916367148379,NA,0.416666666666667,0.333333333333333
"sp|O00178|GTPB1_HUMAN","10vs1",0.0910136893172335,0.198932231073243,0.457511026876906,14,0.654323286131258,0.731215178648497,NA,0.361111111111111,0.361111111111111
"sp|O00193|SMAP_HUMAN","4vs1",0.710909485121452,0.361855559421284,1.96462225496386,15,0.0682611528009078,0.171855873114068,NA,0.354166666666667,0.354166666666667
"sp|O00193|SMAP_HUMAN","10vs1",0.802095818529766,0.361855559421284,2.21661875200303,15,0.0425237230166728,0.0856385362142806,NA,0.322916666666667,0.322916666666667
"sp|O00203|AP3B1_HUMAN","4vs1",0.229863805889759,0.0728779412907163,3.15409301935153,15,0.0065512844279596,0.0273975418026917,NA,0.0208333333333334,0.0208333333333333
"sp|O00203|AP3B1_HUMAN","10vs1",0.129244192655108,0.0728779412907163,1.77343363939909,15,0.0964554163987681,0.169209181332027,NA,0.145833333333333,0.145833333333333
"sp|O00232|PSD12_HUMAN","4vs1",-0.233472430357248,0.451400103445287,-0.517218380269039,9,0.617474033326097,0.766477201248879,NA,0.555555555555556,0.388888888888889
"sp|O00232|PSD12_HUMAN","10vs1",-0.562535355710705,0.57098098516909,-0.98520856267064,9,0.35026492030966,0.459224438678724,NA,0.638888888888889,0.305555555555556
"sp|O00257|CBX4_HUMAN","4vs1",0.15513077447889,0.055048232809772,2.81808818486453,15,0.0129771381011392,0.0477803317420442,NA,0,0
"sp|O00257|CBX4_HUMAN","10vs1",-0.149874598520022,0.055048232809772,-2.72260508412573,15,0.0157288657549244,0.0373219618057599,NA,0.125,0.125
"sp|O00264|PGRC1_HUMAN","4vs1",0.277795417102948,0.131066853570414,2.11949405616658,15,0.0511418119535909,0.139731726649155,NA,0.15,0.15
"sp|O00264|PGRC1_HUMAN","10vs1",0.370201844060333,0.131066853570414,2.82452682715425,15,0.0128094535382226,0.0316129098844111,NA,0.0666666666666667,0.0666666666666667
"sp|O00267|SPT5H_HUMAN","4vs1",-0.186685424484043,0.211516633597346,-0.882603988674611,15,0.391375655138658,0.573864596977505,NA,0.472222222222222,0.472222222222222
"sp|O00267|SPT5H_HUMAN","10vs1",-0.0528205316830847,0.211516633597346,-0.249722826922618,15,0.806189268720477,0.861557798223068,NA,0.416666666666667,0.416666666666667
"sp|O00273|DFFA_HUMAN","4vs1",-0.0042745305318109,0.0209770424526593,-0.203771839688917,15,0.841270551164399,0.914822260944323,NA,0,0
