"Protein","LogIntensities","GROUP","SUBJECT","originalRUN"
"sp|A0AVK6|E2F8_HUMAN",22.2562156004415,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0AVK6|E2F8_HUMAN",22.2597007437906,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0AVK6|E2F8_HUMAN",22.3042329350746,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0AVK6|E2F8_HUMAN",21.5045115801047,"SP=Yeast;CT=Mixture;QY=4",2,"8"
"sp|A0FGR8|ESYT2_HUMAN",21.0978470629454,"SP=Yeast;CT=Mixture;QY=1",1,"1"
"sp|A0FGR8|ESYT2_HUMAN",23.1045317670984,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0FGR8|ESYT2_HUMAN",23.068508004381,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0FGR8|ESYT2_HUMAN",22.3490359324137,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0FGR8|ESYT2_HUMAN",22.2637452798313,"SP=Yeast;CT=Mixture;QY=1",1,"5"
"sp|A0FGR8|ESYT2_HUMAN",23.194805669706,"SP=Yeast;CT=Mixture;QY=1",1,"6"
"sp|A0FGR8|ESYT2_HUMAN",21.3086932186957,"SP=Yeast;CT=Mixture;QY=10",3,"13"
"sp|A0FGR8|ESYT2_HUMAN",22.3071434623054,"SP=Yeast;CT=Mixture;QY=10",3,"14"
"sp|A0FGR8|ESYT2_HUMAN",22.0374600680493,"SP=Yeast;CT=Mixture;QY=10",3,"15"
"sp|A0FGR8|ESYT2_HUMAN",22.4279537553474,"SP=Yeast;CT=Mixture;QY=10",3,"16"
"sp|A0FGR8|ESYT2_HUMAN",22.2708616938683,"SP=Yeast;CT=Mixture;QY=10",3,"17"
"sp|A0FGR8|ESYT2_HUMAN",22.7423410931503,"SP=Yeast;CT=Mixture;QY=10",3,"18"
"sp|A0FGR8|ESYT2_HUMAN",22.7940254398208,"SP=Yeast;CT=Mixture;QY=4",2,"10"
"sp|A0FGR8|ESYT2_HUMAN",22.8579067818817,"SP=Yeast;CT=Mixture;QY=4",2,"11"
"sp|A0FGR8|ESYT2_HUMAN",22.6797902821732,"SP=Yeast;CT=Mixture;QY=4",2,"12"
"sp|A0FGR8|ESYT2_HUMAN",23.2671901391625,"SP=Yeast;CT=Mixture;QY=4",2,"7"
"sp|A0FGR8|ESYT2_HUMAN",23.3315467351359,"SP=Yeast;CT=Mixture;QY=4",2,"8"
"sp|A0FGR8|ESYT2_HUMAN",23.0655262968293,"SP=Yeast;CT=Mixture;QY=4",2,"9"
"sp|A0JNW5|UH1BL_HUMAN",22.2797796474887,"SP=Yeast;CT=Mixture;QY=1",1,"1"
"sp|A0JNW5|UH1BL_HUMAN",22.668638665022,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0JNW5|UH1BL_HUMAN",22.6776865949711,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0JNW5|UH1BL_HUMAN",22.7088394372411,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0JNW5|UH1BL_HUMAN",22.68614119931,"SP=Yeast;CT=Mixture;QY=1",1,"5"
"sp|A0JNW5|UH1BL_HUMAN",22.7815301195252,"SP=Yeast;CT=Mixture;QY=1",1,"6"
"sp|A0JNW5|UH1BL_HUMAN",21.9986729556976,"SP=Yeast;CT=Mixture;QY=10",3,"13"
"sp|A0JNW5|UH1BL_HUMAN",23.0874796907828,"SP=Yeast;CT=Mixture;QY=10",3,"14"
"sp|A0JNW5|UH1BL_HUMAN",21.9421675871788,"SP=Yeast;CT=Mixture;QY=10",3,"15"
"sp|A0JNW5|UH1BL_HUMAN",22.6010531706953,"SP=Yeast;CT=Mixture;QY=10",3,"16"
