"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_10","mean_1","ngood_10","ngood_1"
"1","sp|A0AVK6|E2F8_HUMAN",NA,22.2306936556139,NA,NA,NA,NA,NA,NA,22.2306936556139,0,3
"2","sp|A0FGR8|ESYT2_HUMAN",-0.489807468981636,25.0691878568338,-1.81100593142201,0.0957512439016421,0.179297628050232,-6.24753108817106,FALSE,24.824284122343,25.3140915913247,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",0.492781921216621,23.1753488146034,2.58393102383654,0.0242623591758919,0.0589667463515346,-4.95132428459595,FALSE,23.4217397752117,22.9289578539951,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",0.108836331973097,26.2362923518024,1.03884493245458,0.319773642779689,0.453497166123922,-7.25486401861649,FALSE,26.2907105177889,26.1818741858158,6,6
"5","sp|A1L390|PKHG3_HUMAN",1.10375665565217,24.8817529716561,4.07972092865311,0.00190686238300488,0.00660128780579777,-2.28619338325133,TRUE,25.3834605424071,24.2797038867549,6,5
"6","sp|A2A2Y4|FRMD3_HUMAN",0.217934129390944,24.9589817227191,1.43620287492285,0.17701929779903,0.289351779506469,-6.78483159378275,FALSE,25.0679487874146,24.8500146580237,6,6
"7","sp|A3KN83|SBNO1_HUMAN",0.111823146541026,25.8564694461773,1.3812831382675,0.192883725089811,0.309407312226329,-6.8565179415844,FALSE,25.9123810194479,25.8005578729068,6,6
"8","sp|A6ND36|FA83G_HUMAN",-0.138082584514247,23.8744154373298,-1.13440264534915,0.279229261966296,0.408771987019281,-7.15267568161152,FALSE,23.8053741450727,23.943456729587,6,6
"9","sp|A6NHT5|HMX3_HUMAN",1.38948192503341,24.0654446592617,1.49581402837054,0.174241206450061,0.286310764515702,-6.47313371792638,FALSE,24.5865003811492,23.1970184561158,5,3
"10","sp|A7E2V4|ZSWM8_HUMAN",-2.90677837217242,25.5910637563012,-2.61669170791018,0.0316309205916194,0.0731703223324209,-4.71044455995025,FALSE,23.4109799771719,26.3177583493443,2,6
"11","sp|A7KAX9|RHG32_HUMAN",0.848552758560445,25.8640788802047,3.98988802078151,0.00186647819771825,0.00647045775208994,-2.36732128564812,TRUE,26.2883552594849,25.4398025009244,6,6
"12","sp|O00148|DX39A_HUMAN",NA,23.4267104038086,NA,NA,NA,NA,NA,NA,23.4267104038086,0,3
"13","sp|O00159|MYO1C_HUMAN",0.552160639042216,24.0078026647901,5.80671342813049,9.09608068337923e-05,0.000433278957742644,0.784475496130469,TRUE,24.2838829843112,23.731722345269,6,6
"14","sp|O00178|GTPB1_HUMAN",1.4810964758854,25.3657535814888,1.49527796131806,0.16119644118711,0.267517498140311,-6.70554906318057,FALSE,26.1063018194315,24.6252053435461,6,6
"15","sp|O00193|SMAP_HUMAN",0.483160802241972,29.822231660485,0.752800463778337,0.466378700555759,0.596353092513922,-7.51430721768337,FALSE,30.063812061606,29.580651259364,6,6
"16","sp|O00203|AP3B1_HUMAN",0.34529092934193,28.8236366367612,4.77882691987673,0.000475917721384366,0.00193783137451122,-0.950307629124898,TRUE,28.9962821014322,28.6509911720902,6,6
"17","sp|O00232|PSD12_HUMAN",-0.435217946284477,23.8112483411555,-0.453701609486597,0.662469813612732,0.761521316261847,-7.35401103634468,FALSE,23.4848348814421,23.9200528277266,2,6
