"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0AVK6|E2F8_HUMAN",-0.852844003522966,22.3175105966537,-3.77270807648495,0.0142407185097309,0.0333335377859352,-3.23143761652841,TRUE,21.80580419454,22.6586481980629,2,3
"2","sp|A0FGR8|ESYT2_HUMAN",0.00996090763483003,25.7585870631133,0.0478771964789509,0.962617806584277,0.972593120642145,-7.62134998713819,FALSE,25.7635675169307,25.7536066092959,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",-0.187095648000623,23.274925047966,-0.973845628205453,0.349744866563432,0.445529264692613,-7.12897636439252,FALSE,23.1813772239657,23.3684728719663,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",-0.337382357194229,26.4526980251899,-5.12507133900868,0.000267967655842994,0.00156160461508503,-0.16922628497425,TRUE,26.2840068465928,26.621389203787,6,6
"5","sp|A1L390|PKHG3_HUMAN",-0.708080423439352,24.3724391487884,-4.30274840330621,0.00131554589804273,0.00512274785182539,-1.71660205343643,TRUE,24.0505844108614,24.7586648343008,6,5
"6","sp|A2A2Y4|FRMD3_HUMAN",-0.432478221168383,25.0732905654107,-4.95128507108344,0.0003567026227357,0.00190773327218391,-0.467739509622666,TRUE,24.8570514548265,25.2895296759949,6,6
"7","sp|A3KN83|SBNO1_HUMAN",-0.558634051559708,25.9607558650982,-3.77736972781647,0.00272977055951603,0.00884906440968432,-2.57221728163899,TRUE,25.6814388393183,26.240072890878,6,6
"8","sp|A6ND36|FA83G_HUMAN",-0.394677927984818,24.1856327835658,-3.59311127860451,0.00380925286111247,0.0114412985816589,-2.91233324290114,TRUE,23.9882938195734,24.3829717475582,6,6
"9","sp|A6NHT5|HMX3_HUMAN",1.28509894874469,24.4464899671182,1.26698023607355,0.237820120538359,0.329980298612337,-6.60246168295519,FALSE,24.8748562833665,23.5897573346218,6,3
"10","sp|A7E2V4|ZSWM8_HUMAN",0.647567654288831,27.0810571944599,1.17165234125578,0.264534229499739,0.357650278283647,-6.91993842979292,FALSE,27.4048410216043,26.7572733673155,6,6
"11","sp|A7KAX9|RHG32_HUMAN",0.330604140892085,26.0446195893417,1.43295994809436,0.177921250622194,0.261618544273353,-6.59844854431709,FALSE,26.2099216597877,25.8793175188956,6,6
"12","sp|O00148|DX39A_HUMAN",-0.879441079252027,23.6122296823249,-2.19836610585819,0.0820284192858935,0.139184767663815,-5.16518735930069,FALSE,23.0845650347737,23.9640061140257,2,3
"13","sp|O00159|MYO1C_HUMAN",-0.485859804137847,23.9283074611713,-2.34651396261112,0.0373492299493659,0.0732252884158102,-5.17946581770556,FALSE,23.6853775591024,24.1712373632402,6,6
"14","sp|O00178|GTPB1_HUMAN",-0.474523657372475,24.8490277899844,-0.560942630631448,0.58633140357922,0.67134151222824,-7.4060090505079,FALSE,24.5901967041449,25.0647203615173,5,6
"15","sp|O00193|SMAP_HUMAN",0.848758092891872,30.4445453237812,1.71173464836258,0.113171145569618,0.181002431557716,-6.20699943413178,FALSE,30.8689243702271,30.0201662773352,6,6
"16","sp|O00203|AP3B1_HUMAN",-0.26374131256091,28.958635533781,-3.26586454461068,0.00692560664654895,0.0186176170190897,-3.51800443287238,TRUE,28.8267648775005,29.0905061900614,6,6
"17","sp|O00232|PSD12_HUMAN",-1.01522060109643,23.9534796052593,-1.36767712868112,0.202088078819944,0.289758642425655,-6.57098991189558,FALSE,23.3443472446014,24.3595678456978,4,6
"18","sp|O00257|CBX4_HUMAN",-0.311126414148297,24.6447839592692,-3.41516560985659,0.00526826500580659,0.0149385366775388,-3.24165583199802,TRUE,24.489220752195,24.8003471663433,6,6
"19","sp|O00264|PGRC1_HUMAN",-0.255207894471921,32.5207785487301,-4.1578055989563,0.00138622364812305,0.00528432623758184,-1.87604062880094,TRUE,32.3931746014941,32.648382495966,6,6
"20","sp|O00267|SPT5H_HUMAN",-0.544540669711639,25.3951884567248,-2.57329493344561,0.0247363863533499,0.051995637981544,-4.78141756150374,FALSE,25.122918121869,25.6674587915806,6,6
"21","sp|O00273|DFFA_HUMAN",-0.442195548721883,29.9466846960613,-1.66338661019747,0.122640146162231,0.193640686478863,-6.27805666122507,FALSE,29.7255869217004,30.1677824704223,6,6
"22","sp|O00299|CLIC1_HUMAN",0.265693776278927,26.3887451515035,2.20239860993678,0.0483720918623767,0.0911697047368959,-5.42557370086554,FALSE,26.521592039643,26.2558982633641,6,6
"23","sp|O00401|WASL_HUMAN",-0.977458922248113,27.4327264856519,-6.50236041584053,3.22515445719077e-05,0.000298385640473672,2.05241189782146,TRUE,26.9439970245279,27.921455946776,6,6
"24","sp|O00410|IPO5_HUMAN",-0.902241063614232,26.1242833216622,-2.24930620804386,0.0444820020079865,0.0847833647295081,-5.346138257728,FALSE,25.6731627898551,26.5754038534693,6,6
"25","sp|O00418|EF2K_HUMAN",0.484356528689643,27.7596330409222,1.01982751134504,0.328338175967882,0.426409902159131,-7.08323560426247,FALSE,28.001811305267,27.5174547765773,6,6
"26","sp|O00429|DNM1L_HUMAN",-0.240635714281657,28.0606248610675,-0.575899111633036,0.575541750413204,0.664119818338513,-7.4455689318188,FALSE,27.9403070039267,28.1809427182083,6,6
"27","sp|O00443|P3C2A_HUMAN",-0.438248994466166,25.1700538678105,-2.04083216047619,0.0643773494588147,0.114787519989732,-5.69359535327412,FALSE,24.9509293705774,25.3891783650435,6,6
"28","sp|O00472|ELL2_HUMAN",-0.286217764249018,25.21687695954,-2.67418291363299,0.0205646419942236,0.0447095775774929,-4.60095405121602,TRUE,25.0737680774155,25.3599858416645,6,6
"29","sp|O00499|BIN1_HUMAN",-0.104680711076913,28.6466929838241,-0.726275619033497,0.481879531320436,0.577845133347826,-7.34332468833891,FALSE,28.5943526282856,28.6990333393625,6,6
"30","sp|O00505|IMA4_HUMAN",0.662256531685037,29.0054286542443,0.655995560315122,0.524457797580752,0.618084852100049,-7.39384301552789,FALSE,29.3365569200868,28.6743003884018,6,6
"31","sp|O00512|BCL9_HUMAN",-0.559262877784937,25.9423903461843,-3.71346323941055,0.00306319416268111,0.00964620770484051,-2.69002664312132,TRUE,25.6627589072919,26.2220217850768,6,6
"32","sp|O00566|MPP10_HUMAN",0.701584108851541,26.7158138441822,2.79386617017548,0.0194204105950218,0.0425871460712631,-4.36248649808859,TRUE,26.9964474877228,26.2948633788713,6,4
"33","sp|O00567|NOP56_HUMAN",1.16482056142425,31.0119875157394,1.41408374365534,0.183268575530866,0.26762032569704,-6.62324969127612,FALSE,31.5943977964515,30.4295772350272,6,6
