"","1_TechRep1","1_TechRep2","1_TechRep3","1_TechRep4","1_TechRep5","1_TechRep6","4_TechRep1","4_TechRep2","4_TechRep3","4_TechRep4","4_TechRep5","4_TechRep6","10_TechRep1","10_TechRep2","10_TechRep3","10_TechRep4","10_TechRep5","10_TechRep6"
"sp|A0AVK6|E2F8_HUMAN",NA,6651657.6658133,6827462.8120612,6741362.16404654,NA,NA,4693069.16381541,2780644.740298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",38741854.1631145,59988705.1436309,89693197.0710436,49875272.160012,54386051.236311,53445133.6982998,75406212.7363273,70921653.9214111,57244642.1090399,51215578.6621279,54521106.1269537,41540841.393452,24242248.7515796,25463143.5621506,16707219.0636759,19672551.8376361,20840300.4486648,36597097.6460666
"sp|A0JNW5|UH1BL_HUMAN",12129411.9555117,12315231.2692159,11421206.3223139,11848025.9971926,7796432.54113736,10322443.8782931,8923024.45155166,7265218.94353589,8472682.27670795,9615148.16152674,15419247.7761241,10401454.12537,11634981.5684399,13541830.5617065,9923909.38570854,5782399.95927228,8523555.40683137,5601781.29503985
"sp|A0MZ66|SHOT1_HUMAN",99823316.9526666,103303823.128818,104306780.593793,96062986.1705582,92560704.7279317,96066116.1246074,84633542.3446869,81652128.3350896,84996854.1249676,83099474.8523615,84028044.5892931,77632114.2912197,69588496.054029,70854301.78475,66782331.5188943,61206152.7740325,61421832.3457557,66419870.0429216
"sp|A1L390|PKHG3_HUMAN",42252732.388356,27883305.2178161,27304182.0862537,23677534.0923221,26025507.2756787,NA,18998363.7359573,20451317.1514702,17226297.1395139,14602325.4299643,20586692.1485795,15312294.952956,18007231.3370428,48060845.0335805,46447821.7002854,46331537.9784697,43409192.0061171,22434728.0018104
"sp|A2A2Y4|FRMD3_HUMAN",36557126.5193256,41000680.3303602,49609419.1369252,41579664.977358,40222553.2484563,40756793.2414161,29514365.0492542,29127266.2846223,31099225.8724339,29694437.4295787,31523456.4418322,33527177.5082043,23997461.7182524,26656029.9796274,26724054.9907558,26920919.4128685,31679658.361483,28006059.030207
"sp|A3KN83|SBNO1_HUMAN",89590924.3655394,78420542.605927,80896762.1953804,74423861.4022038,64919310.5047885,76193187.1883468,59510565.2293048,61090498.985938,55847756.7946949,59102593.0039458,34916159.0910228,59949435.2708853,51141659.6687924,51389557.5114264,54208937.3616568,49152033.6444448,47925724.7578524,48136734.163221
"sp|A6ND36|FA83G_HUMAN",29236868.2061807,24137791.6321198,19976017.3649469,21812638.4244043,18937177.5892973,19528242.7232088,15427074.6113111,15719652.0879546,18016528.5753968,17587566.7661342,18512164.7532399,16570416.7930484,13498893.8011475,11149834.3540053,8589061.22132315,12191324.4572387,10407808.5212276,14450561.3860881
"sp|A6NHT5|HMX3_HUMAN",NA,2244292.98568715,28569040.601959,NA,NA,37678609.0789782,30340837.1652811,55753740.7741083,6772598.93901161,50959111.6585424,28976961.8508199,55195093.1348388,18687995.049283,22145818.7433295,NA,22780304.743524,25449341.8401012,12825539.5047562
"sp|A7E2V4|ZSWM8_HUMAN",15893574.6058233,146581613.611833,105366522.772382,222170264.621613,117371393.496363,229713166.898606,184387794.193782,178796943.857864,185221171.905719,174849937.332918,178504856.839243,195366613.687809,6960930.8811174,11851556.0215747,NA,NA,NA,NA
"sp|A7KAX9|RHG32_HUMAN",48742210.3179941,111642967.238566,62895220.0741549,53656553.2132753,51646723.7771665,53807764.8180075,88312902.2728131,48127111.9355241,84445272.0307891,84941391.6059757,82177039.0064569,92584253.1571453,66149302.1413091,63901609.4215541,61904984.9868727,69239474.5353791,66640173.0415151,69142950.6881756
"sp|O00148|DX39A_HUMAN",16078637.2794432,12613794.4291166,NA,NA,21891065.0962686,NA,NA,NA,6547362.65233911,12916411.4641632,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00159|MYO1C_HUMAN",24241845.1771701,17979575.2132724,19015792.4655312,18398029.750719,18047122.6720848,16654389.1108016,7839416.96860801,19266913.1458921,17329149.3611666,16222400.5751592,12509776.1525971,12975709.7788658,16566787.9453055,16677716.1528585,12642884.2622635,17387040.1693336,17833090.8478338,15786443.3154269
"sp|O00178|GTPB1_HUMAN",156272699.516348,29376805.2033886,4498097.02098392,24096296.7316536,25521188.7382536,149615169.075951,22457135.5572127,19565430.090235,34535917.8960057,35599061.9766729,NA,19905222.6293045,29986561.0870512,266619970.130171,293686225.846398,16108000.6834152,29019327.0323049,32552887.7405358
"sp|O00193|SMAP_HUMAN",213293200.104806,1737189551.6203,1716709032.41237,530446758.260607,1718730295.40035,1879565307.73431,2305520739.66809,2380730188.99176,1480341457.9025,2343478039.09169,1651631104.23061,1519591726.35065,455991155.538669,1475250838.46714,1421081632.24136,1423687105.73532,392824941.299026,1407645220.64134
"sp|O00203|AP3B1_HUMAN",608271459.501459,553517769.428838,510193041.846831,497612369.30614,490830699.242984,499331812.162351,500239821.740817,486463863.731673,455902550.104415,480775645.954406,492105588.584255,459767415.742428,447498362.983125,459216964.966116,433769731.318894,467748654.704638,430703589.732305,435626377.75516
"sp|O00232|PSD12_HUMAN",26509601.7967069,155417950.31158,16173433.8086288,13958887.619307,10242790.7780053,10525680.9454494,NA,15599457.3260418,NA,12676038.4565533,6716377.48535954,10954973.7819616,NA,8267343.37558772,NA,9760174.99575479,NA,NA
"sp|O00257|CBX4_HUMAN",36666878.2468543,32850145.4487057,29490123.3738584,26738347.7078415,28203002.1184326,27630662.5500245,23093889.2766617,24332059.3037627,23465490.910633,22290626.3088406,25762350.0429548,24563748.7859355,18903786.0535907,17359878.2216999,14646912.8063687,22195934.0144924,24389997.9785289,24458613.74494
"sp|O00264|PGRC1_HUMAN",7780524801.8155,7431996011.41589,7458411512.71108,6010015418.36205,5996458866.76373,6030221815.27065,5932931787.7288,5181707618.72176,4739777063.1354,4970278744.12299,5449297936.56486,5180484471.98164,4942501068.48578,5176809246.28222,4677515663.65592,4213475727.3309,4019686284.98291,3811599753.45807
"sp|O00267|SPT5H_HUMAN",76053326.6165003,57526381.0812712,49104553.3411729,57687518.2452982,60253423.956584,29576414.5447049,41878557.0108638,37247517.2572624,42943248.5923759,35076554.4162922,29864574.817505,34804685.167827,24499066.0043574,20627920.0471282,33297727.6352851,33474041.3641161,26165165.5913578,37528438.2545498
"sp|O00273|DFFA_HUMAN",1671911555.74406,1311592715.84856,1254753710.39663,1201219623.43485,543573316.397719,1065002705.6698,1041697298.79221,499332768.56852,986746693.137233,1042031514.75934,1060952705.39836,937585607.184347,853046639.762905,895854539.417023,797566819.993083,836714809.683167,798519249.021307,866628008.407017
"sp|O00299|CLIC1_HUMAN",79803984.7043413,72666340.7814685,63652181.5782239,88018177.2083538,67345701.1020782,100786913.318213,101591096.987141,91781347.1214417,112313527.930724,92499214.486418,88718510.7510105,101156711.433853,84093106.8625863,71644621.1285789,74718450.5064613,62379953.0696102,74588151.7839217,73536688.9070616
"sp|O00401|WASL_HUMAN",197602756.500493,245165312.999023,250912321.190918,234340953.502912,228725597.725511,228450509.650052,215286906.634922,115894866.699732,123977133.933571,121050331.698092,129636764.074975,109166478.56234,135094397.212462,129317762.005249,124293873.688799,136006332.070487,133010904.344355,128825194.26207
"sp|O00410|IPO5_HUMAN",191727153.067521,38798226.6335527,117669754.614478,100142393.307751,98070370.3871396,85392234.8609057,75726641.4215092,22467845.9511481,59039752.5911649,51389166.8772164,81579044.6732455,59077471.4303321,29487135.2092026,56426806.7479352,10624476.836759,21765993.3443289,10672819.8161321,11188502.8691647
"sp|O00418|EF2K_HUMAN",39887387.2375374,299966589.734484,166994098.732892,298530628.699712,305786805.362949,183991377.10595,319122975.595918,317522805.622741,301617560.271218,295657507.988209,312867406.55409,162718392.154808,217739626.569459,253099030.766462,26955441.2256465,246700225.151835,471923536.674,254650808.159428
"sp|O00429|DNM1L_HUMAN",749592380.616807,228017182.487936,241761467.21225,290162451.588915,182209283.665566,210073242.966848,164699732.269592,415407798.361352,190288953.202072,594034399.880322,280698377.792817,161523767.111922,1210274630.24539,1276981210.90495,1216986747.72893,692285802.412381,653470867.24348,1289665896.49149
"sp|O00443|P3C2A_HUMAN",85750801.5448747,41081416.3577831,37950789.3092502,37439782.4045997,38548536.1004758,38309677.7311793,29136694.2456541,32115456.7909263,31018476.5978003,29791090.6018025,32101984.9077091,43788107.8878231,19043873.5905943,18188460.551507,16852547.3824103,18260389.7965101,23287166.3829787,18259133.7007888
"sp|O00472|ELL2_HUMAN",54172388.4575814,42330640.9559494,42145793.2897162,42289241.5981293,39043093.6492356,40282153.7710168,42650122.5012581,34318646.7082696,32847908.9874015,33278903.5763878,36231777.5451086,33960594.077776,27492539.4444704,26389997.4270523,26627668.3805991,22907700.2600013,22766608.914047,24956483.0154819
