Raw.file	Condition	Experiment	TechReplicate	IsotopeLabelType	BioReplicate	Fraction
20191219_HepG2_sp3_LFQ_BaP_BP1_F1	BAP	BAP1	1	L	1	1
20191219_HepG2_sp3_LFQ_BaP_BP1_F2	BAP	BAP1	1	L	1	2
20191219_HepG2_sp3_LFQ_BaP_BP2_F1	BAP	BAP2	2	L	1	1
20191219_HepG2_sp3_LFQ_BaP_BP2_F2	BAP	BAP2	2	L	1	2
20191219_HepG2_sp3_LFQ_BaP_BP3_F1	BAP	BAP3	3	L	1	1
20191219_HepG2_sp3_LFQ_BaP_BP3_F2	BAP	BAP3	3	L	1	2
20191219_HepG2_sp3_LFQ_BaP_BP4_F1	BAP	BAP4	4	L	1	1
20191219_HepG2_sp3_LFQ_BaP_BP4_F2	BAP	BAP4	4	L	1	2
20191219_HepG2_sp3_LFQ_BaP_BP5_F1	BAP	BAP5	5	L	1	1
20191219_HepG2_sp3_LFQ_BaP_BP5_F2	BAP	BAP5	5	L	1	2
20191219_HepG2_sp3_LFQ_BaP_BP6_F1	BAP	BAP6	6	L	1	1
20191219_HepG2_sp3_LFQ_BaP_BP6_F2	BAP	BAP6	6	L	1	2
20191219_HepG2_sp3_LFQ_DMSO_BP1_F1	DMSO	DMSO1	1	L	2	1
20191219_HepG2_sp3_LFQ_DMSO_BP1_F2	DMSO	DMSO1	1	L	2	2
20191219_HepG2_sp3_LFQ_DMSO_BP2_F1	DMSO	DMSO2	2	L	2	1
20191219_HepG2_sp3_LFQ_DMSO_BP2_F2	DMSO	DMSO2	2	L	2	2
20191219_HepG2_sp3_LFQ_DMSO_BP3_F1	DMSO	DMSO3	3	L	2	1
20191219_HepG2_sp3_LFQ_DMSO_BP3_F2	DMSO	DMSO3	3	L	2	2
20191219_HepG2_sp3_LFQ_DMSO_BP4_F1	DMSO	DMSO4	4	L	2	1
20191219_HepG2_sp3_LFQ_DMSO_BP4_F2	DMSO	DMSO4	4	L	2	2
20191219_HepG2_sp3_LFQ_DMSO_BP5_F1	DMSO	DMSO5	5	L	2	1
20191219_HepG2_sp3_LFQ_DMSO_BP5_F2	DMSO	DMSO5	5	L	2	2
20191219_HepG2_sp3_LFQ_DMSO_BP6_F1	DMSO	DMSO6	6	L	2	1
20191219_HepG2_sp3_LFQ_DMSO_BP6_F2	DMSO	DMSO6	6	L	2	2
