"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12"
"sp|A0AVT1|UBA6_HUMAN",23635974.4937411,25558926.2893249,24580243.9823141,26738265.01052,26446017.3281003,24193537.0487503,20231995.5402635,13801065.0935619,17347990.1702813,16002237.2174884,25103876.3310768,21186473.9355955
"sp|A0MZ66|SHOT1_HUMAN",27300620.2675211,30511947.938237,38955715.9130685,29871086.8976285,31952049.2017624,29340909.365533,22128483.872464,49834053.8658332,37807473.964987,44249065.2031726,31800028.7282102,29000085.0469023
"sp|A1L0T0|HACL2_HUMAN",26678166.9348599,33690306.808475,30123623.6840798,34197418.0638487,NA,41782410.1839723,19292204.198853,23394742.1569466,25539019.7884349,22493434.6830043,30660691.3558343,24785104.561752
"sp|A2RRP1|NBAS_HUMAN",6996901.7163108,8043709.55129151,4280150.92273955,8012870.07620708,8638476.93255954,7239276.89809831,7379173.07716104,6067222.83304952,6933564.80558155,5924212.88300074,9043597.79344976,7167043.960016
"sp|A4D1E9|GTPBA_HUMAN",8137470.19644713,8987943.40919207,11219989.6584075,7086678.64910632,8535478.039088,7915578.89856582,9599865.47129972,10370995.6538853,10814077.3333903,11907624.1308657,8275485.042485,8902021.11387346
"sp|A5YKK6|CNOT1_HUMAN",16299644.8932344,18861257.4435208,15577867.8113459,17960395.426575,16422055.5634274,17888417.8012188,16309215.4972436,15884254.1543471,16087822.3465216,16934494.5853846,17764242.5383562,16146164.6132446
"sp|A6NCS6|CB072_HUMAN",35734133.8491436,35663948.9313029,42167375.7743213,33503660.1646351,37550861.116084,37496609.9423774,NA,46575369.2030589,50575723.9895557,50468747.5245277,35748007.455024,42295854.3614818
"sp|A6NDB9|PALM3_HUMAN",7405332.96149919,7971768.09853849,10427215.8781765,8491724.60413814,7243428.46309195,9144361.99424396,NA,NA,NA,11445408.668202,6792232.49624966,7768363.40750783
"sp|A6NDG6|PGP_HUMAN",65213503.5269764,75368316.6514862,67256531.8250354,72305701.4788173,65897848.392443,75504565.3489222,61451634.8841029,59907646.5619089,66781831.50076,60568092.821009,76233132.8437482,59108410.6607802
"sp|A6NDU8|CE051_HUMAN",14327677.784584,11703140.1249898,15272494.1842716,9517032.75509245,10109744.5188694,12510047.492558,NA,18547572.8686455,15091503.414603,NA,NA,11679315.4505359
"sp|A6NHR9|SMHD1_HUMAN",29121563.4461093,32599740.2446394,30516660.9566828,32208833.9421703,29912077.5578718,31047772.3025919,26956408.6734738,27473716.4188269,28585034.8339757,28289726.7346089,29831041.5627838,27682216.7733026
"sp|O00116|ADAS_HUMAN",46762661.2046706,36032590.4761612,65954198.2898033,18477317.2100229,35665131.9113252,48748227.6105971,49889200.0575288,14878489.4701327,51477036.8869859,48557894.6787478,38726678.444157,37619576.3519726
"sp|O00148|DX39A_HUMAN",9323140.30496715,11433491.696173,8023222.63744686,11327701.3789389,11053726.4991248,9180382.28524655,10103377.728761,6696295.00300003,9390659.44155831,7638012.31188842,10607481.4163247,11295993.0499732
"sp|O00151|PDLI1_HUMAN",33584055.0458808,38542393.2464537,43449597.6138834,32533158.6241424,44028915.4501893,32589753.4655642,20520255.679464,41301955.3745593,51772486.3263405,46910091.3167128,42349214.3749894,40395312.069508
"sp|O00159|MYO1C_HUMAN",35066815.2623731,36864208.4756629,28499439.2842771,38821388.107355,37349789.1117987,42242209.6814928,26141348.8233139,25510608.0745537,29673333.0514937,26118672.9734965,32945600.5003713,22722811.8094698
"sp|O00161|SNP23_HUMAN",14898204.7148341,21228810.2264814,15272494.1842716,14121435.5819499,20574818.9979862,21272296.7836471,NA,12607597.6632161,16294069.9126092,14668087.1266257,19200750.5661188,14613700.0706577
"sp|O00170|AIP_HUMAN",61557175.22662,52681522.7573557,56519594.6553793,56261278.0833749,54691972.6918249,54698520.8633188,64962094.7239595,59606859.7385809,57376467.6253485,61378919.0993484,55799788.512777,53058419.1845695
"sp|O00178|GTPB1_HUMAN",11947835.3315197,12400864.5426589,8474999.69903292,12542912.7909241,12842510.7714257,14311525.9041374,13613902.6189458,10249778.3180279,10273405.5862757,9368444.37148478,12821047.1253306,13006640.6380908
"sp|O00186|STXB3_HUMAN",59563374.7824965,59410485.5424525,48886884.5113246,52434312.926521,51988057.7781581,59096430.9761818,52821993.026266,41931180.8895666,45452957.3069372,43740576.2073065,53350031.2581808,45342358.0283825
"sp|O00193|SMAP_HUMAN",421245564.771688,370359774.099289,433194751.306697,473350290.950971,362876274.414395,368371140.860702,487791016.764578,462975552.855703,423639538.926972,404689402.481334,408834743.955532,347360534.945929
"sp|O00203|AP3B1_HUMAN",39367848.2435863,36555050.9036844,32245958.9114186,44321599.6188088,39613696.3632703,34919595.5288953,38163286.2983053,38835813.3389373,42623721.8109912,39507509.2744502,39931260.5680953,32284525.784047
"sp|O00217|NDUS8_HUMAN",69698298.574633,71649277.3971216,84726714.0748152,38457511.4099369,86623562.9156979,64103582.0643252,63782808.9698032,90873797.7468105,75477256.2974894,86442989.972595,75020083.8265458,84653942.747278
"sp|O00231|PSD11_HUMAN",210624111.559627,202149337.345136,183652311.093687,210731979.82754,189059319.720423,203773764.269114,211288097.081178,167800186.859287,173870201.467642,179235207.367885,182775281.24874,178292570.148378
"sp|O00232|PSD12_HUMAN",110190176.069008,102850441.667619,108410434.052,108356971.18771,99967898.5963877,114581652.674396,103062672.372723,94008646.3064724,89983508.7809867,99209567.7247335,103343822.009182,77097876.2850546
"sp|O00264|PGRC1_HUMAN",24657185.1917696,35481316.1193463,22456424.0186246,31248653.3903272,45866101.8780685,33816889.0465566,8910668.66686933,NA,34719966.8154741,17777782.5296132,27217083.6608071,33500772.3770355
"sp|O00267|SPT5H_HUMAN",24371654.0427352,22576723.8924454,25040269.6081754,24015488.3987906,20835964.4721701,27831904.9986253,19578820.6423621,25291313.5306604,19533315.4818489,22996585.0917475,25047206.103185,18361060.378807
"sp|O00268|TAF4_HUMAN",8667676.50379058,10071154.5811232,9249026.4347394,8844335.71571086,11178810.1538686,10568885.1098114,3927383.19722335,8415507.38901866,8152569.76171828,8607380.01755739,11118904.5127893,9075234.04341538
"sp|O00273|DFFA_HUMAN",41392008.3696749,41514468.363487,56809349.6915131,44280010.7839592,43202284.9128238,42519742.8389414,43088031.8646137,55693405.442017,51899872.0649999,52261304.9970343,45159629.7516799,48134069.5709584
"sp|O00299|CLIC1_HUMAN",799000003.320153,747788296.372124,719058097.583047,848278368.359625,734374738.687729,758174841.060565,903200000.164299,678297526.114904,678859063.965226,687950882.719542,709459954.573814,742566768.681308
"sp|O00303|EIF3F_HUMAN",138555818.451233,109876725.78811,127222914.94212,132683931.488759,107827864.141771,135041037.331881,149321548.817412,132121160.087877,121462574.082057,139766742.071904,115750507.637107,107162004.4131
"sp|O00330|ODPX_HUMAN",70147367.892388,79912894.9892731,74361391.9253117,66103323.4240352,79694598.5203645,64498749.0686412,54279463.1601095,72227097.2578052,80592286.0873503,80744320.7327769,79932347.8115355,103411513.339738
"sp|O00338|ST1C2_HUMAN",7225642.7501113,7386470.96635042,5488615.61068887,10372202.0505329,7846751.23736347,9170118.29698506,7242517.07406936,7129896.57690485,5555131.84356657,6324925.05800799,8126062.54821456,6998247.32994037
"sp|O00401|WASL_HUMAN",6201124.63319271,7590969.18476794,9185547.95219039,5195412.17954472,7613250.3854718,7387896.84438155,6716063.67400478,7574234.20086791,7521558.20314381,10536006.7301105,7068842.22687378,9601535.84678739
"sp|O00410|IPO5_HUMAN",56228703.7655673,54024846.5867454,50859862.0427494,54702211.9909522,52324961.0854471,55022125.8568095,56885725.7375108,51415588.2277255,51912881.21314,53388044.3112779,54352126.183988,43706375.601765
"sp|O00411|RPOM_HUMAN",472366.747634181,940937.441281969,738347.453949825,741612.16532467,1291565.50500478,1207502.4074691,1266149.02178278,NA,1152427.10128875,1397972.73368413,1009515.65377988,1242731.84252876
"sp|O00418|EF2K_HUMAN",6077428.4857221,6330644.36270924,8140329.21347602,12689741.0510469,14274857.0891601,12510047.492558,11459449.1073852,9465976.920965,8375706.11480278,11563545.6598023,7518195.53017959,8014105.20606442
"sp|O00422|SAP18_HUMAN",159199490.091776,166998899.648265,180480978.408727,135958456.701839,172505423.537329,152610144.920788,53985459.4458914,163716601.388728,156360650.377525,164536532.14306,164281350.457836,131485746.866792
"sp|O00425|IF2B3_HUMAN",142185531.261069,144594380.396427,122058424.055472,139771256.991144,141349014.604989,136706117.50523,129205244.813457,118496518.623375,130978899.527037,124327426.108828,139517038.507937,140250038.416989
"sp|O00429|DNM1L_HUMAN",31763111.5866711,32177696.5545747,30335222.2072778,32809476.6051739,29798575.3135767,31330290.5366567,33559850.2940447,27847786.0078143,28290884.3226843,27057921.2777998,31858573.0695091,29597912.7202308
"sp|O00442|RTCA_HUMAN",68119690.2109621,69146310.2300167,59084702.1174455,68490989.961414,64005240.695665,64193535.8257943,61051111.3737776,52811839.7470795,57096428.7287558,51631012.8858653,69112041.956024,57506920.2687856
"sp|O00443|P3C2A_HUMAN",5865859.78918306,7112879.95704571,4413260.78448104,7086678.64910632,7091717.87577687,6747494.40170685,NA,5873115.60052232,5236990.65647336,5428430.93688683,6780355.03646502,6293257.17612623
"sp|O00462|MANBA_HUMAN",21901109.1435914,24795174.3054948,18292348.0203852,24973541.3778177,25171163.1990821,28562857.6025533,17278758.8016068,22340000.9676439,19411559.4592597,15764958.0724446,22836018.4158602,19399984.9278596
"sp|O00468|AGRIN_HUMAN",32518618.529969,31732287.3059976,32485168.8010336,33024946.887561,32906105.4104735,33143535.3192337,36955966.7276305,38328461.6298902,39072366.7782062,39204297.3486658,36668044.8584521,34151187.1951402
"sp|O00469|PLOD2_HUMAN",86835254.2786364,87750274.0309916,86173761.8599485,84630468.1668969,94267427.8921869,90669232.8558556,75767993.3643423,83256696.537464,89148219.8364899,85966429.8429806,95830371.0213292,87473732.5312747
"sp|O00471|EXOC5_HUMAN",4711066.43943515,NA,5976678.95705349,6236068.34315744,5224925.82842367,NA,7000371.16826642,6449485.07307592,5888509.33712985,6820695.52512567,5609461.96514179,6924069.45427394
"sp|O00487|PSDE_HUMAN",142083333.657133,135986995.545234,118659112.235798,142494481.680302,141092028.789113,160285285.663251,142674059.987565,780195782.899947,110768045.274219,114499949.240389,135755054.84765,96514559.8979113
"sp|O00505|IMA4_HUMAN",148207669.244145,117492986.137594,121220788.936409,169852319.362177,NA,NA,145253421.552798,144299483.004889,133432974.432338,150270871.961993,156335211.072884,161471833.501978
"sp|O00515|LAD1_HUMAN",36157334.3370381,38895317.9789928,44270591.3239578,36204738.0509156,45257836.9573935,40634087.6351258,28219526.6781211,46764477.9342088,44593970.5083226,49226069.0693186,43751993.5962107,37322773.8873799
"sp|O00541|PESC_HUMAN",31195233.8105566,29846371.9028305,30900979.6029643,31275052.5122275,29748802.5227664,34079677.1809038,43719232.9345034,34053397.9330494,27291579.4947891,34912289.1326685,34232754.997744,35459770.2991304
"sp|O00560|SDCB1_HUMAN",48197115.6766262,44289325.1910097,40464885.9722128,46140510.7605149,38857904.2029093,55132463.4349582,38938041.0831613,NA,40582039.8735841,NA,51314319.2089621,33005750.5207034
"sp|O00566|MPP10_HUMAN",39393412.0439191,42921714.9907588,47400693.1808889,37137428.8600313,41040107.0917782,44486716.2260803,37271267.9057176,41969383.616831,37437727.6391334,38335428.4169598,43143223.1386129,38917053.0249739
