"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12"
"sp|A0AVT1|UBA6_HUMAN",22331105.0268156,16587500,29118660.4535966,28910000,11517806.4438929,24092691.9618093,15200470.3832375,23516088.7156306,20140273.5063585,21166088.7156306,23570000,17521082.5015264
"sp|A0MZ66|SHOT1_HUMAN",26100000,22361226.6448446,42040000,30561212.9929266,20962238.8872637,28194505.0544263,16564895.7689122,50464090.6955671,39442845.8228242,46942558.8918718,30250000,24900522.9832182
"sp|A1L0T0|HACL2_HUMAN",25350000,2.6e+07,34490000,3.5e+07,NA,40600000,13800000,35300000,28500000,29700000,2.9e+07,20650000
"sp|A2RRP1|NBAS_HUMAN",5650000,-4500000,10920000,10370000,-7855000,5670000,950000,23120000,10990000,15570000,7230000,1950000
"sp|A4D1E9|GTPBA_HUMAN",6640000,-3400000,17030000,9320000,-7955000,6480000,3400000,26030000,14500000,20550000,6460000,3810000
"sp|A5YKK6|CNOT1_HUMAN",14940000,8125576.98476094,21182803.3950553,19708571.4285714,2468998.19931316,16307799.6043841,10627251.9686434,30655029.9464062,19571428.5714286,25450296.7083594,15814285.7142857,11553026.0283378
"sp|A6NCS6|CB072_HUMAN",34650000,28300000,44890000,34300000,29545000,36500000,NA,51700000,51300000,5.3e+07,34600000,39550000
"sp|A6NDB9|PALM3_HUMAN",6080000,-4600000,16400000,10810000,-9455000,7900000,NA,NA,NA,20170000,4790000,2450000
"sp|A6NDG6|PGP_HUMAN",64550000,77100000,66690000,71300000,65345000,74800000,60300000,60900000,65900000,61200000,76100000,57450000
"sp|A6NDU8|CE051_HUMAN",12850000,-2e+05,20890000,11700000,-5955000,11400000,NA,31800000,18600000,NA,NA,6850000
"sp|A6NHR9|SMHD1_HUMAN",27792000,25036444.4573089,34376000,32805057.8860537,18382651.9406288,29769348.2212297,21640007.147764,39109777.7369376,31996010.5594934,36132028.9966535,28804000,23770000
"sp|O00116|ADAS_HUMAN",45750000,28700000,65290000,2e+07,26945000,47800000,47100000,29330000,52200000,51200000,37400000,34250000
"sp|O00148|DX39A_HUMAN",7905000,-1256795.55427909,14349368.3944505,13347500,-5808407.37389492,7858550.56803171,3652656.69790418,24224361.87073,13327500,17239322.8184765,8662500,6159824.40156638
"sp|O00151|PDLI1_HUMAN",30561172.7523508,32075312.5632485,45740000,32917500,35098772.0658268,30390000,15103649.4512518,49971124.5390278,51922500,49634438.4664777,41805413.118472,39098910.4583664
"sp|O00159|MYO1C_HUMAN",33870000,29367056.0867911,32955921.0615453,39796237.6047119,28461863.9343042,41200000,21020000,37249248.4313644,32140000,32669574.2976148,31500000,18409573.8160518
"sp|O00161|SNP23_HUMAN",13450000,10800000,20890000,15800000,7645000,20200000,NA,27740000,19800000,2.3e+07,17400000,9950000
"sp|O00170|AIP_HUMAN",60915921.3379662,49475000,55670722.774386,56695356.2435222,50920000,52728862.8973086,63794628.0094285,65324472.1911311,57625000,61202962.7604724,56157867.5749964,52237999.4118505
"sp|O00178|GTPB1_HUMAN",10500000,599999.999999999,14740000,14300000,-2455000,13250000,7750000,25975000,14105000,18380000,1.1e+07,8200000
"sp|O00186|STXB3_HUMAN",58850000,57400000,50590000,52300000,47845000,58100000,50500000,48400000,46800000,47300000,52700000,42950000
"sp|O00193|SMAP_HUMAN",426900000,429750000,394140000,457350000,435395000,367417907.704882,532650000,353250000,392850000,350150000,418350000,365450000
"sp|O00203|AP3B1_HUMAN",38315000,29660000,32260775.9717595,44625000,31640000,33735000,34890000,45936000,43855000,43400000,38815000,29050000
"sp|O00217|NDUS8_HUMAN",69050000,72600000,81990000,38900000,91845000,63400000,62900000,81800000,74030000,82100000,74800000,84950000
"sp|O00231|PSD11_HUMAN",214978571.428571,222325356.331411,170132857.142857,209904475.693693,217430509.104546,206731731.474705,230101949.203751,153175892.842668,168463338.434846,169591251.957587,185304285.714286,184313044.610833
"sp|O00232|PSD12_HUMAN",110412500,109150000,103315000,106329047.781371,107845000,115019518.558392,107518482.424071,85559992.4995262,87287500,93775000,103027500,77321624.9857079
"sp|O00264|PGRC1_HUMAN",23350000,28100000,27590000,32200000,40045000,32500000,2620000,NA,36700000,25700000,25500000,29950000
"sp|O00267|SPT5H_HUMAN",23130000,11895382.5423016,29963564.6087168,25220000,6690386.91111328,26938859.3319545,14609633.1709741,38855477.3733191,22608205.9700433,30521631.6965077,23447846.7257502,13980009.4302306
"sp|O00268|TAF4_HUMAN",7125000,-2100000,15295000,11119260.3764023,-4504260.37640227,9330000,-2360000,24680000,12145000,17720000,9350000,3945000
"sp|O00273|DFFA_HUMAN",40713333.3333333,35836666.6666667,61626666.6666667,46120228.8631536,36155000,41303333.3333333,43112704.0613273,64183333.3333334,54996666.6666667,60926666.6666667,43686666.6666667,45696948.4543124
"sp|O00299|CLIC1_HUMAN",797160000,854321142.641631,660076326.447468,816210000,907706435.575812,778896821.774255,987471171.843872,534590329.896995,633263563.887194,611361425.408758,720190000,767126885.984266
"sp|O00303|EIF3F_HUMAN",141550000,117400000,119990000,128900000,118145000,133100000,162800000,111500000,116500000,127100000,115500000,109150000
"sp|O00330|ODPX_HUMAN",70350000,82676735.123498,72966666.6666667,65333333.3333334,85122136.5543722,63906445.7361453,47206372.0836221,69836666.6666667,78733333.3333333,78136666.6666667,77216294.1810638,107727816.576738
"sp|O00338|ST1C2_HUMAN",5910000,-5250000,11970000,12420000,-8755000,7920000,770000,23850000,9680000,15840000,6270000,1850000
"sp|O00401|WASL_HUMAN",4890000,-5e+06,15370000,7350000,-9055000,5840000,330000,24160000,11580000,19440000,5050000,4550000
"sp|O00410|IPO5_HUMAN",55542055.1837169,47887594.5546151,52077178.272979,55299515.85653,45013056.0232713,54073415.4376535,54039459.0637752,55906097.8612883,52026821.5580013,55758637.778993,53455734.5326449,40473059.9197053
"sp|O00411|RPOM_HUMAN",-1069000,-13560000,8557000,3153000,-18105000,-351000,-5220000,NA,5580000,12252000,-1187000,-4300000
"sp|O00418|EF2K_HUMAN",4770000,-6500000,14400000,14400000,-655000,11400000,5400000,25410000,12370000,20270000,5590000,2720000
"sp|O00422|SAP18_HUMAN",160150000,185200000,168140000,131850000,197545000,150950000,65424223.1916304,135700000,148750000,149500000,164900000,134500000
"sp|O00425|IF2B3_HUMAN",143075000,156554215.264822,115801350.574226,135975000,156070529.486351,136031132.679042,135635688.952381,110702898.96358,124586808.325319,122599540.824607,139995043.927561,143102219.158054
"sp|O00429|DNM1L_HUMAN",30582857.1428571,24152857.1428571,33753298.7618823,33961428.5714286,20575055.2018539,30614223.1611062,29193875.3702138,39321662.6304328,30858571.4285714,33636171.5971049,30030206.8627555,25324236.112136
"sp|O00442|RTCA_HUMAN",67450000,69900000,59290000,67900000,62845000,63500000,59900000,5.6e+07,57400000,54200000,68700000,55950000
"sp|O00443|P3C2A_HUMAN",4580000,-5530000,11050000,9320000,-9655000,5150000,NA,22900000,9290000,15270000,4780000,1060000
"sp|O00462|MANBA_HUMAN",20550000,15400000,23790000,26100000,13745000,27400000,11600000,34600000,22600000,2.4e+07,20900000,14750000
"sp|O00468|AGRIN_HUMAN",31280000,23797208.5603649,36568686.2676559,33842283.1407014,23029038.1221379,32401751.5017324,32902187.5877732,46185467.6695866,40809859.4317462,43655398.8983543,35438564.1441788,30667501.3265474
"sp|O00469|PLOD2_HUMAN",87068576.8757031,89730992.6233188,82073298.8367741,83557795.0074279,98325993.9844176,89928826.1656303,78351133.8573828,77725340.254946,87185000,85803741.2342174,94738403.7854446,87501167.5423304
"sp|O00471|EXOC5_HUMAN",3310000,NA,12300000,8570000,-12185000,NA,610000,23360000,9970000,16240000,3550000,1750000
"sp|O00487|PSDE_HUMAN",142900000,149600000,112440000,137800000,146759741.203984,159150000,154200000,602200000,101585258.796016,106400000,1.36e+08,97300000
"sp|O00505|IMA4_HUMAN",150150000,126900000,114690000,1.65e+08,NA,NA,158100000,120120000,128200000,135430000,1.59e+08,165050000
"sp|O00515|LAD1_HUMAN",35116666.6666667,29028849.2892472,46545541.1200606,36847581.2540716,37154224.0050989,39003846.1066061,22448515.3100498,54330395.5665604,45683333.3333334,52648919.3325081,41935579.1710742,33283333.3333333
"sp|O00541|PESC_HUMAN",29983333.3333333,21700000,34890000,32233333.3333333,19345000,34497524.8523908,40466666.6666667,44540935.1804484,29187412.0390254,40990936.0852144,33847539.0233886,32316666.6666667
"sp|O00560|SDCB1_HUMAN",47050000,39200000,43390000,46300000,31345000,54600000,34900000,NA,42100000,NA,50800000,29450000
"sp|O00566|MPP10_HUMAN",38231666.6666667,36980758.4815988,49233333.3333334,37725000,34873718.0280482,43296552.8331794,32481666.6666667,49711774.1918727,39077611.429931,43533770.8773752,42241174.5522092,36093506.5455311
"sp|O00567|NOP56_HUMAN",225931183.079437,224481015.104469,238264923.4967,237586483.857372,232568589.540912,234461074.743452,259305946.843937,238860623.583569,229049258.190324,226889403.914746,240516140.077727,265579973.303085
"sp|O00625|PIR_HUMAN",24350000,17200000,26590000,2.2e+07,20345000,27300000,5400000,34200000,24300000,28400000,27800000,9750000
"sp|O00629|IMA3_HUMAN",29250000,17500000,31790000,20200000,14245000,20800000,3.2e+07,36800000,2.9e+07,39100000,21500000,25250000
"sp|O00743|PPP6_HUMAN",47450000,1.38e+08,45590000,86100000,NA,2.14e+08,52700000,46100000,36700000,43100000,96800000,67050000
"sp|O00748|EST2_HUMAN",73650000,79800000,45840000,75700000,57045000,44900000,52500000,44620000,48100000,40850000,6.2e+07,60750000
"sp|O00764|PDXK_HUMAN",44250000,34300000,47190000,45200000,28945000,36900000,80700000,50400000,47500000,49700000,35600000,48650000
"sp|O14497|ARI1A_HUMAN",11120000,4249999.99999999,20105000,15990000,2995000,15525000,6950000,28990000,15630000,23780000,14405000,9400000
"sp|O14530|TXND9_HUMAN",27525000,16803582.766752,32340000,30500000,16309090.7274603,30185516.0704448,18375319.5721292,41780158.0611313,32575000,37276871.6688882,28970321.5086985,19038695.5612132
"sp|O14548|COX7R_HUMAN",42750000,18100000,29090000,2.4e+07,15245000,2.6e+07,NA,32300000,24800000,47400000,22400000,15950000
"sp|O14562|UBFD1_HUMAN",80610000,84591751.3176157,92810000,74690635.5378319,101436428.644954,91217147.9775479,53724984.6902729,85520113.6286543,82105150.2075532,85367564.6866317,89834735.275479,79970000
"sp|O14579|COPE_HUMAN",126450000,120411215.854916,98417386.5518875,100780000,113227582.201888,112851928.904226,149500000,103764191.960125,120718979.043727,108528533.962198,111100000,104630000
"sp|O14617|AP3D1_HUMAN",77061822.5208304,76048614.1371998,79597142.8571429,75077873.5172866,74956596.5069105,82275902.1593626,68304224.5673019,82356619.0008666,74374411.3231699,79243484.3042025,80323809.7746295,73201280.0003132
"sp|O14618|CCS_HUMAN",19905000,12400000,24898866.8807138,23545000,16345000,14108866.8807138,12755000,38310000,27905000,33190000,21410000,26400000
"sp|O14734|ACOT8_HUMAN",17560000,14100000,NA,NA,14645000,NA,9940000,29530000,22700000,23610000,22700000,15850000
"sp|O14737|PDCD5_HUMAN",47250000,50400000,52590000,34700000,55045000,65100000,41700000,52600000,47800000,50800000,60700000,37350000
"sp|O14744|ANM5_HUMAN",161175000,165902339.097937,140528102.138646,159125000,180781512.462188,179702488.729752,149936705.610246,106216506.179409,130103372.276913,124369063.409725,147025000,133200000
"sp|O14745|NHRF1_HUMAN",129261666.666667,153200000,159918333.333333,132005000,203675399.607195,131256666.666667,109339280.799213,145879580.159216,161483333.333333,163519580.159216,152166666.666667,204579644.966108
"sp|O14773|TPP1_HUMAN",367250000,447600000,332590000,363500000,449045000,3.8e+08,376300000,244200000,335200000,296200000,384600000,393550000
"sp|O14776|TCRG1_HUMAN",43950000,43800000,51390000,42335000,39945000,54600000,33050000,39185000,41700000,44150000,43850000,39600000
"sp|O14802|RPC1_HUMAN",NA,-8650000,16230000,8970000,-12615000,3980000,3140000,26550000,10530000,17500000,3270000,660000
"sp|O14818|PSA7_HUMAN",340450000,354549902.633026,272218509.309819,335733333.333333,362995069.959182,3.01e+08,395619010.598459,214209429.945774,263306666.666667,276240000,2.85e+08,344335048.692489
"sp|O14841|OPLA_HUMAN",20300000,11050000,25215000,24275000,9500378.33477403,21346087.6987632,18678737.8497936,34262471.3319187,23325000,28678722.1056573,19575000,15143710.6745504
"sp|O14893|GEMI2_HUMAN",27640000,NA,35030000,NA,11775000,NA,25450000,41600000,28640000,39870000,23160000,20080000
"sp|O14907|TX1B3_HUMAN",29750000,25100000,44090000,39500000,34245000,42500000,14100000,47100000,40200000,40100000,41300000,22750000
"sp|O14908|GIPC1_HUMAN",23550000,8400000,26790000,21600000,6145000,19500000,27100000,NA,NA,33900000,19300000,16350000
"sp|O14929|HAT1_HUMAN",50900000,43650000,50640000,49550000,41635909.0909091,46550000,60250000,59400000,54100000,60150000,53900000,48600000
"sp|O14936|CSKP_HUMAN",16050000,6100000,26090000,18500000,545000,15100000,NA,3.6e+07,26300000,30800000,15300000,NA
"sp|O14964|HGS_HUMAN",56583333.3333333,47933333.3333333,62556666.6666667,44402966.342542,49978333.3333333,52352720.1353355,52680532.2828669,69366666.6666667,61146563.4237728,67879882.430742,52702903.48245,46230199.971696
"sp|O14974|MYPT1_HUMAN",48839789.408299,41331230.6251037,56145158.6794577,48420342.2460703,37642528.4223472,49524785.7822572,45610312.3435292,60833016.4763882,48334753.684469,53990450.6842332,47156648.842186,42232624.4485695
"sp|O14976|GAK_HUMAN",24516666.6666667,14150000,26156666.6666666,25966666.6666667,6345000,23300000,15950000,35300000,25200000,29400000,22650000,17700000
"sp|O14979|HNRDL_HUMAN",209403333.333333,289333153.271037,249923333.333333,225093333.333333,386032236.404009,240266666.666667,134348288.337844,195900000,248100000,216566666.666667,268700000,273811764.837647
"sp|O14980|XPO1_HUMAN",63795487.7060567,69571974.2627422,64221647.1251046,64533333.3333333,62131559.6158085,67223876.7663784,58235316.071036,58019553.3216999,61206304.9699244,63364281.9511851,70566666.6666667,56712302.3748867
"sp|O15027|SC16A_HUMAN",49470000,50781465.3491721,53734590.5455058,59134830.2305463,42462759.988378,53720000,45400000,61307746.6219458,51707717.5810171,55157744.1691354,53420000,48010000
