"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BAP","mean_DMSO","ngood_BAP","ngood_DMSO"
"1","sp|A0A2R8Y4L2|RA1L3_HUMAN",NA,22.4463100116726,NA,NA,NA,NA,NA,NA,22.4463100116726,0,1
"2","sp|A0AV96|RBM47_HUMAN",0.0140694680815086,21.4046685164201,0.0248370810258378,0.98072946509272,0.991217405684065,-5.98750273267907,FALSE,21.398415419495,21.4124848875765,5,4
"3","sp|A0AVT1|UBA6_HUMAN",-0.364893252716132,26.9565861916351,-1.98310523817376,0.0708041767508609,0.543529283451192,-4.38585110365003,FALSE,27.1390328179931,26.774139565277,6,6
"4","sp|A0FGR8|ESYT2_HUMAN",-0.944950958984719,20.5632996146863,-1.16843941228758,0.281106502840483,0.752487985349293,-5.14267816693485,FALSE,20.8332856029676,19.8883346439829,5,2
"5","sp|A0MZ66|SHOT1_HUMAN",-0.156855833819414,27.1258918774661,-0.438546293406576,0.668809395149656,0.912879221021834,-6.03127713558138,FALSE,27.2043197943758,27.0474639605564,6,6
"6","sp|A0PJW6|TM223_HUMAN",-0.227987044283262,21.6018091599382,-0.983175803725278,0.358470176655898,0.78428454055121,-5.3927035109688,FALSE,21.6995178932024,21.4715308489192,4,3
"7","sp|A1L0T0|HACL2_HUMAN",-0.553952870129623,23.0307766886106,-1.70549764072731,0.113919785257734,0.617225392924264,-4.79197205829093,FALSE,23.3077531236754,22.7538002535458,6,6
"8","sp|A1L170|CA226_HUMAN",0.535572254105308,20.6554755269887,0.841954461333005,0.421724503921394,0.805031400519364,-5.63287661770548,FALSE,20.357935385819,20.8935076399244,4,5
"9","sp|A2RRP1|NBAS_HUMAN",0.26582095518591,23.2944571080312,0.850343070006272,0.41183920547098,0.801624639622154,-5.76759619209903,FALSE,23.1615466304383,23.4273675856242,6,6
"10","sp|A2RTX5|SYTC2_HUMAN",-0.686982008790139,20.225249474996,-2.27462801290693,0.0573157935212939,0.522315962687738,-3.88093212700388,FALSE,20.5196703359061,19.8326883271159,4,3
"11","sp|A3KMH1|VWA8_HUMAN",-0.821502865030576,24.0817971264762,-2.92380954528184,0.0127926036954907,0.42929382401317,-2.84707613419183,FALSE,24.4925485589915,23.6710456939609,6,6
"12","sp|A4D1E9|GTPBA_HUMAN",-0.222790236834208,23.3476097808092,-0.947942219496196,0.361924850818026,0.785540725316271,-5.68294232228039,FALSE,23.4590048992263,23.236214662392,6,6
"13","sp|A4D1P6|WDR91_HUMAN",-1.44900135026788,22.5531692871353,-2.08543393333493,0.0707054415613197,0.543529283451192,-4.14942274113387,FALSE,23.2776699622692,21.8286686120013,4,4
