"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|A0AV96|RBM47_HUMAN",4627636.56685416,NA,3995455.71258375,6264331.10255191,5134186.44839476,5256038.76588178,4859274.55442189,4248520.53954348,NA,4250450.22024677,NA,6749151.58465481
"sp|A0AVT1|UBA6_HUMAN",49692776.9446779,178818494.798287,89945358.1268665,66305836.6158522,81219778.3253372,84097267.7007217,83639899.4805312,36437203.2975696,39093861.3502834,35180286.9043837,56403949.8368863,44813910.0709551
"sp|A0MZ66|SHOT1_HUMAN",53084777.2005033,63638889.8226373,69435204.3135297,53624822.0615053,69844436.330909,62212217.8363066,39443664.7855845,87475711.0802832,69295873.1566361,99025001.6296198,73068432.3867022,59739911.5629186
"sp|A1L0T0|HACL2_HUMAN",16290182.3233292,21438161.003508,17345988.5336468,17653239.1006252,15699548.0547231,22913193.5186281,10167126.7136067,16672491.7403439,17471886.2361787,14458202.5967813,16953516.7849608,17712945.0789852
"sp|A2RRP1|NBAS_HUMAN",5706364.5055367,7998611.6407332,6125040.94520457,8897961.74761783,14765659.7685849,8643482.82965686,62041850.6915178,11016286.9470473,9500034.89387484,14721434.5087731,10889458.2326563,9893205.33459018
"sp|A3KMH1|VWA8_HUMAN",13678232.7967345,17137644.3075507,9357529.60493512,17896982.3970079,15669447.587462,12340596.3455836,9322525.38754079,8482175.03476172,14262134.6839216,9442878.35014524,16455258.2861871,16086326.7650835
"sp|A4D1E9|GTPBA_HUMAN",9704791.65645172,16037083.4870299,9879419.61444656,10887138.8838556,24008014.9592586,11345507.615814,10022669.2023623,10197735.4606647,8140171.7196982,8527331.27250228,11368883.6886023,12184408.7814435
"sp|A4D1P6|WDR91_HUMAN",24834477.5748432,3341698.6252347,NA,20897953.4135177,19938912.1273515,10116653.0080641,24088531.6952568,36169183.9562549,17852268.6056044,NA,13573173.833889,8447000.09117233
"sp|A5D8V6|VP37C_HUMAN",NA,2961857.36504001,65571337.8263439,2165339.42345249,4822821.69547239,NA,NA,36221670.8272101,2391699.51198858,72188123.9882211,2551864.95426359,2660358.77860137
"sp|A5PLN9|TPC13_HUMAN",4274215.82326706,10137736.5205134,NA,7385330.31237517,4911422.16666119,8509804.09019317,6497879.24464194,3902035.84506603,NA,3232403.87422084,3757919.61154759,NA
"sp|A5YKK6|CNOT1_HUMAN",68556141.2346549,57514243.9395967,30496078.9813704,37215131.9791579,35596943.8240354,37861629.5961412,58012224.6427129,68053422.0812972,25504391.0148629,80536171.4251498,79536948.1796585,29970054.4470808
"sp|A6NCS6|CB072_HUMAN",48951448.2715861,36671497.3827044,39652991.4386078,33042717.6018063,18511668.7428197,17755620.2580294,121337091.884845,68823864.6511685,69493858.5835299,73602090.6381789,64269980.9935,52110090.6551536
"sp|A6NDB9|PALM3_HUMAN",4507429.30955934,6235127.91051545,7570660.46114581,9172723.05070886,3941779.91166563,8612347.83185598,NA,NA,5591243.37925548,6577115.63805767,4601810.55308208,6508038.52837623
"sp|A6NDG6|PGP_HUMAN",190877724.451543,609012539.502344,659682626.44442,589780413.881089,440777391.540603,40568559.0383968,160333582.014244,40534343.580998,522943721.710985,128247476.000105,553263358.212921,531251803.503003
"sp|A6NED2|RCCD1_HUMAN",14891368.692588,3436519.93221865,20774174.6231546,16694868.8972885,7608719.77742024,12075965.5851761,13297771.8620849,4099490.08255546,10848999.8158346,10904970.2532059,NA,NA
"sp|A6NHR9|SMHD1_HUMAN",75442008.394182,68855929.3981334,42641516.0981431,58415860.5284387,63122309.1951568,61148695.6462402,54182660.3973315,37071995.0999403,58203243.4168632,49308207.7181009,57470776.3540775,57525095.476127
"sp|A6NHX0|CAST2_HUMAN",6500875.67600453,5593459.08630348,5669358.42757754,8261590.55109654,5581027.23149781,3831524.73649166,5935723.92629747,NA,4275555.20380221,NA,4273158.06109316,4536926.13249971
"sp|A6NIH7|U119B_HUMAN",NA,NA,11408066.6686177,NA,NA,NA,27364266.1037575,11345247.2126228,NA,11473065.3753743,NA,NA
"sp|A6NJ78|MET15_HUMAN",7779826.60710592,7459092.17476606,9865362.81702732,8556325.2051538,6771203.37325423,10550946.4910874,NA,8601522.96071942,5885964.26748668,9517590.44625981,11320373.0238999,7375213.93618035
"sp|A8MXV4|NUD19_HUMAN",2099068.77941459,NA,2557212.29582322,NA,2395038.27299003,2075289.8916685,5288083.697988,1803890.39461063,3321507.74696679,NA,2181078.66474578,3763395.23641881
"sp|E9PRG8|CK098_HUMAN",102721885.941487,87363572.870809,121839720.309735,115832529.047297,95271473.6115837,117237735.734639,96516931.5272233,151790254.33437,107997008.150571,110891951.720113,119739492.805923,103438728.507293
"sp|O00116|ADAS_HUMAN",22714856.4486493,17538464.1722168,28183211.0526506,13615464.3552789,18881631.2399906,21721731.266325,32763390.8151179,14311150.7153523,34223578.685095,20138413.1246383,23664084.6284254,38602949.0664575
