"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BAP","mean_DMSO","ngood_BAP","ngood_DMSO"
"1","sp|A0AV96|RBM47_HUMAN",-0.00213572029784642,22.2323980200634,-0.0109637771515676,0.99150314049955,0.999184848328696,-5.7670343189919,FALSE,22.2333472290846,22.2312115087868,5,4
"2","sp|A0AVT1|UBA6_HUMAN",-0.840056384931113,25.9068070182161,-2.79720347637976,0.0166208618671875,0.5242343644172,-2.96008887122461,FALSE,26.3268352106816,25.4867788257505,6,6
"3","sp|A0MZ66|SHOT1_HUMAN",0.156426824081096,25.9560223831945,0.790650923121089,0.445044415299825,0.890378549830276,-5.59853881401201,FALSE,25.877808971154,26.0342357952351,6,6
"4","sp|A1L0T0|HACL2_HUMAN",-0.258374950009079,24.0061561529116,-1.56441331068287,0.144632010900398,0.71648470524679,-4.79471608045349,FALSE,24.1353436279161,23.876968677907,6,6
"5","sp|A2RRP1|NBAS_HUMAN",0.86694442510459,23.4062999687925,1.98473094073748,0.071387947063713,0.657993954776222,-4.21695467091761,FALSE,22.9728277562403,23.8397721813448,6,6
"6","sp|A3KMH1|VWA8_HUMAN",-0.237493259818804,23.6243903149416,-1.06948602571732,0.306644819070147,0.812202144902868,-5.35718163471218,FALSE,23.743136944851,23.5056436850322,6,6
"7","sp|A4D1E9|GTPBA_HUMAN",-0.363855585128997,23.4399936629168,-1.62288664885215,0.131511735995631,0.706839636383623,-4.71896101225072,FALSE,23.6219214554813,23.2580658703523,6,6
"8","sp|A4D1P6|WDR91_HUMAN",0.454190170931007,23.8574479362997,0.772854913912259,0.458259803682291,0.894576247174891,-5.52902350169408,FALSE,23.6303528508342,24.0845430217652,5,5
"9","sp|A5D8V6|VP37C_HUMAN",0.308740410153832,22.8740993864702,0.218597418341367,0.832076695099863,0.970819896815129,-5.74304967671103,FALSE,22.7025769363847,23.0113173465386,4,5
"10","sp|A5PLN9|TPC13_HUMAN",-0.680700874448665,22.3571349591776,-2.34149830643436,0.0452489653254778,0.59150609726999,-3.68558194806242,FALSE,22.6596686811547,21.9789678067061,5,4
"11","sp|A5YKK6|CNOT1_HUMAN",0.27472625515749,25.4975510548585,0.827767737140173,0.424538806370542,0.883272251414126,-5.57002515949193,FALSE,25.3601879272797,25.6349141824372,6,6
"12","sp|A6NCS6|CB072_HUMAN",1.26341418450152,25.4865441297797,4.47438363222789,0.000829536749202257,0.28560536602086,-0.337287201564687,FALSE,24.854837037529,26.1182512220305,6,6
"13","sp|A6NDB9|PALM3_HUMAN",-0.162905616382338,22.5383177993207,-0.650927071168436,0.530401810064201,0.903802575226516,-5.59395525651777,FALSE,22.6034800458736,22.4405744294913,6,4
"14","sp|A6NDG6|PGP_HUMAN",-0.438390293736037,27.964056046431,-0.531930368626588,0.604832865715731,0.914249858409535,-5.76389643376238,FALSE,28.183251193299,27.744860899563,6,6
