"ProteinName","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12"
"sp|A0AVT1|UBA6_HUMAN",-42868894.9731845,-48612500,-36081339.5464034,-36290000,-53682193.5561071,-41107308.0381907,-49999529.6167625,-41683911.2843694,-45059726.4936415,-44033911.2843694,-41630000,-47678917.4984736
"sp|A0MZ66|SHOT1_HUMAN",-39100000,-42838773.3551554,-23160000,-34638787.0070734,-44237761.1127363,-37005494.9455737,-48635104.2310878,-14735909.304433,-25757154.1771758,-18257441.1081282,-34950000,-40299477.0167818
"sp|A1L0T0|HACL2_HUMAN",-39850000,-39200000,-30710000,-30200000,NA,-24600000,-51400000,-29900000,-36700000,-35500000,-36200000,-44550000
"sp|A2RRP1|NBAS_HUMAN",-59550000,-69700000,-54280000,-54830000,-73055000,-59530000,-64250000,-42080000,-54210000,-49630000,-57970000,-63250000
"sp|A4D1E9|GTPBA_HUMAN",-58560000,-68600000,-48170000,-55880000,-73155000,-58720000,-61800000,-39170000,-50700000,-44650000,-58740000,-61390000
"sp|A5YKK6|CNOT1_HUMAN",-50260000,-57074423.0152391,-44017196.6049447,-45491428.5714286,-62731001.8006868,-48892200.3956159,-54572748.0313566,-34544970.0535938,-45628571.4285714,-39749703.2916406,-49385714.2857143,-53646973.9716622
"sp|A6NCS6|CB072_HUMAN",-30550000,-36900000,-20310000,-30900000,-35655000,-28700000,NA,-13500000,-13900000,-12200000,-30600000,-25650000
"sp|A6NDB9|PALM3_HUMAN",-59120000,-69800000,-48800000,-54390000,-74655000,-57300000,NA,NA,NA,-45030000,-60410000,-62750000
"sp|A6NDG6|PGP_HUMAN",-650000,11900000,1490000,6100000,145000,9600000,-4900000,-4300000,7e+05,-4e+06,10900000,-7750000
"sp|A6NDU8|CE051_HUMAN",-52350000,-65400000,-44310000,-53500000,-71155000,-53800000,NA,-33400000,-46600000,NA,NA,-58350000
"sp|A6NHR9|SMHD1_HUMAN",-37408000,-40163555.5426911,-30824000,-32394942.1139464,-46817348.0593712,-35430651.7787703,-43559992.852236,-26090222.2630624,-33203989.4405066,-29067971.0033465,-36396000,-41430000
"sp|O00116|ADAS_HUMAN",-19450000,-36500000,90000,-45200000,-38255000,-17400000,-18100000,-35870000,-1.3e+07,-1.4e+07,-27800000,-30950000
"sp|O00148|DX39A_HUMAN",-57295000,-66456795.5542791,-50850631.6055495,-51852500,-71008407.3738949,-57341449.4319683,-61547343.3020958,-40975638.12927,-51872500,-47960677.1815235,-56537500,-59040175.5984336
"sp|O00151|PDLI1_HUMAN",-34638827.2476492,-33124687.4367514,-19460000,-32282500,-30101227.9341732,-34810000,-50096350.5487482,-15228875.4609722,-13277500,-15565561.5335223,-23394586.881528,-26101089.5416336
"sp|O00159|MYO1C_HUMAN",-31330000,-35832943.9132089,-32244078.9384547,-25403762.3952881,-36738136.0656958,-2.4e+07,-44180000,-27950751.5686356,-33060000,-32530425.7023852,-33700000,-46790426.1839482
