"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|A0AV96|RBM47_HUMAN",4670482.22713623,NA,3791323.32705777,6368849.8510052,5207916.75962009,4961860.02631803,4733206.57053236,4319318.85573947,NA,4242950.46981984,NA,6773409.4665427
"sp|A0AVT1|UBA6_HUMAN",49546965.8459653,177632183.070803,89683374.3544753,65874334.8766796,81786368.5019732,83628577.5380013,83467952.4360211,37557643.9014163,38734840.9513614,35411035.2400955,56766209.9548789,44275259.6630962
"sp|A0MZ66|SHOT1_HUMAN",53473487.2356612,63296476.7886404,68361362.2315707,55060673.7948875,70015738.3613272,61604776.5999556,39581768.9247888,91001766.1684904,71055294.6238755,96074637.6419681,73475613.6161438,58293735.9786
"sp|A1L0T0|HACL2_HUMAN",16328062.7797026,21334897.5430801,17838449.0560066,17649833.1588629,16094394.9238679,22180776.8266049,9589235.9672644,17860174.596163,17776052.0160945,14573395.1659991,17118761.2184041,17602103.5628198
"sp|A2RRP1|NBAS_HUMAN",5797331.45586677,8072094.61792811,6111189.95391171,8847624.24908267,15034825.6486248,8180808.26855419,62028688.1181981,11980516.2593593,9626780.38135152,14833509.1010317,11008749.8471708,9803654.54191088
"sp|A3KMH1|VWA8_HUMAN",13775342.9261245,16927847.4639359,9460991.41978475,17877014.9761752,16051694.7914999,12103800.7913374,8795315.52468792,8834545.26807255,14502361.6684784,9515186.55342155,16600761.9694219,16032572.539522
"sp|A4D1E9|GTPBA_HUMAN",9988869.31350257,15731798.5415006,9957270.69003224,11017673.5739391,24434881.977086,10987687.8222236,9446467.16776649,10950327.7842043,8071570.16743855,8586976.07384123,11604647.0958689,12249716.9173801
"sp|A4D1P6|WDR91_HUMAN",25097182.9425797,3482781.05689252,NA,20873188.6967061,20590589.4740763,9826895.821048,22769397.6296694,37256662.6877659,18071813.1189791,NA,13733103.8894405,8462983.29222194
"sp|A5D8V6|VP37C_HUMAN",NA,3039365.33511938,65334732.4454227,2213166.02266151,4939528.89050701,NA,NA,37271243.57092,2302102.91687241,70665338.5706582,2480476.31641924,2872391.66532389
"sp|A5PLN9|TPC13_HUMAN",4224813.48845698,9904065.34190871,NA,7525929.74111915,5066301.15486486,8004378.64624909,6140298.09075568,3923882.14197893,NA,3347338.04503883,3620006.50537922,NA
"sp|A5YKK6|CNOT1_HUMAN",70793991.332715,56992054.4972004,30569719.1522892,37515542.7050187,36161072.3257276,38151259.1862226,58499213.8013998,69023246.4363892,25779561.9188694,80763199.1406262,79543996.5702369,29924490.5443076
"sp|A6NCS6|CB072_HUMAN",48844990.0546364,36417252.3141135,39268230.0147513,33535365.7614367,19101490.9242561,17440947.4303259,122975303.867694,69751758.020398,71121963.3597264,72818247.9224898,65260556.1856524,51522214.0217988
"sp|A6NDB9|PALM3_HUMAN",4549870.36002887,6425765.54391303,7733826.27384645,9090639.71172096,4000747.61406087,8145150.07111887,NA,NA,5535304.80566088,6332674.46270088,4617138.16316044,6486979.39373831
"sp|A6NDG6|PGP_HUMAN",198116064.499322,596158136.472441,657605915.725515,584835830.560574,429982457.701542,41048029.8775793,165775930.293819,41791350.665613,523355943.639741,125225746.37535,548921859.552259,519520801.230249
"sp|A6NED2|RCCD1_HUMAN",15012311.8233724,3650348.25927688,21154537.5472751,16668942.2123025,7654891.2802268,11803745.3227163,12379589.2974445,4160693.94407034,11020616.8066027,10845584.5349214,NA,NA
"sp|A6NHR9|SMHD1_HUMAN",77013333.5476433,68351291.2653828,42512382.6047249,59346634.5317015,63087961.7764815,60569638.1013089,54161380.0579967,38080878.9083177,57969596.029497,49392183.4801497,58092401.3884412,56274860.2543755
