"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|A0AV96|RBM47_HUMAN",4598133,NA,3355623,6058601,6791574,5271442.66666667,4993928,2895368,NA,3538411,NA,7212971
"sp|A0AVT1|UBA6_HUMAN",48779446.6666667,217821713.333333,79376926.6666667,62665366.6666667,106656500,88846370,88065656.6666667,25176006.6666667,35426173.3333333,29531053.3333333,59465650,47148510
"sp|A0MZ66|SHOT1_HUMAN",52645143.3333333,77617393.3333333,60505248.3333333,52378476.6666667,91306580,65448450,41762070,61001192.6666667,64985866,80121499.6666667,76969646.6666667,62076717.6666667
"sp|A1L0T0|HACL2_HUMAN",16075129,26161948,15788447.6666667,16790048.3333333,20988483.3333333,23564690,10117444.3333333,11972206.6666667,16257650.3333333,12153491.3333333,17932820.6666667,18744395
"sp|A2RRP1|NBAS_HUMAN",5707526.5,9898417.33333333,5408889.66666667,8416625.66666667,19606713.3333333,8691229,65445443.3333333,8030896.66666667,8804476.33333333,12370413.5,11532256,10439864.3333333
"sp|A3KMH1|VWA8_HUMAN",13561952.6666667,20757796.6666667,8373730.66666667,17006163.3333333,20932798.6666667,12858986.6666667,9279792,5922058.66666667,13263593.3333333,7935195.33333333,17390188.6666667,17073009
"sp|A4D1E9|GTPBA_HUMAN",9834134.33333333,19291140,8812977.33333333,10480964.3333333,31865200,11673236.6666667,9966811.33333333,7340330.66666667,7382109.66666667,7161113.66666667,12156490.3333333,13044664.3333333
"sp|A4D1P6|WDR91_HUMAN",24708409,4270765.15,NA,19856383,26851910,10440020,24023615,24974250,16528148,NA,14386163,9012190
"sp|A5D8V6|VP37C_HUMAN",NA,3727026,57826440,2105355,6441573,NA,NA,24984024,2105461,58931400,2598432,3058796
"sp|A5PLN9|TPC13_HUMAN",4159368,12144874,NA,7159315.5,6606895,8503791.5,6478527,2630295,NA,2791514.5,3792151,NA
"sp|A5YKK6|CNOT1_HUMAN",69697340,69886586.6666667,27056635.3333333,35688030,47157166.6666667,40531610,61721553.3333333,46268336.6666667,23577513.3333333,67352516.6666667,83326603.3333333,31866445.3333333
"sp|A6NCS6|CB072_HUMAN",48088345,44656706.6666667,34755510,31901741.3333333,24909996.6666667,18529131,129749210,46756679.6666667,65046840,60726820,68363933.3333333,54865756.6666667
"sp|A6NDB9|PALM3_HUMAN",4479389.5,7879604,6845052,8647803,5217321,8653346,NA,NA,5062488,5281137.53333333,4836699.9,6907953
"sp|A6NDG6|PGP_HUMAN",195047100,731039750,582033592.333333,556346441,560734323.333333,43609117.3333333,174907443.333333,28013986.3333333,478651723.333333,104432083.666667,575025093.333333,553235190
"sp|A6NED2|RCCD1_HUMAN",14779760,4476244.66666667,18723450,15856940,9982640.46666667,12540210,13061500,2789037,10079253.5,9044681.5,NA,NA
