"","logFC","se","df","t","pval","adjPval"
"sp|A0AV96|RBM47_HUMAN",-0.167408823071384,0.270229247985828,9.05536964059651,-0.619506675606646,0.550849700975069,0.944160944337566
"sp|A0AVT1|UBA6_HUMAN",-0.0795423600781197,0.0710905988245926,12.3895647095555,-1.11888718611558,0.284412567325032,0.87715259880048
"sp|A0FGR8|ESYT2_HUMAN",-0.413678798653123,0.146474239301999,7.1773539292725,-2.82424268338547,0.0249592683469486,0.511426854117021
"sp|A0MZ66|SHOT1_HUMAN",0.0217553121193414,0.162002891305605,11.6051035584765,0.134289653376012,0.89547429177923,0.988160507341333
"sp|A1L0T0|HACL2_HUMAN",-0.197108241652343,0.264436592033612,12.3895647095555,-0.745389433952805,0.469941714229303,0.93092286542913
"sp|A1L170|CA226_HUMAN",-0.107593393136872,0.15564311888723,9.19434288863122,-0.691282685068962,0.50646559552362,0.943255413721691
"sp|A2RRP1|NBAS_HUMAN",0.175116034525063,0.10045244844157,12.3895647095555,1.7432729340283,0.106027112652554,0.685212923376985
"sp|A2RTX5|SYTC2_HUMAN",-0.260217563696827,0.459036673365215,7.38956470955551,-0.566877504120013,0.58759656181837,0.959819782960859
"sp|A3KMH1|VWA8_HUMAN",-0.0555666869653023,0.0770428716366432,12.3694418594318,-0.721243715153442,0.484169643214899,0.931095433275643
"sp|A4D1E9|GTPBA_HUMAN",-0.0555312797984815,0.0923115251888718,11.7833486544575,-0.601563885818841,0.558860715939286,0.945959371905483
"sp|A4D1P6|WDR91_HUMAN",0.295512285627782,0.379557692170434,8.07626138332117,0.778570140254429,0.458434647530366,0.929326758308839
"sp|A5D8V6|VP37C_HUMAN",0.069176190836031,0.362270610885393,6.38956470955551,0.190951705044369,0.854487545532597,0.984565772267369
"sp|A5PLN9|TPC13_HUMAN",0.186412164402945,0.118731189010293,9.0482330447318,1.57003535428913,0.150674441603107,0.742792694525359
"sp|A5YKK6|CNOT1_HUMAN",0.0106778104311001,0.0508762452563731,12.3895647095555,0.209878114575731,0.83717458353832,0.984227799768115
"sp|A6NCS6|CB072_HUMAN",0.0216195113952252,0.107345648214695,10.8614626828326,0.201400911492802,0.844107238835785,0.984492507636008
"sp|A6NDB9|PALM3_HUMAN",-0.0668391130432461,0.13143855369633,10.2597460031124,-0.508519845689023,0.621844301048291,0.962507746763341
"sp|A6NDG6|PGP_HUMAN",0.0623818021300448,0.0581061630272655,11.3227935397209,1.07358322904187,0.305356684200975,0.882180826619387
"sp|A6NDU8|RIMC1_HUMAN",-0.128364073324268,0.128762219359655,8.22035357109051,-0.996907897072859,0.347246098630928,0.897433469380788
"sp|A6NED2|RCCD1_HUMAN",-0.218048103098959,0.175715537392372,10.0091459690494,-1.24091532447731,0.242934125629651,0.840594099450526
"sp|A6NH11|GLTD2_HUMAN",-0.0161668876332581,0.197487067834164,7.38956470955551,-0.0818630192374619,0.936929160769189,0.991467972420927
"sp|A6NHR9|SMHD1_HUMAN",-0.0488251040674919,0.0800585086129418,12.3671277197308,-0.609867769377846,0.552990470755583,0.944160944337566
"sp|A6NHX0|CAST2_HUMAN",0.123830581906226,0.153718511454973,8.70993958060386,0.805567141745961,0.441928520489072,0.928250905537754
"sp|A6NIH7|U119B_HUMAN",0.189810821170754,0.167098389296038,8.38956470955551,1.13592250631739,0.287395011346942,0.87715259880048
"sp|A6NJ78|MET15_HUMAN",-0.0660472579960411,0.183156072867024,11.2625338772497,-0.360606432329399,0.725066050384011,0.977379582538335
"sp|A8MXV4|NUD19_HUMAN",-0.135360143743181,0.183916301188047,7.14673584656622,-0.735987744799092,0.48518806738568,0.931095433275643
"sp|B1ANS9|WDR64_HUMAN",0.0871330942792976,0.184729102079978,12.3895647095555,0.47168038656721,0.645353221770443,0.968410871165217
"sp|E9PRG8|CK098_HUMAN",0.124082915139826,0.1782544371918,11.7298713843706,0.696100007913483,0.499927039576268,0.940702952387258
"sp|O00116|ADAS_HUMAN",-0.174731810160466,0.103227771248281,11.1553807175078,-1.69268219247131,0.118224951167648,0.698958176715939
"sp|O00139|KIF2A_HUMAN",-0.0798966687458802,0.146678050314085,9.48917918911726,-0.544707736261805,0.598521012520303,0.962507746763341
"sp|O00148|DX39A_HUMAN",-0.0837561776429974,0.105953728393031,11.9604289482517,-0.790497690957201,0.444629015528498,0.928251070445986
"sp|O00151|PDLI1_HUMAN",0.194051265979586,0.254797157940611,12.0155256201634,0.761591171377258,0.460991431014327,0.93092286542913
"sp|O00154|BACH_HUMAN",0.0334589032130058,0.110668491342944,11.3483299820796,0.302334501961556,0.76786637356657,0.977379582538335
"sp|O00159|MYO1C_HUMAN",-0.159179865236646,0.0628067344064651,12.0720781882322,-2.53443944731284,0.0261039600831437,0.511426854117021
"sp|O00161|SNP23_HUMAN",0.0555340867038167,0.13927278349225,10.728324472185,0.398743281431631,0.697903892742238,0.976051418250598
"sp|O00165|HAX1_HUMAN",0.311288261607846,0.305709351682313,6.41637032045527,1.01824906531263,0.345407224841316,0.897433469380788
"sp|O00170|AIP_HUMAN",0.0514183087927067,0.0692070791102476,11.476912042021,0.742963139808239,0.472438368075407,0.931095433275643
"sp|O00178|GTPB1_HUMAN",-0.0430971405070903,0.145393794228429,11.8464045280272,-0.29641664374877,0.772044304874807,0.977379582538335
"sp|O00186|STXB3_HUMAN",-0.118480856592879,0.0911981248887337,11.7829620795795,-1.29915891074988,0.218735509028422,0.820358129381734
"sp|O00193|SMAP_HUMAN",0.0597051823197024,0.101555002885767,12.3895647095555,0.587909808705941,0.567154774032586,0.953703294203155
