"","logFC","se","df","t","pval","adjPval"
"sp|A0AV96|RBM47_HUMAN",-0.271889109273108,0.265639188304799,9.02335683024258,-1.02352785749796,0.332714002927741,0.756302245990316
"sp|A0AVT1|UBA6_HUMAN",-0.102915495876076,0.0753263631350093,11.6374875801813,-1.36626131400526,0.197676236168042,0.661015156477159
"sp|A0FGR8|ESYT2_HUMAN",-0.450108101201498,0.174846192907157,7.43012764020215,-2.57430884663589,0.034970575892546,0.455462183599989
"sp|A0MZ66|SHOT1_HUMAN",-0.0190914894446361,0.148699102083169,11.9741234629679,-0.128390078871882,0.899971466953802,0.985683689486412
"sp|A1L0T0|HACL2_HUMAN",-0.2564250204372,0.287057339133581,12.4765085650682,-0.893288501911018,0.388608561885076,0.780228044225629
"sp|A1L170|CA226_HUMAN",-0.151225231988369,0.151716087867767,9.03669388273393,-0.996764641862992,0.344818791249628,0.764339006211358
"sp|A2RRP1|NBAS_HUMAN",0.1459839424762,0.112205065507103,12.1229586061287,1.30104591817165,0.217428154546988,0.681705292503506
"sp|A2RTX5|SYTC2_HUMAN",-0.25064796448979,0.503696725038738,7.47650856506821,-0.497616823834846,0.633055748719799,0.90376747981814
"sp|A3KMH1|VWA8_HUMAN",-0.0964372269894527,0.0872740872312909,12.4765085650682,-1.10499267364296,0.290016699594675,0.737548759597082
"sp|A4D1E9|GTPBA_HUMAN",-0.107265389107451,0.109594122451441,12.297404558556,-0.97875129348272,0.346565785691167,0.764693127438657
"sp|A4D1P6|WDR91_HUMAN",0.191303812992843,0.382327049661806,7.59460952976111,0.500366932347748,0.630990342626528,0.90376747981814
"sp|A5D8V6|VP37C_HUMAN",0.0470492024209666,0.3696763628355,6.47650856506821,0.127271330144261,0.902586203793295,0.985683689486412
"sp|A5PLN9|TPC13_HUMAN",0.0834496607679766,0.13425874155888,9.38703119428558,0.621558490710112,0.549028012494207,0.871569102920145
"sp|A5YKK6|CNOT1_HUMAN",-0.046922561567165,0.0555353043894269,12.4765085650682,-0.844914097132389,0.414067943489955,0.79624678132347
"sp|A6NCS6|CB072_HUMAN",-0.0353991223743865,0.132799291405166,10.956368871484,-0.266561078751428,0.794757205673027,0.960214609798713
"sp|A6NDB9|PALM3_HUMAN",-0.0919535736283948,0.144419260433696,10.4286018932785,-0.636712674973235,0.538036719363919,0.871143443763482
"sp|A6NDG6|PGP_HUMAN",0.00404802304547068,0.0828697750650877,12.1785793204165,0.0488480032954268,0.96183240160667,0.996815952036482
"sp|A6NDU8|RIMC1_HUMAN",-0.199870717590928,0.105627132766275,7.66898910694566,-1.89222894114894,0.0966855471353059,0.548663452278624
"sp|A6NED2|RCCD1_HUMAN",-0.241232555730652,0.164796223799532,9.88373472446106,-1.46382332172915,0.174307873975268,0.635155601172758
"sp|A6NH11|GLTD2_HUMAN",-0.0752565755247478,0.198720908140033,7.47650856506821,-0.378704869201366,0.715433335968708,0.941444187774088
