"","logFC","se","df","t","pval","adjPval"
"sp|A0AVT1|UBA6_HUMAN",-0.266143501663642,0.0875803343147678,12.1154064261762,-3.03885003118519,0.0101960045293084,0.0877576734853758
"sp|A0MZ66|SHOT1_HUMAN",0.133817890598332,0.156747317718289,12.2987675542651,0.853717260022491,0.409581867130252,0.604570661312179
"sp|A1L0T0|HACL2_HUMAN",-0.458021726621008,0.126195502120399,10.5827099831764,-3.62946158084163,0.00421283682620695,0.0629856889415698
"sp|A2RRP1|NBAS_HUMAN",-0.162696858870887,0.203302191294573,12.44939327688,-0.800271053818345,0.438558820480628,0.629005189934268
"sp|A4D1E9|GTPBA_HUMAN",0.148542627143059,0.103522455710284,12.9118551126012,1.43488314804633,0.175097185932325,0.36551934339572
"sp|A5YKK6|CNOT1_HUMAN",-0.142858007072833,0.0680461611966653,11.0506425119792,-2.09942786720838,0.0595461061104868,0.203549740554084
"sp|A6NCS6|CB072_HUMAN",0.30804420229512,0.0940481058916873,11.3032938038668,3.2753897526643,0.00714591067569092,0.0773363722795931
"sp|A6NDB9|PALM3_HUMAN",-0.0901334582525234,0.132988357053437,9.19531764088675,-0.677754506105418,0.51461764024359,0.682034839287716
"sp|A6NDG6|PGP_HUMAN",-0.154623647313392,0.0719926340453674,12.6077586808431,-2.14777038461954,0.0517938230896933,0.187556419976314
"sp|A6NDU8|CE051_HUMAN",0.265588654669545,0.161202126282432,9.91185511260117,1.64755056769055,0.130735732650732,0.315349101128932
"sp|A6NHR9|SMHD1_HUMAN",-0.15798881499564,0.0626455000700038,12.7484241633872,-2.52194993765064,0.0258167633923874,0.130770047348889
"sp|O00116|ADAS_HUMAN",-0.0225244461061081,0.302276283581071,12.023891189426,-0.0745160878626028,0.94182511905858,0.968155713784949
"sp|O00148|DX39A_HUMAN",-0.16017247851892,0.178454487113677,12.6666625006127,-0.897553662614761,0.38616599051394,0.583214355341749
"sp|O00151|PDLI1_HUMAN",0.192565039650237,0.211390140122208,12.5609310653746,0.910946175346269,0.379473585088481,0.575649199548167
"sp|O00159|MYO1C_HUMAN",-0.496318395693107,0.104670374634227,11.7831718059597,-4.74172751771933,0.000503308926162026,0.0351535579713862
"sp|O00161|SNP23_HUMAN",-0.227780468413677,0.155152068947328,11.9118551126012,-1.46811106006589,0.167978641022309,0.357390758495535
"sp|O00170|AIP_HUMAN",0.0174390951513351,0.0629387783590168,11.2068150717598,0.277080293040622,0.786762686453004,0.877990422080628
"sp|O00178|GTPB1_HUMAN",-0.156422486337593,0.148047540414829,12.6430783421084,-1.05656930131563,0.310479672651603,0.507382165905868
"sp|O00186|STXB3_HUMAN",-0.232378362117954,0.0789901440880677,12.9118551126012,-2.94186527700052,0.0115204650384714,0.0911968504867649
"sp|O00193|SMAP_HUMAN",0.114112855145924,0.102558835574721,12.9118551126012,1.1126574761351,0.286142343517312,0.487615116582086
"sp|O00203|AP3B1_HUMAN",-0.295687983974677,0.145979274664957,12.9118551126012,-2.0255476995164,0.0639930042099134,0.209990773540082
"sp|O00217|NDUS8_HUMAN",0.170414830669903,0.139375023752484,11.3445871227243,1.22270709687944,0.246234168674275,0.444990293483189
"sp|O00231|PSD11_HUMAN",-0.146830466078921,0.0672627333401575,12.6276922467185,-2.1829393304072,0.048560849494096,0.181387469220719
"sp|O00232|PSD12_HUMAN",-0.132798211179659,0.0662060888524827,11.8962098118317,-2.00583078507406,0.0681615709957575,0.216917455184236
"sp|O00264|PGRC1_HUMAN",-0.397104108854049,0.299666882251797,11.3827657127718,-1.32515180146059,0.21110525404627,0.406615089727806
"sp|O00267|SPT5H_HUMAN",-0.11568584304944,0.0876641215841054,12.9118551126012,-1.31964868818596,0.209873070758445,0.405330581944118
"sp|O00268|TAF4_HUMAN",-0.282160822044947,0.155952181325416,11.4868462216369,-1.809277816103,0.0966303876613493,0.263939001726428
"sp|O00273|DFFA_HUMAN",0.224790922135242,0.130945886046029,12.2805154125718,1.71667036607951,0.111133271491428,0.285856701916965
"sp|O00299|CLIC1_HUMAN",-0.118773342442764,0.074570563660511,11.9782418931618,-1.5927644450093,0.137244125384866,0.320795559579295
"sp|O00303|EIF3F_HUMAN",0.0373430860661705,0.102094603511543,12.9118551126012,0.365769441104185,0.720459744459161,0.833701260584698
"sp|O00330|ODPX_HUMAN",-0.0741179467855503,0.148998396213049,12.1011178225919,-0.497441238760524,0.627793384524433,0.768792240314292
"sp|O00338|ST1C2_HUMAN",-0.335639364731933,0.149807334149473,12.3140111461195,-2.24047351645042,0.0442275102737189,0.173786899021091
"sp|O00401|WASL_HUMAN",0.0929528188204778,0.149427814878647,12.8082556596394,0.622058342323792,0.544818248080741,0.706711323154936
"sp|O00410|IPO5_HUMAN",-0.0208483216836299,0.0658661498965078,11.6367771932165,-0.316525585849299,0.757209467421769,0.85837025793108
"sp|O00411|RPOM_HUMAN",0.369000669712261,0.204433249322455,11.9118551126012,1.80499341929567,0.0963963461080879,0.263939001726428
"sp|O00418|EF2K_HUMAN",-0.104912422516035,0.204453009259998,12.9118551126012,-0.513137091480131,0.616521849269936,0.760681841908393
"sp|O00422|SAP18_HUMAN",-0.0908775347720488,0.123963623897171,12.3348353105111,-0.733098403507728,0.477200265680715,0.655778803053325
"sp|O00425|IF2B3_HUMAN",-0.0979146971548582,0.0637355519555804,12.085307869665,-1.53626499105395,0.150231105690926,0.336086436132275
"sp|O00429|DNM1L_HUMAN",-0.0988734645245814,0.0643387513644811,11.5008334282204,-1.53676380762287,0.15139465237353,0.337084172576517
"sp|O00442|RTCA_HUMAN",-0.19500691847268,0.0721117121463305,12.2978192571226,-2.70423364899406,0.0188064376059188,0.116362353274726
"sp|O00443|P3C2A_HUMAN",-0.250986830582887,0.176727132297552,11.5481406792448,-1.42019409990938,0.181981754203818,0.373069100111901
"sp|O00462|MANBA_HUMAN",-0.339928973822495,0.115055416611934,12.6906833017586,-2.9544804045952,0.011426389872692,0.0910302393191131
"sp|O00468|AGRIN_HUMAN",0.203716728004051,0.0523896763487278,12.0906926520506,3.88848991255503,0.00212534254105117,0.0549580654765512
"sp|O00469|PLOD2_HUMAN",-0.0420403691564252,0.0625422515641006,11.6348181559416,-0.672191488234755,0.514589011323219,0.682034839287716
"sp|O00471|EXOC5_HUMAN",0.112886418856583,0.103859700015683,10.9118551126012,1.08691262192686,0.300501698391658,0.500487149237675
"sp|O00487|PSDE_HUMAN",-0.0520324558856643,0.216812083986587,10.9259507540531,-0.239988726315103,0.814782016167277,0.895323686730939
"sp|O00505|IMA4_HUMAN",0.131398836405995,0.105188907399886,10.3091832685164,1.24917008507816,0.23922140975747,0.436998091200271
"sp|O00515|LAD1_HUMAN",0.126589015449302,0.140025412462154,12.237451870522,0.904043153477705,0.383424510619813,0.579990240747692
"sp|O00541|PESC_HUMAN",0.215417900152442,0.0830020297979336,11.6398132801206,2.59533291748252,0.0239250924762419,0.126599935833693
"sp|O00560|SDCB1_HUMAN",-0.182893636595186,0.127877673257466,10.2094477329914,-1.43022336844487,0.182536342278056,0.37393873546676
"sp|O00566|MPP10_HUMAN",-0.0393674583493979,0.0621108805332831,11.6206057999195,-0.633825474882815,0.5384707214719,0.701332438320349
"sp|O00567|NOP56_HUMAN",0.230399559277642,0.106606107194692,12.3543998978841,2.16122289182617,0.0509722419137854,0.186464782919307
"sp|O00625|PIR_HUMAN",-0.402536289944032,0.18345314200136,12.153006096644,-2.19421856476598,0.0483687461286235,0.181098647384977
"sp|O00629|IMA3_HUMAN",0.184428962825918,0.134909229884128,12.8385356314482,1.36705963694495,0.195066786822502,0.389590212121821
"sp|O00743|PPP6_HUMAN",-0.70744323419835,0.402447631137513,11.7293084613315,-1.75785165438487,0.104811860506091,0.277431562648959
"sp|O00748|EST2_HUMAN",-0.337758775657621,0.192657367342254,12.9118551126012,-1.75315784865676,0.103266919591484,0.276020060939773
"sp|O00764|PDXK_HUMAN",0.185427596413363,0.115443993078229,11.7887186882789,1.60621260118498,0.134663896808855,0.319331532343697
"sp|O14497|ARI1A_HUMAN",-0.0385424441625172,0.0806574510379938,12.8604794470174,-0.477853486150482,0.640774387649356,0.778373970257668
"sp|O14530|TXND9_HUMAN",-0.0148767460608208,0.0845311691985314,12.6203575747178,-0.175991249167287,0.863093321132585,0.926057480362235
"sp|O14548|COX7R_HUMAN",-0.250627591798195,0.193201219089893,10.9505662208994,-1.29723607842031,0.221214158366808,0.417946117388672
"sp|O14562|UBFD1_HUMAN",-0.0826103702240616,0.113793218931506,12.3205217179532,-0.725969183399111,0.481421741779467,0.658111322890138
"sp|O14579|COPE_HUMAN",0.109237076037715,0.083647437191071,12.5098169971748,1.30592256865193,0.215083110305703,0.411027289781626
"sp|O14617|AP3D1_HUMAN",-0.214592954119045,0.0789225538940707,12.6583598177071,-2.71903205776983,0.0178976334489303,0.114067583847849
"sp|O14618|CCS_HUMAN",-0.246255505180989,0.194412435315716,12.9118551126012,-1.26666540018946,0.227648103510678,0.424307310718512
"sp|O14734|ACOT8_HUMAN",-0.376186096308568,0.182226132309807,9.90276490322268,-2.06439159707898,0.0661728210285776,0.213961274757566
"sp|O14737|PDCD5_HUMAN",-0.155901496377503,0.121296366766981,10.9637402138849,-1.28529403256572,0.225176396150998,0.422647843037345
"sp|O14744|ANM5_HUMAN",-0.184340835347285,0.071610524689036,12.9118551126012,-2.5742142813193,0.023209986340115,0.125401153586138
"sp|O14745|NHRF1_HUMAN",0.236223501468864,0.134579063232332,12.4872118480929,1.75527675550139,0.103693443884362,0.27619268215427
"sp|O14773|TPP1_HUMAN",-0.064727660964317,0.051191804844332,11.8383312502435,-1.26441451246241,0.230408194092472,0.42593411209741
"sp|O14776|TCRG1_HUMAN",-0.080909701213655,0.0832689005255371,10.9635039475538,-0.971667701903203,0.352165501833422,0.547134701656692
"sp|O14802|RPC1_HUMAN",0.22578508654182,0.189977891276455,11.7422520003078,1.18848085440247,0.258125503020188,0.457260001644162
"sp|O14818|PSA7_HUMAN",-0.0344377053333719,0.0892341854653966,12.8330919907647,-0.385925025860479,0.705874101461939,0.822277385456069
"sp|O14841|OPLA_HUMAN",-0.0435517684248909,0.0571033069758153,11.1638315777301,-0.762683822205537,0.461463619863653,0.64454818427309
"sp|O14893|GEMI2_HUMAN",0.00860822262591186,0.132564196968939,9.91185511260117,0.0649362559630549,0.949515752053306,0.972228195961757
"sp|O14907|TX1B3_HUMAN",-0.17347854939517,0.16550760197966,12.5121433455005,-1.04816061208167,0.31439024018011,0.511186681970219
"sp|O14908|GIPC1_HUMAN",0.218390731508917,0.124166673408082,10.7825807585312,1.75885143343706,0.106907447995691,0.281036261092247
