"","logFC","se","df","t","pval","adjPval"
"sp|A0AVT1|UBA6_HUMAN",-0.394719499837709,0.19120952032904,16.5953590828247,-2.06432974236043,0.054981060077458,0.24910849968744
"sp|A0MZ66|SHOT1_HUMAN",-0.0564588587420438,0.146035486132961,16.2847143635054,-0.386610544033385,0.704049617679459,0.821152624442736
"sp|A1L0T0|HACL2_HUMAN",-0.58753758618301,0.193760447269424,15.6793013691263,-3.03228855250339,0.00807109186317582,0.181579815933221
"sp|A2RRP1|NBAS_HUMAN",-0.324238103054167,0.294109112304967,16.3947118257646,-1.10244154121263,0.286190788675497,0.481701757101854
"sp|A4D1E9|GTPBA_HUMAN",-0.0161595781002354,0.166854450133509,16.1846179528546,-0.0968483494884634,0.924035999820637,0.957418803282365
"sp|A5YKK6|CNOT1_HUMAN",-0.297208462252267,0.17456087667302,16.3571629077556,-1.70260637960123,0.107566173496389,0.324221534113065
"sp|A6NCS6|CB072_HUMAN",0.0536927704436211,0.153340520335928,15.5356818356826,0.350153829698728,0.730925359913222,0.841209443110402
"sp|A6NDB9|PALM3_HUMAN",-0.180187263620395,0.165947681501477,13.6793013691263,-1.08580765931816,0.296328675539357,0.491254706038657
"sp|A6NDG6|PGP_HUMAN",-0.303349206853343,0.164696587290618,16.3967843569278,-1.84186698609646,0.0836561203922064,0.295475065621734
"sp|A6NDU8|CE051_HUMAN",-0.0321536528292364,0.173562729004809,13.1330390711891,-0.185256667797299,0.855858192449299,0.917951120398126
"sp|A6NHR9|SMHD1_HUMAN",-0.321338269094761,0.163490232043924,16.449271682086,-1.96548910034228,0.0664736899627785,0.272585539639405
"sp|O00116|ADAS_HUMAN",-0.173466168205915,0.266675406637417,15.1094145846436,-0.650476811466033,0.525152796553029,0.685958110240943
"sp|O00148|DX39A_HUMAN",-0.343647110279752,0.276101498135002,16.5894122809539,-1.24464051300338,0.23056115881019,0.437398527220325
"sp|O00151|PDLI1_HUMAN",-0.0398096736033178,0.227320359091094,16.6060762716499,-0.175125860976512,0.863098280323485,0.921522010361614
"sp|O00159|MYO1C_HUMAN",-0.673009870326141,0.182931568473165,16.0143920470469,-3.67902530953736,0.00202768720123972,0.164652244944355
"sp|O00161|SNP23_HUMAN",-0.457461957921613,0.250936131994692,15.6793013691263,-1.82302147676083,0.0874236620804384,0.298607582670919
"sp|O00170|AIP_HUMAN",-0.151540979194602,0.157397680094517,16.2952155313867,-0.962790424252773,0.349723605540869,0.536367540476584
"sp|O00178|GTPB1_HUMAN",-0.321310499649141,0.245067628076128,16.6029627427711,-1.31110951769333,0.207665496551093,0.413313424086423
"sp|O00186|STXB3_HUMAN",-0.397541391198481,0.18231271222581,16.5139036756528,-2.18054674490329,0.0439969076145227,0.232319268259002
"sp|O00193|SMAP_HUMAN",-0.101458063060896,0.134818538923194,16.2464897293876,-0.752552756254807,0.462484150665877,0.631020239823851
"sp|O00203|AP3B1_HUMAN",-0.477806299107171,0.228633612627602,16.6793013691263,-2.08983400828915,0.0522748287576144,0.24510763677748
"sp|O00217|NDUS8_HUMAN",-0.00802861295970157,0.17823165046703,14.3273007252571,-0.0450459440770691,0.964692523128786,0.981460857159758
"sp|O00231|PSD11_HUMAN",-0.304752450057963,0.164204305133926,16.0186315492891,-1.85593459202793,0.0819553738974106,0.293438656470814
"sp|O00232|PSD12_HUMAN",-0.322988331951426,0.146755008330653,15.8570490169814,-2.20086752490043,0.0429158897027568,0.232319268259002
"sp|O00264|PGRC1_HUMAN",-0.62819123428949,0.340732147846343,15.6350595250855,-1.84365120303465,0.084270694796462,0.296550125983133
"sp|O00267|SPT5H_HUMAN",-0.310555599945139,0.126290354241167,16.4192916107284,-2.45906032817118,0.0253742679383561,0.21587296055734
"sp|O00268|TAF4_HUMAN",-0.545804975837616,0.242005690240953,16.6793013691263,-2.25533943145793,0.037855459905675,0.228567282125212
"sp|O00273|DFFA_HUMAN",0.00127208207314627,0.132937169688105,16.4770886887371,0.00956904736373432,0.992480025049352,0.994908322908613
"sp|O00299|CLIC1_HUMAN",-0.271136074541646,0.177230985609937,16.0425585323818,-1.52984577504061,0.14553311183819,0.362582316335811
"sp|O00303|EIF3F_HUMAN",-0.194095708358785,0.139125835489544,14.7613078916031,-1.39510902253214,0.183620403166259,0.39745155945723
