"","logFC","se","df","t","pval","adjPval"
"sp|A0AVT1|UBA6_HUMAN",-0.256425689856757,0.0842394099444137,12.4751695400141,-3.044010992313,0.00980301934137786,0.0922026190623301
"sp|A0MZ66|SHOT1_HUMAN",0.139302413384667,0.154092116699698,12.3501919396862,0.904020376695491,0.383279981450906,0.574019314256501
"sp|A1L0T0|HACL2_HUMAN",-0.445204910966332,0.123140475712609,10.4736879910841,-3.61542302309576,0.00438714916818425,0.0665732476949864
"sp|A2RRP1|NBAS_HUMAN",-0.0651368179166633,0.144815025053774,12.5531325350807,-0.449793230312092,0.660528134920702,0.789989445768379
"sp|A4D1E9|GTPBA_HUMAN",0.234738549171031,0.110518086483327,12.3120088717073,2.12398311118465,0.0545781846684969,0.193560373056587
"sp|A5YKK6|CNOT1_HUMAN",-0.0952240567995294,0.065590652029905,12.741994680612,-1.45179311155671,0.170733693048133,0.352815513068071
"sp|A6NCS6|CB072_HUMAN",0.314339483726294,0.0918250024335275,11.2492469666355,3.4232450356192,0.00551597861885826,0.0732569893424891
"sp|A6NDB9|PALM3_HUMAN",-0.0170654359326281,0.169995408719982,9.8322089549744,-0.100387628472593,0.922054037872967,0.954330920469025
"sp|A6NDG6|PGP_HUMAN",-0.151503245237376,0.0714097475808248,12.7095504249726,-2.12160454797711,0.0541326249866674,0.193099960773336
"sp|A6NDU8|CE051_HUMAN",0.302113396560709,0.182332784696119,10.0172565939464,1.65693403445913,0.128475632835648,0.298889205085175
"sp|A6NHR9|SMHD1_HUMAN",-0.12479317924163,0.0548385648577724,13.0172565939464,-2.27564633693989,0.040418891821263,0.165838886614281
"sp|O00116|ADAS_HUMAN",-0.0114966824151724,0.295078186735277,12.1059713665286,-0.0389614784554928,0.969556255244386,0.981875940083546
"sp|O00148|DX39A_HUMAN",-0.0806857598033399,0.127555966815096,12.8512084334161,-0.632551826605657,0.538118832289097,0.700993371280554
"sp|O00151|PDLI1_HUMAN",0.234399971058692,0.198169211530986,12.5729399034999,1.18282738901669,0.258762546376644,0.449503926716059
"sp|O00159|MYO1C_HUMAN",-0.469070048886886,0.102772896629344,11.2415745904609,-4.56414156135556,0.000767377124613348,0.0489075020753574
"sp|O00161|SNP23_HUMAN",-0.202235734286014,0.143547367178712,12.0172565939464,-1.40884321503603,0.184227351295665,0.368969304131262
"sp|O00170|AIP_HUMAN",0.0179211308025763,0.0622650201733217,10.9911787531709,0.287820203907279,0.778838955303778,0.866450785031511
"sp|O00178|GTPB1_HUMAN",-0.105240883627011,0.12260366935722,12.6551177255325,-0.858382821482933,0.406645729715976,0.595030588176235
"sp|O00186|STXB3_HUMAN",-0.231415832076561,0.0794634378395086,13.0172565939464,-2.91223030828277,0.0121057705538997,0.0979407034381221
"sp|O00193|SMAP_HUMAN",0.0929879839587682,0.0924837957390451,12.9656754823382,1.00545163848103,0.333075811579233,0.523624053634357
"sp|O00203|AP3B1_HUMAN",-0.25713974018778,0.128261051457151,13.0172565939464,-2.00481547021843,0.0662374966877002,0.211984223739444
"sp|O00217|NDUS8_HUMAN",0.176933507874893,0.138581687714071,11.3980832591857,1.27674522365431,0.227090394494926,0.417496956032978
"sp|O00231|PSD11_HUMAN",-0.164266216180793,0.0663268863271668,12.4492808178094,-2.47661582319011,0.0285018413436984,0.13925601528744
"sp|O00232|PSD12_HUMAN",-0.134518282759293,0.0642233996957036,12.0193429810688,-2.09453693508367,0.0580693022359203,0.198661318347715
"sp|O00264|PGRC1_HUMAN",-0.387738434372175,0.295929561450301,11.5486271500691,-1.31023893818493,0.215576494361672,0.40783204870005
"sp|O00267|SPT5H_HUMAN",-0.0868288795338645,0.0985418279806551,13.0172565939464,-0.881137292794183,0.394222013023725,0.584304254962296
"sp|O00268|TAF4_HUMAN",-0.198463158157012,0.14135472200915,11.8098102239887,-1.40400798315154,0.186063837370849,0.3708346668378
"sp|O00273|DFFA_HUMAN",0.238932094758015,0.136637181467602,12.3885168880115,1.74866088565116,0.105063070524134,0.272116818248302
"sp|O00299|CLIC1_HUMAN",-0.126390035809028,0.0819809755397879,11.716024388793,-1.54169958306591,0.1497116233616,0.325531031122537
"sp|O00303|EIF3F_HUMAN",0.0252657038346558,0.094110889900813,13.0172565939464,0.26846737780595,0.792547136214508,0.874913466767978
"sp|O00330|ODPX_HUMAN",-0.0658868462780546,0.142879884008339,12.1119975561692,-0.461134516837999,0.652873129215878,0.784432398236757
"sp|O00338|ST1C2_HUMAN",-0.187227451471051,0.128580193973414,11.4724488426788,-1.45611424034532,0.172176865025449,0.354489051610185
"sp|O00401|WASL_HUMAN",0.176703418467756,0.144920707378235,12.8557395962282,1.21931104025438,0.244625787761729,0.435768173478657
"sp|O00410|IPO5_HUMAN",-0.0160755730402931,0.0643883770700406,11.6045289514245,-0.249665759129265,0.807210392026156,0.885985229365103
"sp|O00411|RPOM_HUMAN",0.491166545809829,0.20578005790705,10.8821729735523,2.38685201474522,0.0362878242583674,0.15796042083949
"sp|O00418|EF2K_HUMAN",-0.0293150833451564,0.223964360844228,12.9923181585002,-0.13089173310724,0.897866001432374,0.940496600477738
"sp|O00422|SAP18_HUMAN",-0.10413547787844,0.123432485415141,12.3883617463921,-0.843663461269538,0.414851461219315,0.598789124699042
"sp|O00425|IF2B3_HUMAN",-0.113669542366572,0.0677054698566098,11.9935942898511,-1.67888270485838,0.119016479654226,0.289838624985951
