"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|A0AV96|RBM47_HUMAN","BaP vs Control",0.173477110468115,0.193137662795084,0.898204461820432,6,0.403678304478022,0.683214445891486,NA,0.541666666666667,0.208333333333333
"sp|A0AVT1|UBA6_HUMAN","BaP vs Control",0.397924045369216,0.226501731549918,1.75682562180113,10,0.109464998451471,0.508039220590884,NA,0.37797619047619,0.37797619047619
"sp|A0MZ66|SHOT1_HUMAN","BaP vs Control",0.167286694105484,0.160650672998658,1.04130714788155,10,0.322253910541389,0.632696275652077,NA,0.25,0.25
"sp|A1L0T0|HACL2_HUMAN","BaP vs Control",0.789053678310314,0.258541069597197,3.05194714147214,10,0.0122110786024043,0.463581653683191,NA,0.402777777777778,0.402777777777778
"sp|A2RRP1|NBAS_HUMAN","BaP vs Control",0.0727474189512933,0.351190885991858,0.207144951230255,10,0.840053929280762,0.92242514789846,NA,0.4375,0.4375
"sp|A2RTX5|SYTC2_HUMAN","BaP vs Control",4.60845653873162,3.11332840505173,1.48023463610645,2,0.276952495790005,0.599215526111401,NA,0.666666666666667,0
"sp|A3KMH1|VWA8_HUMAN","BaP vs Control",0.383876677187602,0.246212876212618,1.55912510788471,10,0.150026058410858,0.523965924314402,NA,0.425,0.425
"sp|A3KN83|SBNO1_HUMAN","BaP vs Control",-0.691703318570148,0.306786434543266,-2.2546737426638,2,0.152854296975637,0.525840505714024,NA,0.666666666666667,0
"sp|A4D1E9|GTPBA_HUMAN","BaP vs Control",0.26572940600578,0.143682520529855,1.84942054904003,10,0.094134493493315,0.498439159962471,NA,0.472222222222222,0.472222222222222
"sp|A4D1P6|WDR91_HUMAN","BaP vs Control",0.209739155404566,0.348512882236416,0.601811772519469,8,0.563961298425482,0.775400376406597,NA,0.625,0.458333333333333
"sp|A5D8V6|VP37C_HUMAN","BaP vs Control",0.472806151899764,0.612570657714246,0.771839372235032,4,0.483277250668599,0.733520739841111,NA,0.5,0
"sp|A5PLN9|TPC13_HUMAN","BaP vs Control",0.223167043303488,0.291590900608616,0.765342961106429,7,0.469080749190657,0.725674443911275,NA,0.25,0
