"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"1","sp|A0AV96|RBM47_HUMAN",-0.209807219159174,22.1800323862389,-0.663290611657739,0.523318170117014,0.773225430686197,-5.58794239362072,FALSE,22.2732800391985,22.0634728200393,5,4
"2","sp|A0AVT1|UBA6_HUMAN",-1.04450065943265,25.8869046868271,-2.7062424214389,0.0187837698535497,0.494583569893751,-3.09985492349694,FALSE,26.4091550165435,25.3646543571108,6,6
"3","sp|A0MZ66|SHOT1_HUMAN",-0.048017450420437,25.9361200518056,-0.237924210621544,0.815870955563699,0.912067814444759,-5.91430793437734,FALSE,25.9601287770158,25.9121113265954,6,6
"4","sp|A1L0T0|HACL2_HUMAN",-0.462819224510611,23.9862538215226,-2.23536950910396,0.0447347612546569,0.498211292934528,-3.85623853965249,FALSE,24.2176634337779,23.7548442092673,6,6
"5","sp|A2RRP1|NBAS_HUMAN",0.662500150603059,23.3863976374036,1.33834725267253,0.205082337465271,0.590853757451958,-5.1037715517791,FALSE,23.0551475621021,23.7176477127052,6,6
"6","sp|A2RTX5|SYTC2_HUMAN",-3.50227129385743,22.8807402903533,-1.6878239295177,0.149384779988947,0.562873135929609,-4.42782618693611,FALSE,24.2816488078962,20.7793775140388,3,2
"7","sp|A3KMH1|VWA8_HUMAN",-0.441937534320336,23.6044879835527,-1.39626527127877,0.187409435026073,0.579475322148072,-5.03518251229339,FALSE,23.8254567507129,23.3835192163925,6,6
"8","sp|A3KN83|SBNO1_HUMAN",1.1381541090301,21.7571554610583,1.33893542144677,0.247631538801397,0.616830647704762,-4.65561363074879,FALSE,20.9035398792857,22.0416939883158,1,3
"9","sp|A4D1E1|Z804B_HUMAN",6.6933147633518,21.1166482091776,10.8227806252093,0.00544664999799513,0.427522692156169,-3.31688393531006,FALSE,17.7699908275017,24.4633055908535,1,1
"10","sp|A4D1E9|GTPBA_HUMAN",-0.568299859630525,23.4200913315279,-1.77688163586137,0.100393661297607,0.546810032000127,-4.53783756716011,FALSE,23.7042412613431,23.1359414017126,6,6
"11","sp|A4D1P6|WDR91_HUMAN",0.226026111341277,23.8773738447415,0.438880590755008,0.669849505294179,0.845023441287058,-5.76205588799095,FALSE,23.7643607890709,23.9903869004121,5,5
