"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"1","sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",-0.156165284413201,26.6041504550913,-0.654786691821881,0.525460787637704,0.894122675284906,-5.82596264993692,FALSE,26.6822330972979,26.5260678128847,6,6
"2","sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3","sp|A0AV96|RBM47_HUMAN",-0.00571264891384541,22.2307645646694,-0.0278767430177273,0.978402269440707,0.993635791535714,-5.90096520185158,FALSE,22.2333035197422,22.2275908708283,5,4
"4","sp|A0AVT1|UBA6_HUMAN",-0.842387774880194,25.9056971494226,-2.80583569898692,0.0164254550568047,0.46698041208459,-3.01401286906872,FALSE,26.3268910368627,25.4845032619825,6,6
"5","sp|A0FGR8|ESYT2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"6","sp|A0MZ66|SHOT1_HUMAN",0.154095434132015,25.9549125144011,0.775958199246358,0.453406885030928,0.88183263640299,-5.74099391447516,FALSE,25.8778647973351,26.0319602314671,6,6
"7","sp|A0PJW6|TM223_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"8","sp|A1L0T0|HACL2_HUMAN",-0.260706339958164,24.0050462841181,-1.54350361532824,0.149715242284474,0.702313997239866,-4.93637758364913,FALSE,24.1353994540972,23.8746931141391,6,6
"9","sp|A1L170|CA226_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"10","sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"11","sp|A2RRP1|NBAS_HUMAN",0.864613035155498,23.4051900999991,1.98647040300667,0.0712873660989817,0.626361248638158,-4.31548497593258,FALSE,22.9728835824214,23.8374966175769,6,6
"12","sp|A2RTX5|SYTC2_HUMAN",-3.00526865415972,22.9861633484087,-1.29780598745728,0.256597404580896,0.783904983030924,-4.87786017390668,FALSE,24.1882708100726,21.1830021559129,3,2
"13","sp|A3KMH1|VWA8_HUMAN",-0.239824649767889,23.6232804461482,-1.04598582246884,0.317014844563746,0.813158325639393,-5.50669990626854,FALSE,23.7431927710322,23.5033681212643,6,6
"14","sp|A3KN83|SBNO1_HUMAN",1.15228940156783,21.678047269772,1.2964895751831,0.273215275676371,0.793473382171946,-4.73956233621538,FALSE,20.8138302185961,21.966119620164,1,3
"15","sp|A4D1E1|Z804B_HUMAN",6.96845215812572,20.8802151792686,16.1292176592897,0.0110220614831406,0.449875014787482,-3.59119687628395,FALSE,17.3959891002057,24.3644412583314,1,1
"16","sp|A4D1E9|GTPBA_HUMAN",-0.366186975078084,23.4388837941234,-1.61034332596855,0.134358156219305,0.685902688728049,-4.84843735431563,FALSE,23.6219772816624,23.2557903065843,6,6
"17","sp|A4D1P6|WDR91_HUMAN",0.449372678739165,23.8563381414478,0.769437746509257,0.460293339044602,0.885219343907569,-5.66028815394281,FALSE,23.6316518020782,24.0810244808174,5,5
"18","sp|A4FU69|EFCB5_HUMAN",6.96307061089201,23.4951928606888,16.1167615004891,0.0110349780973593,0.449875014787482,-3.59122841525444,FALSE,20.0136575552428,26.9767281661348,1,1
"19","sp|A5A3E0|POTEF_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"20","sp|A5D8V6|VP37C_HUMAN",0.308197267266132,22.8759115463715,0.218421723060134,0.832240769555331,0.964853480085278,-5.87674341546073,FALSE,22.7046908423348,23.0128881096009,4,5
"21","sp|A5PLN9|TPC13_HUMAN",-0.697550604820095,22.3509451413677,-2.39747174531061,0.041529416569874,0.541642442254427,-3.67696609890768,FALSE,22.6609676323988,21.9634170275787,5,4
"22","sp|A5YKK6|CNOT1_HUMAN",0.272394865208411,25.4964411860651,0.831953457800368,0.422342803578967,0.869540163266577,-5.69737205301662,FALSE,25.3602437534609,25.6326386186693,6,6
"23","sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"24","sp|A6NCS6|CB072_HUMAN",1.26108279455244,25.4854342609863,4.51476172107094,0.000783423759068225,0.291756284282061,-0.250145489936338,FALSE,24.8548928637101,26.1159756582625,6,6
"25","sp|A6NDB9|PALM3_HUMAN",-0.152069653956542,22.5427080104721,-0.601051871568936,0.561838720142634,0.903296918200164,-5.75482900208384,FALSE,22.6035358720547,22.4514662180982,6,4
"26","sp|A6NDG6|PGP_HUMAN",-0.440721683685116,27.9629461776375,-0.529952257470705,0.606206434856803,0.907919849481917,-5.89948516130952,FALSE,28.1833070194801,27.742585335795,6,6
"27","sp|A6NDU8|CE051_HUMAN",0.488026977818207,24.1448964508759,1.24244490902006,0.241048761653874,0.771762125328672,-5.25925399565875,FALSE,23.923066006413,24.4110929842312,6,5
"28","sp|A6NED2|RCCD1_HUMAN",-0.319908680215044,23.2596024136996,-0.621230247980002,0.5490291792516,0.899224528611431,-5.74264464276385,FALSE,23.3875658857856,23.0676572055706,6,4
"29","sp|A6NH11|GLTD2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"30","sp|A6NHL2|TBAL3_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"31","sp|A6NHQ2|FBLL1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"32","sp|A6NHR9|SMHD1_HUMAN",-0.234720592286851,25.7413731454539,-1.47438564480147,0.167168895708516,0.728480990920619,-5.02480542235339,FALSE,25.8587334415973,25.6240128493105,6,6
"33","sp|A6NHX0|CAST2_HUMAN",-0.321912127931587,22.3422404978166,-1.56266877402794,0.150719219080525,0.70381802193098,-4.82741800128297,FALSE,22.4710053489892,22.1490932210576,6,4
"34","sp|A6NIH7|U119B_HUMAN",0.402183976792548,23.7490238728335,0.665933387957732,0.54650530116587,0.898325741498192,-5.21084171713916,FALSE,23.4473858902391,23.8495698670316,1,3
"35","sp|A6NJ78|MET15_HUMAN",0.00406713955808475,23.0147756988319,0.0229463317201073,0.982122426848882,0.994927516212079,-5.9966555441104,FALSE,23.0129269990328,23.0169941385909,6,5
"36","sp|A6NLJ0|C2C4B_HUMAN;sp|O75161|NPHP4_HUMAN;sp|Q8NCU7|C2C4A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"37","sp|A6PVI3|NCB2L_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"38","sp|A7E2Y1|MYH7B_HUMAN",0.188758868570909,24.2493483814428,0.17042331216669,0.869842222346936,0.971900228455474,-5.76720929351381,FALSE,24.1414861708309,24.3302450394018,3,4
"39","sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN",0.0621835518939234,27.6339994050838,0.446935045050408,0.663206558100217,0.926559392469901,-5.94021544344363,FALSE,27.6029076291369,27.6650911810308,6,6
"40","sp|A8MWX3|WASH4_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"41","sp|A8MXV4|NUD19_HUMAN",0.51810930455318,21.3057512253284,1.78689964755002,0.109468675274739,0.654505389919649,-4.51540134633424,FALSE,21.0179127227989,21.5360220273521,4,5
"42","sp|A9QM74|IMA8_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"43","sp|B2RUZ4|SMIM1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"44","sp|B7ZAP0|RBG10_HUMAN",-1.44497966972163,26.2768944821725,-4.90193186320498,0.0240794196614716,0.492020929976098,-3.16106857957283,FALSE,26.7585543720797,25.3135747023581,2,1
"45","sp|B7ZAQ6|GPHRA_HUMAN;sp|P0CG08|GPHRB_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"46","sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"47","sp|C9JLW8|MCRI1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"48","sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN",0.167930389953048,29.5185419926358,1.34426799740199,0.204730304794843,0.755713380732134,-5.18381944125677,FALSE,29.4345767976593,29.6025071876123,6,6
"49","sp|E9PRG8|CK098_HUMAN",0.115005785569846,26.7132552789225,0.851321046323732,0.411934642894839,0.866768775307582,-5.68166086439145,FALSE,26.6557523861376,26.7707581717075,6,6
