"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",97308547.1155313,116820190.606369,97866195.8144124,107997602.31511,127304141.836947,101942863.470831,52465829.5609177,90490735.0385286,80829304.3340703,97700437.2413815,125125245.220664,173604717.410973
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0AV96|RBM47_HUMAN",4651976.1507749,NA,3775170.22183407,6391067.51028961,5240644.48135094,4953637.11514461,4663168.91221905,4213708.40905708,NA,4254551.80517612,NA,6958039.53063465
"sp|A0AVT1|UBA6_HUMAN",49350643.5201699,177700346.437622,89301274.2649299,66104136.7344901,82300332.4597813,83489986.2917736,82232870.0778539,36639332.5469545,38997533.6840303,35507858.2640868,56416240.1288942,45482117.7557102
"sp|A0FGR8|ESYT2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0MZ66|SHOT1_HUMAN",53261606.6653124,63320765.7485074,68070105.5430469,55252752.3206753,70455733.028607,61502683.714797,38996074.1392179,88776707.6592835,71537178.8670245,96337330.8075955,73022628.5087745,59882710.6689758
"sp|A0PJW6|TM223_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A1L0T0|HACL2_HUMAN",16263365.3112317,21343084.4516804,17762447.533643,17711404.3983683,16195535.7259981,22144018.3214001,9447343.23088095,17423480.5062094,17896606.0074233,14613242.6367162,17013222.2033907,18081902.9201463
"sp|A1L170|CA226_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A2RRP1|NBAS_HUMAN",5774360.41060921,8075192.14866227,6085152.95156399,8878489.08427918,15129307.8788162,8167250.84062146,61110844.3690806,11687584.0365031,9692067.47645943,14874067.7912204,10940879.7133115,10070883.2360197
"sp|A2RTX5|SYTC2_HUMAN",4452159.42131478,NA,NA,400776070.501351,3914827.95984112,NA,NA,2602620.21831185,NA,2177846.64383265,NA,NA
"sp|A3KMH1|VWA8_HUMAN",13720760.2223057,16934343.2410873,9420682.43615531,17939378.7368313,16152567.2563822,12083742.0878996,8665170.49630253,8618534.29431516,14600714.0799838,9541203.55997607,16498416.4758216,16469589.5115731
"sp|A3KN83|SBNO1_HUMAN",NA,NA,NA,NA,NA,1843262.63887938,3171552.43431825,NA,NA,NA,2439318.96340103,8888780.75208062
"sp|A4D1E1|Z804B_HUMAN",NA,NA,NA,NA,172470.381258066,NA,21598701.6949114,NA,NA,NA,NA,NA
"sp|A4D1E9|GTPBA_HUMAN",9949289.93619438,15737835.3549663,9914847.28603263,11056108.6011888,24588436.2781211,10969478.767457,9306686.99339529,10682584.4090951,8126310.10626717,8610455.11038375,11533103.1910004,12583620.549035
"sp|A4D1P6|WDR91_HUMAN",24997739.1675256,3484117.5156278,NA,20946004.5748461,20719985.3752948,9810610.45809572,22432476.9254021,36345710.5400397,18194372.9089746,NA,13648437.8181591,8693667.87660594
"sp|A4FU69|EFCB5_HUMAN",NA,NA,NA,NA,NA,1058549.68456453,132070056.270867,NA,NA,NA,NA,NA
"sp|A5A3E0|POTEF_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A5D8V6|VP37C_HUMAN",NA,3040531.64051884,65056370.8505618,2220886.62681794,4970570.00242789,NA,NA,36359934.9101337,2317715.36528488,70858556.0726428,2465183.91156243,2950687.51616319
"sp|A5PLN9|TPC13_HUMAN",4208073.30677392,9907865.86063919,NA,7552183.86026127,5098138.93224385,7991113.60163731,6049439.58010043,3827940.40681557,NA,3356490.54198348,3597688.77362017,NA
"sp|A5YKK6|CNOT1_HUMAN",70513480.8959309,57013924.2408994,30439475.4754702,37646415.2432617,36388316.6476303,38088034.0219135,57633595.9825353,67335578.5120984,25954394.2765389,80984026.8321915,79053599.225409,30740174.3789267
"sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NCS6|CB072_HUMAN",48651449.2012814,36431226.8230404,39100925.9373465,33652353.498296,19221528.9948452,17412043.8819107,121155627.885901,68046277.46491,71604299.738265,73017352.0412426,64858217.7961402,52926610.0979538
"sp|A6NDB9|PALM3_HUMAN",4531842.18986956,6428231.32351608,7700875.95576314,9122352.30355737,4025889.21302873,8131651.73678985,NA,NA,5572844.24844265,6349989.64954232,4588673.00685015,6663801.92707917
"sp|A6NDG6|PGP_HUMAN",197331059.688314,596386902.144494,654804155.855384,586876023.61343,432684564.297008,40980004.1167281,163322929.819516,40769522.1415643,526905249.629299,125568146.29005,545537696.899523,533681935.191223
"sp|A6NDU8|CE051_HUMAN",15070135.5678183,12131587.6655313,28457996.8305211,9705918.71869179,10760430.9734372,29802815.5150934,NA,24110452.8419534,15594467.8566118,30831072.2020103,37985773.4708355,12547885.4912177
"sp|A6NED2|RCCD1_HUMAN",14952827.8181986,3651749.01911168,21064407.6792891,16727091.6250487,7702996.34089936,11784183.8782604,12196407.4666173,4058961.99034849,11095356.6499457,10875239.1972182,NA,NA
"sp|A6NH11|GLTD2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NHL2|TBAL3_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NHQ2|FBLL1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NHR9|SMHD1_HUMAN",76708179.9120739,68377519.9254067,42331256.6678724,59553664.5821106,63484420.7355794,60469260.6720239,53359949.5322521,37149774.0823284,58362735.4156075,49527234.6169961,57734255.4487861,57808804.2905146
"sp|A6NHX0|CAST2_HUMAN",6701603.05190183,5709384.3354587,5673957.80021659,8266380.736972,5822600.07744542,3694821.05392815,5537125.56964388,NA,4203115.69404515,NA,4290869.0048578,4685595.26371126
"sp|A6NIH7|U119B_HUMAN",NA,NA,11438431.4250514,NA,NA,NA,25231637.1784141,11955587.429931,NA,11449628.3579583,NA,NA
"sp|A6NJ78|MET15_HUMAN",8002385.30194737,7566394.63990341,9913601.5048988,8620636.28685522,6866725.86406233,10348060.3235753,NA,8738826.32172877,5954693.68944869,9601868.56994648,11434853.4513076,7711330.80655553
"sp|A6NLJ0|C2C4B_HUMAN;sp|O75161|NPHP4_HUMAN;sp|Q8NCU7|C2C4A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6PVI3|NCB2L_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A7E2Y1|MYH7B_HUMAN",NA,NA,4749838.33016625,35419310.1275595,37671724.9095571,NA,NA,34520890.0553785,NA,4200183.31350722,25585744.6651186,53356329.2085369
"sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN",208763229.181596,197719578.34447,200925084.901561,186686997.098889,267926802.646179,172962084.218888,172001818.60909,242016785.852487,268651607.476177,205759068.727023,182664052.687853,221082121.716908
"sp|A8MWX3|WASH4_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A8MXV4|NUD19_HUMAN",1990938.62818435,NA,2232208.78604926,NA,2491282.56661356,1836001.48545154,5072577.5146708,1942364.36881782,3168428.61431327,NA,2149683.34409493,3874050.47041138
"sp|A9QM74|IMA8_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|B2RUZ4|SMIM1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|B7ZAP0|RBG10_HUMAN",NA,117126710.823343,NA,NA,NA,110052285.384211,NA,NA,NA,NA,NA,41700886.053684
"sp|B7ZAQ6|GPHRA_HUMAN;sp|P0CG08|GPHRB_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|C9JLW8|MCRI1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN",762509120.445709,631482885.04609,832865548.235988,840495317.758061,632137919.625237,684880007.055795,859197866.749841,1000814586.0382,798744352.506242,882328584.570843,729624502.625497,663546382.333065
"sp|E9PRG8|CK098_HUMAN",103369996.533729,85388410.2804207,119658114.175221,117757017.513972,96851499.9837413,115946439.990842,95643094.6929321,157795712.866311,110935892.973237,108846713.495701,116900062.679444,105768496.342741
"sp|O00116|ADAS_HUMAN",22617707.4102021,17396089.1160859,27926448.7963853,13526857.8737675,19714093.5375984,20947312.8278293,31149759.1322966,15041908.2701432,34890496.4376554,20217637.3059679,23709347.6518558,38974130.0443137
"sp|O00139|KIF2A_HUMAN",8573963.22297593,8551584.46778357,6576314.72639023,9937940.61302403,9325683.69447066,8754891.18560893,NA,22862975.2936502,6584623.07704884,7127297.19856535,NA,8933411.39003149
"sp|O00142|KITM_HUMAN",NA,NA,19147191.0153377,NA,NA,NA,NA,NA,NA,NA,4627838.15289034,NA
"sp|O00148|DX39A_HUMAN",61261409.4094142,56382000.3363556,58609632.7374741,40757319.3556349,46806564.2339388,58167737.2150038,40864546.5195259,57768410.3911377,52255290.2077686,58863852.2333713,40710397.780093,41366966.9824727
"sp|O00151|PDLI1_HUMAN",93705976.7195473,97426751.2751449,124620504.44236,94041481.2921752,142972794.625601,100705278.632571,33659336.2181196,167121193.794268,154579855.96097,140990992.524556,115249059.35608,95166111.1570067
"sp|O00154|BACH_HUMAN",110048570.035785,100999959.077568,86676062.407179,111670015.052049,83251033.0635093,95771619.1647805,123841125.259544,95564230.9912494,94110868.471807,95643491.7648746,96552964.7497298,94194420.0363521
"sp|O00159|MYO1C_HUMAN",770675024.690672,424921666.077631,517994370.410682,408069280.231926,396749562.508858,731391267.232301,595698350.010199,68495172.7190553,43781857.9561464,70102056.0517057,448253769.784629,60106850.86313
"sp|O00160|MYO1F_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16325608.4275143,NA
"sp|O00161|SNP23_HUMAN",18155273.7387798,15220503.9674578,14621911.6722176,13994057.8488174,34168425.2335661,14649672.5800401,NA,11694076.737183,19469411.8726881,28219942.9356821,14642693.3321636,15490058.9489024
"sp|O00165|HAX1_HUMAN",NA,10539370.1687612,8309160.65765669,NA,9485405.28495835,6278220.4760336,NA,NA,12073963.0789325,12414225.1023856,9976936.74593447,10230124.554779
"sp|O00168|PLM_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00170|AIP_HUMAN",84176905.1640406,77089038.8857199,76305470.7314506,87575999.0224238,77529038.7857968,75491065.0942705,88911699.9357897,68444327.9453729,73672489.4247164,84279526.7167749,73304467.8649275,72900080.6635499
"sp|O00178|GTPB1_HUMAN",9325505.53075283,9699206.10753245,7702130.92462658,9465163.26703059,11383390.4458368,13326457.752835,9513040.63972357,9130822.39761638,10691969.2844759,8390605.01966291,12108065.0279988,11326161.1875511
"sp|O00186|STXB3_HUMAN",44193231.9990081,39773824.9214939,34324022.8057926,39119994.9244509,39761277.4664209,40513179.7045421,29707468.3132777,35582325.8243736,33488550.8044215,45240335.7015361,34323518.9381124,49992301.8064592
"sp|O00193|SMAP_HUMAN",461700166.723997,380543933.222287,494627975.951493,482804243.874453,390470446.555468,418162404.691558,537291687.396183,570018598.532482,472346118.315561,501365478.513601,427292349.530467,415358163.445188
"sp|O00203|AP3B1_HUMAN",52087537.6935251,185514208.060945,45143879.4592871,71192942.2621353,60810883.9432598,52268138.5444169,62797733.1601645,50545660.2400502,131154983.060712,44231718.4385632,66374857.0953107,48730508.5647665
"sp|O00214|LEG8_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00217|NDUS8_HUMAN",104580973.352962,122250635.507414,113779816.01825,98323606.2275664,131871539.378816,62446742.3537528,92530082.6489086,125415788.919705,120751408.369956,76758493.9203689,108914344.924095,142938385.881177
"sp|O00221|IKBE_HUMAN",4067372.80349562,2687683.95392708,NA,NA,737104915.881763,1799435.32416004,NA,3690598.24858921,NA,2488100.66939423,515736.04221416,1544801.24650025
"sp|O00231|PSD11_HUMAN",356435251.926108,335126253.341978,296995756.468288,397207664.584237,311019682.358284,329467483.542997,361791523.785772,261359678.27384,275531374.588268,269652859.535834,308260997.602831,289303816.316501
"sp|O00232|PSD12_HUMAN",203403878.026607,186475007.725071,176896570.89507,191135240.253315,168071503.022003,187624119.961201,193096108.303129,177045309.583684,152004753.656065,190462572.492835,171158129.68691,149322106.217634
"sp|O00233|PSMD9_HUMAN",13638758.4463045,13809097.7207692,21806831.7335145,NA,20417518.2559201,14897975.4600321,NA,15056306.5518625,19851316.3542616,21741997.9341728,21555235.683691,19453948.3636972
"sp|O00244|ATOX1_HUMAN",11606901.2158487,13802750.7470258,6870764.96011731,25610384.9622895,23035929.1463872,9500477.35782529,5017144.39219208,40859571.4952041,45505493.6901218,51938023.9814093,37628618.4114202,12326487.1724561
"sp|O00255|MEN1_HUMAN",11552561.2715639,4827221.88124042,NA,3173603.42865439,13083033.990512,NA,6719118.20127726,NA,11881851.6837944,8697795.9554015,8872215.14349258,NA
"sp|O00257|CBX4_HUMAN",12910711.8505186,NA,NA,NA,NA,4445053.16150718,NA,NA,NA,NA,12762748.106814,NA
