"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN","BaP vs Control",0.0674257584585791,0.1780934693289,0.378597590987787,10,0.712900411935502,0.942308654392961,NA,0.261904761904762,0.261904761904762
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN","BaP vs Control",0.404912787141272,0.171976775500407,2.35446202525361,2,0.142753956090637,0.765906644161668,NA,0.666666666666667,0
"sp|A0AV96|RBM47_HUMAN","BaP vs Control",0.103853072682152,0.118532317728464,0.876158288915438,6,0.414640456552605,0.874473030438734,NA,0.541666666666667,0.208333333333333
"sp|A0AVT1|UBA6_HUMAN","BaP vs Control",0.202690090849669,0.132093697819786,1.53444179544581,10,0.15592993365279,0.775266364695552,NA,0.37797619047619,0.37797619047619
"sp|A0FGR8|ESYT2_HUMAN","BaP vs Control",0.489106922083306,0.664549981944724,0.735997194149333,3,0.515057171677121,0.908367604073466,NA,0.583333333333333,0
"sp|A0MZ66|SHOT1_HUMAN","BaP vs Control",0.081789148464678,0.185024806549817,0.442044231742821,10,0.667863708553265,0.939063370475363,NA,0.25,0.25
"sp|A0PJW6|TM223_HUMAN","BaP vs Control",-0.250049391568355,0.129304912969236,-1.93379652657008,1,0.303825280707361,0.84712614672591,NA,0.75,0
"sp|A1L0T0|HACL2_HUMAN","BaP vs Control",0.42610575008291,0.139685420551103,3.05046688768082,10,0.012241956745259,0.468440642136201,NA,0.402777777777778,0.402777777777778
"sp|A1L170|CA226_HUMAN","BaP vs Control",0.0505310206820494,0.134329313681572,0.37617270048616,5,0.722221791287611,0.942308654392961,NA,0.416666666666667,0
"sp|A2RRP1|NBAS_HUMAN","BaP vs Control",-0.137616207319446,0.177743292505527,-0.774241353243569,10,0.456702822860239,0.885461468286399,NA,0.4375,0.4375
"sp|A2RTX5|SYTC2_HUMAN","BaP vs Control",3.46432017786422,3.54594131080314,0.976981815042947,2,0.431611917914001,0.877758172616654,NA,0.666666666666667,0
"sp|A3KMH1|VWA8_HUMAN","BaP vs Control",0.11177974329535,0.117764454834838,0.949180662807965,10,0.36490333362044,0.859117182727081,NA,0.425,0.425
"sp|A3KN83|SBNO1_HUMAN","BaP vs Control",-0.36713040703543,0.0806627727173414,-4.55142309974799,2,0.0450370649973033,0.645557963201098,NA,0.666666666666667,0
"sp|A4D1E9|GTPBA_HUMAN","BaP vs Control",0.0855646502800317,0.0817039017641478,1.04725292712493,10,0.319635282173815,0.853029556744942,NA,0.472222222222222,0.472222222222222
"sp|A4D1P6|WDR91_HUMAN","BaP vs Control",-0.0572243361877858,0.191327072682112,-0.299091683082735,8,0.772492583771163,0.958228193681123,NA,0.625,0.458333333333333
"sp|A5D8V6|VP37C_HUMAN","BaP vs Control",0.0222805207888554,0.404560912138687,0.0550733403063356,4,0.958721074233343,0.995293341057975,NA,0.5,0
"sp|A5PLN9|TPC13_HUMAN","BaP vs Control",0.107856542564033,0.128250183981176,0.840985480222498,7,0.428145655762148,0.877457285019833,NA,0.25,0
"sp|A5YKK6|CNOT1_HUMAN","BaP vs Control",0.0853131651335875,0.0640147310670617,1.3327114511223,10,0.212194977941191,0.813957855671778,NA,0.329365079365079,0.329365079365079
"sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN","BaP vs Control",-0.264777516901914,0.419458849302565,-0.631235977837062,3,0.57270166493228,0.921935055131052,NA,0.583333333333333,0
