"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|A0AV96|RBM47_HUMAN","BaP vs Control",0.104803336440129,0.115820399480239,0.904878043163808,6,0.400403544171228,0.869824381592056,NA,0.541666666666667,0.208333333333333
"sp|A0AVT1|UBA6_HUMAN","BaP vs Control",0.202581216269046,0.132312305079993,1.53108372004078,10,0.156748674563464,0.7625794779057,NA,0.37797619047619,0.37797619047619
"sp|A0MZ66|SHOT1_HUMAN","BaP vs Control",0.0812177153160901,0.18471758116953,0.439685896717921,10,0.669514627381081,0.935927496792167,NA,0.25,0.25
"sp|A1L0T0|HACL2_HUMAN","BaP vs Control",0.42297183651901,0.138253297558348,3.05939781537943,10,0.0120568579513733,0.43055350663109,NA,0.402777777777778,0.402777777777778
"sp|A2RRP1|NBAS_HUMAN","BaP vs Control",-0.138930262405614,0.17672231946475,-0.786150062009151,10,0.450006730212697,0.881611335568465,NA,0.4375,0.4375
"sp|A2RTX5|SYTC2_HUMAN","BaP vs Control",3.4509816466161,3.55344161417436,0.971165990979124,2,0.433908961556656,0.879290381429275,NA,0.666666666666667,0
"sp|A3KMH1|VWA8_HUMAN","BaP vs Control",0.110591262958292,0.115740250148857,0.955512562103996,10,0.361846559914921,0.862683507253264,NA,0.425,0.425
"sp|A3KN83|SBNO1_HUMAN","BaP vs Control",-0.368859976231972,0.0666777684677948,-5.53197841961568,2,0.0311576248875525,0.570958899642962,NA,0.666666666666667,0
"sp|A4D1E9|GTPBA_HUMAN","BaP vs Control",0.0844149881501286,0.0811656989940484,1.04003278720385,10,0.322817261345532,0.853212184165193,NA,0.472222222222222,0.472222222222222
"sp|A4D1P6|WDR91_HUMAN","BaP vs Control",-0.0580613052482066,0.190800571774549,-0.304303622930502,8,0.768661763003132,0.961485351921729,NA,0.625,0.458333333333333
"sp|A5D8V6|VP37C_HUMAN","BaP vs Control",0.0100286274653325,0.406981934666922,0.0246414560723439,4,0.981521245436541,0.998778221277157,NA,0.5,0
"sp|A5PLN9|TPC13_HUMAN","BaP vs Control",0.100747456086191,0.127773582170706,0.78848424200546,7,0.456281553303152,0.884161857968083,NA,0.25,0
"sp|A5YKK6|CNOT1_HUMAN","BaP vs Control",0.085224309797107,0.063471927241903,1.3427087139217,10,0.20904893144131,0.812069395323894,NA,0.329365079365079,0.329365079365079
"sp|A6NCS6|CB072_HUMAN","BaP vs Control",0.130800458943186,0.144946768591237,0.902403414815374,10,0.388061927965242,0.865030494801754,NA,0.229166666666667,0.229166666666667
"sp|A6NDB9|PALM3_HUMAN","BaP vs Control",0.0120390147311113,0.149477652320164,0.0805405660595015,8,0.937785744146671,0.99366494770336,NA,0.361111111111111,0.194444444444444
"sp|A6NDG6|PGP_HUMAN","BaP vs Control",-0.0206464989959608,0.128006765547081,-0.161292248169235,10,0.875075308110562,0.984791750289163,NA,0.34375,0.34375
"sp|A6NDU8|CE051_HUMAN","BaP vs Control",0.0549643075758935,0.116841813604036,0.470416419263752,9,0.649248796130963,0.931052060459702,NA,0.416666666666667,0.333333333333333
"sp|A6NED2|RCCD1_HUMAN","BaP vs Control",0.267057318852667,0.25005847692666,1.06797946678286,6,0.326603301623539,0.853212184165193,NA,0.333333333333333,0
"sp|A6NHR9|SMHD1_HUMAN","BaP vs Control",0.0447895934272787,0.0859766087144303,0.520950920221179,10,0.613740515876799,0.925911343331495,NA,0.397727272727273,0.397727272727273
"sp|A6NHX0|CAST2_HUMAN","BaP vs Control",0.00486212936610552,0.17151074692823,0.0283488320888727,8,0.978078371994519,0.998561739112078,NA,0.5,0.333333333333333
"sp|A6NIH7|U119B_HUMAN","BaP vs Control",-0.0603575921686066,0.0872894768925251,-0.691464702474064,1,0.614861222101471,0.925911343331495,NA,0.75,0
"sp|A6NJ78|MET15_HUMAN","BaP vs Control",0.240833144871575,0.0959086969161013,2.51106680223432,9,0.0332524989736811,0.583148911194384,NA,0.5,0.416666666666667
"sp|A7E2Y1|MYH7B_HUMAN","BaP vs Control",-0.154110818042894,1.32959439442225,-0.115908143633427,5,0.912236674618666,0.992294945281815,NA,0.416666666666667,0
"sp|A8MXV4|NUD19_HUMAN","BaP vs Control",0.220121100748188,0.120839052221962,1.82160565397237,6,0.118356740878844,0.737672076160234,NA,0.333333333333333,0
