"Protein","LogIntensities","GROUP","SUBJECT"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.1737611147761,"BaP",1
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.4097547402384,"BaP",2
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.3307533833725,"BaP",3
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.096933610284,"BaP",4
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.5230857608738,"BaP",5
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.1712984010964,"BaP",6
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",24.6148082915671,"Control",7
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.0585133563336,"Control",8
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.034920806606,"Control",9
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.30667828602,"Control",10
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.5323450412646,"Control",11
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.7537666780985,"Control",12
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",26.2102420461732,"BaP",2
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",26.1262222533266,"BaP",5
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",25.9207416827448,"BaP",6
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",25.6808225402736,"Control",8
"sp|A0AV96|RBM47_HUMAN",22.1429813029125,"BaP",1
"sp|A0AV96|RBM47_HUMAN",21.7587763379672,"BaP",3
"sp|A0AV96|RBM47_HUMAN",22.2027692026018,"BaP",4
"sp|A0AV96|RBM47_HUMAN",22.0494060960144,"BaP",5
"sp|A0AV96|RBM47_HUMAN",22.1451329557604,"BaP",6
"sp|A0AV96|RBM47_HUMAN",21.8426170526631,"Control",8
"sp|A0AV96|RBM47_HUMAN",21.930695051656,"Control",10
"sp|A0AV96|RBM47_HUMAN",22.0945682147881,"Control",12
"sp|A0AVT1|UBA6_HUMAN",23.6925541505494,"BaP",1
"sp|A0AVT1|UBA6_HUMAN",23.779576737941,"BaP",2
"sp|A0AVT1|UBA6_HUMAN",23.5572293000061,"BaP",3
"sp|A0AVT1|UBA6_HUMAN",23.5147024199953,"BaP",4
"sp|A0AVT1|UBA6_HUMAN",23.7788977602213,"BaP",5
"sp|A0AVT1|UBA6_HUMAN",23.3619495760121,"BaP",6
"sp|A0AVT1|UBA6_HUMAN",23.8095399498636,"Control",7
"sp|A0AVT1|UBA6_HUMAN",22.9825309324938,"Control",8
"sp|A0AVT1|UBA6_HUMAN",23.3552082243618,"Control",9
"sp|A0AVT1|UBA6_HUMAN",23.2836865102593,"Control",10
"sp|A0AVT1|UBA6_HUMAN",23.5417801526017,"Control",11
"sp|A0AVT1|UBA6_HUMAN",23.4960236300471,"Control",12
"sp|A0FGR8|ESYT2_HUMAN",24.2864553096752,"BaP",1
"sp|A0FGR8|ESYT2_HUMAN",22.8851510606801,"BaP",4
"sp|A0FGR8|ESYT2_HUMAN",24.0633745737176,"BaP",5
"sp|A0FGR8|ESYT2_HUMAN",22.7784039394889,"Control",9
"sp|A0FGR8|ESYT2_HUMAN",23.733369512393,"Control",10
"sp|A0MZ66|SHOT1_HUMAN",24.8833327090321,"BaP",1
"sp|A0MZ66|SHOT1_HUMAN",25.1965334307338,"BaP",2
"sp|A0MZ66|SHOT1_HUMAN",25.279702898754,"BaP",3
"sp|A0MZ66|SHOT1_HUMAN",24.9914932141521,"BaP",4
"sp|A0MZ66|SHOT1_HUMAN",25.2833756275178,"BaP",5
"sp|A0MZ66|SHOT1_HUMAN",25.1281090328766,"BaP",6
"sp|A0MZ66|SHOT1_HUMAN",24.3037442719428,"Control",7
"sp|A0MZ66|SHOT1_HUMAN",25.3409512463035,"Control",8
"sp|A0MZ66|SHOT1_HUMAN",25.2376675958728,"Control",9
"sp|A0MZ66|SHOT1_HUMAN",25.3572760314936,"Control",10
"sp|A0MZ66|SHOT1_HUMAN",25.2644069826246,"Control",11
"sp|A0MZ66|SHOT1_HUMAN",24.767765894041,"Control",12
"sp|A0PJW6|TM223_HUMAN",23.2724195433585,"BaP",3
"sp|A0PJW6|TM223_HUMAN",23.4478147086165,"Control",10
"sp|A0PJW6|TM223_HUMAN",23.5971231612372,"Control",12
"sp|A1L0T0|HACL2_HUMAN",23.130529742282,"BaP",1
"sp|A1L0T0|HACL2_HUMAN",23.4370120881087,"BaP",2
"sp|A1L0T0|HACL2_HUMAN",22.8602900171902,"BaP",3
"sp|A1L0T0|HACL2_HUMAN",22.9228957479218,"BaP",4
"sp|A1L0T0|HACL2_HUMAN",23.5930577237611,"BaP",5
"sp|A1L0T0|HACL2_HUMAN",23.1022088635752,"BaP",6
"sp|A1L0T0|HACL2_HUMAN",22.4700644946612,"Control",7
"sp|A1L0T0|HACL2_HUMAN",22.6578047258933,"Control",8
"sp|A1L0T0|HACL2_HUMAN",23.0027727221841,"Control",9
"sp|A1L0T0|HACL2_HUMAN",22.7815047345633,"Control",10
"sp|A1L0T0|HACL2_HUMAN",22.8817542153641,"Control",11
"sp|A1L0T0|HACL2_HUMAN",22.6954587896755,"Control",12
"sp|A1L170|CA226_HUMAN",21.9298351672374,"BaP",1
"sp|A1L170|CA226_HUMAN",21.6477393195697,"BaP",3
"sp|A1L170|CA226_HUMAN",22.1105449626696,"BaP",6
"sp|A1L170|CA226_HUMAN",21.6786098623286,"Control",7
"sp|A1L170|CA226_HUMAN",21.8258220995085,"Control",8
"sp|A1L170|CA226_HUMAN",21.949008046908,"Control",9
"sp|A1L170|CA226_HUMAN",21.9285951744956,"Control",11
"sp|A2RRP1|NBAS_HUMAN",21.544348714945,"BaP",1
"sp|A2RRP1|NBAS_HUMAN",21.953878957391,"BaP",2
"sp|A2RRP1|NBAS_HUMAN",21.4458414740623,"BaP",3
"sp|A2RRP1|NBAS_HUMAN",21.7625432500534,"BaP",4
"sp|A2RRP1|NBAS_HUMAN",22.1048021282138,"BaP",5
"sp|A2RRP1|NBAS_HUMAN",21.7859680886564,"BaP",6
"sp|A2RRP1|NBAS_HUMAN",22.1771266942391,"Control",7
"sp|A2RRP1|NBAS_HUMAN",21.9176820200519,"Control",8
"sp|A2RRP1|NBAS_HUMAN",22.1573125981549,"Control",9
"sp|A2RRP1|NBAS_HUMAN",21.2278943248199,"Control",10
"sp|A2RRP1|NBAS_HUMAN",22.1137665140674,"Control",11
"sp|A2RRP1|NBAS_HUMAN",21.8292977059052,"Control",12
"sp|A2RTX5|SYTC2_HUMAN",28.3732106006551,"BaP",4
"sp|A2RTX5|SYTC2_HUMAN",21.2830339705147,"BaP",5
"sp|A2RTX5|SYTC2_HUMAN",21.4415749693951,"Control",8
