"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",4.21227484045358,0.323058249699554,13.0387471744524,5,4.73300322902936e-05,0.0034976893862527,NA,0.505681818181818,0.380681818181818
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",5.94798727184541,0.225099517254171,26.4238117629068,6,1.93898840983309e-07,5.37342163074994e-05,NA,0.386904761904762,0.386904761904762
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.839988283980544,0.182424176114105,4.60458861250462,6,0.00367426931260084,0.185133069682638,NA,0.0227272727272727,0.0227272727272727
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",4.56375767370264,0.255600017725517,17.8550757324421,3,0.000383092045211253,0.0217773093393166,NA,0.519230769230769,0.144230769230769
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",4.18330005372689,0.220660918200518,18.9580469792365,6,1.39207841343136e-06,0.000181543402504549,NA,0.138888888888889,0.138888888888889
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-1.8471857454406,0.160458261952543,-11.5119391358416,6,2.58169579492318e-05,0.00238484149056029,NA,0.0993589743589743,0.0993589743589744
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.87843901463995,0.16879871651075,-11.1282778297685,6,3.13881721769604e-05,0.00259000112066726,NA,0.155405405405405,0.155405405405405
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",6.3180473955074,0.227912184983098,27.7214111916656,6,1.45728523026634e-07,4.7366624116117e-05,NA,0.477040816326531,0.477040816326531
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-2.0731598020541,0.186455482162773,-11.1187924216906,6,3.15426388173279e-05,0.00259000112066726,NA,0.025,0.025
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",5.19896579297153,0.207500519827397,25.0551940655191,6,2.66116340297273e-07,6.5553325159895e-05,NA,0.391666666666667,0.391666666666667
"12","P01133ups|EGF_HUMAN_UPS","UPS1-UPS2",0.540343012773542,0.436319186528795,1.23841222081551,6,0.261816030468505,0.888950418363234,NA,0.145833333333333,0.145833333333333
"13","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",6.71991846782329,0.375447467319082,17.898425353106,5,9.99570242776748e-06,0.000989736423309785,NA,0.392857142857143,0.267857142857143
"14","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",5.49636477739925,0.28104705466514,19.5567421403794,6,1.1581792866977e-06,0.00017117889857392,NA,0.46875,0.46875
"15","P01579ups|IFNG_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"16","P02144ups|MYG_HUMAN_UPS","UPS1-UPS2",1.73683176853308,0.18639890310383,9.31782183055881,6,8.65312004756369e-05,0.00599498973295272,NA,0.215,0.215
"17","P02741ups|CRP_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"18","P02753ups|RETBP_HUMAN_UPS","UPS1-UPS2",3.84392731772565,0.231425319457194,16.6097958803364,6,3.03797181722132e-06,0.000336759175938983,NA,0.25,0.25
"19","P02787ups|TRFE_HUMAN_UPS","UPS1-UPS2",5.03871815335827,0.079678460203579,63.2381466770858,6,1.05128350469386e-09,2.33069552990628e-06,NA,0.496575342465753,0.496575342465753
"20","P02788ups|TRFL_HUMAN_UPS","UPS1-UPS2",6.6341610623286,0.329578525024693,20.1292273573697,6,9.7629337814098e-07,0.000156338674875205,NA,0.494718309859155,0.494718309859155
"21","P04040ups|CATA_HUMAN_UPS","UPS1-UPS2",0.845724320921947,0.0962014912067695,8.79117683429875,6,0.000120144364482044,0.0080715168502028,NA,0.105769230769231,0.105769230769231
"22","P05413ups|FABPH_HUMAN_UPS","UPS1-UPS2",7.70343090033502,0.164975732608231,46.694327575004,5,8.50847010624989e-08,4.715819556389e-05,NA,0.5,0.375
