Gene Name,Protein IDs,UPS1_vs_UPS2_log2 fold change,UPS1_vs_UPS2_p.val,UPS1_vs_UPS2_p.adj,significant,UPS1_vs_UPS2_significant,imputed,num_NAs
ANXA5,P08758ups|ANXA5_HUMAN_UPS,11.3,1.65E-07,1.64E-05,TRUE,TRUE,TRUE,1
B2M,P61769ups|B2MG_HUMAN_UPS,8.75,9.02E-09,1.63E-06,TRUE,TRUE,TRUE,1
BID,P55957ups|BID_HUMAN_UPS,8.31,5.89E-11,5.27E-08,TRUE,TRUE,FALSE,0
C5,P01031ups|CO5_HUMAN_UPS,-2,4.18E-07,3.08E-05,TRUE,TRUE,FALSE,0
CA1,P00915ups|CAH1_HUMAN_UPS,-1.75,9.19E-08,1.01E-05,TRUE,TRUE,FALSE,0
CA2,P00918ups|CAH2_HUMAN_UPS,-1.76,5.57E-07,3.96E-05,TRUE,TRUE,FALSE,0
CKM,P06732ups|KCRM_HUMAN_UPS,4.11,4.78E-10,1.36E-07,TRUE,TRUE,FALSE,0
CRP,P02741ups|CRP_HUMAN_UPS,7.07,9.56E-07,6.13E-05,TRUE,TRUE,TRUE,4
CXCL8,P10145ups|IL8_HUMAN_UPS,8.67,3.89E-07,2.98E-05,TRUE,TRUE,TRUE,4
CYCS,P99999ups|CYC_HUMAN_UPS,8.6,2.20E-08,3.12E-06,TRUE,TRUE,TRUE,4
FABP3,P05413ups|FABPH_HUMAN_UPS,9.94,1.73E-09,4.29E-07,TRUE,TRUE,TRUE,4
GSTA1,P08263ups|GSTA1_HUMAN_UPS,8.58,2.71E-08,3.37E-06,TRUE,TRUE,TRUE,2
GSTP1,P09211ups|GSTP1_HUMAN_UPS,8.84,6.69E-07,4.58E-05,TRUE,TRUE,TRUE,4
HARS1,P12081ups|SYHC_HUMAN_UPS,4.14,1.53E-10,6.33E-08,TRUE,TRUE,FALSE,0
HBA1,P69905ups|HBA_HUMAN_UPS,-1.76,3.16E-07,2.55E-05,TRUE,TRUE,FALSE,0
HBB,P68871ups|HBB_HUMAN_UPS,-1.45,2.07E-07,1.95E-05,TRUE,TRUE,FALSE,0
HRAS,P01112ups|RASH_HUMAN_UPS,8.98,1.76E-06,0.000106,TRUE,TRUE,TRUE,4
IFNG,P01579ups|IFNG_HUMAN_UPS,9.95,3.78E-06,0.000221,TRUE,TRUE,TRUE,4
IGF2,P01344ups|IGF2_HUMAN_UPS,8.23,1.95E-05,0.000967,TRUE,TRUE,TRUE,2
LALBA,P00709ups|LALBA_HUMAN_UPS,4.18,1.59E-10,6.33E-08,TRUE,TRUE,FALSE,0
LEP,P41159ups|LEP_HUMAN_UPS,-1.84,2.17E-08,3.12E-06,TRUE,TRUE,FALSE,0
LTF,P02788ups|TRFL_HUMAN_UPS,13.2,2.16E-07,1.95E-05,TRUE,TRUE,FALSE,0
LYZ,P61626ups|LYSC_HUMAN_UPS,4.25,4.26E-09,8.47E-07,TRUE,TRUE,FALSE,0
MB,P02144ups|MYG_HUMAN_UPS,1.24,0.00105,0.0465,TRUE,TRUE,FALSE,0
NEDD8,Q15843ups|NEDD8_HUMAN_UPS,6.17,4.37E-10,1.36E-07,TRUE,TRUE,FALSE,0
NQO1,P15559ups|NQO1_HUMAN_UPS,1.15,6.55E-06,0.000343,TRUE,TRUE,FALSE,0
NQO2,P16083ups|NQO2_HUMAN_UPS,3.98,2.45E-08,3.25E-06,TRUE,TRUE,FALSE,0
P10636-8ups|TAU_HUMAN_UPS,P10636-8ups|TAU_HUMAN_UPS,11.9,7.73E-08,9.04E-06,TRUE,TRUE,TRUE,4
P62988ups|UBIQ_HUMAN_UPS,P62988ups|UBIQ_HUMAN_UPS,-1.97,8.50E-07,5.63E-05,TRUE,TRUE,FALSE,0
PDGFB,P01127ups|PDGFB_HUMAN_UPS,8.16,1.30E-06,8.10E-05,TRUE,TRUE,FALSE,0
RBP4,P02753ups|RETBP_HUMAN_UPS,4,2.14E-08,3.12E-06,TRUE,TRUE,FALSE,0
SERPINC1,P01008ups|ANT3_HUMAN_UPS,8.59,2.84E-12,5.65E-09,TRUE,TRUE,FALSE,0
SNCG,O76070ups|SYUG_HUMAN_UPS,5.7,2.18E-05,0.00106,TRUE,TRUE,FALSE,0
SOD1,P00441ups|SODC_HUMAN_UPS,10.9,3.21E-07,2.55E-05,TRUE,TRUE,TRUE,4
SUMO1,P63165ups|SUMO1_HUMAN_UPS,1.03,6.54E-06,0.000343,TRUE,TRUE,FALSE,0
TF,P02787ups|TRFE_HUMAN_UPS,10.4,9.93E-08,1.04E-05,TRUE,TRUE,TRUE,1
TNF,P01375ups|TNFA_HUMAN_UPS,9.64,3.16E-07,2.55E-05,TRUE,TRUE,TRUE,2
TXN,P10599ups|THIO_HUMAN_UPS,8.46,7.95E-11,5.27E-08,TRUE,TRUE,FALSE,0
UBE2C,O00762ups|UBE2C_HUMAN_UPS,9.54,3.94E-06,0.000224,TRUE,TRUE,TRUE,3
UBE2E1,P51965ups|UB2E1_HUMAN_UPS,7.01,5.23E-06,0.000289,TRUE,TRUE,TRUE,4
UBE2I,P63279ups|UBC9_HUMAN_UPS,4,3.96E-09,8.47E-07,TRUE,TRUE,FALSE,0
CAT,P04040ups|CATA_HUMAN_UPS,0.892,7.11E-06,0.000362,FALSE,FALSE,FALSE,0
CYB5A,P00167ups|CYB5_HUMAN_UPS,0.893,0.00112,0.0483,FALSE,FALSE,FALSE,0
EGF,P01133ups|EGF_HUMAN_UPS,0.494,0.166,0.786,FALSE,FALSE,FALSE,0
PPIA,P62937ups|PPIA_HUMAN_UPS,0.85,0.000905,0.0418,FALSE,FALSE,FALSE,0
PRDX1,Q06830ups|PRDX1_HUMAN_UPS,0.615,4.93E-05,0.00233,FALSE,FALSE,FALSE,0
sp|P00350|6PGD_ECOLI,sp|P00350|6PGD_ECOLI,-0.0795,0.376,0.799,FALSE,FALSE,FALSE,0
sp|P00363|FRDA_ECOLI,sp|P00363|FRDA_ECOLI,0.0021,0.982,0.997,FALSE,FALSE,FALSE,0
sp|P00370|DHE4_ECOLI,sp|P00370|DHE4_ECOLI,-0.138,0.208,0.786,FALSE,FALSE,FALSE,0
sp|P00393|NDH_ECOLI,sp|P00393|NDH_ECOLI,-0.15,0.174,0.786,FALSE,FALSE,FALSE,0
sp|P00448|SODM_ECOLI,sp|P00448|SODM_ECOLI,-0.00356,0.962,0.988,FALSE,FALSE,FALSE,0
