"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-7.77430933224703,29.9092613348843,-11.5789549625575,1.06631668306639e-08,1.25208027364269e-06,10.3214951705414,TRUE,33.2411081915616,25.4667988593145,4,3
"2","O76070ups|SYUG_HUMAN_UPS",-4.68575430482433,31.8603120016031,-6.31625132297831,1.2122176469745e-05,0.00100165095200004,3.4300881498076,TRUE,34.2031891540153,29.5174348491909,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-0.732641145281569,33.2159721399364,-1.80291472690993,0.0909586066887367,0.999394878575685,-5.26297099679182,FALSE,33.5822927125772,32.8496515672956,4,4
"4","P00441ups|SODC_HUMAN_UPS",-7.64312145239414,31.6699618492654,-12.0857988734163,3.08080553711226e-08,3.12421688786248e-06,8.75825662282064,TRUE,33.1985861397442,25.5554646873501,4,1
"5","P00709ups|LALBA_HUMAN_UPS",-4.37329243056061,30.4174221975417,-11.2383550366777,7.78404183562895e-09,9.91067333878549e-07,10.6470519349833,TRUE,32.604068412822,28.2307759822614,4,4
"6","P00915ups|CAH1_HUMAN_UPS",1.45362246264284,35.489811145793,3.64645092036491,0.00229025764245192,0.127739120007756,-1.79041078552794,FALSE,34.7629999144716,36.2166223771144,4,4
"7","P00918ups|CAH2_HUMAN_UPS",1.95053686977428,34.7298045252118,4.88293336599785,0.000183481442747608,0.0136449032923305,0.713283511473803,TRUE,33.7545360903246,35.7050729600989,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-8.36122794068904,30.0888664945696,-21.4234680795278,6.70830892718175e-13,4.9887457388475e-10,18.8543788465807,TRUE,34.2694804649142,25.9082525242251,4,4
"9","P01031ups|CO5_HUMAN_UPS",1.66850419164172,32.3438442715986,3.8679358175188,0.00144655107259556,0.0872231200800185,-1.33807131383184,FALSE,31.5095921757777,33.1780963674194,4,4
"10","P01112ups|RASH_HUMAN_UPS",NA,32.4397442186715,NA,NA,NA,NA,NA,32.4397442186715,NA,4,0
"11","P01127ups|PDGFB_HUMAN_UPS",-7.64284295364431,29.3289041336084,-17.8615103039122,1.0016133898319e-11,3.72433245452493e-09,16.6624970970778,TRUE,33.1503256104306,25.5074826567863,4,4
"12","P01133ups|EGF_HUMAN_UPS",-0.748400380774453,30.3514324387477,-1.9298414588949,0.0722158958544669,0.999394878575685,-5.06018898824533,FALSE,30.7256326291349,29.9772322483605,4,4
"13","P01344ups|IGF2_HUMAN_UPS",-7.62961959759821,29.1529371819924,-11.835374533335,7.99606096360999e-09,9.91067333878549e-07,10.5881923679898,TRUE,32.4227741523917,24.7931545547935,4,3
"14","P01375ups|TNFA_HUMAN_UPS",-7.34081453225717,29.8643826253224,-17.6688817970216,1.17540088378264e-11,3.74617053102725e-09,16.5273587682629,TRUE,33.534789891451,26.1939753591938,4,4
"15","P01579ups|IFNG_HUMAN_UPS",NA,32.3305313950383,NA,NA,NA,NA,NA,32.3305313950383,NA,4,0
"16","P02144ups|MYG_HUMAN_UPS",-0.913938540547428,32.8739016416995,-2.31547532826311,0.0347196079054103,0.999394878575685,-4.3967035931245,FALSE,33.3308709119732,32.4169323714257,4,4
"17","P02741ups|CRP_HUMAN_UPS",NA,30.7969317572135,NA,NA,NA,NA,NA,30.7969317572135,NA,4,0
"18","P02753ups|RETBP_HUMAN_UPS",-4.0364658213248,30.6120371115816,-9.06834561413683,1.41238180539346e-07,1.21193223378185e-05,7.84460301163042,TRUE,32.630270022244,28.5938042009192,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-8.88870345926837,30.9515647554669,-15.0331968129253,1.24949565110647e-10,2.5342043614714e-08,14.4695424357712,TRUE,35.3959164851011,26.5072130258327,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-10.9152745857685,30.0936893035049,-18.4555442807588,6.17519701758294e-12,3.21496909490011e-09,17.067530004621,TRUE,35.5513265963892,24.6360520106207,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.852899686630607,34.7252354476695,-2.2129103098966,0.0423575048588088,0.999394878575685,-4.57938836736703,FALSE,35.1516852909848,34.2987856043542,4,4
"22","P05413ups|FABPH_HUMAN_UPS",-11.3053818580411,29.0496265068998,-24.3611923705267,3.94068754492333e-13,4.39583695636198e-10,18.6611328648714,TRUE,33.8947901603459,22.5894083023049,4,3
"23","P06732ups|KCRM_HUMAN_UPS",-4.1424573092706,32.4189765647394,-9.32241570508307,9.81115157569396e-08,8.75547166614929e-06,8.20092352409461,TRUE,34.4902052193747,30.3477479101041,4,4
"24","P08263ups|GSTA1_HUMAN_UPS",-8.47032765813899,29.7793439285994,-11.4873671877251,1.18328026027708e-08,1.31994913033908e-06,10.2247502475484,TRUE,33.4094843535161,24.9391566953771,4,3
"25","P08758ups|ANXA5_HUMAN_UPS",-10.0364897145458,29.8181924884954,-17.2597224204788,4.86741620835589e-11,1.20657839564911e-08,15.055746120345,TRUE,34.1195452233007,24.083055508755,4,3
"26","P09211ups|GSTP1_HUMAN_UPS",-7.90891176598612,29.2515227367608,-14.36492542152,1.54356611057542e-09,2.45978285192412e-07,11.8247681620019,TRUE,31.8878266587562,23.97891489277,4,2
"27","P10145ups|IL8_HUMAN_UPS",-8.76513109153417,29.2233100218509,-16.927429103291,1.89637761534753e-10,3.52568204986695e-08,13.494489618881,TRUE,32.1450203856956,23.3798892941614,4,2
"28","P10599ups|THIO_HUMAN_UPS",-6.83423671680054,29.3981739780673,-18.2641367440892,7.20521984513696e-12,3.21496909490011e-09,16.9389174336276,TRUE,32.8152923364676,25.981055619667,4,4
"29","P10636-8ups|TAU_HUMAN_UPS",-11.7417131101158,30.1179390598004,-28.6994988066664,3.87088523894027e-14,8.63594496807575e-11,20.1255183171113,TRUE,35.1501018212786,23.4083887111628,4,3
"30","P12081ups|SYHC_HUMAN_UPS",-4.72909933541229,32.2379657605196,-11.4551534181279,5.97123216176751e-09,8.88121263526888e-07,10.8992042596209,TRUE,34.6025154282257,29.8734160928135,4,4
"31","P15559ups|NQO1_HUMAN_UPS",-1.02308833489276,33.0376292411374,-2.62530163539703,0.0187765500257662,0.872718398072594,-3.82267367179215,FALSE,33.5491734085838,32.526085073691,4,4
"32","P16083ups|NQO2_HUMAN_UPS",-4.41407558858056,31.6970579212686,-9.62033941312676,6.45765542427257e-08,6.00292885481337e-06,8.6086889522711,TRUE,33.9040957155589,29.4900201269783,4,4
"33","P41159ups|LEP_HUMAN_UPS",1.64589697467529,33.4729474550545,3.80667939677602,0.00164230907405063,0.0964208301107095,-1.46322552869937,FALSE,32.6499989677168,34.2958959423921,4,4
"34","P51965ups|UB2E1_HUMAN_UPS",NA,30.7690299103179,NA,NA,NA,NA,NA,30.7690299103179,NA,4,0
"35","P55957ups|BID_HUMAN_UPS",-6.6054247242486,29.6948008384305,-16.9304644232038,2.20341744274903e-11,6.14478039346635e-09,15.9912453635548,TRUE,32.9975132005548,26.3920884763062,4,4
"36","P61626ups|LYSC_HUMAN_UPS",-4.5865448609836,30.4530202563474,-10.4874410412118,2.01411129365012e-08,2.13975347434924e-06,9.73657436690447,TRUE,32.7462926868392,28.1597478258556,4,4
"37","P61769ups|B2MG_HUMAN_UPS",-7.97582564292614,28.7498784433719,-15.2097730515822,1.05470124037447e-10,2.35303846727545e-08,14.6206603546861,TRUE,32.737791264835,24.7619656219088,4,4
"38","P62937ups|PPIA_HUMAN_UPS",-0.7471714431855,32.8274677651894,-1.61337608799622,0.126918390376773,0.999394878575685,-5.54871108146542,FALSE,33.2010534867822,32.4538820435967,4,4
"39","P62988ups|UBIQ_HUMAN_UPS",2.22218286047253,33.513577948324,5.48963209994459,5.62198393597416e-05,0.00432505040039943,1.89553868968447,TRUE,32.4024865180877,34.6246693785603,4,4
"40","P63165ups|SUMO1_HUMAN_UPS",-0.984328457910992,33.4940586650101,-2.64461148759697,0.0180602125418219,0.865727684337729,-3.78594463315629,FALSE,33.9862228939656,33.0018944360546,4,4
"41","P63279ups|UBC9_HUMAN_UPS",-4.20395683773318,30.4804127444032,-9.89630644765332,4.42032872489385e-08,4.28771886314704e-06,8.97697998737722,TRUE,32.5823911632698,28.3784343255366,4,4
"42","P68871ups|HBB_HUMAN_UPS",1.71523001166572,34.2991329194797,4.29447182879609,0.00060114095185332,0.0419107957370237,-0.468652473502289,TRUE,33.4415179136469,35.1567479253126,4,4
"43","P69905ups|HBA_HUMAN_UPS",1.82956920898743,33.898703709557,4.64045630080917,0.000297947900305931,0.0214426375994365,0.229713201848846,TRUE,32.9839191050633,34.8134883140507,4,4
"44","P99999ups|CYC_HUMAN_UPS",-8.96383079350107,29.0785556803428,-15.3670158565859,6.54968614399333e-10,1.12402690671147e-07,12.5231901123286,TRUE,32.0664992781765,23.1026684846754,4,2
"45","Q06830ups|PRDX1_HUMAN_UPS",-0.501220664963644,33.9974211415853,-1.26738823823697,0.223805658982861,0.999394878575685,-6.00952753865028,FALSE,34.2480314740671,33.7468108091035,4,4
"46","Q15843ups|NEDD8_HUMAN_UPS",-4.60429345380168,27.3125078759847,-11.3506709726395,6.78164280623961e-09,9.45615318795036e-07,10.778264332684,TRUE,29.6146546028855,25.0103611490838,4,4
"47","sp|A5A614|YCIZ_ECOLI",0.331872027081016,25.6763616598234,0.618415665456481,0.545936987522074,0.999394878575685,-6.53786604329959,FALSE,25.4867205014914,25.8185925285724,3,4
"48","sp|P00350|6PGD_ECOLI",0.0618365741375468,35.0211902788458,0.157761874063246,0.876689952932735,0.999394878575685,-6.79985680258488,FALSE,34.990271991777,35.0521085659146,4,4
"49","sp|P00363|FRDA_ECOLI",0.121819770575246,32.0965909328411,0.313457396881894,0.758129521233502,0.999394878575685,-6.76141454878472,FALSE,32.0356810475534,32.1575008181287,4,4
"50","sp|P00370|DHE4_ECOLI",0.282757164176598,30.7161485121013,0.651893812252914,0.524059513617209,0.999394878575685,-6.59242885358436,FALSE,30.574769930013,30.8575270941896,4,4
"51","sp|P00393|NDH_ECOLI",0.0648542781786738,31.3186872137954,0.169712990747574,0.86744035967555,0.999394878575685,-6.79780147404795,FALSE,31.286260074706,31.3511143528847,4,4
"52","sp|P00448|SODM_ECOLI",-0.113362532556061,33.7294447896543,-0.288280997637643,0.776967053515779,0.999394878575685,-6.76933747247907,FALSE,33.7861260559323,33.6727635233762,4,4
"53","sp|P00452|RIR1_ECOLI",-0.00223467424341448,32.2693786587843,-0.00526133783099339,0.99586948324903,0.999394878575685,-6.81292527496612,FALSE,32.270495995906,32.2682613216626,4,4
"54","sp|P00490|PHSM_ECOLI",0.182704621274661,32.6308606075193,0.460931785106377,0.651275959948682,0.999394878575685,-6.70193948924818,FALSE,32.539508296882,32.7222129181566,4,4
"55","sp|P00509|AAT_ECOLI",0.0606925321316307,34.052960424306,0.157430818006085,0.876946444948587,0.999394878575685,-6.79991160877029,FALSE,34.0226141582402,34.0833066903718,4,4
"56","sp|P00547|KHSE_ECOLI",-0.00683138170865781,26.3828268091018,-0.0125410450910502,0.990154632308415,0.999394878575685,-6.8128570963939,FALSE,26.3862424999561,26.3794111182474,4,4
"57","sp|P00550|PTM3C_ECOLI",0.336486411228923,31.675969769436,0.735502133060736,0.473063520678129,0.999394878575685,-6.53327708042482,FALSE,31.5077265638215,31.8442129750505,4,4
"58","sp|P00561|AK1H_ECOLI",0.242486344562212,30.1623552596827,0.499353959651219,0.624572838679013,0.999394878575685,-6.68281829984731,FALSE,30.0411120874016,30.2835984319638,4,4
"59","sp|P00562|AK2H_ECOLI",0.0212705657961629,28.4847211767505,0.0532755614192017,0.958195823682916,0.999394878575685,-6.81144678865067,FALSE,28.4740858938524,28.4953564596486,4,4
"60","sp|P00579|RPOD_ECOLI",-0.215150312465501,32.5606908179491,-0.535649697218443,0.599835197843529,0.999394878575685,-6.66339662747483,FALSE,32.6682659741818,32.4531156617163,4,4
"61","sp|P00582|DPO1_ECOLI",0.066763551565783,32.2899434522037,0.170496834845405,0.866834383052606,0.999394878575685,-6.79766144700059,FALSE,32.2565616764208,32.3233252279866,4,4
"62","sp|P00634|PPB_ECOLI",-0.225991391998548,29.5401713819633,-0.500475420062726,0.623801273349344,0.999394878575685,-6.6822379242965,FALSE,29.6531670779626,29.4271756859641,4,4
"63","sp|P00722|BGAL_ECOLI",0.428399428846992,29.1338180844806,1.01791714173976,0.324409279290115,0.999394878575685,-6.28555613162335,FALSE,28.9196183700571,29.3480177989041,4,4
"64","sp|P00803|LEP_ECOLI",-1.49163947086957,30.5735333626618,-4.12110353252158,0.000857769144519456,0.0579903927703911,-0.821312023835265,FALSE,31.3193530980966,29.827713627227,4,4
"65","sp|P00805|ASPG2_ECOLI",0.107082488183227,30.0794971592687,0.280310267343134,0.782961764688143,0.999394878575685,-6.77170917959329,FALSE,30.0259559151771,30.1330384033603,4,4
"66","sp|P00811|AMPC_ECOLI",0.107545558734712,27.3503818284809,0.253280813798573,0.80339394197765,0.999394878575685,-6.77926144327871,FALSE,27.2966090491135,27.4041546078483,4,4
"67","sp|P00861|DCDA_ECOLI",1.5359712581407,24.6889104683406,2.29815423813838,0.0359118464492881,0.999394878575685,-4.42783894124422,FALSE,23.9209248392703,25.456896097411,4,4
"68","sp|P00864|CAPP_ECOLI",-0.164018131660008,32.5840736618831,-0.423468027910036,0.677795920696869,0.999394878575685,-6.71914929258701,FALSE,32.6660827277131,32.5020645960531,4,4
"69","sp|P00887|AROH_ECOLI",0.45020398975323,28.8771101554707,1.04222982707946,0.313356334837183,0.999394878575685,-6.26092084811287,FALSE,28.6520081605941,29.1022121503473,4,4
