"pValue"	"qValue"	"EffectSize"	"X.UPS1.UPS2."	"significant"	"GeneName"	"UniprotID"
5.54117253627367e-09	6.11683879420877e-07	8.26603204965701	"UPS1-UPS2"	"Upregulated"	"UBE2C_HUMAN"	"O00762ups"
1.04287116528162e-05	0.000505410976930387	5.70531188152103	"UPS1-UPS2"	"Upregulated"	"SYUG_HUMAN"	"O76070ups"
0.000807083310259318	0.035637211944117	0.893251710988508	"UPS1-UPS2"	"Non significant"	"CYB5_HUMAN"	"P00167ups"
4.9819184101508e-09	6.08361440101946e-07	8.08259778483846	"UPS1-UPS2"	"Upregulated"	"SODC_HUMAN"	"P00441ups"
6.00506046052897e-11	1.49150689188388e-08	4.1819498216972	"UPS1-UPS2"	"Upregulated"	"LALBA_HUMAN"	"P00709ups"
5.83164080288332e-08	4.87261634135874e-06	-1.75064363082581	"UPS1-UPS2"	"Downregulated"	"CAH1_HUMAN"	"P00915ups"
3.11468344135455e-07	1.8202576464622e-05	-1.75638065638596	"UPS1-UPS2"	"Downregulated"	"CAH2_HUMAN"	"P00918ups"
6.39190028255132e-13	1.22555538197649e-09	8.58546992815782	"UPS1-UPS2"	"Upregulated"	"ANT3_HUMAN"	"P01008ups"
2.10154961922597e-07	1.30493096668813e-05	-2.00360901461529	"UPS1-UPS2"	"Downregulated"	"CO5_HUMAN"	"P01031ups"
1.54385790241083e-10	3.06764565209031e-08	7.21921211065411	"UPS1-UPS2"	"Upregulated"	"RASH_HUMAN"	"P01112ups"
5.07109600605955e-07	2.79896326778898e-05	8.15600759950649	"UPS1-UPS2"	"Upregulated"	"PDGFB_HUMAN"	"P01127ups"
0.15223737786033	0.773718573858482	0.494471899542248	"UPS1-UPS2"	"Non significant"	"EGF_HUMAN"	"P01133ups"
1.04661622644647e-09	1.73302203495761e-07	6.61114558579429	"UPS1-UPS2"	"Upregulated"	"IGF2_HUMAN"	"P01344ups"
4.87490710300771e-11	1.49150689188388e-08	8.29191121805575	"UPS1-UPS2"	"Upregulated"	"TNFA_HUMAN"	"P01375ups"
5.20490411763114e-09	6.08361440101946e-07	8.05582144767533	"UPS1-UPS2"	"Upregulated"	"IFNG_HUMAN"	"P01579ups"
0.000725775147539163	0.0327753458672799	1.23856211983698	"UPS1-UPS2"	"Upregulated"	"MYG_HUMAN"	"P02144ups"
2.63962327458199e-07	1.58937316563467e-05	6.34128934255207	"UPS1-UPS2"	"Upregulated"	"CRP_HUMAN"	"P02741ups"
7.38947270024358e-09	7.72783276599158e-07	3.99538825214499	"UPS1-UPS2"	"Upregulated"	"RETBP_HUMAN"	"P02753ups"
5.88539467501811e-08	4.87261634135874e-06	9.81813156630321	"UPS1-UPS2"	"Upregulated"	"TRFE_HUMAN"	"P02787ups"
7.268780151864e-08	5.6246934032537e-06	13.1739553431814	"UPS1-UPS2"	"Upregulated"	"TRFL_HUMAN"	"P02788ups"
6.82114154643685e-06	0.000344988106923595	0.891198985007648	"UPS1-UPS2"	"Non significant"	"CATA_HUMAN"	"P04040ups"
6.23965769989246e-12	4.13273328322877e-09	7.61161188967282	"UPS1-UPS2"	"Upregulated"	"FABPH_HUMAN"	"P05413ups"
1.70186431514142e-10	3.07418581289636e-08	4.10842758435621	"UPS1-UPS2"	"Upregulated"	"KCRM_HUMAN"	"P06732ups"
1.23357361044437e-12	1.22555538197649e-09	7.91852967443569	"UPS1-UPS2"	"Upregulated"	"GSTA1_HUMAN"	"P08263ups"
