"Gene Name","Protein IDs","fold1_vs_fold10_log2 fold change","fold1_vs_fold4_log2 fold change","fold10_vs_fold4_log2 fold change","fold1_vs_fold10_p.val","fold1_vs_fold4_p.val","fold10_vs_fold4_p.val","fold1_vs_fold10_p.adj","fold1_vs_fold4_p.adj","fold10_vs_fold4_p.adj","fold1_vs_fold10_significant","fold1_vs_fold4_significant","fold10_vs_fold4_significant","significant","imputed","num_NAs","Protein.names"
"sp|A0JNW5|UH1BL_HUMAN","sp|A0JNW5|UH1BL_HUMAN",-1.78,-0.356,1.43,0.0174,0.604,0.0499,0.0247,0.689,0.0807,TRUE,FALSE,FALSE,TRUE,TRUE,11,NA
"sp|A1L390|PKHG3_HUMAN","sp|A1L390|PKHG3_HUMAN",-1.76,-1.21,0.554,0.00169,0.0204,0.256,0.00296,0.0413,0.326,TRUE,TRUE,FALSE,TRUE,TRUE,12,NA
"sp|A6ND36|FA83G_HUMAN","sp|A6ND36|FA83G_HUMAN",-1.55,-1.41,0.138,0.0212,0.0335,0.823,0.0295,0.0622,0.865,TRUE,FALSE,FALSE,TRUE,TRUE,11,NA
"sp|O00257|CBX4_HUMAN","sp|O00257|CBX4_HUMAN",-1.79,-1.19,0.596,0.00228,0.0283,0.247,0.00387,0.0536,0.316,TRUE,FALSE,FALSE,TRUE,TRUE,12,NA
"sp|O00429|DNM1L_HUMAN","sp|O00429|DNM1L_HUMAN",2.1,0.901,-1.2,2.29e-06,0.00782,0.00093,8.78e-06,0.0191,0.00279,TRUE,FALSE,TRUE,TRUE,FALSE,0,NA
"sp|O13563|RPN13_YEAST","sp|O13563|RPN13_YEAST",-3.24,-1.73,1.51,5.6e-07,0.000645,0.00199,2.65e-06,0.00271,0.00524,TRUE,TRUE,TRUE,TRUE,TRUE,4,NA
"sp|O15013|ARHGA_HUMAN","sp|O15013|ARHGA_HUMAN",-0.71,-3.37,-2.66,0.611,0.025,0.0689,0.645,0.0486,0.106,FALSE,TRUE,FALSE,TRUE,TRUE,10,NA
"sp|O15164|TIF1A_HUMAN","sp|O15164|TIF1A_HUMAN",1.04,0.705,-0.337,2.14e-09,5.31e-07,0.0016,2.29e-08,9.82e-06,0.00438,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA
"sp|O15194|CTDSL_HUMAN","sp|O15194|CTDSL_HUMAN",-1.72,-1.59,0.125,0.0202,0.0296,0.854,0.0283,0.0558,0.885,TRUE,FALSE,FALSE,TRUE,TRUE,15,NA
"sp|O43164|PJA2_HUMAN","sp|O43164|PJA2_HUMAN",0.134,1.79,1.66,0.805,0.00392,0.00668,0.824,0.0111,0.0149,FALSE,TRUE,TRUE,TRUE,TRUE,15,NA
"sp|O43707|ACTN4_HUMAN","sp|O43707|ACTN4_HUMAN",1.28,0.65,-0.625,4.85e-09,3.38e-05,5.16e-05,4.6e-08,0.000274,0.000236,TRUE,FALSE,FALSE,TRUE,TRUE,2,NA
"sp|O60336|MABP1_HUMAN","sp|O60336|MABP1_HUMAN",-2.66,0.197,2.86,0.0146,0.842,0.00956,0.0211,0.871,0.0202,TRUE,FALSE,TRUE,TRUE,TRUE,10,NA
"sp|O60669|MOT2_HUMAN","sp|O60669|MOT2_HUMAN",-1.9,-1.77,0.125,0.0183,0.026,0.865,0.0259,0.05,0.893,TRUE,FALSE,FALSE,TRUE,TRUE,15,NA
"sp|O75116|ROCK2_HUMAN","sp|O75116|ROCK2_HUMAN",-0.804,1.42,2.22,0.269,0.0606,0.00591,0.308,0.102,0.0134,FALSE,FALSE,TRUE,TRUE,TRUE,12,NA
"sp|O75153|CLU_HUMAN","sp|O75153|CLU_HUMAN",1.69,0.929,-0.76,0.00409,0.0852,0.153,0.00662,0.136,0.208,TRUE,FALSE,FALSE,TRUE,TRUE,12,NA
"sp|O75528|TADA3_HUMAN","sp|O75528|TADA3_HUMAN",2.21,0.26,-1.95,0.00776,0.726,0.0163,0.0118,0.776,0.0318,TRUE,FALSE,TRUE,TRUE,TRUE,15,NA
"sp|O75937|DNJC8_HUMAN","sp|O75937|DNJC8_HUMAN",0.134,3.3,3.16,0.861,0.000447,0.000652,0.874,0.00203,0.00207,FALSE,TRUE,TRUE,TRUE,TRUE,14,NA
"sp|O95071|UBR5_HUMAN","sp|O95071|UBR5_HUMAN",-0.289,1.46,1.75,0.589,0.0128,0.00401,0.626,0.0286,0.00948,FALSE,TRUE,TRUE,TRUE,TRUE,13,NA
"sp|O95235|KI20A_HUMAN","sp|O95235|KI20A_HUMAN",1.34,0.282,-1.05,1.91e-10,0.0104,6.61e-09,2.85e-09,0.024,1.16e-07,TRUE,FALSE,TRUE,TRUE,TRUE,1,NA
"sp|O95433|AHSA1_HUMAN","sp|O95433|AHSA1_HUMAN",-3.27,-2.42,0.854,0.000846,0.00819,0.303,0.00158,0.0198,0.374,TRUE,TRUE,FALSE,TRUE,TRUE,12,NA
"sp|O95835|LATS1_HUMAN","sp|O95835|LATS1_HUMAN",-0.765,0.791,1.56,0.0774,0.0687,0.0014,0.0965,0.114,0.00396,FALSE,FALSE,TRUE,TRUE,TRUE,10,NA
"sp|P00330|ADH1_YEAST","sp|P00330|ADH1_YEAST",-2.07,-1.24,0.821,7.26e-10,9.43e-07,0.000123,9.22e-09,1.59e-05,0.000502,TRUE,TRUE,FALSE,TRUE,FALSE,0,NA
"sp|P00359|G3P3_YEAST","sp|P00359|G3P3_YEAST",-2.73,-1.77,0.961,2.87e-14,2.73e-11,2.26e-07,8.17e-13,1.36e-09,2.42e-06,TRUE,TRUE,FALSE,TRUE,FALSE,0,NA
"sp|P00445|SODC_YEAST","sp|P00445|SODC_YEAST",1.62,0.26,-1.36,0.00678,0.628,0.019,0.0104,0.704,0.0359,TRUE,FALSE,TRUE,TRUE,TRUE,15,NA
"sp|P00549|KPYK1_YEAST","sp|P00549|KPYK1_YEAST",-1.4,-0.882,0.521,1.32e-05,0.00137,0.0372,3.9e-05,0.00492,0.0631,TRUE,FALSE,FALSE,TRUE,TRUE,1,NA
"sp|P00560|PGK_YEAST","sp|P00560|PGK_YEAST",-2.42,-1.51,0.916,5.66e-10,4.95e-07,0.000175,7.33e-09,9.24e-06,0.000684,TRUE,TRUE,FALSE,TRUE,TRUE,2,NA
"sp|P00925|ENO2_YEAST","sp|P00925|ENO2_YEAST",-2.29,-1.24,1.05,1.31e-09,6.05e-06,3.99e-05,1.5e-08,6.82e-05,0.00019,TRUE,TRUE,TRUE,TRUE,TRUE,1,NA
"sp|P00942|TPIS_YEAST","sp|P00942|TPIS_YEAST",-1.31,-0.354,0.956,0.000268,0.23,0.00382,0.000581,0.316,0.00911,TRUE,FALSE,FALSE,TRUE,TRUE,8,NA
"sp|P00950|PMG1_YEAST","sp|P00950|PMG1_YEAST",-1.38,-0.352,1.03,1.03e-08,0.0163,6.17e-07,8.88e-08,0.0346,5.86e-06,TRUE,FALSE,TRUE,TRUE,TRUE,8,NA
"sp|P01119|RAS1_YEAST","sp|P01119|RAS1_YEAST",3.48,0.26,-3.22,1.3e-18,0.00439,4.64e-18,2.03e-16,0.0122,1.3e-15,TRUE,FALSE,TRUE,TRUE,TRUE,12,NA
"sp|P02381|RMAR_YEAST","sp|P02381|RMAR_YEAST",1.69,0.883,-0.812,6.33e-05,0.0135,0.0213,0.000156,0.0296,0.0395,TRUE,FALSE,FALSE,TRUE,TRUE,10,NA
"sp|P02400|RLA4_YEAST","sp|P02400|RLA4_YEAST",-5.84,-4.7,1.14,5.64e-08,1.06e-06,0.0879,3.72e-07,1.75e-05,0.13,TRUE,TRUE,FALSE,TRUE,TRUE,2,NA
"sp|P04083|ANXA1_HUMAN","sp|P04083|ANXA1_HUMAN",1.03,0.626,-0.4,5.26e-09,4.35e-06,0.00054,4.93e-08,5.36e-05,0.00176,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA
"sp|P04147|PABP_YEAST","sp|P04147|PABP_YEAST",2.49,0.26,-2.23,7.67e-16,0.00642,4.57e-15,3.05e-14,0.0161,3.85e-13,TRUE,FALSE,TRUE,TRUE,TRUE,12,NA
"sp|P04786|TOP1_YEAST","sp|P04786|TOP1_YEAST",-1.88,-0.638,1.24,1.06e-09,0.000703,3.91e-07,1.25e-08,0.00289,3.93e-06,TRUE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|P04801|SYTC_YEAST","sp|P04801|SYTC_YEAST",0.134,2.27,2.14,0.678,1.88e-06,4.03e-06,0.707,2.77e-05,2.97e-05,FALSE,TRUE,TRUE,TRUE,TRUE,13,NA
"sp|P04802|SYDC_YEAST","sp|P04802|SYDC_YEAST",-2.83,-1.74,1.09,1.35e-17,3.67e-14,5.89e-11,8.63e-16,3.68e-12,2e-09,TRUE,TRUE,TRUE,TRUE,TRUE,1,NA
"sp|P04807|HXKB_YEAST","sp|P04807|HXKB_YEAST",-2.58,-1.74,0.841,1.81e-08,3.6e-06,0.00458,1.41e-07,4.68e-05,0.0107,TRUE,TRUE,FALSE,TRUE,TRUE,3,NA
"sp|P04821|CDC25_YEAST","sp|P04821|CDC25_YEAST",2.63,0.26,-2.37,1.29e-16,0.00439,7.02e-16,6.34e-15,0.0122,7.24e-14,TRUE,FALSE,TRUE,TRUE,TRUE,12,NA
"sp|P05317|RLA0_YEAST","sp|P05317|RLA0_YEAST",-1.53,-0.914,0.617,0.00141,0.0359,0.142,0.0025,0.066,0.194,TRUE,FALSE,FALSE,TRUE,TRUE,8,NA
"sp|P05318|RLA1_YEAST","sp|P05318|RLA1_YEAST",-3.42,-2.97,0.456,1.84e-10,1.59e-09,0.0859,2.78e-09,5.79e-08,0.128,TRUE,TRUE,FALSE,TRUE,TRUE,3,NA
"sp|P05319|RLA2_YEAST","sp|P05319|RLA2_YEAST",-3.45,-2.55,0.901,8.02e-07,3.19e-05,0.0626,3.54e-06,0.00026,0.098,TRUE,TRUE,FALSE,TRUE,TRUE,3,NA
"sp|P05453|ERF3_YEAST","sp|P05453|ERF3_YEAST",-1.23,-0.408,0.819,0.0177,0.394,0.0972,0.0252,0.486,0.141,TRUE,FALSE,FALSE,TRUE,TRUE,2,NA
"sp|P05694|METE_YEAST","sp|P05694|METE_YEAST",1.7,0.678,-1.02,0.000813,0.122,0.0256,0.00153,0.184,0.0459,TRUE,FALSE,TRUE,TRUE,TRUE,12,NA
"sp|P05738|RL9A_YEAST","sp|P05738|RL9A_YEAST",1.28,0.26,-1.02,0.000379,0.379,0.00261,0.000788,0.472,0.00663,TRUE,FALSE,TRUE,TRUE,TRUE,14,NA
"sp|P05750|RS3_YEAST","sp|P05750|RS3_YEAST",-2.89,-1.87,1.02,7.08e-18,8.35e-15,1.27e-10,4.99e-16,1.1e-12,4e-09,TRUE,TRUE,TRUE,TRUE,FALSE,0,NA
"sp|P05755|RS9B_YEAST","sp|P05755|RS9B_YEAST",-1.43,0.131,1.57,4.57e-09,0.325,1.25e-09,4.36e-08,0.418,2.63e-08,TRUE,FALSE,TRUE,TRUE,TRUE,11,NA
"sp|P06101|CDC37_YEAST","sp|P06101|CDC37_YEAST",-3.61,-2.39,1.23,2.62e-17,2.21e-14,7.57e-10,1.54e-15,2.33e-12,1.75e-08,TRUE,TRUE,TRUE,TRUE,TRUE,2,NA
"sp|P06102|NOT3_YEAST","sp|P06102|NOT3_YEAST",-1.29,0.335,1.62,7.67e-09,0.0132,2.45e-10,6.88e-08,0.0291,6.89e-09,TRUE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|P06105|SC160_YEAST","sp|P06105|SC160_YEAST",-2.35,-1.79,0.559,8.37e-11,5.04e-09,0.00321,1.37e-09,1.58e-07,0.00792,TRUE,TRUE,FALSE,TRUE,TRUE,1,NA
"sp|P06169|PDC1_YEAST","sp|P06169|PDC1_YEAST",-3.87,-2.85,1.02,1.91e-07,9.68e-06,0.0386,1.06e-06,9.81e-05,0.0649,TRUE,TRUE,FALSE,TRUE,TRUE,1,NA
"sp|P06244|KAPA_YEAST","sp|P06244|KAPA_YEAST",2.25,1.21,-1.04,0.00115,0.0509,0.0871,0.00208,0.0877,0.13,TRUE,FALSE,FALSE,TRUE,TRUE,11,NA
"sp|P06703|S10A6_HUMAN","sp|P06703|S10A6_HUMAN",1.63,0.714,-0.914,2.82e-10,2.16e-05,1.04e-06,4.01e-09,0.00019,9.04e-06,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA
"sp|P06733|ENOA_HUMAN","sp|P06733|ENOA_HUMAN",1.08,0.452,-0.623,6.17e-12,1.81e-06,2.31e-08,1.27e-10,2.71e-05,3.45e-07,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA
"sp|P06777|RAD1_YEAST","sp|P06777|RAD1_YEAST",1.74,0.26,-1.48,5.29e-06,0.34,3.49e-05,1.74e-05,0.433,0.00017,TRUE,FALSE,TRUE,TRUE,TRUE,13,NA
"sp|P06782|SNF1_YEAST","sp|P06782|SNF1_YEAST",-1.4,-0.416,0.982,1.92e-06,0.049,0.000114,7.44e-06,0.0853,0.000467,TRUE,FALSE,FALSE,TRUE,TRUE,6,NA
"sp|P06786|TOP2_YEAST","sp|P06786|TOP2_YEAST",0.292,1.29,1,0.458,0.00373,0.0185,0.5,0.0107,0.035,FALSE,TRUE,TRUE,TRUE,TRUE,14,NA
"sp|P07149|FAS1_YEAST","sp|P07149|FAS1_YEAST",-2.86,-0.134,2.73,1.37e-07,0.688,2.63e-07,7.91e-07,0.746,2.77e-06,TRUE,FALSE,TRUE,TRUE,TRUE,11,NA
