"Gene Name","Protein IDs","fold1_vs_fold10_log2 fold change","fold1_vs_fold4_log2 fold change","fold10_vs_fold4_log2 fold change","fold1_vs_fold10_p.val","fold1_vs_fold4_p.val","fold10_vs_fold4_p.val","fold1_vs_fold10_p.adj","fold1_vs_fold4_p.adj","fold10_vs_fold4_p.adj","fold1_vs_fold10_significant","fold1_vs_fold4_significant","fold10_vs_fold4_significant","significant","imputed","num_NAs","Protein.names"
"sp|A0FGR8|ESYT2_HUMAN","sp|A0FGR8|ESYT2_HUMAN",1,0.264,-0.74,0.023,0.518,0.0827,0.0382,0.656,0.148,TRUE,FALSE,FALSE,TRUE,TRUE,6,NA
"sp|A0JNW5|UH1BL_HUMAN","sp|A0JNW5|UH1BL_HUMAN",1.15,0.278,-0.87,0.0212,0.546,0.0709,0.0357,0.677,0.131,TRUE,FALSE,FALSE,TRUE,TRUE,11,NA
"sp|A1L390|PKHG3_HUMAN","sp|A1L390|PKHG3_HUMAN",1.72,1.92,0.197,9.82e-05,3.07e-05,0.568,0.000278,0.000268,0.669,TRUE,TRUE,FALSE,TRUE,TRUE,12,NA
"sp|A2A2Y4|FRMD3_HUMAN","sp|A2A2Y4|FRMD3_HUMAN",1.29,-0.534,-1.82,0.0412,0.37,0.00624,0.0637,0.532,0.0184,FALSE,FALSE,TRUE,TRUE,TRUE,7,NA
"sp|A6ND36|FA83G_HUMAN","sp|A6ND36|FA83G_HUMAN",1.3,1.68,0.376,0.0266,0.00619,0.491,0.0433,0.0213,0.603,TRUE,TRUE,FALSE,TRUE,TRUE,11,NA
"sp|A8CG34|P121C_HUMAN","sp|A8CG34|P121C_HUMAN",1.62,0.245,-1.38,2.5e-05,0.394,0.000144,8.15e-05,0.556,0.000962,TRUE,FALSE,TRUE,TRUE,TRUE,5,NA
"sp|O00257|CBX4_HUMAN","sp|O00257|CBX4_HUMAN",2.48,1.48,-1,2.48e-07,0.000119,0.00362,1.61e-06,0.00083,0.0121,TRUE,TRUE,TRUE,TRUE,TRUE,12,NA
"sp|O00401|WASL_HUMAN","sp|O00401|WASL_HUMAN",-2.76,-0.78,1.98,0.00552,0.38,0.0354,0.0105,0.541,0.0749,TRUE,FALSE,FALSE,TRUE,TRUE,11,NA
"sp|O00418|EF2K_HUMAN","sp|O00418|EF2K_HUMAN",2.44,-0.647,-3.09,0.0131,0.471,0.00277,0.0234,0.619,0.0096,TRUE,FALSE,TRUE,TRUE,TRUE,9,NA
"sp|O00429|DNM1L_HUMAN","sp|O00429|DNM1L_HUMAN",2.1,0.901,-1.2,3.09e-06,0.00883,0.00111,1.33e-05,0.0283,0.00469,TRUE,FALSE,TRUE,TRUE,FALSE,0,NA
"sp|O00566|MPP10_HUMAN","sp|O00566|MPP10_HUMAN",-4.13,-4.11,0.0179,1.44e-14,1.55e-14,0.914,9.21e-13,2.71e-12,0.938,TRUE,TRUE,FALSE,TRUE,TRUE,6,NA
"sp|O00571|DDX3X_HUMAN","sp|O00571|DDX3X_HUMAN",2.75,2.5,-0.248,0.0236,0.0371,0.824,0.0391,0.0881,0.874,TRUE,FALSE,FALSE,TRUE,TRUE,10,NA
"sp|O13563|RPN13_YEAST","sp|O13563|RPN13_YEAST",-5.2,-3.69,1.51,1.36e-07,1.08e-05,0.0209,9.53e-07,0.000108,0.0488,TRUE,TRUE,TRUE,TRUE,TRUE,4,NA
"sp|O14497|ARI1A_HUMAN","sp|O14497|ARI1A_HUMAN",2.03,0.089,-1.94,0.00445,0.887,0.00605,0.00871,0.929,0.0179,TRUE,FALSE,TRUE,TRUE,TRUE,3,NA
"sp|O14523|C2C2L_HUMAN","sp|O14523|C2C2L_HUMAN",1.24,-0.637,-1.88,0.0456,0.284,0.00468,0.069,0.437,0.0147,FALSE,FALSE,TRUE,TRUE,TRUE,6,NA
