"Gene Name","Protein IDs","fold1_vs_fold10_log2 fold change","fold1_vs_fold4_log2 fold change","fold10_vs_fold4_log2 fold change","fold1_vs_fold10_p.val","fold1_vs_fold4_p.val","fold10_vs_fold4_p.val","fold1_vs_fold10_p.adj","fold1_vs_fold4_p.adj","fold10_vs_fold4_p.adj","fold1_vs_fold10_significant","fold1_vs_fold4_significant","fold10_vs_fold4_significant","significant","imputed","num_NAs","Protein.names"
"sp|A0FGR8|ESYT2_HUMAN","sp|A0FGR8|ESYT2_HUMAN",2.2,0.512,-1.69,0.011,0.513,0.0423,0.0211,0.665,0.102,TRUE,FALSE,FALSE,TRUE,TRUE,6,NA
"sp|A6ND36|FA83G_HUMAN","sp|A6ND36|FA83G_HUMAN",1.79,1.77,-0.0201,0.0109,0.0116,0.975,0.0209,0.0393,0.984,TRUE,TRUE,FALSE,TRUE,TRUE,11,NA
"sp|A8CG34|P121C_HUMAN","sp|A8CG34|P121C_HUMAN",2.37,0.245,-2.12,0.00592,0.747,0.0117,0.0123,0.829,0.0413,TRUE,FALSE,TRUE,TRUE,TRUE,5,NA
"sp|O00257|CBX4_HUMAN","sp|O00257|CBX4_HUMAN",2.64,2.7,0.0525,0.00674,0.00592,0.952,0.0137,0.0233,0.97,TRUE,TRUE,FALSE,TRUE,TRUE,12,NA
"sp|O00401|WASL_HUMAN","sp|O00401|WASL_HUMAN",-3.45,-0.328,3.12,0.0041,0.754,0.008,0.00881,0.833,0.0316,TRUE,FALSE,TRUE,TRUE,TRUE,11,NA
"sp|O00429|DNM1L_HUMAN","sp|O00429|DNM1L_HUMAN",2.1,0.901,-1.2,3.9e-06,0.00963,0.00126,2.21e-05,0.0341,0.00794,TRUE,FALSE,TRUE,TRUE,FALSE,0,NA
"sp|O00566|MPP10_HUMAN","sp|O00566|MPP10_HUMAN",-5.24,-5.23,0.0179,2.83e-07,2.96e-07,0.977,2.8e-06,8.21e-06,0.985,TRUE,TRUE,FALSE,TRUE,TRUE,6,NA
"sp|O13563|RPN13_YEAST","sp|O13563|RPN13_YEAST",-5.36,-3.85,1.51,2.38e-07,1.46e-05,0.0289,2.46e-06,0.000199,0.0778,TRUE,TRUE,FALSE,TRUE,TRUE,4,NA
"sp|O14497|ARI1A_HUMAN","sp|O14497|ARI1A_HUMAN",3.71,0.089,-3.62,0.00957,0.945,0.0111,0.0186,0.963,0.0399,TRUE,FALSE,TRUE,TRUE,TRUE,3,NA
"sp|O14523|C2C2L_HUMAN","sp|O14523|C2C2L_HUMAN",1.48,-0.753,-2.24,0.0762,0.351,0.0114,0.113,0.513,0.0405,FALSE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|O14757|CHK1_HUMAN","sp|O14757|CHK1_HUMAN",1.85,0.133,-1.72,1.59e-05,0.669,3.67e-05,6.89e-05,0.78,0.000655,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
"sp|O15164|TIF1A_HUMAN","sp|O15164|TIF1A_HUMAN",1.04,0.705,-0.337,2.69e-08,4.48e-06,0.0052,4.65e-07,7.32e-05,0.0232,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA
"sp|O15397|IPO8_HUMAN","sp|O15397|IPO8_HUMAN",2.99,-0.351,-3.34,0.00811,0.728,0.00385,0.0161,0.814,0.0183,TRUE,FALSE,TRUE,TRUE,TRUE,11,NA
"sp|O15504|NUP42_HUMAN","sp|O15504|NUP42_HUMAN",-4.68,-1.24,3.44,0.00553,0.409,0.0315,0.0115,0.574,0.083,TRUE,FALSE,FALSE,TRUE,TRUE,13,NA
"sp|O15534|PER1_HUMAN","sp|O15534|PER1_HUMAN",1.58,-0.421,-2,0.0108,0.453,0.00213,0.0207,0.614,0.0119,TRUE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|O43159|RRP8_HUMAN","sp|O43159|RRP8_HUMAN",0.897,1.52,0.619,0.0422,0.00181,0.147,0.068,0.00945,0.253,FALSE,TRUE,FALSE,TRUE,TRUE,1,NA
"sp|O43164|PJA2_HUMAN","sp|O43164|PJA2_HUMAN",1.83,0.0481,-1.79,0.0243,0.949,0.0277,0.0425,0.966,0.0752,TRUE,FALSE,FALSE,TRUE,TRUE,15,NA
"sp|O43390|HNRPR_HUMAN","sp|O43390|HNRPR_HUMAN",2.16,0.394,-1.77,0.000111,0.368,0.00075,0.000363,0.531,0.00547,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
"sp|O43395|PRPF3_HUMAN","sp|O43395|PRPF3_HUMAN",5.32,4.58,-0.744,0.00425,0.0113,0.648,0.00908,0.0384,0.752,TRUE,TRUE,FALSE,TRUE,TRUE,8,NA
"sp|O43707|ACTN4_HUMAN","sp|O43707|ACTN4_HUMAN",2.59,0.65,-1.94,0.000796,0.316,0.00706,0.00209,0.475,0.0291,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA
"sp|O43815|STRN_HUMAN","sp|O43815|STRN_HUMAN",-3.79,-4.19,-0.405,0.0142,0.00773,0.773,0.0265,0.0287,0.848,TRUE,TRUE,FALSE,TRUE,TRUE,3,NA
"sp|O60245|PCDH7_HUMAN","sp|O60245|PCDH7_HUMAN",4.48,0.389,-4.09,8.01e-05,0.655,0.000201,0.000272,0.771,0.00207,TRUE,FALSE,TRUE,TRUE,TRUE,5,NA
"sp|O60503|ADCY9_HUMAN","sp|O60503|ADCY9_HUMAN",0.491,-0.888,-1.38,0.334,0.091,0.013,0.408,0.189,0.0441,FALSE,FALSE,TRUE,TRUE,TRUE,9,NA
"sp|O60504|VINEX_HUMAN","sp|O60504|VINEX_HUMAN",3.18,0.395,-2.79,4.86e-07,0.332,2.61e-06,4.16e-06,0.492,0.000108,TRUE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|O75167|PHAR2_HUMAN","sp|O75167|PHAR2_HUMAN",2.09,1.89,-0.208,0.0178,0.0302,0.796,0.0324,0.0805,0.866,TRUE,FALSE,FALSE,TRUE,TRUE,12,NA
"sp|O75179|ANR17_HUMAN","sp|O75179|ANR17_HUMAN",1.53,0.248,-1.28,0.00834,0.633,0.0227,0.0165,0.754,0.065,TRUE,FALSE,FALSE,TRUE,TRUE,2,NA
"sp|O75362|ZN217_HUMAN","sp|O75362|ZN217_HUMAN",1.39,0.216,-1.18,0.00194,0.574,0.00653,0.00463,0.715,0.0277,TRUE,FALSE,TRUE,TRUE,TRUE,3,NA
"sp|O75381|PEX14_HUMAN","sp|O75381|PEX14_HUMAN",2.16,0.696,-1.47,0.000713,0.198,0.012,0.0019,0.341,0.042,TRUE,FALSE,TRUE,TRUE,TRUE,3,NA
"sp|O75382|TRIM3_HUMAN","sp|O75382|TRIM3_HUMAN",2.22,-0.422,-2.64,0.0257,0.646,0.00984,0.0446,0.765,0.0364,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
"sp|O75385|ULK1_HUMAN","sp|O75385|ULK1_HUMAN",4.06,0.222,-3.84,6.03e-05,0.773,0.000108,0.000215,0.846,0.00138,TRUE,FALSE,TRUE,TRUE,TRUE,5,NA
"sp|O75410|TACC1_HUMAN","sp|O75410|TACC1_HUMAN",3.28,0.0469,-3.23,0.000981,0.955,0.00111,0.0025,0.969,0.00716,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
"sp|O94906|PRP6_HUMAN","sp|O94906|PRP6_HUMAN",2.61,0.787,-1.82,0.006,0.355,0.042,0.0124,0.516,0.102,TRUE,FALSE,FALSE,TRUE,TRUE,6,NA
"sp|O95071|UBR5_HUMAN","sp|O95071|UBR5_HUMAN",1.22,-1.57,-2.79,0.0696,0.0237,0.000406,0.104,0.0676,0.00351,FALSE,FALSE,TRUE,TRUE,TRUE,13,NA
"sp|O95171|SCEL_HUMAN","sp|O95171|SCEL_HUMAN",2.47,0.548,-1.93,4.43e-05,0.238,0.000531,0.000164,0.391,0.00431,TRUE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|O95235|KI20A_HUMAN","sp|O95235|KI20A_HUMAN",2.21,0.282,-1.93,0.00346,0.668,0.00867,0.00758,0.78,0.0335,TRUE,FALSE,TRUE,TRUE,TRUE,1,NA
"sp|O95391|SLU7_HUMAN","sp|O95391|SLU7_HUMAN",6.34,0.168,-6.18,3.63e-12,0.635,5.47e-12,3.06e-10,0.757,1.15e-08,TRUE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|O95835|LATS1_HUMAN","sp|O95835|LATS1_HUMAN",2.06,-1.04,-3.1,0.0776,0.353,0.0117,0.114,0.515,0.0413,FALSE,FALSE,TRUE,TRUE,TRUE,10,NA
"sp|P00330|ADH1_YEAST","sp|P00330|ADH1_YEAST",-2.07,-1.24,0.821,2.53e-09,2.42e-06,0.000243,7.44e-08,4.33e-05,0.00238,TRUE,TRUE,FALSE,TRUE,FALSE,0,NA
