"Gene Name","Protein IDs","fold1_vs_fold10_log2 fold change","fold1_vs_fold4_log2 fold change","fold10_vs_fold4_log2 fold change","fold1_vs_fold10_p.val","fold1_vs_fold4_p.val","fold10_vs_fold4_p.val","fold1_vs_fold10_p.adj","fold1_vs_fold4_p.adj","fold10_vs_fold4_p.adj","fold1_vs_fold10_significant","fold1_vs_fold4_significant","fold10_vs_fold4_significant","significant","imputed","num_NAs","Protein.names"
"sp|A0JNW5|UH1BL_HUMAN","sp|A0JNW5|UH1BL_HUMAN",16,3.97,-12,0.0161,0.512,0.0599,0.0275,0.672,0.12,TRUE,FALSE,FALSE,TRUE,TRUE,11,NA
"sp|A1L390|PKHG3_HUMAN","sp|A1L390|PKHG3_HUMAN",20.5,16.5,-4.01,0.000429,0.0026,0.397,0.00114,0.0111,0.542,TRUE,TRUE,FALSE,TRUE,TRUE,12,NA
"sp|A2A2Y4|FRMD3_HUMAN","sp|A2A2Y4|FRMD3_HUMAN",12.5,-7.94,-20.5,0.032,0.156,0.00149,0.052,0.291,0.00551,FALSE,FALSE,TRUE,TRUE,TRUE,7,NA
"sp|A6ND36|FA83G_HUMAN","sp|A6ND36|FA83G_HUMAN",16.3,16.3,0.0349,0.0103,0.0102,0.995,0.0199,0.0336,1,TRUE,TRUE,FALSE,TRUE,TRUE,11,NA
"sp|A8CG34|P121C_HUMAN","sp|A8CG34|P121C_HUMAN",20.2,0.245,-19.9,1.14e-05,0.94,1.31e-05,4.63e-05,1,9.86e-05,TRUE,FALSE,TRUE,TRUE,TRUE,5,NA
"sp|O00232|PSD12_HUMAN","sp|O00232|PSD12_HUMAN",12.6,12.6,0,0.0135,0.0135,1,0.0237,0.0397,1,TRUE,TRUE,FALSE,TRUE,TRUE,15,NA
"sp|O00257|CBX4_HUMAN","sp|O00257|CBX4_HUMAN",20.5,16.5,-3.97,0.000413,0.00248,0.399,0.00111,0.0107,0.543,TRUE,TRUE,FALSE,TRUE,TRUE,12,NA
"sp|O00401|WASL_HUMAN","sp|O00401|WASL_HUMAN",-21.8,-8.56,13.3,0.0013,0.145,0.0305,0.00291,0.279,0.0701,TRUE,FALSE,FALSE,TRUE,TRUE,11,NA
"sp|O00418|EF2K_HUMAN","sp|O00418|EF2K_HUMAN",17.5,-4.34,-21.8,0.00718,0.455,0.00146,0.0142,0.635,0.00547,TRUE,FALSE,TRUE,TRUE,TRUE,9,NA
"sp|O00429|DNM1L_HUMAN","sp|O00429|DNM1L_HUMAN",2.1,0.901,-1.2,5.3e-06,0.0106,0.00145,2.36e-05,0.0346,0.00547,TRUE,FALSE,TRUE,TRUE,FALSE,0,NA
"sp|O00566|MPP10_HUMAN","sp|O00566|MPP10_HUMAN",-26.7,-26.6,0.0179,5.86e-30,5.92e-30,0.858,1.2e-28,1.89e-28,0.982,TRUE,TRUE,FALSE,TRUE,TRUE,6,NA
"sp|O00571|DDX3X_HUMAN","sp|O00571|DDX3X_HUMAN",18,13.8,-4.24,0.0164,0.057,0.536,0.028,0.132,0.674,TRUE,FALSE,FALSE,TRUE,TRUE,10,NA
"sp|O13563|RPN13_YEAST","sp|O13563|RPN13_YEAST",-20.4,-18.9,1.51,0.000292,0.000588,0.735,0.000813,0.00371,0.873,TRUE,TRUE,FALSE,TRUE,TRUE,4,NA
"sp|O14497|ARI1A_HUMAN","sp|O14497|ARI1A_HUMAN",13.3,0.089,-13.2,0.0116,0.985,0.0121,0.0221,1,0.0337,TRUE,FALSE,TRUE,TRUE,TRUE,3,NA
"sp|O14523|C2C2L_HUMAN","sp|O14523|C2C2L_HUMAN",8.57,-8.17,-16.7,0.164,0.184,0.0118,0.217,0.327,0.0332,FALSE,FALSE,TRUE,TRUE,TRUE,6,NA
"sp|O14757|CHK1_HUMAN","sp|O14757|CHK1_HUMAN",16.8,0.133,-16.6,0.000811,0.974,0.000868,0.00203,1,0.00389,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
"sp|O15164|TIF1A_HUMAN","sp|O15164|TIF1A_HUMAN",1.04,0.705,-0.337,2.49e-08,3.8e-06,0.00445,2.43e-07,5.28e-05,0.0142,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA
