"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN",NA,20.798264538071,NA,NA,NA,NA,NA,NA,20.798264538071,0,1
"2","sp|A0AVK6|E2F8_HUMAN",NA,21.1524013565136,NA,NA,NA,NA,NA,NA,21.1524013565136,0,4
"3","sp|A0FGR8|ESYT2_HUMAN",-1.02843481298276,24.7040877856756,-2.81501721744661,0.0156349825002807,0.048049605121495,-4.26994329939692,TRUE,24.1898703791842,25.218305192167,6,6
"4","sp|A0JLT2|MED19_HUMAN",0.190705885522352,21.6704569333499,0.350581588010702,0.736256654317161,0.818210614033572,-7.20488639299551,FALSE,21.7521880271451,21.5614821416228,4,3
"5","sp|A0JNW5|UH1BL_HUMAN",-0.0316918107237212,23.2981857244121,-0.0742364564082356,0.942048279724334,0.962953629086402,-7.55003284385682,FALSE,23.2823398190503,23.314031629774,6,6
"6","sp|A0MZ66|SHOT1_HUMAN",-0.0358480843997399,25.6106747280289,-0.159183106017433,0.876178622880624,0.920012459613708,-7.53933337677792,FALSE,25.592750685829,25.6285987702288,6,6
"7","sp|A1A4S6|RHG10_HUMAN",-0.0973486958589302,22.9926745967306,-0.772408483372558,0.45485193653482,0.589965959817284,-7.23845181886278,FALSE,22.9440002488012,23.0413489446601,6,6
"8","sp|A1KXE4|F168B_HUMAN",-0.634912072442654,24.520395384585,-1.30514283078259,0.216373025951021,0.348119319626773,-6.69267860913383,FALSE,24.2029393483636,24.8378514208063,6,6
"9","sp|A1L390|PKHG3_HUMAN",-1.4573780154408,23.7806010637563,-7.50238453218898,7.31255175155396e-06,7.96830860479066e-05,3.65533232944792,TRUE,23.0519120560359,24.5092900714767,6,6
"10","sp|A1XBS5|CBAR1_HUMAN",-0.741721447315601,22.8997001260996,-2.34495361212936,0.0516145096070606,0.122439878080516,-4.88344369722505,FALSE,22.3698990923027,23.1116205396183,2,5
"11","sp|A2A2Y4|FRMD3_HUMAN",0.239178640238925,24.2325427714013,0.694593819511652,0.500568616609804,0.630876994116894,-7.29746334140453,FALSE,24.3521320915208,24.1129534512819,6,6
"12","sp|A2A3K4|PTPC1_HUMAN",0.234552012793293,21.7089116911074,0.914196887071591,0.380266020335862,0.517568513916863,-7.06740790533369,FALSE,21.8155262423771,21.5809742295838,6,5
"13","sp|A2CJ06|DYTN_HUMAN",NA,24.9380856334147,NA,NA,NA,NA,NA,24.9380856334147,NA,2,0
"14","sp|A2RU67|F234B_HUMAN",1.05893333827576,26.1686111627293,3.35806325901477,0.00640801078733665,0.0235768843111769,-3.29205806210204,TRUE,26.6499444983092,25.5910111600334,6,5
"15","sp|A3KN83|SBNO1_HUMAN",0.154702579273872,24.4557610476503,0.627437289635946,0.542155314731646,0.666907003869031,-7.34373551791203,FALSE,24.5331123372872,24.3784097580133,6,6
"16","sp|A4D1P6|WDR91_HUMAN",-0.501477709070215,21.6145412028313,-2.04701821610261,0.110566588977705,0.21428517779277,-5.10126792998195,FALSE,21.4891717755638,21.990649484634,3,1
"17","sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN",0.743539062619066,21.28221499865,2.26847637869614,0.108928664944013,0.2120592183112,-4.8510056947028,FALSE,21.5300613528564,20.7865222902373,2,1
"18","sp|A6H8Y1|BDP1_HUMAN",0.515796170594344,26.1710331861965,1.23757396688256,0.239598169945103,0.373244496782363,-6.77442945627603,FALSE,26.4289312714937,25.9131351008993,6,6
"19","sp|A6ND36|FA83G_HUMAN",-1.57860867399306,23.0278693712243,-3.96529332537866,0.00188382347472673,0.00894452945455082,-2.13619278604942,TRUE,22.2385650342278,23.8171737082208,6,6
"20","sp|A6NDB9|PALM3_HUMAN",-0.481896572525216,22.8861935195148,-1.72736515478655,0.118280004395509,0.22452535263978,-5.97794326781094,FALSE,22.6184732014452,23.1003697739704,4,5
"21","sp|A6NFI3|ZN316_HUMAN",1.08664738906802,24.1757830027866,2.03569620696674,0.0666617210059067,0.148074803004101,-5.59421584492266,FALSE,24.6697136341811,23.5830662451131,6,5
"22","sp|A6NHT5|HMX3_HUMAN",-0.625977267560704,22.3627246791551,-1.09024223341412,0.30746273561745,0.445573693750828,-6.58791530279416,FALSE,22.2062303622649,22.8322076298256,6,2
