"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN",NA,20.5762555122085,NA,NA,NA,NA,NA,NA,20.5762555122085,0,1
"2","sp|A0AVK6|E2F8_HUMAN",NA,20.9212020556141,NA,NA,NA,NA,NA,NA,20.9212020556141,0,4
"3","sp|A0FGR8|ESYT2_HUMAN",-0.748172806315151,24.5559562180301,-1.83135197217968,0.0920570242478002,0.228841620169161,-6.00103781158005,FALSE,24.1818698148725,24.9300426211877,6,6
"4","sp|A0JLT2|MED19_HUMAN",0.510838485873281,21.5269392822692,0.9154380141996,0.390573659369762,0.583176676520574,-6.86904341303145,FALSE,21.7458700619291,21.2350315760559,4,3
"5","sp|A0JNW5|UH1BL_HUMAN",0.248570195943885,23.1500541567666,0.529492849756228,0.60615238232458,0.755440924530027,-7.44858218611327,FALSE,23.2743392547386,23.0257690587947,6,6
"6","sp|A0MZ66|SHOT1_HUMAN",0.244413922267865,25.4625431603834,0.901480688182678,0.385126637653757,0.577143123526563,-7.17344802591384,FALSE,25.5847501215174,25.3403361992495,6,6
"7","sp|A1A4S6|RHG10_HUMAN",0.182913310808674,22.8445430290851,1.60760196739492,0.133984084098949,0.296902943408228,-6.33407467890426,FALSE,22.9359996844895,22.7530863736808,6,6
"8","sp|A1KXE4|F168B_HUMAN",-0.354650065775051,24.3722638169395,-0.69046479491839,0.503081324301511,0.681975197053131,-7.34570726990922,FALSE,24.194938784052,24.549588849827,6,6
"9","sp|A1L390|PKHG3_HUMAN",-1.1771160087732,23.6324694961109,-6.70059022082962,2.23060491617363e-05,0.000209133364475771,2.44439802082183,TRUE,23.0439114917243,24.2210275004974,6,6
"10","sp|A1XBS5|CBAR1_HUMAN",-0.517316042362398,22.742138539732,-1.72023247065618,0.129316749603535,0.290569387491155,-5.82737122287757,FALSE,22.3726270809017,22.8899431232641,2,5
"11","sp|A2A2Y4|FRMD3_HUMAN",0.519440646906527,24.0844112037558,1.33331669053637,0.207266371071757,0.396500245851408,-6.70273978690808,FALSE,24.3441315272091,23.8246908803026,6,6
