"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN",NA,20.8025215765822,NA,NA,NA,NA,NA,NA,20.8025215765822,0,1
"2","sp|A0AVK6|E2F8_HUMAN",NA,21.1724175950093,NA,NA,NA,NA,NA,NA,21.1724175950093,0,4
"3","sp|A0FGR8|ESYT2_HUMAN",-0.980073318468418,24.6789255170845,-2.71369827414696,0.0189396841781013,0.0598487539383288,-4.48308194399518,FALSE,24.1888888578503,25.1689621763187,6,6
"4","sp|A0JLT2|MED19_HUMAN",0.241109540733736,21.7096612008771,0.452257721992525,0.664945371945673,0.765682108468615,-7.18642998044671,FALSE,21.8129938611916,21.5718843204578,4,3
"5","sp|A0JNW5|UH1BL_HUMAN",0.00323220886365694,23.3034958449284,0.00744651456651553,0.994181907347109,0.99606942385143,-7.5801044575759,FALSE,23.3051119493602,23.3018797404966,6,6
"6","sp|A0MZ66|SHOT1_HUMAN",0.0124439887774736,25.5854566972003,0.0564710556348262,0.955903135312306,0.97305308416947,-7.57841067444556,FALSE,25.5916786915891,25.5792347028116,6,6
"7","sp|A1A4S6|RHG10_HUMAN",-0.0880824435789185,23.0117373201118,-0.74837957737914,0.468756867851354,0.604604703157438,-7.28427753683952,FALSE,22.9676960983224,23.0557785419013,6,6
"8","sp|A1KXE4|F168B_HUMAN",-0.596881617447029,24.4983903209887,-1.24681256406732,0.236436324035523,0.378749254547798,-6.79037416800874,FALSE,24.1999495122652,24.7968311297122,6,6
"9","sp|A1L390|PKHG3_HUMAN",-1.43218345945827,23.783230755092,-7.51762134317955,7.3979744953615e-06,8.15764710025833e-05,3.62629141919373,TRUE,23.0671390253629,24.4993224848212,6,6
"10","sp|A1XBS5|CBAR1_HUMAN",-0.754485082745133,22.9135056188895,-2.27223675113021,0.0577869144188656,0.140437409120585,-5.01954235847472,FALSE,22.374587702643,23.1290727853881,2,5
"11","sp|A2A2Y4|FRMD3_HUMAN",0.267039764507635,24.2279469810943,0.772077231108306,0.455120689882872,0.593230708689954,-7.26570294215507,FALSE,24.3614668633481,24.0944270988405,6,6
"12","sp|A2A3K4|PTPC1_HUMAN",0.28492899242276,21.7320782725246,1.11674098941782,0.288102914481269,0.433857385280803,-6.88997651029592,FALSE,21.8615914508986,21.5766624584758,6,5
"13","sp|A2CJ06|DYTN_HUMAN",NA,24.9226203622626,NA,NA,NA,NA,NA,24.9226203622626,NA,2,0
"14","sp|A2RU67|F234B_HUMAN",1.10248898718572,26.1473679993289,3.55983813217524,0.00453267284461671,0.0191172145857703,-2.96206487750472,TRUE,26.6484993571406,25.5460103699548,6,5
"15","sp|A3KN83|SBNO1_HUMAN",0.161760142524576,24.4464767587124,0.66279539940671,0.520086316982942,0.646868301324911,-7.34693324228485,FALSE,24.5273568299747,24.3655966874501,6,6
"16","sp|A4D1P6|WDR91_HUMAN",-0.433392611120844,21.6567723654138,-1.80219881750615,0.147575296963176,0.275882159403832,-5.42696134640206,FALSE,21.5484242126336,21.9818168237545,3,1
"17","sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN",0.983696025930803,21.2279169485828,3.16400748874788,0.0529572829521706,0.131495186750068,-3.99416633648769,FALSE,21.555815623893,20.5721195979622,2,1
"18","sp|A6H8Y1|BDP1_HUMAN",0.573382911095182,26.1543784510866,1.40551053607278,0.18542262055955,0.324160511285839,-6.59225810938918,FALSE,26.4410699066342,25.867686995539,6,6
"19","sp|A6ND36|FA83G_HUMAN",-1.54656767415679,23.043672585842,-3.84902088604868,0.0023465356048024,0.0110987228222024,-2.38390238695113,TRUE,22.2703887487636,23.8169564229204,6,6
"20","sp|A6NDB9|PALM3_HUMAN",-0.460469306454301,22.9159545958006,-1.68164649635593,0.127287515149267,0.246953824034345,-6.07010304731164,FALSE,22.6601383144371,23.1206076208914,4,5
"21","sp|A6NFI3|ZN316_HUMAN",1.09965137285886,24.1842457614711,2.08683848837694,0.0611860488243668,0.145444829058694,-5.53918018361917,FALSE,24.6840872945887,23.5844359217299,6,5
"22","sp|A6NHT5|HMX3_HUMAN",-0.559477142799412,22.3934093640385,-0.966311446403374,0.362511048799544,0.510139357815435,-6.74039573258093,FALSE,22.2535400783387,22.8130172211381,6,2
"23","sp|A6NI28|RHG42_HUMAN",-0.262318193774603,21.7621030445467,-1.04250130193537,0.337956507995654,0.484777415132669,-6.65481793328776,FALSE,21.6309439476594,21.893262141434,3,3
"24","sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN",-0.220706544667115,22.2139072089688,-0.828391146730002,0.435136987590217,0.576127610092567,-6.83818425608522,FALSE,22.0562596770637,22.2769662217308,2,5
"25","sp|A7E2V4|ZSWM8_HUMAN",NA,22.4132047907098,NA,NA,NA,NA,NA,NA,22.4132047907098,0,6
"26","sp|A7KAX9|RHG32_HUMAN",-1.17028254321492,21.59312468517,-0.792820917156267,0.458534125023158,0.595787920448662,-6.5971096328738,FALSE,20.6178892324909,21.7881717757059,1,5
"27","sp|A8CG34|P121C_HUMAN",-0.342741374769228,23.8229342916593,-2.35764285561672,0.0363576993331593,0.100153125530716,-5.11549658258306,FALSE,23.6515636042747,23.9943049790439,6,6
"28","sp|B2RTY4|MYO9A_HUMAN",NA,23.0419187848169,NA,NA,NA,NA,NA,NA,23.0419187848169,0,6
"29","sp|C9JLW8|MCRI1_HUMAN",-0.218795322077209,25.0617507848306,-2.77708580678035,0.0168476973015851,0.054259279714085,-4.36805049496567,FALSE,24.952353123792,25.1711484458692,6,6
"30","sp|H0YL09|U2Q2L_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"31","sp|O00116|ADAS_HUMAN",-0.832097769734892,22.4409804782511,-2.28103098890644,0.0459397952808047,0.118506706541405,-5.19596187662874,FALSE,22.0249315933836,22.8570293631185,5,5
"32","sp|O00139|KIF2A_HUMAN",NA,25.3047277604428,NA,NA,NA,NA,NA,NA,25.3047277604428,0,1
"33","sp|O00148|DX39A_HUMAN",0.574169959939134,26.2520530724712,2.2856070382703,0.0414170407819219,0.110523537825757,-5.23982251502918,FALSE,26.5391380524408,25.9649680925016,6,6
"34","sp|O00151|PDLI1_HUMAN",-0.153450351648456,24.6278518459081,-1.03661975618909,0.320508069056216,0.467473025363097,-7.02400652291161,FALSE,24.5511266700838,24.7045770217323,6,6
"35","sp|O00159|MYO1C_HUMAN",-0.592308094872536,22.887629696479,-2.0638712698181,0.0615296161090624,0.145792432268683,-5.6124309611182,FALSE,22.5914756490428,23.1837837439153,6,6
"36","sp|O00161|SNP23_HUMAN",-0.117813358401723,25.306537300699,-1.25643686082016,0.235202137366628,0.377755084970575,-6.7302686564131,FALSE,25.2529857741527,25.3707991325544,6,5
"37","sp|O00178|GTPB1_HUMAN",-1.77982412651154,22.3465496667483,-1.60711572270406,0.159932300224708,0.292537617986914,-5.93221661275089,FALSE,21.160000249074,22.9398243755855,2,4
"38","sp|O00192|ARVC_HUMAN",NA,21.3134925539732,NA,NA,NA,NA,NA,21.3134925539732,NA,1,0
"39","sp|O00193|SMAP_HUMAN",0.286651235076134,30.4995773699081,0.413030570717159,0.68692510520096,0.780981201781779,-7.48856574625637,FALSE,30.6429029874462,30.35625175237,6,6
"40","sp|O00203|AP3B1_HUMAN",0.0216132076475628,28.4350783062908,0.208436945392867,0.838410856114324,0.893047780417045,-7.55669001110066,FALSE,28.4458849101146,28.424271702467,6,6
"41","sp|O00213|APBB1_HUMAN",-0.0130245662815928,22.7653905281938,-0.0682317739230298,0.948294143280751,0.968481770881696,-7.12111798288576,FALSE,22.7575757884249,22.7706003547064,2,3
"42","sp|O00231|PSD11_HUMAN",0.674555222390506,28.4559054938851,1.61626947582509,0.140845415400236,0.266193472884491,-6.16154783966325,FALSE,28.8306583952131,28.1561031728226,4,5
"43","sp|O00232|PSD12_HUMAN",-2.4031394671297,23.3011417586697,-2.51023706493048,0.0335518164294557,0.0939654358532292,-4.74130630059296,FALSE,21.6990487805833,24.102188247713,3,6
"44","sp|O00257|CBX4_HUMAN",-1.28515119016973,23.6160657837997,-5.36090649093177,0.000236771971809747,0.00161670178163624,0.106947178225139,TRUE,22.9150742255253,24.2002254156951,5,6
"45","sp|O00264|PGRC1_HUMAN",-0.040712755245965,32.4865608999678,-0.249238605570579,0.807423816727186,0.870330778812438,-7.54663938678134,FALSE,32.4662045223448,32.5069172775908,6,6
"46","sp|O00267|SPT5H_HUMAN",-0.244674322275899,24.1730750245207,-2.87884003932077,0.0139575314178791,0.0466176501425367,-4.18226270365357,TRUE,24.0507378633827,24.2954121856586,6,6
"47","sp|O00273|DFFA_HUMAN",-0.372752492306614,26.6800899846104,-3.21836489243703,0.0106593887249199,0.0378613287979365,-3.62900897060987,TRUE,26.4730052666623,26.8457577589689,4,5
"48","sp|O00299|CLIC1_HUMAN",-0.0216289741076448,26.1367073031604,-0.134848112174781,0.894984697121061,0.933425512068871,-7.57031151025546,FALSE,26.1258928161066,26.1475217902142,6,6
"49","sp|O00303|EIF3F_HUMAN",NA,23.8273480819807,NA,NA,NA,NA,NA,23.8273480819807,NA,2,0
"50","sp|O00311|CDC7_HUMAN",NA,20.1733573726507,NA,NA,NA,NA,NA,NA,20.1733573726507,0,2
"51","sp|O00400|ACATN_HUMAN",-0.919084891819638,21.4257248117766,-3.2591693818739,0.0117280103297877,0.0407556633661672,-3.57768753437271,TRUE,20.8512967543893,21.7703816462089,3,5
"52","sp|O00401|WASL_HUMAN",0.110152853775583,25.7058058360564,0.47144321640996,0.645845353505185,0.749055529747225,-7.46108988414043,FALSE,25.7608822629441,25.6507294091686,6,6
"53","sp|O00410|IPO5_HUMAN",-0.582505768309021,26.8973837215535,-0.582945964200154,0.57178559492867,0.689577534334479,-7.35046726307769,FALSE,26.5796533024759,27.1621590707849,5,6
"54","sp|O00418|EF2K_HUMAN",0.648073585169005,26.0441568906248,1.29287810351488,0.220577498910591,0.363107522716455,-6.73469206591883,FALSE,26.3681936832093,25.7201200980403,6,6
"55","sp|O00422|SAP18_HUMAN",0.865706662826735,21.4222156472531,2.76890939179218,0.0281133486677772,0.0815795050893709,-4.36878479790495,FALSE,21.9169051688684,21.0511985060416,3,4
"56","sp|O00425|IF2B3_HUMAN",NA,21.5028376040024,NA,NA,NA,NA,NA,21.5028376040024,NA,2,0
"57","sp|O00429|DNM1L_HUMAN",-0.972896922103293,27.4162078394542,-2.35175971128702,0.0367475964304093,0.101076411924,-5.12570373608941,FALSE,26.9297593784025,27.9026563005058,6,6
"58","sp|O00443|P3C2A_HUMAN",-0.411675376697013,24.2294240064313,-2.89473048326913,0.0135529765834157,0.0455962618389231,-4.1531379352986,TRUE,24.0235863180828,24.4352616947798,6,6
"59","sp|O00472|ELL2_HUMAN",0.423645383298238,25.1498990565288,1.60792478132183,0.134029110641941,0.257063102134647,-6.31560401050594,FALSE,25.3617217481779,24.9380763648797,6,6
"60","sp|O00479|HMGN4_HUMAN",-0.247409045569722,21.2652813766183,-1.14806440888332,0.289147345848923,0.43507547680893,-6.5241245493822,FALSE,21.1945930778841,21.4420021234538,5,2
