Protein,Species
O13563,YEAST
P00330,YEAST
P00359,YEAST
P00360,YEAST
P00445,YEAST
P00549,YEAST
P00560,YEAST
P00817,YEAST
P00924,YEAST
P00925,YEAST
P00942,YEAST
P00950,YEAST
P01119,YEAST
P01120,YEAST
P02381,YEAST
P02400,YEAST
P02829,YEAST
P02994,YEAST
P04050,YEAST
P04147,YEAST
P04449,YEAST
P04456,YEAST
P04786,YEAST
P04801,YEAST
P04802,YEAST
P04807,YEAST
P04821,YEAST
P04840,YEAST
P05317,YEAST
P05318,YEAST
P05319,YEAST
P05453,YEAST
P05694,YEAST
P05749,YEAST
P05750,YEAST
P05756,YEAST
P05759,YEAST
P06101,YEAST
P06102,YEAST
P06103,YEAST
P06105,YEAST
P06168,YEAST
P06169,YEAST
P06244,YEAST
P06701,YEAST
P06779,YEAST
P06782,YEAST
P06786,YEAST
P06787,YEAST
P07149,YEAST
P07170,YEAST
P07213,YEAST
P07248,YEAST
P07250,YEAST
P07251,YEAST
P07260,YEAST
P07261,YEAST
P07264,YEAST
P07276,YEAST
P07283,YEAST
P07284,YEAST
P07866,YEAST
P08004,YEAST
P08018,YEAST
P08524,YEAST
P08678,YEAST
P09064,YEAST
P09547,YEAST
P09620,YEAST
P09938,YEAST
P0CS90,YEAST
P10080,YEAST
P10081,YEAST
P10591,YEAST
P10592,YEAST
P10659,YEAST
P10964,YEAST
P11075,YEAST
P11433,YEAST
P11972,YEAST
P11978,YEAST
P12385,YEAST
P12683,YEAST
P12709,YEAST
P12962,YEAST
P13185,YEAST
P13186,YEAST
P13188,YEAST
P13259,YEAST
P13298,YEAST
P13382,YEAST
P13517,YEAST
P13574,YEAST
P13663,YEAST
P14126,YEAST
P14164,YEAST
P14540,YEAST
P14682,YEAST
P14736,YEAST
P14737,YEAST
P14747,YEAST
P14772,YEAST
P14832,YEAST
P14907,YEAST
P14922,YEAST
P15019,YEAST
P15108,YEAST
P15274,YEAST
P15442,YEAST
P15705,YEAST
P15891,YEAST
P16120,YEAST
P16140,YEAST
P16474,YEAST
P16521,YEAST
P16550,YEAST
P16649,YEAST
P16861,YEAST
P16862,YEAST
P17065,YEAST
P17106,YEAST
P17121,YEAST
P17255,YEAST
P17536,YEAST
P17967,YEAST
P18494,YEAST
P19097,YEAST
P19659,YEAST
P19812,YEAST
P19880,YEAST
P19881,YEAST
P20448,YEAST
P20449,YEAST
P20484,YEAST
P20676,YEAST
P21192,YEAST
P21304,YEAST
P21339,YEAST
P21524,YEAST
P21576,YEAST
P21657,YEAST
P22082,YEAST
P22137,YEAST
P22147,YEAST
P22515,YEAST
P22516,YEAST
P22579,YEAST
P22803,YEAST
P22943,YEAST
P23201,YEAST
P23254,YEAST
P23255,YEAST
P23301,YEAST
P23615,YEAST
P23900,YEAST
P24000,YEAST
P24280,YEAST
P24583,YEAST
P25037,YEAST
P25040,YEAST
P25087,YEAST
P25293,YEAST
P25343,YEAST
P25358,YEAST
P25389,YEAST
P25441,YEAST
P25558,YEAST
P25567,YEAST
P25582,YEAST
P25588,YEAST
P25617,YEAST
P25635,YEAST
P25655,YEAST
P25694,YEAST
P26321,YEAST
P26637,YEAST
P26754,YEAST
P26783,YEAST
P26784,YEAST
P26785,YEAST
P26786,YEAST
P27466,YEAST
P27636,YEAST
P27637,YEAST
P27692,YEAST
P29366,YEAST
P30624,YEAST
P31116,YEAST
P31244,YEAST
P31373,YEAST
P31374,YEAST
P31384,YEAST
P31385,YEAST
P31688,YEAST
P32047,YEAST
P32288,YEAST
P32324,YEAST
P32328,YEAST
P32379,YEAST
P32386,YEAST
P32447,YEAST
P32449,YEAST
P32457,YEAST
P32465,YEAST
P32469,YEAST
P32471,YEAST
P32473,YEAST
P32497,YEAST
P32499,YEAST
P32501,YEAST
P32521,YEAST
P32525,YEAST
P32566,YEAST
P32567,YEAST
P32568,YEAST
P32578,YEAST
P32582,YEAST
P32589,YEAST
P32591,YEAST
P32604,YEAST
P32657,YEAST
P32660,YEAST
P32790,YEAST
P32797,YEAST
P32833,YEAST
P32849,YEAST
P32862,YEAST
P32873,YEAST
P32892,YEAST
P32900,YEAST
P32916,YEAST
P33302,YEAST
P33306,YEAST
P33322,YEAST
P33330,YEAST
P33332,YEAST
P33419,YEAST
P33441,YEAST
P33749,YEAST
P34072,YEAST
P34078,YEAST
P34110,YEAST
P34163,YEAST
P34216,YEAST
P34217,YEAST
P34221,YEAST
P34223,YEAST
P34237,YEAST
P34240,YEAST
P34250,YEAST
P34756,YEAST
P34760,YEAST
P34909,YEAST
P35177,YEAST
P35193,YEAST
P35197,YEAST
P35691,YEAST
P35724,YEAST
P35732,YEAST
P35844,YEAST
P35845,YEAST
P36006,YEAST
P36024,YEAST
P36037,YEAST
P36041,YEAST
P36046,YEAST
P36049,YEAST
P36053,YEAST
P36054,YEAST
P36080,YEAST
P36094,YEAST
P36102,YEAST
P36116,YEAST
P36119,YEAST
P36123,YEAST
P36146,YEAST
P36148,YEAST
P36152,YEAST
P36166,YEAST
P36168,YEAST
P36169,YEAST
P36421,YEAST
P36775,YEAST
P37262,YEAST
P37370,YEAST
P38011,YEAST
P38013,YEAST
P38041,YEAST
P38065,YEAST
P38079,YEAST
P38080,YEAST
P38084,YEAST
P38085,YEAST
P38088,YEAST
P38112,YEAST
P38115,YEAST
P38121,YEAST
P38144,YEAST
P38167,YEAST
P38170,YEAST
P38174,YEAST
P38187,YEAST
P38198,YEAST
P38199,YEAST
P38205,YEAST
P38234,YEAST
P38249,YEAST
P38250,YEAST
P38255,YEAST
P38264,YEAST
P38266,YEAST
P38272,YEAST
P38351,YEAST
P38426,YEAST
P38431,YEAST
P38439,YEAST
P38623,YEAST
P38630,YEAST
P38634,YEAST
P38682,YEAST
P38691,YEAST
P38692,YEAST
P38701,YEAST
P38708,YEAST
P38713,YEAST
P38720,YEAST
P38742,YEAST
P38764,YEAST
P38777,YEAST
P38779,YEAST
P38806,YEAST
P38809,YEAST
P38811,YEAST
P38814,YEAST
P38825,YEAST
P38826,YEAST
P38827,YEAST
P38845,YEAST
P38850,YEAST
P38853,YEAST
P38854,YEAST
P38879,YEAST
P38881,YEAST
P38882,YEAST
P38904,YEAST
P38912,YEAST
P38915,YEAST
P38928,YEAST
P38931,YEAST
P38934,YEAST
P38966,YEAST
P38968,YEAST
P38970,YEAST
P38990,YEAST
P39001,YEAST
P39015,YEAST
P39101,YEAST
P39104,YEAST
P39109,YEAST
P39521,YEAST
P39523,YEAST
P39538,YEAST
P39705,YEAST
P39719,YEAST
P39720,YEAST
P39730,YEAST
P39732,YEAST
P39744,YEAST
P39928,YEAST
P39929,YEAST
P39935,YEAST
P39936,YEAST
P39954,YEAST
P39956,YEAST
P39960,YEAST
P39969,YEAST
P39993,YEAST
P39996,YEAST
P40002,YEAST
P40019,YEAST
P40021,YEAST
P40036,YEAST
P40038,YEAST
P40040,YEAST
P40048,YEAST
P40059,YEAST
P40075,YEAST
P40094,YEAST
P40157,YEAST
P40202,YEAST
P40317,YEAST
P40340,YEAST
P40343,YEAST
P40361,YEAST
P40414,YEAST
P40453,YEAST
P40457,YEAST
P40467,YEAST
P40476,YEAST
P40477,YEAST
P40480,YEAST
P40494,YEAST
P40517,YEAST
P40529,YEAST
P40531,YEAST
P40535,YEAST
P40537,YEAST
P40563,YEAST
P40825,YEAST
P40957,YEAST
P40993,YEAST
P41277,YEAST
P41811,YEAST
P41813,YEAST
P41818,YEAST
P41832,YEAST
P41895,YEAST
P41920,YEAST
P41940,YEAST
P42073,YEAST
P42223,YEAST
P42838,YEAST
P42839,YEAST
P42846,YEAST
P43132,YEAST
P43560,YEAST
P43564,YEAST
P43565,YEAST
P43573,YEAST
P43579,YEAST
P43585,YEAST
P43597,YEAST
P45976,YEAST
P45978,YEAST
P46655,YEAST
P46669,YEAST
P46674,YEAST
P46676,YEAST
P46678,YEAST
P46949,YEAST
P46995,YEAST
P47018,YEAST
P47025,YEAST
P47029,YEAST
P47035,YEAST
P47043,YEAST
P47068,YEAST
P47083,YEAST
P47104,YEAST
P47110,YEAST
P47116,YEAST
P47134,YEAST
P47136,YEAST
P47139,YEAST
P47143,YEAST
P47170,YEAST
P48164,YEAST
P48361,YEAST
P48415,YEAST
P48524,YEAST
P48567,YEAST
P48570,YEAST
P48589,YEAST
P48813,YEAST
P49687,YEAST
P50105,YEAST
P50109,YEAST
P50896,YEAST
P51862,YEAST
P52286,YEAST
P53044,YEAST
P53064,YEAST
P53072,YEAST
P53090,YEAST
P53104,YEAST
P53112,YEAST
P53120,YEAST
P53121,YEAST
P53148,YEAST
P53172,YEAST
P53191,YEAST
P53235,YEAST
P53252,YEAST
P53258,YEAST
P53261,YEAST
P53274,YEAST
P53276,YEAST
P53278,YEAST
P53280,YEAST
P53281,YEAST
P53297,YEAST
P53313,YEAST
P53335,YEAST
P53438,YEAST
P53550,YEAST
P53551,YEAST
P53725,YEAST
P53739,YEAST
P53741,YEAST
P53743,YEAST
P53769,YEAST
P53836,YEAST
P53840,YEAST
P53857,YEAST
P53858,YEAST
P53863,YEAST
P53866,YEAST
P53883,YEAST
P53885,YEAST
P53890,YEAST
P53917,YEAST
P53952,YEAST
P53974,YEAST
P54000,YEAST
P54115,YEAST
P54787,YEAST
P54838,YEAST
P54839,YEAST
P54858,YEAST
P54861,YEAST
P54885,YEAST
P60010,YEAST
P89105,YEAST
Q00055,YEAST
Q00402,YEAST
Q00816,YEAST
Q00955,YEAST
Q01389,YEAST
Q01448,YEAST
Q01476,YEAST
Q01477,YEAST
Q01855,YEAST
Q01919,YEAST
Q02206,YEAST
Q02326,YEAST
Q02455,YEAST
Q02554,YEAST
Q02629,YEAST
Q02642,YEAST
Q02725,YEAST
Q02792,YEAST
Q02805,YEAST
Q02866,YEAST
Q02875,YEAST
Q02969,YEAST
Q03048,YEAST
Q03063,YEAST
Q03280,YEAST
Q03373,YEAST
Q03497,YEAST
Q03516,YEAST
Q03640,YEAST
