"Gene Name","Protein IDs","BAP_vs_DMSO_log2 fold change","BAP_vs_DMSO_p.val","BAP_vs_DMSO_p.adj","significant","BAP_vs_DMSO_significant","imputed","num_NAs","Protein.names"
"sp|Q15811|ITSN1_HUMAN","sp|Q15811|ITSN1_HUMAN",2.66,4.64e-06,0.00783,TRUE,TRUE,TRUE,6,NA
"sp|A0AV96|RBM47_HUMAN","sp|A0AV96|RBM47_HUMAN",-0.505,0.373,0.946,FALSE,FALSE,TRUE,6,NA
"sp|A0AVT1|UBA6_HUMAN","sp|A0AVT1|UBA6_HUMAN",0.0442,0.388,0.946,FALSE,FALSE,FALSE,0,NA
"sp|A0MZ66|SHOT1_HUMAN","sp|A0MZ66|SHOT1_HUMAN",0.0458,0.82,0.982,FALSE,FALSE,FALSE,0,NA
"sp|A1L0T0|HACL2_HUMAN","sp|A1L0T0|HACL2_HUMAN",0.216,0.359,0.946,FALSE,FALSE,FALSE,0,NA
"sp|A2RRP1|NBAS_HUMAN","sp|A2RRP1|NBAS_HUMAN",0.115,0.762,0.981,FALSE,FALSE,TRUE,1,NA
"sp|A3KMH1|VWA8_HUMAN","sp|A3KMH1|VWA8_HUMAN",0.032,0.61,0.962,FALSE,FALSE,FALSE,0,NA
"sp|A4D1E9|GTPBA_HUMAN","sp|A4D1E9|GTPBA_HUMAN",0.112,0.236,0.946,FALSE,FALSE,FALSE,0,NA
"sp|A4D1P6|WDR91_HUMAN","sp|A4D1P6|WDR91_HUMAN",1.06,0.237,0.946,FALSE,FALSE,TRUE,9,NA
"sp|A5YKK6|CNOT1_HUMAN","sp|A5YKK6|CNOT1_HUMAN",-0.0114,0.749,0.981,FALSE,FALSE,FALSE,0,NA
"sp|A6NCS6|CB072_HUMAN","sp|A6NCS6|CB072_HUMAN",0.153,0.815,0.982,FALSE,FALSE,TRUE,2,NA
"sp|A6NDB9|PALM3_HUMAN","sp|A6NDB9|PALM3_HUMAN",0.398,0.616,0.962,FALSE,FALSE,TRUE,3,NA
"sp|A6NDG6|PGP_HUMAN","sp|A6NDG6|PGP_HUMAN",-0.047,0.372,0.946,FALSE,FALSE,FALSE,0,NA
"sp|A6NHR9|SMHD1_HUMAN","sp|A6NHR9|SMHD1_HUMAN",0.032,0.678,0.968,FALSE,FALSE,FALSE,0,NA
"sp|A6NIH7|U119B_HUMAN","sp|A6NIH7|U119B_HUMAN",-0.0466,0.959,0.999,FALSE,FALSE,TRUE,7,NA
"sp|A6NJ78|MET15_HUMAN","sp|A6NJ78|MET15_HUMAN",-0.439,0.3,0.946,FALSE,FALSE,TRUE,5,NA
"sp|B1ANS9|WDR64_HUMAN","sp|B1ANS9|WDR64_HUMAN",-1.24,0.301,0.946,FALSE,FALSE,TRUE,1,NA
"sp|E9PRG8|CK098_HUMAN","sp|E9PRG8|CK098_HUMAN",-0.0975,0.587,0.96,FALSE,FALSE,FALSE,0,NA
"sp|O00116|ADAS_HUMAN","sp|O00116|ADAS_HUMAN",1.26,0.222,0.946,FALSE,FALSE,TRUE,1,NA
"sp|O00148|DX39A_HUMAN","sp|O00148|DX39A_HUMAN",0.125,0.291,0.946,FALSE,FALSE,FALSE,0,NA
"sp|O00151|PDLI1_HUMAN","sp|O00151|PDLI1_HUMAN",-0.108,0.681,0.969,FALSE,FALSE,FALSE,0,NA
"sp|O00154|BACH_HUMAN","sp|O00154|BACH_HUMAN",-0.0185,0.821,0.982,FALSE,FALSE,FALSE,0,NA
"sp|O00159|MYO1C_HUMAN","sp|O00159|MYO1C_HUMAN",0.179,0.0196,0.596,FALSE,FALSE,FALSE,0,NA
"sp|O00161|SNP23_HUMAN","sp|O00161|SNP23_HUMAN",-0.9,0.422,0.946,FALSE,FALSE,TRUE,7,NA
"sp|O00170|AIP_HUMAN","sp|O00170|AIP_HUMAN",-0.0532,0.396,0.946,FALSE,FALSE,FALSE,0,NA
"sp|O00178|GTPB1_HUMAN","sp|O00178|GTPB1_HUMAN",-0.211,0.0819,0.908,FALSE,FALSE,FALSE,0,NA
"sp|O00186|STXB3_HUMAN","sp|O00186|STXB3_HUMAN",0.0672,0.246,0.946,FALSE,FALSE,FALSE,0,NA
"sp|O00193|SMAP_HUMAN","sp|O00193|SMAP_HUMAN",-0.0509,0.635,0.966,FALSE,FALSE,FALSE,0,NA
"sp|O00203|AP3B1_HUMAN","sp|O00203|AP3B1_HUMAN",-0.0172,0.761,0.981,FALSE,FALSE,FALSE,0,NA
"sp|O00217|NDUS8_HUMAN","sp|O00217|NDUS8_HUMAN",-0.0968,0.419,0.946,FALSE,FALSE,FALSE,0,NA
"sp|O00231|PSD11_HUMAN","sp|O00231|PSD11_HUMAN",0.0464,0.534,0.952,FALSE,FALSE,FALSE,0,NA
"sp|O00232|PSD12_HUMAN","sp|O00232|PSD12_HUMAN",0.132,0.0627,0.86,FALSE,FALSE,FALSE,0,NA
"sp|O00233|PSMD9_HUMAN","sp|O00233|PSMD9_HUMAN",-0.217,0.807,0.982,FALSE,FALSE,TRUE,3,NA
"sp|O00264|PGRC1_HUMAN","sp|O00264|PGRC1_HUMAN",0.954,0.347,0.946,FALSE,FALSE,TRUE,1,NA
"sp|O00267|SPT5H_HUMAN","sp|O00267|SPT5H_HUMAN",-0.0217,0.765,0.981,FALSE,FALSE,FALSE,0,NA
"sp|O00268|TAF4_HUMAN","sp|O00268|TAF4_HUMAN",0.162,0.309,0.946,FALSE,FALSE,FALSE,0,NA
"sp|O00273|DFFA_HUMAN","sp|O00273|DFFA_HUMAN",0.0344,0.669,0.968,FALSE,FALSE,FALSE,0,NA
"sp|O00299|CLIC1_HUMAN","sp|O00299|CLIC1_HUMAN",0.0585,0.525,0.952,FALSE,FALSE,FALSE,0,NA
"sp|O00303|EIF3F_HUMAN","sp|O00303|EIF3F_HUMAN",-0.0487,0.473,0.952,FALSE,FALSE,FALSE,0,NA
"sp|O00308|WWP2_HUMAN","sp|O00308|WWP2_HUMAN",-0.733,0.208,0.946,FALSE,FALSE,TRUE,8,NA
"sp|O00330|ODPX_HUMAN","sp|O00330|ODPX_HUMAN",0.0486,0.621,0.963,FALSE,FALSE,FALSE,0,NA
"sp|O00401|WASL_HUMAN","sp|O00401|WASL_HUMAN",0.634,0.495,0.952,FALSE,FALSE,TRUE,8,NA
"sp|O00410|IPO5_HUMAN","sp|O00410|IPO5_HUMAN",0.0104,0.863,0.99,FALSE,FALSE,FALSE,0,NA
"sp|O00418|EF2K_HUMAN","sp|O00418|EF2K_HUMAN",-0.16,0.173,0.943,FALSE,FALSE,FALSE,0,NA
"sp|O00422|SAP18_HUMAN","sp|O00422|SAP18_HUMAN",0.205,0.314,0.946,FALSE,FALSE,FALSE,0,NA
"sp|O00425|IF2B3_HUMAN","sp|O00425|IF2B3_HUMAN",-0.0037,0.92,0.999,FALSE,FALSE,FALSE,0,NA
"sp|O00429|DNM1L_HUMAN","sp|O00429|DNM1L_HUMAN",0.0472,0.576,0.955,FALSE,FALSE,FALSE,0,NA
"sp|O00442|RTCA_HUMAN","sp|O00442|RTCA_HUMAN",-0.142,0.57,0.955,FALSE,FALSE,FALSE,0,NA
