"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BAP","mean_DMSO","ngood_BAP","ngood_DMSO"
"1","sp|A0A2R8Y4L2|RA1L3_HUMAN",NA,21.9948644113538,NA,NA,NA,NA,NA,NA,21.9948644113538,0,1
"2","sp|A0AV96|RBM47_HUMAN",-0.114776004180374,21.3661862627414,-0.18064846508604,0.860248560766725,0.939414674535272,-5.84175986678752,FALSE,21.4171978201549,21.3024218159745,5,4
"3","sp|A0AVT1|UBA6_HUMAN",-0.507939828353411,26.9428167630792,-1.80990131055339,0.0934613539493253,0.569927101945493,-4.5305686677967,FALSE,27.1967866772559,26.6888468489025,6,6
"4","sp|A0FGR8|ESYT2_HUMAN",-1.06963612388427,20.6166084408377,-1.35272155714511,0.21308766289035,0.627820037532328,-4.85307699713549,FALSE,20.9222187619475,19.8525826380632,5,2
"5","sp|A0MZ66|SHOT1_HUMAN",-0.299902409456686,27.1121224489102,-0.881108913011362,0.394245560801612,0.692884702873724,-5.61704208038341,FALSE,27.2620736536386,26.9621712441819,6,6
"6","sp|A0PJW6|TM223_HUMAN",-0.31335287689618,21.5719715964424,-0.953196302330672,0.368365697083989,0.6793633443499,-5.3075943355517,FALSE,21.7062656865407,21.3929128096445,4,3
"7","sp|A1L0T0|HACL2_HUMAN",-0.696999445766901,23.0170072600547,-2.07642621276342,0.0582325618122316,0.526920178221653,-4.13177973155897,FALSE,23.3655069829382,22.6685075371713,6,6
"8","sp|A1L170|CA226_HUMAN",0.473103866431746,20.5641502813591,0.723760724824106,0.485782535223612,0.745908130179227,-5.60043381135267,FALSE,20.3013148000081,20.7744186664399,4,5
"9","sp|A2RRP1|NBAS_HUMAN",0.122774379548637,23.2806876794754,0.328247171932742,0.747947805788576,0.884059798010949,-5.94355404825076,FALSE,23.219300489701,23.3420748692497,6,6
"10","sp|A2RTX5|SYTC2_HUMAN",-0.802642994169433,20.1993740731669,-1.86334679239994,0.0993720198480225,0.572976805338856,-4.31146995862506,FALSE,20.543363927811,19.7407209336415,4,3
"11","sp|A3KMH1|VWA8_HUMAN",-0.964549440667851,24.0680276979203,-2.72170943709667,0.0174458947040706,0.443245547985819,-3.07795572351753,FALSE,24.5503024182542,23.5857529775864,6,6
"12","sp|A4D1E9|GTPBA_HUMAN",-0.365836812471483,23.3338403522533,-1.15085212036588,0.27050638962895,0.65341466584795,-5.36169889611543,FALSE,23.516758758489,23.1509219460175,6,6
