"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BAP","mean_DMSO","ngood_BAP","ngood_DMSO"
"1","sp|A0A2R8Y4L2|RA1L3_HUMAN",NA,22.3915799537575,NA,NA,NA,NA,NA,NA,22.3915799537575,0,1
"2","sp|A0AV96|RBM47_HUMAN",0.0805078369371277,21.4204055580662,0.144188589846966,0.88857943037232,0.970357625142199,-5.99263730192875,FALSE,21.3846242972053,21.4651321341424,5,4
"3","sp|A0AVT1|UBA6_HUMAN",-0.373429063049375,26.9570832153088,-2.13759923616414,0.0540902877876457,0.510167256098956,-4.16078562033683,FALSE,27.1437977468335,26.7703686837841,6,6
"4","sp|A0FGR8|ESYT2_HUMAN",-1.02717497804407,20.5309762579637,-1.24327798297226,0.254595847053547,0.730078715483102,-5.07923714155006,FALSE,20.8244548231191,19.797279845075,5,2
"5","sp|A0MZ66|SHOT1_HUMAN",-0.1371981136463,27.1362430954761,-0.374845156459315,0.714394880731955,0.920714330505694,-6.07343517076811,FALSE,27.2048421522993,27.067644038653,6,6
"6","sp|A0PJW6|TM223_HUMAN",-0.257733017872168,21.6045291702483,-1.18804165837428,0.274339610715438,0.743825485570248,-5.20831613067872,FALSE,21.7149861779078,21.4572531600357,4,3
"7","sp|A1L0T0|HACL2_HUMAN",-0.566841203417128,23.0200911501935,-1.77179015494043,0.102104217382631,0.59782345187404,-4.7119390278729,FALSE,23.303511751902,22.7366705484849,6,6
"8","sp|A1L170|CA226_HUMAN",0.56091098948971,20.6858146772645,0.890281158661671,0.396856145990343,0.796374388297365,-5.60738771579289,FALSE,20.3741974608813,20.935108450371,4,5
"9","sp|A2RRP1|NBAS_HUMAN",0.250004826600151,23.2874193219645,0.79134620242229,0.444285986628375,0.8132365233502,-5.83013749271407,FALSE,23.1624169086644,23.4124217352646,6,6
"10","sp|A2RTX5|SYTC2_HUMAN",-0.48543473300188,20.2303433878275,-1.65710476186176,0.142367587315229,0.638043566517119,-4.67743467543479,FALSE,20.4383868448283,19.9529521118264,4,3
"11","sp|A3KMH1|VWA8_HUMAN",-0.839066512628815,24.0825676237237,-2.97314834984313,0.0117700844687117,0.393981550180622,-2.77688991167059,FALSE,24.5021008800381,23.6630343674093,6,6
"12","sp|A4D1E9|GTPBA_HUMAN",-0.233617543263122,23.3472381854945,-0.990755446951672,0.341595352597182,0.77431623978343,-5.65833223483447,FALSE,23.4640469571261,23.230429413863,6,6
"13","sp|A4D1P6|WDR91_HUMAN",-1.45672488937505,22.5654530913628,-2.09712547169515,0.0698799300985903,0.530514682437003,-4.14625102703357,FALSE,23.2938155360503,21.8370906466753,4,4
"14","sp|A5D8V6|VP37C_HUMAN",-0.451964026286753,20.6010328389054,-0.750426327253314,0.482050619081344,0.825962721566035,-5.53469167884442,FALSE,20.8270148520488,20.3750508257621,3,3
"15","sp|A5PLN9|TPC13_HUMAN",0.495808360115248,20.7948999683525,3.18834434859463,0.0112637705640634,0.393981550180622,-2.56334238139851,FALSE,20.5745406971902,21.0703490573054,5,4
"16","sp|A5YKK6|CNOT1_HUMAN",-0.184489245661478,25.6845003041308,-1.24377959965915,0.237611969541385,0.716558200695156,-5.39501474322088,FALSE,25.7767449269615,25.5922556813,6,6
"17","sp|A6NCS6|CB072_HUMAN",0.293329496142082,23.5690079900041,1.10862932314938,0.291546951097219,0.752174891660847,-5.49751590295779,FALSE,23.4356764008486,23.7290058969907,6,5
"18","sp|A6NDB9|PALM3_HUMAN",0.0649971460256108,22.4238729093815,0.205331116153586,0.841492227262925,0.961611154033246,-6.01788320197774,FALSE,22.3978740509713,22.4628711969969,6,4
"19","sp|A6NDG6|PGP_HUMAN",0.0316623121253457,26.5332956270334,0.198537623083339,0.845988245934929,0.961793324944188,-6.12536677210716,FALSE,26.5174644709708,26.5491267830961,6,6
"20","sp|A6NDU8|RIMC1_HUMAN",-0.0417651852093939,22.7690341795126,-0.0743976168715031,0.942553512730417,0.984659807974924,-5.95121913790798,FALSE,22.7899167721173,22.7481515869079,4,4
"21","sp|A6NED2|RCCD1_HUMAN",-0.207352965006846,21.7981751885483,-0.679435932918647,0.512502049906925,0.840438028724847,-5.80542140378958,FALSE,21.8811163745511,21.6737634095442,6,4
"22","sp|A6NH11|GLTD2_HUMAN",0.0114978159758009,21.6855316085893,0.0436761129922044,0.966252300957577,0.992170945399115,-5.92305827880122,FALSE,21.6812199275984,21.6927177435742,5,3
"23","sp|A6NHL2|TBAL3_HUMAN",0.0234700308984123,25.3821243000718,0.0960131853167863,0.925113947174768,0.980839537691899,-6.140969576717,FALSE,25.3703892846226,25.393859315521,6,6
"24","sp|A6NHQ2|FBLL1_HUMAN",-0.355470360489112,27.1824067251005,-1.52636253632877,0.153145932164407,0.644874608650336,-5.04910145112536,FALSE,27.3601419053451,27.004671544856,6,6
"25","sp|A6NHR9|SMHD1_HUMAN",-0.550448954176383,25.8189205453467,-1.61673219810474,0.132215763465534,0.624320847916585,-4.92853067220463,FALSE,26.0941450224349,25.5436960682585,6,6
"26","sp|A6NHX0|CAST2_HUMAN",-0.90017027922816,20.3406097019757,-1.3079905864952,0.223807506557539,0.705165706490858,-5.18969329905713,FALSE,20.7406853816327,19.8405151024045,5,4
"27","sp|A6NIH7|U119B_HUMAN",0.241758887960034,22.9106847689532,0.46503388364823,0.652011635402006,0.901526761599115,-5.94761706576076,FALSE,22.7898053249732,23.0315642129333,5,5
"28","sp|A6NJ78|MET15_HUMAN",0.0158920870480238,21.9803742491406,0.0433680211895669,0.966130017858706,0.992170945399115,-6.14476705327819,FALSE,21.9724282056166,21.9883202926646,6,6
"29","sp|A6NKD9|CC85C_HUMAN",-0.404915708852003,21.0407570149882,-1.03741127781514,0.348417229989429,0.777797706152779,-5.20170264120344,FALSE,21.202723298529,20.797807589677,3,2
"30","sp|A6NKT7|RGPD3_HUMAN",-0.0831686320804439,22.7894684194786,-0.0957343100968692,0.927556433848836,0.981946771121233,-5.71531166046683,FALSE,22.8227358723108,22.7395672402304,3,2
"31","sp|A8MXV4|NUD19_HUMAN",-0.0925366837631115,21.3523614419767,-0.133190357036981,0.89786781888059,0.973241330760806,-5.87315053885459,FALSE,21.4052395469842,21.3127028632211,3,4
"32","sp|B1ANS9|WDR64_HUMAN",-0.204497211863002,27.1234259424199,-1.62629156337789,0.130154861730971,0.623436988376364,-4.9155223749727,FALSE,27.2256745483513,27.0211773364884,6,6
"33","sp|B2RUZ4|SMIM1_HUMAN",-0.441712037323906,22.2614466908992,-1.88549572581154,0.10222714650345,0.59782345187404,-4.39377209124389,FALSE,22.4507518497524,22.0090398124284,4,3
"34","sp|E9PRG8|CK098_HUMAN",0.0495928836292187,26.3400906963046,0.257678258083984,0.801073395996298,0.949476793358573,-6.11146147138402,FALSE,26.31529425449,26.3648871381192,6,6
"35","sp|O00116|ADAS_HUMAN",-0.641991921359615,23.4027428906552,-1.66691610086658,0.121707883563554,0.618675873567538,-4.85971981765951,FALSE,23.723738851335,23.0817469299754,6,6
"36","sp|O00139|KIF2A_HUMAN",-0.282758489672315,21.1403834182193,-0.850837390934275,0.415052596753613,0.805042512028307,-5.69562582053455,FALSE,21.2817626630554,20.9990041733831,5,5
"37","sp|O00148|DX39A_HUMAN",-0.122147092998757,25.2549996698894,-0.542530142734974,0.597504189306829,0.880102385712445,-5.99528291201292,FALSE,25.3160732163887,25.19392612339,6,6
"38","sp|O00151|PDLI1_HUMAN",-0.0615564305990102,27.7933395178636,-0.143225223318767,0.888517775985307,0.970357625142199,-6.13512894612484,FALSE,27.8241177331631,27.7625613025641,6,6
"39","sp|O00154|BACH_HUMAN",-0.244634328391173,26.6583628412566,-1.98528351048811,0.070737955528273,0.533806552160817,-4.39628822870517,FALSE,26.7806800054522,26.536045677061,6,6
"40","sp|O00159|MYO1C_HUMAN",-0.906528334267296,27.0724949850429,-2.47459970430727,0.0294617670421694,0.476307510893699,-3.6167595714278,FALSE,27.5257591521766,26.6192308179093,6,6
"41","sp|O00161|SNP23_HUMAN",0.266762992372554,23.3395173789327,0.549322999816364,0.593903316063005,0.878992092261993,-5.94591572385217,FALSE,23.2182614733088,23.4850244656814,6,5
"42","sp|O00165|HAX1_HUMAN",-0.000995025014344842,20.9295164084106,-0.00341072494943964,0.997363659173284,0.999833236328266,-5.95412579016235,FALSE,20.9300139209178,20.9290188959035,4,4
"43","sp|O00168|PLM_HUMAN",-0.0239081640210146,22.2601845631802,-0.0805478982618565,0.937145226968298,0.984317405890247,-6.14238243051701,FALSE,22.2721386451907,22.2482304811697,6,6
"44","sp|O00170|AIP_HUMAN",-0.0036784266083292,26.9136020919625,-0.0278450345618535,0.978248968200133,0.994909295557736,-6.14533935999858,FALSE,26.9154413052666,26.9117628786583,6,6
"45","sp|O00178|GTPB1_HUMAN",-0.236367879679965,23.0314264990001,-0.831213386216253,0.42227826368312,0.808978459748085,-5.79848560315661,FALSE,23.14961043884,22.9132425591601,6,6
"46","sp|O00186|STXB3_HUMAN",-0.460040060428237,25.0414386769349,-1.6855612092243,0.117995659874999,0.613349165563545,-4.8338318166783,FALSE,25.271458707149,24.8114186467208,6,6
"47","sp|O00193|SMAP_HUMAN",0.0826602406916705,29.1428483570737,0.714019685062746,0.489034358326637,0.829874437156286,-5.88753048377939,FALSE,29.1015182367279,29.1841784774196,6,6
"48","sp|O00203|AP3B1_HUMAN",0.161694414470004,27.2028083676436,0.794274080283733,0.442644883341669,0.812927085055734,-5.82786015697089,FALSE,27.1219611604086,27.2836555748786,6,6
"49","sp|O00217|NDUS8_HUMAN",0.0308340381954782,26.6442494649541,0.134153528100337,0.895531592976011,0.97308818438498,-6.13642962444923,FALSE,26.6288324458563,26.6596664840518,6,6
"50","sp|O00231|PSD11_HUMAN",-0.0737227479525009,29.4700978239381,-0.686782913932001,0.505431171727102,0.837142974344853,-5.90646502974307,FALSE,29.5069591979144,29.4332364499619,6,6
"51","sp|O00232|PSD12_HUMAN",-0.219061599542847,28.7556871605251,-1.99828021545029,0.0691499736465531,0.528912023920322,-4.37650027266411,FALSE,28.8652179602965,28.6461563607537,6,6
"52","sp|O00233|PSMD9_HUMAN",0.932794611495381,23.4030543235047,2.79092133522385,0.0177584822587232,0.455119649235672,-3.09999354301213,FALSE,22.9790567728249,23.9118513843203,6,5
"53","sp|O00244|ATOX1_HUMAN",0.331181102532213,23.0682181871689,0.854491135048942,0.411293440881793,0.803670854313748,-5.73407116724987,FALSE,22.8875739494241,23.2187550519563,5,6
"54","sp|O00255|MEN1_HUMAN",0.494668589643641,21.4455115412815,1.00378165662101,0.345396525180973,0.776471508792761,-5.42934894557076,FALSE,21.1363436727542,21.6310122623978,3,5
"55","sp|O00257|CBX4_HUMAN",-0.409207294122094,21.6769404930244,-0.877194176662818,0.41006458739276,0.803643294209002,-5.49814174821409,FALSE,21.9107732325228,21.5015659384007,3,4
"56","sp|O00264|PGRC1_HUMAN",-0.731454288332501,24.302901630767,-1.39547043964613,0.188461795590324,0.684903081463395,-5.21552287700402,FALSE,24.6686287749332,23.9371744866007,6,6
"57","sp|O00267|SPT5H_HUMAN",-0.230525871692426,26.6239168355159,-1.07841889223665,0.302299548530323,0.760757485376158,-5.57254938440531,FALSE,26.7391797713621,26.5086538996697,6,6
"58","sp|O00268|TAF4_HUMAN",-0.23117049199806,22.6392516589549,-0.487682188076981,0.634668566953921,0.895536299074835,-6.02386902257214,FALSE,22.754836904954,22.5236664129559,6,6
