"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-7.74540649640462,29.9811510563789,-9.17377667294608,4.11738668766687e-05,0.00270173226476023,2.42311637305475,TRUE,33.3006109834095,25.5552044870049,4,3
"2","O76070ups|SYUG_HUMAN_UPS",-4.70044169774276,31.9145591012114,-4.85201493002746,0.00131516297566649,0.0624282680577008,-1.61961976648458,FALSE,34.2647799500828,29.56433825234,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-0.761350872833513,33.2632600938463,-5.82654971422942,0.000412278525004233,0.0235844458790883,-0.358130875871538,TRUE,33.643935530263,32.8825846574295,4,4
"4","P00441ups|SODC_HUMAN_UPS",-7.01813574441479,31.8638482992276,-31.0151937105552,8.18553959401299e-07,8.69616134963952e-05,6.40299118012709,TRUE,33.2674754481105,26.2493397036957,4,1
"5","P00709ups|LALBA_HUMAN_UPS",-4.39829263387705,30.4529314129301,-28.1478681220516,3.3083011832931e-09,8.02437976781173e-07,12.0504122916591,TRUE,32.6520777298687,28.2537850959916,4,4
"6","P00915ups|CAH1_HUMAN_UPS",1.28289546229237,35.516278717579,10.2645218996006,7.65831992382109e-06,0.000569523725001495,3.99898581630127,TRUE,34.8748309864328,36.1577264487251,4,4
"7","P00918ups|CAH2_HUMAN_UPS",1.89047519769936,34.7753427221709,18.7379639227003,7.88128901961804e-08,1.30635259749348e-05,8.8894500393971,TRUE,33.8301051233212,35.7205803210206,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-8.42094685660636,30.1524404790372,-50.1531398240556,3.5357536711538e-11,6.30101363084015e-08,15.8576881927344,TRUE,34.3629139073404,25.941967050734,4,4
"9","P01031ups|CO5_HUMAN_UPS",1.63863415548836,32.3790535557723,6.21404791847602,0.000269153675353946,0.0158021539398593,0.107397592157716,TRUE,31.5597364780281,33.1983706335165,4,4
"10","P01112ups|RASH_HUMAN_UPS",NA,32.4925460594663,NA,NA,NA,NA,NA,32.4925460594663,NA,4,0
"11","P01127ups|PDGFB_HUMAN_UPS",-7.65626736879645,29.3657893400839,-16.0413582852359,2.6141873235732e-07,3.43073642287753e-05,7.63337308108181,TRUE,33.1939230244821,25.5376556556856,4,4
"12","P01133ups|EGF_HUMAN_UPS",-0.719698208447289,30.399689815103,-5.01000861638582,0.00107996512029216,0.0547591405311773,-1.40601014522858,FALSE,30.7595389193266,30.0398407108793,4,4
"13","P01344ups|IGF2_HUMAN_UPS",-7.7298312215344,29.1681930516237,-15.037027741665,1.58051612437059e-06,0.000141045258938831,5.96709121269718,TRUE,32.4809778608527,24.7511466393183,4,3
"14","P01375ups|TNFA_HUMAN_UPS",-7.37053880437171,29.9079440640003,-47.2568445783142,5.64860029658463e-11,6.30101363084015e-08,15.5189741185811,TRUE,33.5932134661862,26.2226746618144,4,4
"15","P01579ups|IFNG_HUMAN_UPS",NA,32.3771266309526,NA,NA,NA,NA,NA,32.3771266309526,NA,4,0
"16","P02144ups|MYG_HUMAN_UPS",-0.922202911179511,32.9323786613704,-6.57931130564886,0.000183092505305474,0.0110399832253111,0.528554465542742,TRUE,33.3934801169602,32.4712772057807,4,4
"17","P02741ups|CRP_HUMAN_UPS",NA,30.8366897517802,NA,NA,NA,NA,NA,30.8366897517802,NA,4,0
"18","P02753ups|RETBP_HUMAN_UPS",-4.04020245158787,30.6523914040951,-14.7373821249435,5.00876415519944e-07,5.70673562285511e-05,6.9428765674609,TRUE,32.672492629889,28.6322901783011,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-8.93128501860681,31.0005174618629,-18.642958743111,8.19764068350904e-08,1.30635259749348e-05,8.8486328171576,TRUE,35.4661599711663,26.5348749525594,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-10.9572925875582,30.1549781082067,-14.7613068661057,4.94699112965629e-07,5.70673562285511e-05,6.95610699697975,TRUE,35.6336244019858,24.6763318144276,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.929181350883775,34.7685050724494,-9.29916541068182,1.58355252951849e-05,0.00113964699785669,3.20650717359652,TRUE,35.2330957478913,34.3039143970075,4,4
