	pValue	qValue	EffectSize	X.UPS1.UPS2.	significant	GeneName	UniprotID	protein
0	5.541172536273671e-09	6.11683879420877e-07	8.26603204965701	UPS1-UPS2	Upregulated	UBE2C_HUMAN	O00762ups	O00762ups|UBE2C_HUMAN_UPS
1	1.04287116528162e-05	0.0005054109769303	5.70531188152103	UPS1-UPS2	Upregulated	SYUG_HUMAN	O76070ups	O76070ups|SYUG_HUMAN_UPS
2	0.0008070833102593	0.035637211944117	0.893251710988508	UPS1-UPS2	Non significant	CYB5_HUMAN	P00167ups	P00167ups|CYB5_HUMAN_UPS
3	4.9819184101508e-09	6.08361440101946e-07	8.08259778483846	UPS1-UPS2	Upregulated	SODC_HUMAN	P00441ups	P00441ups|SODC_HUMAN_UPS
4	6.00506046052897e-11	1.49150689188388e-08	4.1819498216972	UPS1-UPS2	Upregulated	LALBA_HUMAN	P00709ups	P00709ups|LALBA_HUMAN_UPS
5	5.83164080288332e-08	4.87261634135874e-06	-1.75064363082581	UPS1-UPS2	Downregulated	CAH1_HUMAN	P00915ups	P00915ups|CAH1_HUMAN_UPS
6	3.11468344135455e-07	1.8202576464622e-05	-1.75638065638596	UPS1-UPS2	Downregulated	CAH2_HUMAN	P00918ups	P00918ups|CAH2_HUMAN_UPS
7	6.39190028255132e-13	1.2255553819764901e-09	8.58546992815782	UPS1-UPS2	Upregulated	ANT3_HUMAN	P01008ups	P01008ups|ANT3_HUMAN_UPS
8	2.10154961922597e-07	1.30493096668813e-05	-2.00360901461529	UPS1-UPS2	Downregulated	CO5_HUMAN	P01031ups	P01031ups|CO5_HUMAN_UPS
9	1.5438579024108301e-10	3.06764565209031e-08	7.21921211065411	UPS1-UPS2	Upregulated	RASH_HUMAN	P01112ups	P01112ups|RASH_HUMAN_UPS
10	5.07109600605955e-07	2.79896326778898e-05	8.15600759950649	UPS1-UPS2	Upregulated	PDGFB_HUMAN	P01127ups	P01127ups|PDGFB_HUMAN_UPS
11	0.15223737786033	0.773718573858482	0.494471899542248	UPS1-UPS2	Non significant	EGF_HUMAN	P01133ups	P01133ups|EGF_HUMAN_UPS
12	1.0466162264464701e-09	1.73302203495761e-07	6.61114558579429	UPS1-UPS2	Upregulated	IGF2_HUMAN	P01344ups	P01344ups|IGF2_HUMAN_UPS
13	4.8749071030077095e-11	1.49150689188388e-08	8.29191121805575	UPS1-UPS2	Upregulated	TNFA_HUMAN	P01375ups	P01375ups|TNFA_HUMAN_UPS
14	5.204904117631141e-09	6.08361440101946e-07	8.05582144767533	UPS1-UPS2	Upregulated	IFNG_HUMAN	P01579ups	P01579ups|IFNG_HUMAN_UPS
15	0.0007257751475391	0.0327753458672799	1.23856211983698	UPS1-UPS2	Upregulated	MYG_HUMAN	P02144ups	P02144ups|MYG_HUMAN_UPS
16	2.63962327458199e-07	1.58937316563467e-05	6.34128934255207	UPS1-UPS2	Upregulated	CRP_HUMAN	P02741ups	P02741ups|CRP_HUMAN_UPS
17	7.389472700243581e-09	7.72783276599158e-07	3.99538825214499	UPS1-UPS2	Upregulated	RETBP_HUMAN	P02753ups	P02753ups|RETBP_HUMAN_UPS
18	5.88539467501811e-08	4.87261634135874e-06	9.81813156630321	UPS1-UPS2	Upregulated	TRFE_HUMAN	P02787ups	P02787ups|TRFE_HUMAN_UPS
19	7.268780151864e-08	5.6246934032537e-06	13.1739553431814	UPS1-UPS2	Upregulated	TRFL_HUMAN	P02788ups	P02788ups|TRFL_HUMAN_UPS
20	6.82114154643685e-06	0.0003449881069235	0.891198985007648	UPS1-UPS2	Non significant	CATA_HUMAN	P04040ups	P04040ups|CATA_HUMAN_UPS
