ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
HBA_HUMAN,PXD010154-V122,adrenal gland,691.9060509070058,0.002877002722699772,7.458940272892386,287700.2722699772
HBB_HUMAN,PXD010154-V122,adrenal gland,368.7663449434583,0.0015333610351457477,7.185644423028604,153336.10351457476
G3P_HUMAN,PXD010154-V122,adrenal gland,305.61725500168865,0.001270781883741705,7.104071014899922,127078.1883741705
H4_HUMAN,PXD010154-V122,adrenal gland,273.263334588197,0.0011362516003345755,7.055474507905259,113625.16003345755
ACTC_HUMAN,PXD010154-V122,adrenal gland,269.8829424105866,0.0011221956494059354,7.050068580672324,112219.56494059354
TYB4_HUMAN,PXD010154-V122,adrenal gland,264.5048025217609,0.0010998328978691786,7.04132670602541,109983.28978691786
HMGN2_HUMAN,PXD010154-V122,adrenal gland,261.52949790409065,0.00108746133459888,7.036413824275988,108746.13345988799
FIBB_HUMAN,PXD010154-V122,adrenal gland,258.14504436831106,0.001073388496206262,7.030756936524975,107338.8496206262
IGKC_HUMAN,PXD010154-V122,adrenal gland,249.82131315073806,0.0010387777317179526,7.01652263108465,103877.77317179526
FABP4_HUMAN,PXD010154-V122,adrenal gland,236.14896396870375,0.0009819269703019327,6.992079188831459,98192.69703019327
PARK7_HUMAN,PXD010154-V122,adrenal gland,232.53412206506928,0.000966896157975241,6.98537983453806,96689.61579752411
SCG1_HUMAN,PXD010154-V122,adrenal gland,232.06300399730094,0.0009649372099910374,6.984499054026049,96493.72099910374
ACBP_HUMAN,PXD010154-V122,adrenal gland,220.91002333159594,0.0009185621917361909,6.963108565773542,91856.21917361909
VIME_HUMAN,PXD010154-V122,adrenal gland,213.47300601910774,0.0008876384571789546,6.948236109894807,88763.84571789546
TAGL_HUMAN,PXD010154-V122,adrenal gland,203.38356984589743,0.0008456857450979136,6.927209010173277,84568.57450979136
FABPL_HUMAN,PXD010154-V122,adrenal gland,201.61242473557218,0.0008383211768909693,6.923410437041131,83832.11768909692
CNN1_HUMAN,PXD010154-V122,adrenal gland,198.05819020079238,0.0008235423750286781,6.915685950521744,82354.2375028678
UCHL1_HUMAN,PXD010154-V122,adrenal gland,195.58425918782294,0.0008132555647735078,6.910227043662664,81325.55647735078
CH60_HUMAN,PXD010154-V122,adrenal gland,191.22431656250183,0.0007951265618728676,6.900436261673224,79512.65618728676
FIBA_HUMAN,PXD010154-V122,adrenal gland,190.03132547832962,0.0007901660060389929,6.897718341838406,79016.6006038993
CMGA_HUMAN,PXD010154-V122,adrenal gland,187.86586187927853,0.0007811618288646346,6.892741013522016,78116.18288646346
HBD_HUMAN,PXD010154-V122,adrenal gland,183.74126817057825,0.0007640114262710953,6.88309985377121,76401.14262710954
COX6C_HUMAN,PXD010154-V122,adrenal gland,182.3805047210682,0.0007583532590328427,6.879871557492358,75835.32590328428
A1AT_HUMAN,PXD010154-V122,adrenal gland,181.78918259089795,0.0007558944925915574,6.878461181105711,75589.44925915574
TBB4B_HUMAN,PXD010154-V122,adrenal gland,181.62391607000703,0.0007552073006961388,6.878066179696688,75520.73006961388
HMGB1_HUMAN,PXD010154-V122,adrenal gland,180.91834846796735,0.0007522734921112075,6.8763757588381225,75227.34921112075
APOA1_HUMAN,PXD010154-V122,adrenal gland,176.35852435971086,0.0007333133654331866,6.86528960055675,73331.33654331866
FKB1A_HUMAN,PXD010154-V122,adrenal gland,174.2016985357493,0.0007243451048437724,6.859945529484644,72434.51048437724
ENOA_HUMAN,PXD010154-V122,adrenal gland,173.2462473897959,0.0007203722597664513,6.857556980574042,72037.22597664513
PPIA_HUMAN,PXD010154-V122,adrenal gland,172.2932779290707,0.0007164097337420553,6.8551614779052805,71640.97337420553
FIBG_HUMAN,PXD010154-V122,adrenal gland,172.13791016617446,0.0007157637017030431,6.854769670374487,71576.37017030432
GSTP1_HUMAN,PXD010154-V122,adrenal gland,169.6418642956908,0.0007053849360368787,6.848426180783816,70538.49360368788
IF5A1_HUMAN,PXD010154-V122,adrenal gland,169.06618518318987,0.0007029912145599595,6.846949897577474,70299.12145599595
PGK1_HUMAN,PXD010154-V122,adrenal gland,166.83479285101907,0.0006937129002474147,6.841179770691221,69371.29002474147
CAH1_HUMAN,PXD010154-V122,adrenal gland,164.4124428899039,0.0006836405682822232,6.834827826515555,68364.05682822231
RS15_HUMAN,PXD010154-V122,adrenal gland,164.22937636191233,0.0006828793624815563,6.834343987962493,68287.93624815563
H2B1D_HUMAN,PXD010154-V122,adrenal gland,164.07057337501064,0.0006822190464963295,6.833923840068135,68221.90464963295
SOMA_HUMAN,PXD010154-V122,adrenal gland,162.58785540686662,0.0006760537822588593,6.82998124684274,67605.37822588593
CALD1_HUMAN,PXD010154-V122,adrenal gland,161.3362061607831,0.0006708493209246551,6.826624984491602,67084.9320924655
RL5_HUMAN,PXD010154-V122,adrenal gland,160.80416120669082,0.000668637033895924,6.82519042725389,66863.7033895924
PEBP1_HUMAN,PXD010154-V122,adrenal gland,159.68660962802426,0.0006639901617803147,6.822161644554502,66399.01617803147
ALDR_HUMAN,PXD010154-V122,adrenal gland,159.1157654400173,0.0006616165443202846,6.820606356606719,66161.65443202846
KCRB_HUMAN,PXD010154-V122,adrenal gland,158.6643941352362,0.0006597397050137031,6.819372621945329,65973.9705013703
TTHY_HUMAN,PXD010154-V122,adrenal gland,156.60267857663888,0.0006511669207928665,6.813692330330137,65116.69207928665
MYH11_HUMAN,PXD010154-V122,adrenal gland,155.8377420645152,0.0006479862513577786,6.811565791329244,64798.62513577786
PPIB_HUMAN,PXD010154-V122,adrenal gland,154.38292706171387,0.0006419370099635211,6.807492415035554,64193.70099635211
CAH2_HUMAN,PXD010154-V122,adrenal gland,152.80155127575037,0.0006353615183402517,6.803020907566076,63536.151834025164
BLVRB_HUMAN,PXD010154-V122,adrenal gland,151.3905105142569,0.000629494293870491,6.798991797745247,62949.429387049095
trFE_HUMAN,PXD010154-V122,adrenal gland,151.38965415379684,0.0006294907330527007,6.798989341094081,62949.07330527007
SEPT7_HUMAN,PXD010154-V122,adrenal gland,150.93647271948666,0.0006276063670774672,6.797687340862291,62760.63670774672
ARF1_HUMAN,PXD010154-V122,adrenal gland,150.23380688253752,0.0006246846242723555,6.7956608165337435,62468.46242723555
IGG1_HUMAN,PXD010154-V122,adrenal gland,149.7957543652089,0.0006228631655882063,6.794392648654226,62286.31655882063
HYEP_HUMAN,PXD010154-V122,adrenal gland,147.819142293289,0.0006146442487205474,6.788623822245491,61464.42487205474
NB5R3_HUMAN,PXD010154-V122,adrenal gland,147.78333907476505,0.0006144953759696303,6.788518619202246,61449.537596963026
H2A2A_HUMAN,PXD010154-V122,adrenal gland,147.2823147924125,0.0006124120754657867,6.787043745475691,61241.20754657867
RS17_HUMAN,PXD010154-V122,adrenal gland,146.2562135366704,0.00060814546137466,6.78400746992505,60814.546137466
RS21_HUMAN,PXD010154-V122,adrenal gland,144.55984228598055,0.0006010918090752666,6.778940809988829,60109.180907526665
VAT1_HUMAN,PXD010154-V122,adrenal gland,144.2553123762019,0.0005998255484631097,6.778024959790045,59982.554846310966
COF1_HUMAN,PXD010154-V122,adrenal gland,142.7978591383573,0.0005937653370688172,6.773614840684848,59376.53370688172
TBA1B_HUMAN,PXD010154-V122,adrenal gland,142.3745360207664,0.0005920051244499302,6.772325466031527,59200.51244499302
PDIA3_HUMAN,PXD010154-V122,adrenal gland,140.86015322906533,0.000585708195250912,6.767681300735061,58570.8195250912
HS90A_HUMAN,PXD010154-V122,adrenal gland,139.3240257376486,0.0005793208497877144,6.762919159061473,57932.08497877144
THIM_HUMAN,PXD010154-V122,adrenal gland,138.65192812008556,0.0005765262121730928,6.760819057586213,57652.621217309286
RET1_HUMAN,PXD010154-V122,adrenal gland,138.4938693734847,0.0005758689908007389,6.760323693416679,57586.89908007389
HINT1_HUMAN,PXD010154-V122,adrenal gland,138.3606320308574,0.0005753149788839453,6.759905681451115,57531.49788839453
1433E_HUMAN,PXD010154-V122,adrenal gland,138.35332848413836,0.0005752846101311812,6.759882756044437,57528.46101311812
HBG2_HUMAN,PXD010154-V122,adrenal gland,137.68651313308305,0.0005725119366186294,6.757784545952643,57251.19366186294
PGAM1_HUMAN,PXD010154-V122,adrenal gland,137.57422167017813,0.0005720450194062565,6.757430208706216,57204.501940625654
GDIB_HUMAN,PXD010154-V122,adrenal gland,135.33128965780827,0.0005627187221467376,6.750291364753698,56271.872214673764
G6PI_HUMAN,PXD010154-V122,adrenal gland,135.16378332062698,0.00056202221690949,6.749753483701599,56202.221690948994
ML12A_HUMAN,PXD010154-V122,adrenal gland,134.85191408254366,0.0005607254387617692,6.748750259439408,56072.54387617692
BAF_HUMAN,PXD010154-V122,adrenal gland,134.76903595809839,0.0005603808246492481,6.748483265993645,56038.0824649248
ATOX1_HUMAN,PXD010154-V122,adrenal gland,134.33460117820732,0.0005585744088172957,6.747081034544314,55857.44088172957
HEM2_HUMAN,PXD010154-V122,adrenal gland,133.63489983398657,0.0005556649926187223,6.744813036714438,55566.49926187223
MYH9_HUMAN,PXD010154-V122,adrenal gland,133.3778990857382,0.0005545963622006515,6.743977016555646,55459.63622006515
VAPA_HUMAN,PXD010154-V122,adrenal gland,133.2889677116795,0.0005542265781743883,6.743687348724637,55422.65781743883
LPP_HUMAN,PXD010154-V122,adrenal gland,132.9193087207625,0.000552689505443279,6.742481218206987,55268.9505443279
MCFD2_HUMAN,PXD010154-V122,adrenal gland,132.62255904947497,0.000551455595707795,6.741510547935826,55145.5595707795
RLA2_HUMAN,PXD010154-V122,adrenal gland,131.65144419106295,0.0005474176196154582,6.738318771843957,54741.761961545824
APOA2_HUMAN,PXD010154-V122,adrenal gland,131.28543153991419,0.0005458957086674081,6.737109680293523,54589.57086674081
ALDOA_HUMAN,PXD010154-V122,adrenal gland,130.91104751947944,0.0005443389888718316,6.735869442245547,54433.89888718317
CPNS1_HUMAN,PXD010154-V122,adrenal gland,130.78790554896995,0.0005438269543492688,6.735460729244574,54382.695434926885
ENPL_HUMAN,PXD010154-V122,adrenal gland,130.7139383570862,0.0005435193926331066,6.735215044214947,54351.93926331066
HPT_HUMAN,PXD010154-V122,adrenal gland,130.67918649519075,0.0005433748915102143,6.735099566488022,54337.48915102143
TBCA_HUMAN,PXD010154-V122,adrenal gland,129.2121372152869,0.0005372747789774718,6.730196454177484,53727.47789774719
EF1A1_HUMAN,PXD010154-V122,adrenal gland,128.59487054546247,0.0005347081329893515,6.728116789833527,53470.81329893514
ROA2_HUMAN,PXD010154-V122,adrenal gland,128.5840406180209,0.0005346631012531856,6.72808021313516,53466.31012531856
TMA7_HUMAN,PXD010154-V122,adrenal gland,127.47061575659203,0.0005300333883699794,6.724303227955735,53003.33883699794
PROF1_HUMAN,PXD010154-V122,adrenal gland,126.8046981967743,0.0005272644479478256,6.722028488986292,52726.44479478256
MTPN_HUMAN,PXD010154-V122,adrenal gland,126.26938163527215,0.000525038557304249,6.720191197900427,52503.8557304249
ST1A1_HUMAN,PXD010154-V122,adrenal gland,126.1160946336013,0.0005244011772429193,6.719663657979011,52440.11772429193
KPYM_HUMAN,PXD010154-V122,adrenal gland,125.95128399966323,0.0005237158809632464,6.719095743483561,52371.58809632464
H31_HUMAN,PXD010154-V122,adrenal gland,125.33812074895236,0.0005211662973319974,6.7169763230881365,52116.62973319974
AL1A1_HUMAN,PXD010154-V122,adrenal gland,124.95175452521019,0.0005195597545416745,6.715635502952571,51955.975454167456
LDHA_HUMAN,PXD010154-V122,adrenal gland,124.47101173114838,0.0005175607861475969,6.71396136386454,51756.07861475969
ACTG_HUMAN,PXD010154-V122,adrenal gland,124.44116501239264,0.0005174366810165443,6.713857212549082,51743.66810165443
EIF1_HUMAN,PXD010154-V122,adrenal gland,124.42646973354928,0.0005173755768287897,6.713805923609678,51737.55768287897
S10A9_HUMAN,PXD010154-V122,adrenal gland,124.34112557498852,0.0005170207087419679,6.713507938668884,51702.07087419679
RL10_HUMAN,PXD010154-V122,adrenal gland,123.99719998038115,0.000515590637606162,6.712305022581874,51559.0637606162
THIL_HUMAN,PXD010154-V122,adrenal gland,123.72243536334595,0.0005144481435489477,6.711341604354888,51444.81435489477
RS14_HUMAN,PXD010154-V122,adrenal gland,123.6590162309736,0.0005141844415387293,6.711118931396489,51418.44415387293
RL36_HUMAN,PXD010154-V122,adrenal gland,122.87630244123146,0.0005109298527094643,6.708361278466617,51092.985270946425
CATA_HUMAN,PXD010154-V122,adrenal gland,122.69147737265247,0.0005101613347512417,6.707707540239079,51016.13347512417
TCP4_HUMAN,PXD010154-V122,adrenal gland,121.68750504041047,0.0005059867345586445,6.704139131101658,50598.67345586445
ROA1_HUMAN,PXD010154-V122,adrenal gland,121.60408760325383,0.0005056398779391575,6.7038413178177905,50563.987793915745
RL26_HUMAN,PXD010154-V122,adrenal gland,121.5396771716832,0.0005053720540246881,6.7036112227076945,50537.205402468804
LEG1_HUMAN,PXD010154-V122,adrenal gland,121.52543736226524,0.0005053128437165653,6.703560336996082,50531.28437165653
CLUS_HUMAN,PXD010154-V122,adrenal gland,121.39655268174397,0.0005047769305296696,6.703099498429806,50477.693052966955
COLI_HUMAN,PXD010154-V122,adrenal gland,121.28136467704783,0.0005042979692563888,6.70268721931416,50429.79692563888
ATP8_HUMAN,PXD010154-V122,adrenal gland,121.16994271587065,0.0005038346675042866,6.702288046821925,50383.46675042866
GDIR1_HUMAN,PXD010154-V122,adrenal gland,121.07133926838343,0.0005034246661948365,6.701934490771077,50342.46661948365
GSTM1_HUMAN,PXD010154-V122,adrenal gland,121.04139656770589,0.0005033001619629956,6.701827070153993,50330.016196299555
DESM_HUMAN,PXD010154-V122,adrenal gland,120.90550930407605,0.0005027351314549796,6.701339235066802,50273.513145497964
KCY_HUMAN,PXD010154-V122,adrenal gland,120.03912377874192,0.0004991326286122506,6.698215960896132,49913.262861225056
IGHG2_HUMAN,PXD010154-V122,adrenal gland,119.77266289650315,0.0004980246621727476,6.697250849547541,49802.46621727476
TPIS_HUMAN,PXD010154-V122,adrenal gland,119.73324459840504,0.00049786075762125,6.697107895666498,49786.075762124994
ECHB_HUMAN,PXD010154-V122,adrenal gland,119.70030100693549,0.0004977237754367046,6.696988386764406,49772.37754367046
CATB_HUMAN,PXD010154-V122,adrenal gland,119.67648788955321,0.0004976247585203834,6.696901979844522,49762.47585203835
ANXA2_HUMAN,PXD010154-V122,adrenal gland,119.19894039144755,0.0004956390764318001,6.695165539047241,49563.90764318001
BIP_HUMAN,PXD010154-V122,adrenal gland,118.286237985371,0.0004918439841590058,6.691827363815875,49184.39841590058
PTMA_HUMAN,PXD010154-V122,adrenal gland,118.20065843757027,0.0004914881373042089,6.691513040041,49148.813730420894
CRIP2_HUMAN,PXD010154-V122,adrenal gland,117.58758616731939,0.0004889389319772554,6.68925461952958,48893.89319772554
LDHB_HUMAN,PXD010154-V122,adrenal gland,115.84781981014494,0.00048170483922739294,6.682781009277267,48170.483922739295
PRDX2_HUMAN,PXD010154-V122,adrenal gland,115.38623312101798,0.0004797855235057868,6.681047139929431,47978.55235057868
SUCA_HUMAN,PXD010154-V122,adrenal gland,115.26710902615059,0.00047929019564324916,6.680598545157893,47929.01956432492
SFPQ_HUMAN,PXD010154-V122,adrenal gland,114.85713507253297,0.0004775854899548862,6.67905112354792,47758.54899548862
IGLC2_HUMAN,PXD010154-V122,adrenal gland,114.38565155286902,0.0004756250223914026,6.677264694560298,47562.50223914026
MOES_HUMAN,PXD010154-V122,adrenal gland,114.11961052059159,0.00047451880172284696,6.676253425030353,47451.8801722847
ATPB_HUMAN,PXD010154-V122,adrenal gland,113.76978941821368,0.00047306421657695937,6.674920098479948,47306.42165769594
RL27_HUMAN,PXD010154-V122,adrenal gland,113.73816274008345,0.00047293271022725864,6.674799352881818,47293.271022725865
LMNA_HUMAN,PXD010154-V122,adrenal gland,113.4767415357158,0.00047184569918616245,6.673800000863356,47184.569918616246
PGS2_HUMAN,PXD010154-V122,adrenal gland,113.20821676446103,0.00047072915092502267,6.6727710937684,47072.91509250227
CP17A_HUMAN,PXD010154-V122,adrenal gland,113.17343711570147,0.00047058453426204565,6.672637650007401,47058.45342620456
GRP75_HUMAN,PXD010154-V122,adrenal gland,113.07248033976758,0.0004701647476178097,6.672250063136423,47016.47476178097
SAR1B_HUMAN,PXD010154-V122,adrenal gland,112.66004425298837,0.00046844980417563576,6.670663061739378,46844.98041756358
CALX_HUMAN,PXD010154-V122,adrenal gland,112.50829890637912,0.0004678188344438644,6.670077702574417,46781.88344438644
3HIDH_HUMAN,PXD010154-V122,adrenal gland,112.50745406288702,0.00046781532151458173,6.670074441372818,46781.532151458174
NONO_HUMAN,PXD010154-V122,adrenal gland,111.98286996986653,0.00046563405736473577,6.6680447379318695,46563.40573647358
ACTN1_HUMAN,PXD010154-V122,adrenal gland,111.9573629492593,0.00046552799705837085,6.667945804763827,46552.79970583708
MIF_HUMAN,PXD010154-V122,adrenal gland,111.43211502260081,0.00046334397263322246,6.6659035179146855,46334.397263322244
HS71A_HUMAN;HS71B_HUMAN,PXD010154-V122,adrenal gland,111.38168069949381,0.00046313426253644536,6.66570691116036,46313.42625364454
COMT_HUMAN,PXD010154-V122,adrenal gland,111.2449746430155,0.0004625658274198828,6.665173545617566,46256.58274198828
NOP10_HUMAN,PXD010154-V122,adrenal gland,111.19741993861622,0.00046236809101642953,6.664987854881206,46236.80910164295
ECHA_HUMAN,PXD010154-V122,adrenal gland,110.96972724643832,0.0004614213259253078,6.664097662828444,46142.132592530776
GRHPR_HUMAN,PXD010154-V122,adrenal gland,110.84429887960616,0.0004608997843772799,6.663606504948605,46089.97843772799
CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN,PXD010154-V122,adrenal gland,110.77980508274258,0.00046063161382301095,6.663353740918116,46063.16138230109
SMD1_HUMAN,PXD010154-V122,adrenal gland,110.25192609494727,0.00045843664922752536,6.661279329554986,45843.664922752534
AIF1_HUMAN,PXD010154-V122,adrenal gland,109.90043257789087,0.00045697511004275175,6.659892546097282,45697.51100427518
PGRC1_HUMAN,PXD010154-V122,adrenal gland,109.89210612486497,0.00045694048796075874,6.659859641134938,45694.04879607588
NDUB7_HUMAN,PXD010154-V122,adrenal gland,109.55193438307846,0.0004555260256561982,6.658513194648174,45552.60256561982
GAL3B_HUMAN,PXD010154-V122,adrenal gland,109.49085105270673,0.0004552720361043498,6.658270975723213,45527.20361043498
CISD1_HUMAN,PXD010154-V122,adrenal gland,109.41758877566265,0.00045496740548253245,6.657980284291995,45496.74054825324
RSSA_HUMAN,PXD010154-V122,adrenal gland,109.40372037939268,0.00045490973954107137,6.657925235101363,45490.97395410714
CNN3_HUMAN,PXD010154-V122,adrenal gland,109.29479338691611,0.00045445681207567374,6.657492617660484,45445.68120756737
NPM_HUMAN,PXD010154-V122,adrenal gland,109.09123815367992,0.0004536104125399671,6.656683015145758,45361.04125399671
RHOA_HUMAN,PXD010154-V122,adrenal gland,108.56644952731833,0.00045142829792353185,6.654588779479983,45142.829792353186
DDAH1_HUMAN,PXD010154-V122,adrenal gland,108.14618125341201,0.00044968078759794963,6.652904332934996,44968.07875979496
ARP2_HUMAN,PXD010154-V122,adrenal gland,108.1266552940062,0.0004495995970399249,6.652825913318532,44959.95970399249
RS4X_HUMAN,PXD010154-V122,adrenal gland,108.07990367552904,0.0004494051999343163,6.65263809320486,44940.519993431626
PRDX3_HUMAN,PXD010154-V122,adrenal gland,107.88174297542888,0.0004485812313146273,6.651841098700784,44858.12313146273
PCBP1_HUMAN,PXD010154-V122,adrenal gland,107.24343383641505,0.00044592708899507454,6.649263855493223,44592.70889950745
FABP5_HUMAN,PXD010154-V122,adrenal gland,106.90509965232378,0.000444520267407755,6.647891566932078,44452.0267407755
ANXA6_HUMAN,PXD010154-V122,adrenal gland,106.82673224778158,0.0004441944092425557,6.647573088092717,44419.44092425557
PTBP1_HUMAN,PXD010154-V122,adrenal gland,106.70741686687164,0.00044369828599679446,6.647087751043415,44369.828599679444
ATP5H_HUMAN,PXD010154-V122,adrenal gland,106.42405786833942,0.00044252005578879146,6.645932958471178,44252.00557887914
COX41_HUMAN,PXD010154-V122,adrenal gland,106.14548509917809,0.0004413617271193189,6.6447946704170615,44136.17271193189
HNRPD_HUMAN,PXD010154-V122,adrenal gland,105.98831450121949,0.000440708198742652,6.644151130009741,44070.8198742652
A2MG_HUMAN,PXD010154-V122,adrenal gland,105.79490235160272,0.0004399039749895554,6.643357886296549,43990.39749895554
VATE1_HUMAN,PXD010154-V122,adrenal gland,105.69662232751847,0.00043949531850142855,6.642954253335104,43949.531850142856
RL7_HUMAN,PXD010154-V122,adrenal gland,105.61212653275633,0.0004391439779816157,6.642606931612146,43914.39779816157
SH3L1_HUMAN,PXD010154-V122,adrenal gland,105.58892228495007,0.00043904749279547036,6.642511501434351,43904.74927954704
K1C18_HUMAN,PXD010154-V122,adrenal gland,105.58777298847583,0.00043904271392544714,6.642506774273372,43904.27139254472
H10_HUMAN,PXD010154-V122,adrenal gland,105.53857237511087,0.00043883813369605915,6.642304359409033,43883.813369605916
SYUG_HUMAN,PXD010154-V122,adrenal gland,105.40510703072931,0.00043828317372906876,6.641754797834228,43828.31737290687
IDHC_HUMAN,PXD010154-V122,adrenal gland,104.87688706128907,0.0004360867913036342,6.639572932463795,43608.679130363416
TKT_HUMAN,PXD010154-V122,adrenal gland,104.8322499448887,0.0004359011864729654,6.639388051118993,43590.11864729654
DEST_HUMAN,PXD010154-V122,adrenal gland,104.646798543189,0.00043513006416970025,6.63861909076671,43513.00641697003
RL17_HUMAN,PXD010154-V122,adrenal gland,104.57144632003748,0.00043481674337869945,6.638306259004353,43481.67433786995
PURA_HUMAN,PXD010154-V122,adrenal gland,104.34004270779937,0.0004338545479743105,6.6373441543977005,43385.454797431055
TMED2_HUMAN,PXD010154-V122,adrenal gland,104.06438535994762,0.0004327083418683485,6.636195267725814,43270.83418683485
NDRG1_HUMAN,PXD010154-V122,adrenal gland,103.4057513651441,0.0004299696871133736,6.633437838873917,42996.968711337366
PSME1_HUMAN,PXD010154-V122,adrenal gland,103.28313119555887,0.00042945982228231427,6.632922540047886,42945.98222823143
MYL6_HUMAN,PXD010154-V122,adrenal gland,103.227414239392,0.0004292281465593134,6.6326881930110515,42922.81465593134
ACON_HUMAN,PXD010154-V122,adrenal gland,102.93478381081212,0.00042801136497651684,6.631455300978262,42801.136497651685
PEA15_HUMAN,PXD010154-V122,adrenal gland,102.91665867305126,0.00042793599915102803,6.631378822064743,42793.5999151028
RL30_HUMAN,PXD010154-V122,adrenal gland,102.89711648420801,0.0004278547411096569,6.631296348821172,42785.47411096569
SSBP_HUMAN,PXD010154-V122,adrenal gland,102.51003976583961,0.00042624524402377396,6.629659546239254,42624.5244023774
TYB10_HUMAN,PXD010154-V122,adrenal gland,102.40527052127027,0.00042580960481887606,6.629215453421683,42580.9604818876
UCHL3_HUMAN,PXD010154-V122,adrenal gland,102.3215416781125,0.0004254614533474188,6.628860219281159,42546.14533474188
