ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
HBA_HUMAN,PXD010154-V299,lung,547.2294813931328,0.0033313080972496097,7.522614800432907,333130.80972496094
HBA_HUMAN,PXD010154-V133,lung,511.3474203999524,0.0026560263162692986,7.42423237376598,265602.63162692985
G3P_HUMAN,PXD010154-V133,lung,346.80413333266216,0.0018013602258950656,7.255600569274289,180136.02258950655
TYB4_HUMAN,PXD010154-V133,lung,340.15000848352196,0.0017667975587025051,7.24718679049423,176679.75587025052
HBB_HUMAN,PXD010154-V133,lung,287.2184727314944,0.001491862071968313,7.173728672900708,149186.2071968313
HBB_HUMAN,PXD010154-V299,lung,283.9671943693963,0.0017286755303236752,7.237713484532486,172867.55303236752
ACBP_HUMAN,PXD010154-V299,lung,261.34335142881105,0.001590950875966592,7.201656770076497,159095.0875966592
TYB4_HUMAN,PXD010154-V299,lung,259.4209540613715,0.0015792481111594418,7.198450366134066,157924.81111594418
G3P_HUMAN,PXD010154-V299,lung,253.02963629020607,0.0015403403962662766,7.18761670517695,154034.03962662767
ACBP_HUMAN,PXD010154-V133,lung,252.22654084369063,0.001310107968508836,7.117307088171337,131010.7968508836
ACTC_HUMAN,PXD010154-V133,lung,247.9887605854242,0.0012880962100849478,7.109948302424815,128809.62100849478
IGKC_HUMAN,PXD010154-V133,lung,243.69631232800572,0.0012658004966852195,7.102365261750606,126580.04966852196
ACTC_HUMAN,PXD010154-V299,lung,243.22200428420643,0.001480635564879535,7.170448176928817,148063.5564879535
GSTP1_HUMAN,PXD010154-V133,lung,223.60930555157057,0.0011614651339066954,7.065006177219162,116146.51339066954
TAGL_HUMAN,PXD010154-V299,lung,220.70919394330627,0.00134358683133989,7.128265738616749,134358.68313398902
PARK7_HUMAN,PXD010154-V133,lung,219.1929103439238,0.0011385256187618244,7.056342807425219,113852.56187618243
H4_HUMAN,PXD010154-V299,lung,216.31901356801814,0.0013168612181741824,7.119540007796239,131686.12181741823
VIME_HUMAN,PXD010154-V133,lung,213.92062757015313,0.0011111404766152278,7.045768968357759,111114.04766152278
UCHL1_HUMAN,PXD010154-V133,lung,210.7442861355444,0.001094642013724423,7.03927211288973,109464.20137244229
VIME_HUMAN,PXD010154-V299,lung,208.66761131070461,0.0012702826269948252,7.10390035850604,127028.26269948251
CNN1_HUMAN,PXD010154-V299,lung,198.9063624548282,0.0012108601571562737,7.083093989152738,121086.01571562736
TBB4B_HUMAN,PXD010154-V133,lung,195.5694781275081,0.00101582145493065,7.006817381223029,101582.145493065
HMGB1_HUMAN,PXD010154-V133,lung,195.05777837080055,0.0010131635985190918,7.0056795778355605,101316.35985190918
IF5A1_HUMAN,PXD010154-V133,lung,194.61735485968603,0.0010108759631675553,7.0046978699167735,101087.59631675553
GSTP1_HUMAN,PXD010154-V299,lung,191.62468496544525,0.0011665322983570967,7.066896767822505,116653.22983570967
