ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
HBA_HUMAN,PXD010154-V233,ovary,520.7798042559544,0.002762861549182495,7.441359122363999,276286.1549182495
HBB_HUMAN,PXD010154-V233,ovary,283.96864999652485,0.0015065216773710746,7.177975385126474,150652.16773710746
TYB4_HUMAN,PXD010154-V233,ovary,275.4005953475145,0.0014610660960532355,7.164669863095078,146106.60960532355
G3P_HUMAN,PXD010154-V233,ovary,257.05430970227025,0.0013637346581492958,7.13472987786325,136373.46581492957
VIME_HUMAN,PXD010154-V233,ovary,237.37457593980315,0.00125932895872293,7.10013919023265,125932.895872293
IGKC_HUMAN,PXD010154-V233,ovary,236.20509799967257,0.0012531245982485058,7.097994255065576,125312.45982485058
HMGN2_HUMAN,PXD010154-V233,ovary,235.48582786130478,0.00124930869795335,7.096669763636628,124930.869795335
ACTC_HUMAN,PXD010154-V233,ovary,234.03357403659606,0.0012416041437076772,7.093983153323244,124160.41437076771
FABP4_HUMAN,PXD010154-V233,ovary,229.38134075074316,0.001216922932266166,7.085263075229781,121692.2932266166
H2A2A_HUMAN,PXD010154-V233,ovary,209.35515181454394,0.0011106792051931878,7.045588640820138,111067.92051931878
TAGL_HUMAN,PXD010154-V233,ovary,197.9986554754131,0.0010504302730871427,7.021367229499209,105043.02730871427
FABPL_HUMAN,PXD010154-V233,ovary,197.70521650792992,0.001048873509108076,7.020723116783936,104887.35091080761
ACBP_HUMAN,PXD010154-V233,ovary,196.91218973511806,0.0010446663122080262,7.018977590055419,104466.63122080262
TBB4B_HUMAN,PXD010154-V233,ovary,191.01034331680853,0.0010133556039104486,7.0057618735099485,101335.56039104487
PGS2_HUMAN,PXD010154-V233,ovary,182.73827040061758,0.0009694702765505857,6.98653449837816,96947.02765505857
GSTP1_HUMAN,PXD010154-V233,ovary,178.94524676362846,0.0009493473780124022,6.977425155260782,94934.73780124022
PARK7_HUMAN,PXD010154-V233,ovary,177.6586218421312,0.0009425215247539344,6.974291277153814,94252.15247539344
FIBB_HUMAN,PXD010154-V233,ovary,175.60066307944305,0.0009316035607914922,6.969231139833812,93160.35607914922
A1AT_HUMAN,PXD010154-V233,ovary,175.24332021288393,0.0009297077713276488,6.968346461195161,92970.77713276488
ENOA_HUMAN,PXD010154-V233,ovary,165.38419216240533,0.000877402736500019,6.9431989845765685,87740.2736500019
CNN1_HUMAN,PXD010154-V233,ovary,162.40765748570269,0.000861611507383868,6.9353114906148345,86161.1507383868
S10AA_HUMAN,PXD010154-V233,ovary,159.49720840355144,0.0008461708781693428,6.927458074566545,84617.08781693429
CALD1_HUMAN,PXD010154-V233,ovary,157.61924659971825,0.0008362078411693634,6.9223142356380025,83620.78411693634
APOA1_HUMAN,PXD010154-V233,ovary,157.61106495504959,0.0008361644355855074,6.922291691846984,83616.44355855073
ARF1_HUMAN,PXD010154-V233,ovary,157.46131475213355,0.0008353699749051243,6.921878861679211,83536.99749051243
RLA2_HUMAN,PXD010154-V233,ovary,156.9376961452192,0.0008325920528281592,6.92043226118762,83259.20528281592
BAF_HUMAN,PXD010154-V233,ovary,155.88609977665752,0.0008270130823146808,6.9175123796035,82701.30823146808
MFAP4_HUMAN,PXD010154-V233,ovary,154.61338642654746,0.0008202610332731974,6.913952080761762,82026.10332731974
MYH11_HUMAN,PXD010154-V233,ovary,153.26884693245887,0.0008131279293409473,6.9101588784797645,81312.79293409473
