ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
HBA_HUMAN,PXD010154-V128,prostate,459.76357286189096,0.002417572326628852,7.383379475758529,241757.23266288522
TAGL_HUMAN,PXD010154-V128,prostate,303.9097001321133,0.001598046744460494,7.2035894787103505,159804.6744460494
ACTC_HUMAN,PXD010154-V128,prostate,286.99700850493423,0.0015091148288844901,7.178722286597032,150911.482888449
ACBP_HUMAN,PXD010154-V128,prostate,286.193195182721,0.0015048881416081102,7.177504220004437,150488.81416081102
CNN1_HUMAN,PXD010154-V128,prostate,277.66517932473784,0.0014600453216104823,7.164366337030909,146004.53216104824
G3P_HUMAN,PXD010154-V128,prostate,265.11652289576335,0.001394060788885931,7.144281711855328,139406.07888859313
HBB_HUMAN,PXD010154-V128,prostate,241.09031499012065,0.0012677239088565917,7.103024681056857,126772.39088565917
TYB4_HUMAN,PXD010154-V128,prostate,212.75686455814082,0.0011187382785773504,7.048728498088577,111873.82785773504
MYH11_HUMAN,PXD010154-V128,prostate,205.1132562553032,0.0010785459340784058,7.032838645954072,107854.59340784057
FKB1A_HUMAN,PXD010154-V128,prostate,201.2604007570792,0.0010582864846987478,7.024603249818105,105828.64846987478
HMGB1_HUMAN,PXD010154-V128,prostate,197.09738013545098,0.001036396095716024,7.015525768254177,103639.6095716024
IGKC_HUMAN,PXD010154-V128,prostate,194.6698242049725,0.0010236312914007604,7.010143553372795,102363.12914007604
VIME_HUMAN,PXD010154-V128,prostate,193.78807193840828,0.0010189947781917674,7.008171958483059,101899.47781917674
PARK7_HUMAN,PXD010154-V128,prostate,193.08226844751698,0.0010152834554851959,7.0065873092117865,101528.34554851959
GSTP1_HUMAN,PXD010154-V128,prostate,188.66247168251454,0.0009920428618864433,6.9965304365479595,99204.28618864433
KCRB_HUMAN,PXD010154-V128,prostate,186.63593382029217,0.0009813867287263548,6.991840180728774,98138.67287263548
DESM_HUMAN,PXD010154-V128,prostate,163.88516944177766,0.0008617565065476348,6.935384571159842,86175.65065476348
H4_HUMAN,PXD010154-V128,prostate,162.12212955688267,0.0008524859233869602,6.930687216467069,85248.59233869602
TBB4B_HUMAN,PXD010154-V128,prostate,161.13604409254157,0.0008473007954842803,6.928037614142362,84730.07954842802
H2B1D_HUMAN,PXD010154-V128,prostate,160.54458406799858,0.000844190724412878,6.926440576012616,84419.07244128779
FIBB_HUMAN,PXD010154-V128,prostate,160.07842378735066,0.0008417395163120428,6.925177716047732,84173.95163120428
FABPL_HUMAN,PXD010154-V128,prostate,159.10801263055686,0.0008366368085365808,6.922536967814137,83663.68085365808
FABP4_HUMAN,PXD010154-V128,prostate,158.58122343276202,0.0008338667957262392,6.921096680732022,83386.67957262392
CALD1_HUMAN,PXD010154-V128,prostate,156.85419337416695,0.0008247855628418545,6.916341050392589,82478.55628418544
APOA1_HUMAN,PXD010154-V128,prostate,154.98441192143017,0.0008149537010681114,6.911132936418758,81495.37010681114
PPIA_HUMAN,PXD010154-V128,prostate,154.66410767445936,0.0008132694469660342,6.9102344569634955,81326.94469660342
PGK1_HUMAN,PXD010154-V128,prostate,152.44163427843614,0.0008015830270405727,6.903948512738912,80158.30270405728
COX6C_HUMAN,PXD010154-V128,prostate,151.56589347265836,0.0007969781238635566,6.901446400673738,79697.81238635567
A1AT_HUMAN,PXD010154-V128,prostate,151.39568405070136,0.0007960831125739642,6.9009584112652735,79608.31125739642
ML12A_HUMAN,PXD010154-V128,prostate,150.795199856375,0.0007929255897590423,6.899232433883423,79292.55897590422
ENOA_HUMAN,PXD010154-V128,prostate,150.5092014208196,0.0007914217257209368,6.8984079681327,79142.17257209368
TCP4_HUMAN,PXD010154-V128,prostate,148.65758528590894,0.000781685382540386,6.89303199075793,78168.5382540386
IF5A1_HUMAN,PXD010154-V128,prostate,144.43814873593948,0.0007594983419845727,6.880526830117519,75949.83419845726
