ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
HBA_HUMAN,PXD010154-V134,testis,443.17179732565495,0.0019717305035394286,7.294847555217801,197173.05035394285
G3P_HUMAN,PXD010154-V134,testis,301.2439565706505,0.0013402745882333106,7.127193783393031,134027.45882333105
HBB_HUMAN,PXD010154-V134,testis,265.134039318478,0.0011796167445797937,7.071740928704271,117961.67445797937
ACTC_HUMAN,PXD010154-V134,testis,247.86015020956148,0.0011027629053320304,7.042482148909473,110276.29053320305
ACBP_HUMAN,PXD010154-V134,testis,237.33027810281467,0.0010559140982632333,7.023628588493508,105591.40982632333
VIME_HUMAN,PXD010154-V134,testis,235.64967528359958,0.0010484368719077264,7.020542286010235,104843.68719077265
TAGL_HUMAN,PXD010154-V134,testis,212.0836795256263,0.0009435886099861035,6.974782689896857,94358.86099861035
TBB4B_HUMAN,PXD010154-V134,testis,206.2498134368822,0.0009176329607544615,6.962669004737034,91763.29607544615
GSTP1_HUMAN,PXD010154-V134,testis,204.22517149619006,0.0009086250584075654,6.958384709782223,90862.50584075654
FABPL_HUMAN,PXD010154-V134,testis,187.8677464333459,0.0008358486900772715,6.922127666180632,83584.86900772715
H4_HUMAN,PXD010154-V134,testis,185.91741245876872,0.0008271713937940487,6.917595506731235,82717.13937940488
ENOA_HUMAN,PXD010154-V134,testis,179.327721231995,0.0007978529775971168,6.90192287017163,79785.29775971168
PARK7_HUMAN,PXD010154-V134,testis,178.8753557028825,0.0007958403429532082,6.900825950741347,79584.03429532082
IGKC_HUMAN,PXD010154-V134,testis,175.50810872844423,0.0007808590115315878,6.892572626654167,78085.90115315877
A1AT_HUMAN,PXD010154-V134,testis,174.23961147099743,0.0007752152978493156,6.889422334354872,77521.52978493157
TBA1B_HUMAN,PXD010154-V134,testis,170.2008251109575,0.0007572461980297304,6.879237101511194,75724.61980297303
trFE_HUMAN,PXD010154-V134,testis,169.1987864985211,0.0007527879944396374,6.876672684289825,75278.79944396374
PGK1_HUMAN,PXD010154-V134,testis,168.5033965369397,0.0007496941116443439,6.874884099761129,74969.4111644344
PPIA_HUMAN,PXD010154-V134,testis,167.8143526163766,0.0007466284632329348,6.873104542232898,74662.84632329347
H2A2A_HUMAN,PXD010154-V134,testis,166.28582402897555,0.000739827835441415,6.869130667275657,73982.78354414151
SOMA_HUMAN,PXD010154-V134,testis,165.58998383771882,0.0007367319495141762,6.867309504111482,73673.19495141762
MYH11_HUMAN,PXD010154-V134,testis,165.36991622671695,0.0007357528393269488,6.866731946750781,73575.28393269487
