ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
H4_HUMAN,PXD016999-Sample-57,Testis,79.87359139474172,0.0017804323149491486,7.250525468151901,178043.23149491486
H4_HUMAN,PXD016999-Sample-39,Testis,79.00821960778555,0.0017592958966729014,7.2453388897615465,175929.58966729013
H4_HUMAN,PXD016999-Sample-124,Testis,74.91238857386372,0.0018006286922652413,7.255424166164593,180062.86922652414
TAGL_HUMAN,PXD016999-Sample-39,Testis,67.46365613480334,0.0015022301983478115,7.176736488068896,150223.01983478115
TAGL_HUMAN,PXD016999-Sample-57,Testis,66.21043946798373,0.0014758721118873252,7.169048726384071,147587.21118873253
G3P_HUMAN,PXD016999-Sample-57,Testis,64.10021410388511,0.0014288338685272818,7.154981736015482,142883.38685272817
MYH11_HUMAN,PXD016999-Sample-57,Testis,63.15208469352431,0.0014076994708936833,7.1485099473745155,140769.94708936833
G3P_HUMAN,PXD016999-Sample-39,Testis,59.87498565502714,0.0013332513642144897,7.12491203673558,133325.13642144896
VIME_HUMAN,PXD016999-Sample-39,Testis,59.15318088597981,0.0013171787558873078,7.11964471757941,131717.8755887308
VIME_HUMAN,PXD016999-Sample-57,Testis,58.0516369887206,0.0012940073011067797,7.1119367267356495,129400.73011067798
MYH11_HUMAN,PXD016999-Sample-39,Testis,57.56020868288452,0.0012817076432064779,7.107788974151719,128170.76432064778
CNN1_HUMAN,PXD016999-Sample-57,Testis,57.09323737076955,0.0012726439741217444,7.104706925491806,127264.39741217444
CALD1_HUMAN,PXD016999-Sample-57,Testis,57.08523623087671,0.0012724656237086368,7.104646058485961,127246.56237086368
GDIR1_HUMAN,PXD016999-Sample-57,Testis,55.282286172975084,0.0012322767391314644,7.090708250670343,123227.67391314644
CALD1_HUMAN,PXD016999-Sample-39,Testis,54.37604963619248,0.0012108051728937916,7.083074267714359,121080.51728937916
CSRP1_HUMAN,PXD016999-Sample-57,Testis,53.63640706807924,0.0011955890643482688,7.077581934039606,119558.90643482689
H10_HUMAN,PXD016999-Sample-39,Testis,52.96872160061774,0.0011794678455808827,7.071686105732731,117946.78455808827
GDIR1_HUMAN,PXD016999-Sample-39,Testis,52.81885992622456,0.0011761308379867705,7.0704556372630645,117613.08379867705
DESM_HUMAN,PXD016999-Sample-57,Testis,51.93067387705552,0.0011575672045451813,7.063546214131353,115756.72045451813
CNN1_HUMAN,PXD016999-Sample-39,Testis,50.777028963557306,0.0011306648744180104,7.053333900453175,113066.48744180104
GDIR1_HUMAN,PXD016999-Sample-124,Testis,50.497493540086786,0.0012137810245645092,7.08414034373993,121378.10245645093
A1AT_HUMAN,PXD016999-Sample-57,Testis,50.4779959258872,0.0011251861043303178,7.051224360135601,112518.61043303179
ENOA_HUMAN,PXD016999-Sample-57,Testis,49.901766905520546,0.0011123415990218985,7.046238179141839,111234.15990218984
A1AT_HUMAN,PXD016999-Sample-39,Testis,48.942998832944575,0.0010898260642387783,7.037357190262636,108982.60642387782
H10_HUMAN,PXD016999-Sample-57,Testis,47.9141346947113,0.0010680360337334998,7.028585905302677,106803.60337334998
VIME_HUMAN,PXD016999-Sample-124,Testis,47.69011201285456,0.0011463015085017491,7.059298863928227,114630.15085017492
LEG1_HUMAN,PXD016999-Sample-57,Testis,47.0348531388833,0.0010484362978433468,7.020542048215221,104843.62978433468
DESM_HUMAN,PXD016999-Sample-39,Testis,46.71884165303587,0.0010403001969354303,7.017158680702524,104030.01969354303
CAVN1_HUMAN,PXD016999-Sample-39,Testis,46.50465418495168,0.0010355308307151828,7.015163033611076,103553.08307151828
TAGL_HUMAN,PXD016999-Sample-124,Testis,46.233632091211575,0.0011112928859421745,7.0458285341750315,111129.28859421745
RS21_HUMAN,PXD016999-Sample-57,Testis,45.713472876970364,0.001018981905251697,7.008166472015148,101898.19052516969
PEBP1_HUMAN,PXD016999-Sample-57,Testis,45.42431253195428,0.0010125363402848713,7.00541061914791,101253.63402848713
