LFQ intensity 1_1	LFQ intensity 1_2	LFQ intensity 1_3	LFQ intensity 1_4	LFQ intensity 1_5	LFQ intensity 1_6	LFQ intensity 10_1	LFQ intensity 10_2	LFQ intensity 10_3	LFQ intensity 10_4	LFQ intensity 10_5	LFQ intensity 10_6	LFQ intensity 4_1	LFQ intensity 4_2	LFQ intensity 4_3	LFQ intensity 4_4	LFQ intensity 4_5	LFQ intensity 4_6	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant fold10_fold1	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value fold10_fold1	Student's T-test q-value fold10_fold1	Student's T-test Difference fold10_fold1	Student's T-test Test statistic fold10_fold1	Protein IDs	Majority protein IDs	id
23.34806824	22.77075958	21.58390999	22.00201988	21.66927719	22.27598953	22.5874939	22.04310799	22.74435043	22.5634613	21.49661636	21.62044334	21.55446243	22.26848793	22.31448936	21.98129272	20.67107201	20.98191643						1	1	1	4.5	4.5	4.5	41.597	0.0022245	2.041	7123600	7	NaN	NaN	0	NaN	sp|Q9UN42|AT1B4_HUMAN;REV__sp|Q9UN42|AT1B4_HUMAN;sp|Q9P1Z9|CC180_HUMAN	sp|Q9UN42|AT1B4_HUMAN;REV__sp|Q9UN42|AT1B4_HUMAN;sp|Q9P1Z9|CC180_HUMAN	162
22.50424004	22.34422493	21.04052734	22.51682281	21.9909153	21.41478729	21.26486206	23.11912155	24.16352844	23.2563343	21.57343483	21.86384392	22.61988068	22.21477127	22.431427	22.42891693	20.9705925	21.30862236						1	1	1	4.8	4.8	4.8	29.9	0.0050653	1.6158	1563400	1	NaN	NaN	0	NaN	sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN	sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN	166
22.42427254	22.56748581	22.75282669	21.58821487	22.88032532	22.49743652	23.16193771	21.89380455	22.86243248	21.78355408	22.28976631	21.91518402	22.43101311	21.63163757	23.55536652	21.60129929	21.50279617	20.61002541						2	2	2	2.8	2.8	2.8	94.165	0	6.1505	9017000	6	NaN	NaN	0	NaN	sp|A0AVK6|E2F8_HUMAN	sp|A0AVK6|E2F8_HUMAN	167
22.80747604	24.65583611	24.66046906	24.70998764	24.9474411	24.55379677	24.66898537	22.23623466	24.52270889	22.36874008	22.07511711	20.87142944	24.24916267	24.47475433	24.25190926	24.24001694	22.35223579	24.27866745						2	2	2	6.8	6.8	6.8	102.36	0	86.03	420910000	69	1.365662412	0.072797425	-1.598631859	-2.315713957	sp|A0FGR8|ESYT2_HUMAN	sp|A0FGR8|ESYT2_HUMAN	168
23.67393303	21.96658516	21.92862129	20.88111496	20.58305359	22.35978508	23.38244438	21.86581612	21.73556328	23.03821373	21.2878685	21.67213249	21.08412361	23.0618763	21.96258354	22.16365433	21.92876244	21.75103188						1	1	1	9	9	9	26.273	0	3.8783	24018000	8	NaN	NaN	0	NaN	sp|A0JLT2|MED19_HUMAN	sp|A0JLT2|MED19_HUMAN	169
21.97241211	24.16100311	23.71376801	22.14032936	24.20732117	23.84575081	22.53247643	23.3407917	22.35857773	22.89839363	21.33892059	21.60347557	22.5416584	21.69279289	23.71764183	24.16376877	22.78338051	24.21808052						5	5	5	4.9	4.9	4.9	164.2	0	20.772	142360000	33	1.078836881	0.125345899	-0.994658152	-1.922963128	sp|A0JNW5|UH1BL_HUMAN	sp|A0JNW5|UH1BL_HUMAN	170
25.59832573	25.62458229	25.93240166	25.79491234	25.59843826	25.78546524	25.43714142	25.34654999	25.25925636	25.10393524	25.42178535	25.17314148	25.52901077	25.48142242	25.4689579	25.38119507	25.56217766	25.44047165				+	fold10_fold1	5	5	5	12.8	12.8	12.8	71.639	0	138.43	777880000	83	3.58227622	0.00085387	-0.432052612	-5.500371961	sp|A0MZ66|SHOT1_HUMAN	sp|A0MZ66|SHOT1_HUMAN	171
22.81229401	24.17073822	23.20120239	22.00807953	22.82582664	22.09670639	23.28455734	22.11763573	22.28108788	23.13016129	22.99405479	19.92873001	22.546772	22.01564789	21.64949417	20.49470139	21.46326637	23.07360649						1	1	1	3.7	3.7	3.7	89.374	0	15.028	133650000	30	NaN	NaN	0	NaN	sp|A1A4S6|RHG10_HUMAN	sp|A1A4S6|RHG10_HUMAN	172
24.5759449	21.04281044	24.99881935	22.30094528	25.41286659	21.5077095	22.18362427	22.78668022	21.64212608	22.79676628	22.88431931	21.79021835	24.55297661	21.85816193	24.68602943	23.59019279	21.03581047	24.91305542						1	1	1	9.2	9.2	9.2	20.324	0	33.381	478460000	33	0.576678819	0.330008199	-0.959226926	-1.180692201	sp|A1KXE4|F168B_HUMAN	sp|A1KXE4|F168B_HUMAN	173
22.80888557	24.7038765	24.56092453	24.54209137	24.51376343	24.5654068	22.98654366	22.76586342	22.85198212	22.02765846	22.71631241	20.6981163	21.7153492	22.61061096	24.05440712	21.49698067	21.20549774	21.09103775				+	fold10_fold1	3	3	3	3.7	3.7	3.7	134.41	0	38.442	288580000	28	2.734708787	0.004790475	-1.941411972	-4.195430326	sp|A1L390|PKHG3_HUMAN	sp|A1L390|PKHG3_HUMAN	174
